Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Analysis_Number	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Inclusive_Prey_Taxon	Prey_Name_ITIS_ID	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
Sharp-tailed Grouse	Tympanuchus phasianellus	NA	Phasianidae	eBird Clements Checklist v_2019	NA	NA	NA	NA	NA	North Dakota	McHenry County; Pierce County; Bottineau County	grassland	10	1937	12	1939	fall	NA	Animalia	Arthropoda	Insecta	Orthoptera	NA	NA	NA	NA	yes	102160	verified	NA	NA		0.09	Wt_or_vol	NA	19	1	esophagus contents		MMS	"Aldous, S. E. 1943. Sharp-tailed Grouse in the sand dune country of north-central North Dakota. J. Wildl. Manage. 7:23-31."
Sharp-tailed Grouse	Tympanuchus phasianellus	NA	Phasianidae	eBird Clements Checklist v_2019	NA	NA	NA	NA	NA	North Dakota	McHenry County; Pierce County; Bottineau County	grassland	10	1937	12	1939	fall	NA	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	NA	Polygonaceae	Polygonum	NA	yes	20847	verified	NA	seed		0.01	Wt_or_vol	NA	19	1	esophagus contents		MMS	"Aldous, S. E. 1943. Sharp-tailed Grouse in the sand dune country of north-central North Dakota. J. Wildl. Manage. 7:23-31."
Sharp-tailed Grouse	Tympanuchus phasianellus	NA	Phasianidae	eBird Clements Checklist v_2019	NA	NA	NA	NA	NA	North Dakota	McHenry County; Pierce County; Bottineau County	grassland	10	1937	12	1939	fall	NA	Plantae	Tracheophyta	Magnoliopsida	Boraginales	NA	Boraginaceae	Lithospermum	NA	yes	31937	verified	NA	seed		0.03	Wt_or_vol	NA	19	1	esophagus contents		MMS	"Aldous, S. E. 1943. Sharp-tailed Grouse in the sand dune country of north-central North Dakota. J. Wildl. Manage. 7:23-31."
Sharp-tailed Grouse	Tympanuchus phasianellus	NA	Phasianidae	eBird Clements Checklist v_2019	NA	NA	NA	NA	NA	North Dakota	McHenry County; Pierce County; Bottineau County	grassland	10	1937	12	1939	fall	NA	Plantae	Tracheophyta	Magnoliopsida	Dipsacales	NA	Caprifoliaceae	Symphoricarpos	NA	yes	35330	verified	NA	seed		0.01	Wt_or_vol	NA	19	1	esophagus contents		MMS	"Aldous, S. E. 1943. Sharp-tailed Grouse in the sand dune country of north-central North Dakota. J. Wildl. Manage. 7:23-31."
Sharp-tailed Grouse	Tympanuchus phasianellus	NA	Phasianidae	eBird Clements Checklist v_2019	NA	NA	NA	NA	NA	North Dakota	McHenry County; Pierce County; Bottineau County	grassland	10	1937	12	1939	fall	NA	Plantae	Tracheophyta	Magnoliopsida	Rosales	NA	Rosaceae	Rosa	NA	yes	24807	verified	NA	seed		0.55	Wt_or_vol	NA	19	1	esophagus contents		MMS	"Aldous, S. E. 1943. Sharp-tailed Grouse in the sand dune country of north-central North Dakota. J. Wildl. Manage. 7:23-31."
Sharp-tailed Grouse	Tympanuchus phasianellus	NA	Phasianidae	eBird Clements Checklist v_2019	NA	NA	NA	NA	NA	North Dakota	McHenry County; Pierce County; Bottineau County	grassland	10	1937	12	1939	fall	NA	Plantae	Tracheophyta	Magnoliopsida	Rosales	NA	Rosaceae	Prunus	NA	yes	24762	verified	NA	seed		0.15	Wt_or_vol	NA	19	1	esophagus contents		MMS	"Aldous, S. E. 1943. Sharp-tailed Grouse in the sand dune country of north-central North Dakota. J. Wildl. Manage. 7:23-31."
Sharp-tailed Grouse	Tympanuchus phasianellus	NA	Phasianidae	eBird Clements Checklist v_2019	NA	NA	NA	NA	NA	North Dakota	McHenry County; Pierce County; Bottineau County	grassland	10	1937	12	1939	fall	NA	Plantae	Tracheophyta	Magnoliopsida	Rosales	NA	Rosaceae	Crataegus	NA	yes	24539	verified	NA	seed		0.04	Wt_or_vol	NA	19	1	esophagus contents		MMS	"Aldous, S. E. 1943. Sharp-tailed Grouse in the sand dune country of north-central North Dakota. J. Wildl. Manage. 7:23-31."
Sharp-tailed Grouse	Tympanuchus phasianellus	NA	Phasianidae	eBird Clements Checklist v_2019	NA	NA	NA	NA	NA	North Dakota	McHenry County; Pierce County; Bottineau County	grassland	10	1937	12	1939	fall	NA	Plantae	Tracheophyta	Magnoliopsida	Sapindales	NA	Anacardiaceae	Toxicodendron	Toxicodendron pubescens	yes	505545	verified	NA	seed		0.02	Wt_or_vol	NA	19	1	esophagus contents		MMS	"Aldous, S. E. 1943. Sharp-tailed Grouse in the sand dune country of north-central North Dakota. J. Wildl. Manage. 7:23-31."
Sharp-tailed Grouse	Tympanuchus phasianellus	NA	Phasianidae	eBird Clements Checklist v_2019	NA	NA	NA	NA	NA	North Dakota	McHenry County; Pierce County; Bottineau County	grassland	10	1937	12	1939	fall	NA	Plantae	Tracheophyta	Magnoliopsida	Poales	NA	Poaceae	Zea	NA	yes	42268	verified	NA	seed	Corn	0.02	Wt_or_vol	NA	19	1	esophagus contents		MMS	"Aldous, S. E. 1943. Sharp-tailed Grouse in the sand dune country of north-central North Dakota. J. Wildl. Manage. 7:23-31."
Sharp-tailed Grouse	Tympanuchus phasianellus	NA	Phasianidae	eBird Clements Checklist v_2019	NA	NA	NA	NA	NA	North Dakota	McHenry County; Pierce County; Bottineau County	grassland	10	1937	12	1939	fall	NA	Plantae	Tracheophyta	Magnoliopsida	Poales	NA	Poaceae	Avena	NA	yes	41455	verified	NA	seed	Oats	0.01	Wt_or_vol	NA	19	1	esophagus contents		MMS	"Aldous, S. E. 1943. Sharp-tailed Grouse in the sand dune country of north-central North Dakota. J. Wildl. Manage. 7:23-31."
