"Common_Name"	"Scientific_Name"	"Subspecies"	"Family"	"Taxonomy"	"Longitude_dd"	"Latitude_dd"	"Altitude_min_m"	"Altitude_mean_m"	"Altitude_max_m"	"Location_Region"	"Location_Specific"	"Habitat_type"	"Observation_Month_Begin"	"Observation_Year_Begin"	"Observation_Month_End"	"Observation_Year_End"	"Observation_Season"	"Analysis_Number"	"Prey_Kingdom"	"Prey_Phylum"	"Prey_Class"	"Prey_Order"	"Prey_Suborder"	"Prey_Family"	"Prey_Genus"	"Prey_Scientific_Name"	"Inclusive_Prey_Taxon"	"Prey_Name_ITIS_ID"	"Prey_Name_Status"	"Prey_Stage"	"Prey_Part"	"Prey_Common_Name"	"Fraction_Diet"	"Diet_Type"	"Item_Sample_Size"	"Bird_Sample_Size"	"Sites"	"Study_Type"	"Notes"	"Entered_By"	"Source"
"White-tailed Ptarmigan"	"Lagopus leucura"	NA	"Phasianidae"	"eBird Clements Checklist v2019"	NA	NA	NA	NA	NA	"Colorado"	"Northern Colorado;  Central Colorado"	"coniferous forest"	10	1966	4	1971	"Winter"	1	"Plantae"	"Tracheophyta"	"Magnoliopsida"	"Malpighiales"	NA	"Salicaceae"	"Salix"	""	"yes"	"22476"	"verified"	NA	NA	"Willow"	0.89	"Wt_or_Vol"	95	58	16	"crop contents"	NA	"AZ"	"May, T. A. and C. E. Braun. 1972. Seasonal food of adult White-tailed Ptarmigan in Colorado. J. Wildl. Manage. 36:1180-1186."
"White-tailed Ptarmigan"	"Lagopus leucura"	NA	"Phasianidae"	"eBird Clements Checklist v2019"	NA	NA	NA	NA	NA	"Colorado"	"Northern Colorado;  Central Colorado"	"coniferous forest"	10	1966	4	1971	"Winter"	1	"Plantae"	"Tracheophyta"	"Magnoliopsida"	"Rosales"	NA	"Rosaceae"	"Dryas"	""	"yes"	"24613"	"verified"	NA	NA	"Mountain dryad"	0.06	"Wt_or_Vol"	95	58	16	"crop contents"	NA	"AZ"	"May, T. A. and C. E. Braun. 1972. Seasonal food of adult White-tailed Ptarmigan in Colorado. J. Wildl. Manage. 36:1180-1186."
"White-tailed Ptarmigan"	"Lagopus leucura"	NA	"Phasianidae"	"eBird Clements Checklist v2019"	NA	NA	NA	NA	NA	"Colorado"	"Northern Colorado;  Central Colorado"	"coniferous forest"	10	1966	4	1971	"Winter"	1	"Non-biological"	NA	""	""	NA	""	""	""	"yes"	NA	"accepted"	NA	NA	"Grit"	0.03	"Wt_or_Vol"	95	58	16	"crop contents"	NA	"AZ"	"May, T. A. and C. E. Braun. 1972. Seasonal food of adult White-tailed Ptarmigan in Colorado. J. Wildl. Manage. 36:1180-1186."
"White-tailed Ptarmigan"	"Lagopus leucura"	NA	"Phasianidae"	"eBird Clements Checklist v2019"	NA	NA	NA	NA	NA	"Colorado"	"Northern Colorado;  Central Colorado"	"coniferous forest"	10	1966	4	1971	"Winter"	1	"Plantae"	"Tracheophyta"	"Magnoliopsida"	"Fagales"	NA	"Betulaceae"	"Alnus"	""	"yes"	"19466"	"verified"	NA	NA	"Alder"	0.02	"Wt_or_Vol"	95	58	16	"crop contents"	NA	"AZ"	"May, T. A. and C. E. Braun. 1972. Seasonal food of adult White-tailed Ptarmigan in Colorado. J. Wildl. Manage. 36:1180-1186."
"White-tailed Ptarmigan"	"Lagopus leucura"	NA	"Phasianidae"	"eBird Clements Checklist v2019"	NA	NA	NA	NA	NA	"Colorado"	"Northern Colorado;  Central Colorado"	"coniferous forest"	5	1967	6	1971	"Spring"	1	"Plantae"	"Tracheophyta"	"Magnoliopsida"	"Malpighiales"	NA	"Salicaceae"	"Salix"	""	"yes"	"22476"	"verified"	NA	NA	"Willow"	0.85	"Wt_or_Vol"	70	26	16	"crop contents"	NA	"AZ"	"May, T. A. and C. E. Braun. 1972. Seasonal food of adult White-tailed Ptarmigan in Colorado. J. Wildl. Manage. 36:1180-1186."
"White-tailed Ptarmigan"	"Lagopus leucura"	NA	"Phasianidae"	"eBird Clements Checklist v2019"	NA	NA	NA	NA	NA	"Colorado"	"Northern Colorado;  Central Colorado"	"coniferous forest"	5	1967	6	1971	"Spring"	1	"Non-biological"	NA	""	""	NA	""	""	""	"yes"	NA	"accepted"	NA	NA	"Grit"	0.03	"Wt_or_Vol"	70	26	16	"crop contents"	NA	"AZ"	"May, T. A. and C. E. Braun. 1972. Seasonal food of adult White-tailed Ptarmigan in Colorado. J. Wildl. Manage. 36:1180-1186."
"White-tailed Ptarmigan"	"Lagopus leucura"	NA	"Phasianidae"	"eBird Clements Checklist v2019"	NA	NA	NA	NA	NA	"Colorado"	"Northern Colorado;  Central Colorado"	"coniferous forest"	5	1967	6	1971	"Spring"	1	"Plantae"	"Tracheophyta"	"Magnoliopsida"	"Rosales"	NA	"Rosaceae"	"Dryas"	""	"yes"	"24613"	"verified"	NA	NA	"Mountain dryad"	0.03	"Wt_or_Vol"	70	26	16	"crop contents"	NA	"AZ"	"May, T. A. and C. E. Braun. 1972. Seasonal food of adult White-tailed Ptarmigan in Colorado. J. Wildl. Manage. 36:1180-1186."
"White-tailed Ptarmigan"	"Lagopus leucura"	NA	"Phasianidae"	"eBird Clements Checklist v2019"	NA	NA	NA	NA	NA	"Colorado"	"Northern Colorado;  Central Colorado"	"coniferous forest"	5	1967	6	1971	"Spring"	1	"Plantae"	"Tracheophyta"	"Magnoliopsida"	"Rosales"	NA	"Rosaceae"	"Potentilla"	""	"yes"	"24666"	"verified"	NA	NA	"Cinquefoil"	0.03	"Wt_or_Vol"	70	26	16	"crop contents"	NA	"AZ"	"May, T. A. and C. E. Braun. 1972. Seasonal food of adult White-tailed Ptarmigan in Colorado. J. Wildl. Manage. 36:1180-1186."
"White-tailed Ptarmigan"	"Lagopus leucura"	NA	"Phasianidae"	"eBird Clements Checklist v2019"	NA	NA	NA	NA	NA	"Colorado"	"Northern Colorado;  Central Colorado"	"coniferous forest"	5	1967	6	1971	"Spring"	1	"Plantae"	"Tracheophyta"	"Magnoliopsida"	"Ranunculales"	NA	"Ranunculaceae"	"Ranunculus"	""	"yes"	"18558"	"verified"	NA	NA	"Buttercup"	0.02	"Wt_or_Vol"	70	26	16	"crop contents"	NA	"AZ"	"May, T. A. and C. E. Braun. 1972. Seasonal food of adult White-tailed Ptarmigan in Colorado. J. Wildl. Manage. 36:1180-1186."
"White-tailed Ptarmigan"	"Lagopus leucura"	NA	"Phasianidae"	"eBird Clements Checklist v2019"	NA	NA	NA	NA	NA	"Colorado"	"Northern Colorado;  Central Colorado"	"coniferous forest"	5	1967	6	1971	"Spring"	1	"Plantae"	NA	""	""	NA	""	""	""	"no"	"202422"	"verified"	NA	NA	"Unidentified"	0.01	"Wt_or_Vol"	70	26	16	"crop contents"	NA	"AZ"	"May, T. A. and C. E. Braun. 1972. Seasonal food of adult White-tailed Ptarmigan in Colorado. J. Wildl. Manage. 36:1180-1186."
