"Common_Name"	"Scientific_Name"	"Subspecies"	"Family"	"Taxonomy"	"Longitude_dd"	"Latitude_dd"	"Altitude_min_m"	"Altitude_mean_m"	"Altitude_max_m"	"Location_Region"	"Location_Specific"	"Habitat_type"	"Observation_Month_Begin"	"Observation_Year_Begin"	"Observation_Month_End"	"Observation_Year_End"	"Observation_Season"	"Analysis_Number"	"Prey_Kingdom"	"Prey_Phylum"	"Prey_Class"	"Prey_Order"	"Prey_Suborder"	"Prey_Family"	"Prey_Genus"	"Prey_Scientific_Name"	"Inclusive_Prey_Taxon"	"Prey_Name_ITIS_ID"	"Prey_Name_Status"	"Prey_Stage"	"Prey_Part"	"Prey_Common_Name"	"Fraction_Diet"	"Diet_Type"	"Item_Sample_Size"	"Bird_Sample_Size"	"Sites"	"Study_Type"	"Notes"	"Entered_By"	"Source"
"Black Francolin"	"Francolinus francolinus"	NA	"Phasianidae"	"Clements Taxonomy v2018"	NA	NA	NA	NA	NA	"Pakistan"	"Sindh"	NA	3	1956	4	1956	"spring"	1	"Plantae"	""	"Magnoliopsida"	"Poales"	NA	"Cyperaceae"	"Cyperus"	"Cyperus arenarius"	"yes"	NA	"unverified"	NA	"Root"	""	0.2	"Occurrence"	NA	5	1	"crop contents"	NA	"EK"	"Faruqi, S. A., G. Bump, P. C. Nanda, and G. C. Christensen. 1960. A study of the seasonal foods of the Black Francolin [Francolinus francolinus (Linnaeus)], the Grey Francolin [F. pondicerianus (Gmelin)], and the Common Sandgrouse (Pterocles exustus Temminck) in India and Pakistan. J. Bombay Nat. Hist Soc. 57:354-361."
"Black Francolin"	"Francolinus francolinus"	NA	"Phasianidae"	"Clements Taxonomy v2018"	NA	NA	NA	NA	NA	"Pakistan"	"Sindh"	NA	3	1956	4	1956	"spring"	1	"Plantae"	"Tracheophyta"	"Magnoliopsida"	"Poales"	NA	"Poaceae"	"Hordeum"	""	"yes"	"40865"	"verified"	NA	"seed"	""	0.6	"Occurrence"	NA	5	1	"crop contents"	NA	"EK"	"Faruqi, S. A., G. Bump, P. C. Nanda, and G. C. Christensen. 1960. A study of the seasonal foods of the Black Francolin [Francolinus francolinus (Linnaeus)], the Grey Francolin [F. pondicerianus (Gmelin)], and the Common Sandgrouse (Pterocles exustus Temminck) in India and Pakistan. J. Bombay Nat. Hist Soc. 57:354-361."
"Black Francolin"	"Francolinus francolinus"	NA	"Phasianidae"	"Clements Taxonomy v2018"	NA	NA	NA	NA	NA	"Pakistan"	"Sindh"	NA	3	1956	4	1956	"spring"	1	"Plantae"	"Tracheophyta"	"Magnoliopsida"	"Fabales"	NA	"Fabaceae"	"Lathyrus"	"Lathyrus sativus"	"yes"	"25877"	"verified"	NA	"seed"	""	0.2	"Occurrence"	NA	5	1	"crop contents"	NA	"EK"	"Faruqi, S. A., G. Bump, P. C. Nanda, and G. C. Christensen. 1960. A study of the seasonal foods of the Black Francolin [Francolinus francolinus (Linnaeus)], the Grey Francolin [F. pondicerianus (Gmelin)], and the Common Sandgrouse (Pterocles exustus Temminck) in India and Pakistan. J. Bombay Nat. Hist Soc. 57:354-361."
"Black Francolin"	"Francolinus francolinus"	NA	"Phasianidae"	"Clements Taxonomy v2018"	NA	NA	NA	NA	NA	"Pakistan"	"Sindh"	NA	3	1956	4	1956	"spring"	1	"Plantae"	"Tracheophyta"	"Magnoliopsida"	"Fabales"	NA	"Fabaceae"	"Lathyrus"	""	"no"	"25834"	"verified"	NA	"seed"	""	0.2	"Occurrence"	NA	5	1	"crop contents"	NA	"EK"	"Faruqi, S. A., G. Bump, P. C. Nanda, and G. C. Christensen. 1960. A study of the seasonal foods of the Black Francolin [Francolinus francolinus (Linnaeus)], the Grey Francolin [F. pondicerianus (Gmelin)], and the Common Sandgrouse (Pterocles exustus Temminck) in India and Pakistan. J. Bombay Nat. Hist Soc. 57:354-361."
"Black Francolin"	"Francolinus francolinus"	NA	"Phasianidae"	"Clements Taxonomy v2018"	NA	NA	NA	NA	NA	"Pakistan"	"Sindh"	NA	3	1956	4	1956	"spring"	1	"Plantae"	"Tracheophyta"	"Magnoliopsida"	"Poales"	NA	"Poaceae"	"Oryza"	"Oryza sativa"	"yes"	"41976"	"verified"	NA	"seed"	""	0.6	"Occurrence"	NA	5	1	"crop contents"	NA	"EK"	"Faruqi, S. A., G. Bump, P. C. Nanda, and G. C. Christensen. 1960. A study of the seasonal foods of the Black Francolin [Francolinus francolinus (Linnaeus)], the Grey Francolin [F. pondicerianus (Gmelin)], and the Common Sandgrouse (Pterocles exustus Temminck) in India and Pakistan. J. Bombay Nat. Hist Soc. 57:354-361."
"Black Francolin"	"Francolinus francolinus"	NA	"Phasianidae"	"Clements Taxonomy v2018"	NA	NA	NA	NA	NA	"Pakistan"	"Sindh"	NA	3	1956	4	1956	"spring"	1	"Plantae"	"Tracheophyta"	"Magnoliopsida"	"Poales"	NA	"Poaceae"	"Panicum"	"Panicum miliaceum"	"yes"	"40946"	"verified"	NA	"seed"	""	0.2	"Occurrence"	NA	5	1	"crop contents"	NA	"EK"	"Faruqi, S. A., G. Bump, P. C. Nanda, and G. C. Christensen. 1960. A study of the seasonal foods of the Black Francolin [Francolinus francolinus (Linnaeus)], the Grey Francolin [F. pondicerianus (Gmelin)], and the Common Sandgrouse (Pterocles exustus Temminck) in India and Pakistan. J. Bombay Nat. Hist Soc. 57:354-361."
"Black Francolin"	"Francolinus francolinus"	NA	"Phasianidae"	"Clements Taxonomy v2018"	NA	NA	NA	NA	NA	"Pakistan"	"Sindh"	NA	3	1956	4	1956	"spring"	1	"Plantae"	"Tracheophyta"	"Magnoliopsida"	"Poales"	NA	"Poaceae"	"Cenchrus"	"Cenchrus americanus"	"yes"	"796685"	"verified"	NA	"seed"	""	0.2	"Occurrence"	NA	5	1	"crop contents"	NA	"EK"	"Faruqi, S. A., G. Bump, P. C. Nanda, and G. C. Christensen. 1960. A study of the seasonal foods of the Black Francolin [Francolinus francolinus (Linnaeus)], the Grey Francolin [F. pondicerianus (Gmelin)], and the Common Sandgrouse (Pterocles exustus Temminck) in India and Pakistan. J. Bombay Nat. Hist Soc. 57:354-361."
"Black Francolin"	"Francolinus francolinus"	NA	"Phasianidae"	"Clements Taxonomy v2018"	NA	NA	NA	NA	NA	"Pakistan"	"Sindh"	NA	3	1956	4	1956	"spring"	1	"Plantae"	"Tracheophyta"	"Magnoliopsida"	"Poales"	NA	"Poaceae"	"Triticum"	"Triticum aestivum"	"no"	"42237"	"verified"	NA	"Vegetation"	""	0.2	"Occurrence"	NA	5	1	"crop contents"	NA	"EK"	"Faruqi, S. A., G. Bump, P. C. Nanda, and G. C. Christensen. 1960. A study of the seasonal foods of the Black Francolin [Francolinus francolinus (Linnaeus)], the Grey Francolin [F. pondicerianus (Gmelin)], and the Common Sandgrouse (Pterocles exustus Temminck) in India and Pakistan. J. Bombay Nat. Hist Soc. 57:354-361."
"Black Francolin"	"Francolinus francolinus"	NA	"Phasianidae"	"Clements Taxonomy v2018"	NA	NA	NA	NA	NA	"Pakistan"	"Sindh"	NA	3	1956	4	1956	"spring"	1	"Plantae"	"Tracheophyta"	"Magnoliopsida"	"Poales"	NA	"Poaceae"	"Triticum"	"Triticum aestivum"	"no"	"42237"	"verified"	NA	"seed"	""	0.4	"Occurrence"	NA	5	1	"crop contents"	NA	"EK"	"Faruqi, S. A., G. Bump, P. C. Nanda, and G. C. Christensen. 1960. A study of the seasonal foods of the Black Francolin [Francolinus francolinus (Linnaeus)], the Grey Francolin [F. pondicerianus (Gmelin)], and the Common Sandgrouse (Pterocles exustus Temminck) in India and Pakistan. J. Bombay Nat. Hist Soc. 57:354-361."
"Black Francolin"	"Francolinus francolinus"	NA	"Phasianidae"	"Clements Taxonomy v2018"	NA	NA	NA	NA	NA	"Pakistan"	"Sindh"	NA	3	1956	4	1956	"spring"	1	"Animalia"	"Arthropoda"	"Insecta"	"Hymenoptera"	NA	""	""	""	"no"	"152741"	"verified"	NA	""	"Medium black ants"	1	"Occurrence"	NA	5	1	"crop contents"	NA	"EK"	"Faruqi, S. A., G. Bump, P. C. Nanda, and G. C. Christensen. 1960. A study of the seasonal foods of the Black Francolin [Francolinus francolinus (Linnaeus)], the Grey Francolin [F. pondicerianus (Gmelin)], and the Common Sandgrouse (Pterocles exustus Temminck) in India and Pakistan. J. Bombay Nat. Hist Soc. 57:354-361."
