Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Analysis_Number	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Inclusive_Prey_Taxon	Prey_Name_ITIS_ID	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
Cattle Egret	Bubulcus ibis		Ardeidae	eBird Taxonomy v_2019	NA	NA	NA	NA	NA	Florida	Alachua and Marion counties	wetland	6	1969	7	1969			Animalia					Acrididae	NA	NA	Yes			NA	NA	Short-horned grasshoppers	0.961	Occurrence		410	4	Stomach contents		MMS	
																			Animalia					Gryllidae	NA	NA	Yes			NA	NA	Crickets	0.952	Occurrence							
																			Animalia					Tettigoniidae	NA	NA	Yes			NA	NA	Long-horned grasshopper	0.91	Occurrence							
																			Animalia					Tetrigidae	NA	NA	Yes			NA	NA	Pygmy grasshoppers	0.241	Occurrence							
																			Animalia					Blattidae	NA	NA	Yes			NA	NA	Cockroach	0.098	Occurrence							
																			Animalia					Mantidae	NA	NA	Yes			NA	NA	Mantid	0.032	Occurrence							
																			Animalia					Diapheromeridae	NA	NA	Yes			NA	NA	Walkingstick	0.015	Occurrence							
																			Animalia					Asilidae	NA	NA	Yes			NA	NA	Robber fly	0.417	Occurrence							
																			Animalia					Tabanidae	NA	NA	Yes			NA	NA	Horse and deer flies	0.266	Occurrence							
																			Animalia			Diptera	NA	NA	NA	NA	No			NA	NA	Blow and flesh flies	0.049	Occurrence							
																			Animalia					Muscidae	NA	NA	Yes			NA	NA	Muscid fly	0.015	Occurrence							
																			Animalia					Tachinidae	NA	NA	Yes			NA	NA	Tachinid fly	0.007	Occurrence							
																			Animalia					Bombyliidae	NA	NA	Yes			NA	NA	Bee fly	0.004	Occurrence							
																			Animalia					Stratiomyidae	NA	NA	Yes			NA	NA	Soldier fly	0.002	Occurrence							
																			Animalia					Tipulidae	NA	NA	Yes			NA	NA	Crane fly	0.002	Occurrence							
																			Animalia			Diptera	NA	NA	NA	NA	No			larva	NA	Asilids and tabinids	0.076	Occurrence							
																			Animalia			Coleoptera	NA	NA	NA	NA	No			adult; larva; pupa	NA		0.385	Occurrence							
																			Animalia			Lepidoptera	NA	NA	NA	NA	No			adult; larva; pupa	NA		0.409	Occurrence							
																			Animalia			Odonata	NA	NA	NA	NA	No			adult; nymph	NA		0.324	Occurrence							
																			Animalia			Dermaptera	NA	NA	NA	NA	No			NA	NA		0.19	Occurrence							
																			Animalia				Auchenorrhyncha	NA	NA	NA	No			adult; nymph	NA		0.034	Occurrence							
																			Animalia				Heteroptera	NA	NA	NA	No			adult	NA		0.051	Occurrence							
																			Animalia			Neuroptera	NA	NA	NA	NA	No			adult; larva	NA		0.005	Occurrence							
																			Animalia					Formicidae	NA	NA	Yes			adult	NA		0.002	Occurrence							
																			Animalia			Araneae	NA	NA	NA	NA	No			NA	NA		0.851	Occurrence							
																			Animalia		Clitellata	NA	NA	NA	NA	NA	Yes			NA	NA	Earthworm	0.063								
																			Animalia		Chilopoda	NA	NA	NA	NA	NA	Yes			NA	NA	Centipede	0.049								
																			Animalia							Procambarus clarkii	Yes			NA	NA	Crawfish	0.01								
																			Animalia							Bipalium kewense	Yes			NA	NA	Free-living flatworm	0.017								
																			Animalia							Notophthalmus viridescens	Yes			NA	NA		0.002								
																			Animalia							Scaphiopus holbrookii	Yes			NA	NA		0.007								
																			Animalia							Anaxyrus terrestris	Yes			adult; juvenile	NA		0.029								
																			Animalia					Hylidae	NA	NA	No			adult	NA		0.161								
																			Animalia							Gastrophryne carolinensis	Yes			adult	NA		0.09								
																			Animalia					Ranidae	NA	NA	No			adult; juvenile	NA		0.105								
																			Animalia							Anolis carolinensis	Yes			NA	NA		0.022								
																			Animalia					Scincidae	NA	NA	No			NA	NA		0.083								
																			Animalia							Ophisaurus attenuatus	Yes			NA	NA		0.002								
																								Colubridae	NA	NA	No			NA	NA		0.007								
																										Sigmodon hispidus	Yes			NA	NA		0.002								
