Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Analysis_Number	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Inclusive_Prey_Taxon	Prey_Name_ITIS_ID	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
Herring Gull	Larus argentatus		Laridae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Scotland	Rhum	NA	NA	1985	NA	1985	summer	1	Animalia	Chordata	Teleostei	Gadiformes					yes			NA	NA	whitefish	0.14	Items	NA	NA	1	pellet contents	268 pellets examined	EM	
Herring Gull	Larus argentatus		Laridae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Scotland	Rhum	NA	NA	1985	NA	1985	summer	1	Animalia	Arthropoda	Malacostraca	Decapoda	Pleocyemata	Nephropidae	Nephrops	Nephrops norvegicus	yes			NA	NA	Norway lobster	0.03	Items	NA	NA	1	pellet contents	268 pellets examined	EM	
Herring Gull	Larus argentatus		Laridae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Scotland	Rhum	NA	NA	1985	NA	1985	summer	1	Animalia								no			NA	NA	intertidal invertebrates	0.8	Items	NA	NA	1	pellet contents	268 pellets examined	EM	
Herring Gull	Larus argentatus		Laridae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Scotland	Rhum	NA	NA	1985	NA	1985	summer	1	Unidentified								yes			NA	NA	refuse	0.01	Items	NA	NA	1	pellet contents	268 pellets examined	EM	
Herring Gull	Larus argentatus		Laridae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Scotland	Rhum	NA	NA	1985	NA	1985	summer	1	Animalia	Chordata	Mammalia	Rodentia	Myomorpha	Muridae			yes			NA	NA	rat	0.01	Items	NA	NA	1	pellet contents	268 pellets examined	EM	
Herring Gull	Larus argentatus		Laridae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Scotland	Clyde	NA	NA	1983	NA	1983	summer	1	Animalia	Chordata	Teleostei	Gadiformes					yes			NA	NA	whitefish	0.18	Items	NA	NA	1	pellet contents	93 pellets examined	EM	
Herring Gull	Larus argentatus		Laridae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Scotland	Clyde	NA	NA	1983	NA	1983	summer	1	Animalia								no			NA	NA	invertebrates	0.79	Items	NA	NA	1	pellet contents	93 pellets examined	EM	
Herring Gull	Larus argentatus		Laridae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Scotland	Clyde	NA	NA	1983	NA	1983	summer	1	Unidentified								yes			NA	NA	refuse	0.03	Items	NA	NA	1	pellet contents	93 pellets examined	EM	
Herring Gull	Larus argentatus		Laridae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Scotland	Forth	NA	NA	1979	NA	1981	summer	1	Animalia	Chordata	Teleostei	Gadiformes					yes			NA	NA	whitefish	0.52	Items	NA	NA	1	pellet contents	488 pellets examined	EM	
Herring Gull	Larus argentatus		Laridae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Scotland	Forth	NA	NA	1979	NA	1981	summer	1	Animalia	Arthropoda	Malacostraca	Decapoda	Pleocyemata	Nephropidae	Nephrops	Nephrops norvegicus	yes			NA	NA	Norway lobster	0.18	Items	NA	NA	1	pellet contents	488 pellets examined	EM	
Herring Gull	Larus argentatus		Laridae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Scotland	Forth	NA	NA	1979	NA	1981	summer	1	Animalia								no			NA	NA	intertidal invertebrates	0.16	Items	NA	NA	1	pellet contents	488 pellets examined	EM	
Herring Gull	Larus argentatus		Laridae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Scotland	Forth	NA	NA	1979	NA	1981	summer	1	Animalia	Chordata	Teleostei						no			NA	NA	shoaling fish	0.01	Items	NA	NA	1	pellet contents	488 pellets examined	EM	
Herring Gull	Larus argentatus		Laridae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Scotland	Forth	NA	NA	1979	NA	1981	summer	1	Unidentified								yes			NA	NA	refuse	0.12	Items	NA	NA	1	pellet contents	488 pellets examined	EM	
