Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Analysis_Number	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Inclusive_Prey_Taxon	Prey_Name_ITIS_ID	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
Ruffed grouse	Bonasa umbellus		Phasianidae	eBird Clements Checklist v_2018	NA	NA	NA	NA	NA	Ohio	NA	NA	11	1939	3	1943	winter		Plantae						Smilax	NA	Yes			NA	fruit		0.153	Wt_or_vol	NA	42	1	Crop contents		MMS	"Gilfillan, M. C. and H. Bezdek. 1944. Winter Foods of the Ruffed Grouse in Ohio. The Journal of Wildlife Management 8: 208-210."
Ruffed grouse	Bonasa umbellus		Phasianidae	eBird Clements Checklist v_2018	NA	NA	NA	NA	NA	Ohio	NA	NA	11	1939	3	1943	winter		Plantae						Populus	NA	Yes			NA	bud		0.14	Wt_or_vol	NA	42	1	Crop contents		MMS	"Gilfillan, M. C. and H. Bezdek. 1944. Winter Foods of the Ruffed Grouse in Ohio. The Journal of Wildlife Management 8: 208-210."
Ruffed grouse	Bonasa umbellus		Phasianidae	eBird Clements Checklist v_2018	NA	NA	NA	NA	NA	Ohio	NA	NA	11	1939	3	1943	winter		Plantae						Cornus	NA	Yes			NA	fruit		0.084	Wt_or_vol	NA	42	1	Crop contents		MMS	"Gilfillan, M. C. and H. Bezdek. 1944. Winter Foods of the Ruffed Grouse in Ohio. The Journal of Wildlife Management 8: 208-210."
Ruffed grouse	Bonasa umbellus		Phasianidae	eBird Clements Checklist v_2018	NA	NA	NA	NA	NA	Ohio	NA	NA	11	1939	3	1943	winter		Plantae						Vitis	NA	Yes			NA	fruit		0.08	Wt_or_vol	NA	42	1	Crop contents		MMS	"Gilfillan, M. C. and H. Bezdek. 1944. Winter Foods of the Ruffed Grouse in Ohio. The Journal of Wildlife Management 8: 208-210."
Ruffed grouse	Bonasa umbellus		Phasianidae	eBird Clements Checklist v_2018	NA	NA	NA	NA	NA	Ohio	NA	NA	11	1939	3	1943	winter		Plantae						Rhus	NA	Yes			NA	fruit		0.071	Wt_or_vol	NA	42	1	Crop contents		MMS	"Gilfillan, M. C. and H. Bezdek. 1944. Winter Foods of the Ruffed Grouse in Ohio. The Journal of Wildlife Management 8: 208-210."
Ruffed grouse	Bonasa umbellus		Phasianidae	eBird Clements Checklist v_2018	NA	NA	NA	NA	NA	Ohio	NA	NA	11	1939	3	1943	winter		Plantae						Fagus	Fagus grandifolia	Yes			NA	bud		0.055	Wt_or_vol	NA	42	1	Crop contents		MMS	"Gilfillan, M. C. and H. Bezdek. 1944. Winter Foods of the Ruffed Grouse in Ohio. The Journal of Wildlife Management 8: 208-210."
Ruffed grouse	Bonasa umbellus		Phasianidae	eBird Clements Checklist v_2018	NA	NA	NA	NA	NA	Ohio	NA	NA	11	1939	3	1943	winter		Plantae						Hamamelis	Hamamelis virginiana	Yes			NA	fruit		0.053	Wt_or_vol	NA	42	1	Crop contents		MMS	"Gilfillan, M. C. and H. Bezdek. 1944. Winter Foods of the Ruffed Grouse in Ohio. The Journal of Wildlife Management 8: 208-210."
Ruffed grouse	Bonasa umbellus		Phasianidae	eBird Clements Checklist v_2018	NA	NA	NA	NA	NA	Ohio	NA	NA	11	1939	3	1943	winter		Plantae						Quercus	NA	Yes			NA	fruit		0.045	Wt_or_vol	NA	42	1	Crop contents		MMS	"Gilfillan, M. C. and H. Bezdek. 1944. Winter Foods of the Ruffed Grouse in Ohio. The Journal of Wildlife Management 8: 208-210."
Ruffed grouse	Bonasa umbellus		Phasianidae	eBird Clements Checklist v_2018	NA	NA	NA	NA	NA	Ohio	NA	NA	11	1939	3	1943	winter		Plantae						Celastrus	Celastrus scandens	Yes			NA	fruit		0.028	Wt_or_vol	NA	42	1	Crop contents		MMS	"Gilfillan, M. C. and H. Bezdek. 1944. Winter Foods of the Ruffed Grouse in Ohio. The Journal of Wildlife Management 8: 208-210."
Ruffed grouse	Bonasa umbellus		Phasianidae	eBird Clements Checklist v_2018	NA	NA	NA	NA	NA	Ohio	NA	NA	11	1939	3	1943	winter		Plantae						Botrychium	Botrychium virginianum	Yes			NA	vegetation		0.026	Wt_or_vol	NA	42	1	Crop contents		MMS	"Gilfillan, M. C. and H. Bezdek. 1944. Winter Foods of the Ruffed Grouse in Ohio. The Journal of Wildlife Management 8: 208-210."
