"Common_Name"	"Scientific_Name"	"Subspecies"	"Family"	"Taxonomy"	"Longitude_dd"	"Latitude_dd"	"Altitude_min_m"	"Altitude_mean_m"	"Altitude_max_m"	"Location_Region"	"Location_Specific"	"Habitat_type"	"Observation_Month_Begin"	"Observation_Year_Begin"	"Observation_Month_End"	"Observation_Year_End"	"Observation_Season"	"Analysis_Number"	"Prey_Kingdom"	"Prey_Phylum"	"Prey_Class"	"Prey_Order"	"Prey_Suborder"	"Prey_Family"	"Prey_Genus"	"Prey_Scientific_Name"	"Inclusive_Prey_Taxon"	"Prey_Name_ITIS_ID"	"Prey_Name_Status"	"Prey_Stage"	"Prey_Part"	"Prey_Common_Name"	"Fraction_Diet"	"Diet_Type"	"Item_Sample_Size"	"Bird_Sample_Size"	"Sites"	"Study_Type"	"Notes"	"Entered_By"	"Source"	"doi"	"sex"	"age_class"	"within_study_data_source"	"table_fig_number"	"title"	"lastname_author"	"source_year"	"journal"
"American Kestrals"	"Falco sparverius"	NA	"Falconidae"	"eBird Clements checklist v2021"	NA	NA	NA	NA	NA	"Wisconsin; Portage County; Adams County"	"Buena Vista, Leola Marshes"	"Wetland"	"April"	1991	"August"	1991	"Summer"	1	"Animalia"	"Arthropoda"	"Insecta"	"Coleoptera"	NA	NA	NA	NA	"yes"	"109216"	"verified"	NA	NA	NA	0.285714	"Items"	10	NA	2	"Fecal_Contents"	"The occurance percentages come from adding up all the occurances for each row (ex: all individual occurances in april 1-15) and dividing the number of occurances for that one species by the total number of occurances, in addition the not inclusive arthropods was calulated by subtracting Beetles+grasshoppers from total arthropod column table 1"	"SC"	"Gonzalez, F. (1991). Prey of Breeding American Kestrels in Central Wisconsin During 1991. The Passenger Pigeon, 53(3), 219-222. https://search.library.wisc.edu/digital/AYLJFI3DEEBEX385/pages/AKHILTD7JD55TS8B"	NA	NA	NA	"Table"	1	"Prey of Breeding American Kestrels in Central Wisconsin During 1991"	NA	1991	"The Passenger Pigeon"
"American Kestrals"	"Falco sparverius"	NA	"Falconidae"	"eBird Clements checklist v2021"	NA	NA	NA	NA	NA	"Wisconsin; Portage County; Adams County"	"Buena Vista, Leola Marshes"	"Wetland"	"April"	1991	"August"	1991	"Summer"	1	"Animalia"	"Arthropoda"	"Insecta"	"Orthoptera"	NA	NA	NA	NA	"yes"	"102160"	"verified"	NA	NA	NA	0.071429	"Items"	10	NA	2	"Fecal_Contents"	"The occurance percentages come from adding up all the occurances for each row (ex: all individual occurances in april 1-15) and dividing the number of occurances for that one species by the total number of occurances, in addition the not inclusive arthropods was calulated by subtracting Beetles+grasshoppers from total arthropod column table 2"	"SC"	"Gonzalez, F. (1991). Prey of Breeding American Kestrels in Central Wisconsin During 1991. The Passenger Pigeon, 53(3), 219-222. https://search.library.wisc.edu/digital/AYLJFI3DEEBEX385/pages/AKHILTD7JD55TS8B"	NA	NA	NA	"Table"	1	"Prey of Breeding American Kestrels in Central Wisconsin During 1992"	NA	1991	"The Passenger Pigeon"
"American Kestrals"	"Falco sparverius"	NA	"Falconidae"	"eBird Clements checklist v2021"	NA	NA	NA	NA	NA	"Wisconsin; Portage County; Adams County"	"Buena Vista, Leola Marshes"	"Wetland"	"April"	1991	"August"	1991	"Summer"	1	"Animalia"	"Arthropoda"	""	""	NA	NA	NA	NA	"no"	"82696"	"verified"	NA	NA	NA	0.071429	"Items"	10	NA	2	"Fecal_Contents"	"The occurance percentages come from adding up all the occurances for each row (ex: all individual occurances in april 1-15) and dividing the number of occurances for that one species by the total number of occurances, in addition the not inclusive arthropods was calulated by subtracting Beetles+grasshoppers from total arthropod column table 3"	"SC"	"Gonzalez, F. (1991). Prey of Breeding American Kestrels in Central Wisconsin During 1991. The Passenger Pigeon, 53(3), 219-222. https://search.library.wisc.edu/digital/AYLJFI3DEEBEX385/pages/AKHILTD7JD55TS8B"	NA	NA	NA	"Table"	1	"Prey of Breeding American Kestrels in Central Wisconsin During 1993"	NA	1991	"The Passenger Pigeon"
"American Kestrals"	"Falco sparverius"	NA	"Falconidae"	"eBird Clements checklist v2021"	NA	NA	NA	NA	NA	"Wisconsin; Portage County; Adams County"	"Buena Vista, Leola Marshes"	"Wetland"	"April"	1991	"August"	1991	"Summer"	1	"Animalia"	"Chordata"	"Mammalia"	""	NA	NA	NA	NA	"yes"	"179913"	"verified"	NA	NA	NA	0.571429	"Items"	10	NA	2	"Fecal_Contents"	"The occurance percentages come from adding up all the occurances for each row (ex: all individual occurances in april 1-15) and dividing the number of occurances for that one species by the total number of occurances, in addition the not inclusive arthropods was calulated by subtracting Beetles+grasshoppers from total arthropod column table 4"	"SC"	"Gonzalez, F. (1991). Prey of Breeding American Kestrels in Central Wisconsin During 1991. The Passenger Pigeon, 53(3), 219-222. https://search.library.wisc.edu/digital/AYLJFI3DEEBEX385/pages/AKHILTD7JD55TS8B"	NA	NA	NA	"Table"	1	"Prey of Breeding American Kestrels in Central Wisconsin During 1994"	NA	1991	"The Passenger Pigeon"
"American Kestrals"	"Falco sparverius"	NA	"Falconidae"	"eBird Clements checklist v2021"	NA	NA	NA	NA	NA	"Wisconsin; Portage County; Adams County"	"Buena Vista, Leola Marshes"	"Wetland"	"April"	1991	"August"	1991	"Summer"	2	"Animalia"	"Arthropoda"	"Insecta"	"Coleoptera"	NA	NA	NA	NA	"yes"	"109216"	"verified"	NA	NA	NA	0.464286	"Items"	52	NA	2	"Fecal_Contents"	"The occurance percentages come from adding up all the occurances for each row (ex: all individual occurances in april 1-15) and dividing the number of occurances for that one species by the total number of occurances, in addition the not inclusive arthropods was calulated by subtracting Beetles+grasshoppers from total arthropod column table 5"	"SC"	"Gonzalez, F. (1991). Prey of Breeding American Kestrels in Central Wisconsin During 1991. The Passenger Pigeon, 53(3), 219-222. https://search.library.wisc.edu/digital/AYLJFI3DEEBEX385/pages/AKHILTD7JD55TS8B"	NA	NA	NA	"Table"	1	"Prey of Breeding American Kestrels in Central Wisconsin During 1995"	NA	1991	"The Passenger Pigeon"
"American Kestrals"	"Falco sparverius"	NA	"Falconidae"	"eBird Clements checklist v2021"	NA	NA	NA	NA	NA	"Wisconsin; Portage County; Adams County"	"Buena Vista, Leola Marshes"	"Wetland"	"April"	1991	"August"	1991	"Summer"	2	"Animalia"	"Arthropoda"	"Insecta"	"Orthoptera"	NA	NA	NA	NA	"yes"	"102160"	"verified"	NA	NA	NA	0.035714	"Items"	52	NA	2	"Fecal_Contents"	"The occurance percentages come from adding up all the occurances for each row (ex: all individual occurances in april 1-15) and dividing the number of occurances for that one species by the total number of occurances, in addition the not inclusive arthropods was calulated by subtracting Beetles+grasshoppers from total arthropod column table 6"	"SC"	"Gonzalez, F. (1991). Prey of Breeding American Kestrels in Central Wisconsin During 1991. The Passenger Pigeon, 53(3), 219-222. https://search.library.wisc.edu/digital/AYLJFI3DEEBEX385/pages/AKHILTD7JD55TS8B"	NA	NA	NA	"Table"	1	"Prey of Breeding American Kestrels in Central Wisconsin During 1996"	NA	1991	"The Passenger Pigeon"
"American Kestrals"	"Falco sparverius"	NA	"Falconidae"	"eBird Clements checklist v2021"	NA	NA	NA	NA	NA	"Wisconsin; Portage County; Adams County"	"Buena Vista, Leola Marshes"	"Wetland"	"April"	1991	"August"	1991	"Summer"	2	"Animalia"	"Arthropoda"	""	""	NA	NA	NA	NA	"no"	"82696"	"verified"	NA	NA	NA	0.160714	"Items"	52	NA	2	"Fecal_Contents"	"The occurance percentages come from adding up all the occurances for each row (ex: all individual occurances in april 1-15) and dividing the number of occurances for that one species by the total number of occurances, in addition the not inclusive arthropods was calulated by subtracting Beetles+grasshoppers from total arthropod column table 7"	"SC"	"Gonzalez, F. (1991). Prey of Breeding American Kestrels in Central Wisconsin During 1991. The Passenger Pigeon, 53(3), 219-222. https://search.library.wisc.edu/digital/AYLJFI3DEEBEX385/pages/AKHILTD7JD55TS8B"	NA	NA	NA	"Table"	1	"Prey of Breeding American Kestrels in Central Wisconsin During 1997"	NA	1991	"The Passenger Pigeon"
"American Kestrals"	"Falco sparverius"	NA	"Falconidae"	"eBird Clements checklist v2021"	NA	NA	NA	NA	NA	"Wisconsin; Portage County; Adams County"	"Buena Vista, Leola Marshes"	"Wetland"	"April"	1991	"August"	1991	"Summer"	2	"Animalia"	"Chordata"	"Mammalia"	""	NA	NA	NA	NA	"yes"	"179913"	"verified"	NA	NA	NA	0.321429	"Items"	52	NA	2	"Fecal_Contents"	"The occurance percentages come from adding up all the occurances for each row (ex: all individual occurances in april 1-15) and dividing the number of occurances for that one species by the total number of occurances, in addition the not inclusive arthropods was calulated by subtracting Beetles+grasshoppers from total arthropod column table 8"	"SC"	"Gonzalez, F. (1991). Prey of Breeding American Kestrels in Central Wisconsin During 1991. The Passenger Pigeon, 53(3), 219-222. https://search.library.wisc.edu/digital/AYLJFI3DEEBEX385/pages/AKHILTD7JD55TS8B"	NA	NA	NA	"Table"	1	"Prey of Breeding American Kestrels in Central Wisconsin During 1998"	NA	1991	"The Passenger Pigeon"
"American Kestrals"	"Falco sparverius"	NA	"Falconidae"	"eBird Clements checklist v2021"	NA	NA	NA	NA	NA	"Wisconsin; Portage County; Adams County"	"Buena Vista, Leola Marshes"	"Wetland"	"April"	1991	"August"	1991	"Summer"	2	"Animalia"	"Chordata"	"Reptilia"	""	NA	NA	NA	NA	"yes"	"173747"	"verified"	NA	NA	NA	0.017857	"Items"	52	NA	2	"Fecal_Contents"	"The occurance percentages come from adding up all the occurances for each row (ex: all individual occurances in april 1-15) and dividing the number of occurances for that one species by the total number of occurances, in addition the not inclusive arthropods was calulated by subtracting Beetles+grasshoppers from total arthropod column table 9"	"SC"	"Gonzalez, F. (1991). Prey of Breeding American Kestrels in Central Wisconsin During 1991. The Passenger Pigeon, 53(3), 219-222. https://search.library.wisc.edu/digital/AYLJFI3DEEBEX385/pages/AKHILTD7JD55TS8B"	NA	NA	NA	"Table"	1	"Prey of Breeding American Kestrels in Central Wisconsin During 1999"	NA	1991	"The Passenger Pigeon"
"American Kestrals"	"Falco sparverius"	NA	"Falconidae"	"eBird Clements checklist v2021"	NA	NA	NA	NA	NA	"Wisconsin; Portage County; Adams County"	"Buena Vista, Leola Marshes"	"Wetland"	"April"	1991	"August"	1991	"Summer"	3	"Animalia"	"Arthropoda"	"Insecta"	"Coleoptera"	NA	NA	NA	NA	"yes"	"109216"	"verified"	NA	NA	NA	0.376812	"Items"	52	NA	2	"Fecal_Contents"	"The occurance percentages come from adding up all the occurances for each row (ex: all individual occurances in april 1-15) and dividing the number of occurances for that one species by the total number of occurances, in addition the not inclusive arthropods was calulated by subtracting Beetles+grasshoppers from total arthropod column table 10"	"SC"	"Gonzalez, F. (1991). Prey of Breeding American Kestrels in Central Wisconsin During 1991. The Passenger Pigeon, 53(3), 219-222. https://search.library.wisc.edu/digital/AYLJFI3DEEBEX385/pages/AKHILTD7JD55TS8B"	NA	NA	NA	"Table"	1	"Prey of Breeding American Kestrels in Central Wisconsin During 2000"	NA	1991	"The Passenger Pigeon"
