Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Analysis_Number	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Inclusive_Prey_Taxon	Prey_Name_ITIS_ID	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
American Coot	Fulica americana		Rallidae	Clements v2018	NA	NA	NA	25.7	NA	Florida	"Lake Conway, Orange County"	wetland	11	1977	6	1980	winter; spring	1	Plantae		Magnoliopsida	Alismatales		Hydrocharitaceae	Hydrilla		yes						0.438	Occurrence	NA	73	1	stomach contents		EK	"Hardin, S., R. Land, M. Spelman, and G. Morse. 1984. Food items of grass carp, American Coots, and Ring-necked Ducks from a central Florida lake. Proc. Annu. Conf. Southeast. Assoc. Fish Wildl. Agencies. 38:313-318."
American Coot	Fulica americana		Rallidae	Clements v2018	NA	NA	NA	25.7	NA	Florida	"Lake Conway, Orange County"	wetland	11	1977	6	1980	winter; spring	1	Plantae		Magnoliopsida	Alismatales		Potamogetonaceae	Potamogeton	Potamogeton illinoensis	yes					Illinois pondweed	0.342	Occurrence	NA	73	1	stomach contents		EK	"Hardin, S., R. Land, M. Spelman, and G. Morse. 1984. Food items of grass carp, American Coots, and Ring-necked Ducks from a central Florida lake. Proc. Annu. Conf. Southeast. Assoc. Fish Wildl. Agencies. 38:313-318."
American Coot	Fulica americana		Rallidae	Clements v2018	NA	NA	NA	25.7	NA	Florida	"Lake Conway, Orange County"	wetland	11	1977	6	1980	winter; spring	1	Plantae		Charophyceae	Charales		Characeae	Nitella		no						0.082	Occurrence	NA	73	1	stomach contents		EK	"Hardin, S., R. Land, M. Spelman, and G. Morse. 1984. Food items of grass carp, American Coots, and Ring-necked Ducks from a central Florida lake. Proc. Annu. Conf. Southeast. Assoc. Fish Wildl. Agencies. 38:313-318."
American Coot	Fulica americana		Rallidae	Clements v2018	NA	NA	NA	25.7	NA	Florida	"Lake Conway, Orange County"	wetland	11	1977	6	1980	winter; spring	1	Plantae								no						0.137	Occurrence	NA	73	1	stomach contents		EK	"Hardin, S., R. Land, M. Spelman, and G. Morse. 1984. Food items of grass carp, American Coots, and Ring-necked Ducks from a central Florida lake. Proc. Annu. Conf. Southeast. Assoc. Fish Wildl. Agencies. 38:313-318."
American Coot	Fulica americana		Rallidae	Clements v2018	NA	NA	NA	25.7	NA	Florida	"Lake Conway, Orange County"	wetland	11	1977	6	1980	winter; spring	1	Plantae		Magnoliopsida	Poales		Poaceae	Panicum	Panicum hemitomon	yes					maidencane	0.027	Occurrence	NA	73	1	stomach contents		EK	"Hardin, S., R. Land, M. Spelman, and G. Morse. 1984. Food items of grass carp, American Coots, and Ring-necked Ducks from a central Florida lake. Proc. Annu. Conf. Southeast. Assoc. Fish Wildl. Agencies. 38:313-318."
American Coot	Fulica americana		Rallidae	Clements v2018	NA	NA	NA	25.7	NA	Florida	"Lake Conway, Orange County"	wetland	11	1977	6	1980	winter; spring	1	Plantae		Magnoliopsida	Poales		Typhaceae	Typha	Typha latifolia	yes					Cattail	0.027	Occurrence	NA	73	1	stomach contents		EK	"Hardin, S., R. Land, M. Spelman, and G. Morse. 1984. Food items of grass carp, American Coots, and Ring-necked Ducks from a central Florida lake. Proc. Annu. Conf. Southeast. Assoc. Fish Wildl. Agencies. 38:313-318."
American Coot	Fulica americana		Rallidae	Clements v2018	NA	NA	NA	25.7	NA	Florida	"Lake Conway, Orange County"	wetland	11	1977	6	1980	winter; spring	1	Plantae		Magnoliopsida	Poales		Cyperaceae	Eleocharis	Eleocharis acicularis	yes					Slender spikerush	0.027	Occurrence	NA	73	1	stomach contents		EK	"Hardin, S., R. Land, M. Spelman, and G. Morse. 1984. Food items of grass carp, American Coots, and Ring-necked Ducks from a central Florida lake. Proc. Annu. Conf. Southeast. Assoc. Fish Wildl. Agencies. 38:313-318."
American Coot	Fulica americana		Rallidae	Clements v2018	NA	NA	NA	25.7	NA	Florida	"Lake Conway, Orange County"	wetland	11	1977	6	1980	winter; spring	1	Plantae		Magnoliopsida	Commelinales		Pontederiaceae	Eichhornia 	Eichhornia crassipes	yes					Water hyacinth	0.068	Occurrence	NA	73	1	stomach contents		EK	"Hardin, S., R. Land, M. Spelman, and G. Morse. 1984. Food items of grass carp, American Coots, and Ring-necked Ducks from a central Florida lake. Proc. Annu. Conf. Southeast. Assoc. Fish Wildl. Agencies. 38:313-318."
American Coot	Fulica americana		Rallidae	Clements v2018	NA	NA	NA	25.7	NA	Florida	"Lake Conway, Orange County"	wetland	11	1977	6	1980	winter; spring	1	Plantae		Magnoliopsida	Myrtales		Onagraceae	Ludwigia		yes					Primrose willow	0.041	Occurrence	NA	73	1	stomach contents		EK	"Hardin, S., R. Land, M. Spelman, and G. Morse. 1984. Food items of grass carp, American Coots, and Ring-necked Ducks from a central Florida lake. Proc. Annu. Conf. Southeast. Assoc. Fish Wildl. Agencies. 38:313-318."
American Coot	Fulica americana		Rallidae	Clements v2018	NA	NA	NA	25.7	NA	Florida	"Lake Conway, Orange County"	wetland	11	1977	6	1980	winter; spring	1	Plantae		Charophyceae	Charales		Characeae	Nitella	Nitella furcata	yes				oogonium	Nitella oogonia	0.137	Occurrence	NA	73	1	stomach contents		EK	"Hardin, S., R. Land, M. Spelman, and G. Morse. 1984. Food items of grass carp, American Coots, and Ring-necked Ducks from a central Florida lake. Proc. Annu. Conf. Southeast. Assoc. Fish Wildl. Agencies. 38:313-318."
