Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Analysis_Number	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Inclusive_Prey_Taxon	Prey_Name_ITIS_ID	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
Brown Booby	Sula leucogaster	plotus	Sulidae	eBird Clements Checklist v2019	-168.15	-14.53333333	NA	NA	NA	Somoa	Rose Atoll	NA	11	1980	11	1980	Fall	1	Animalia	Chordata	Teleostei	Perciformes	Acanthuroidei	Acanthuridae	Acanthurus	Acanthurus triostegus	yes			NA	NA	convictfish	0.105882353	Items	170	9	1	Emetic	examined 244 regurgitated samples	EM	"Harrison, C. S., T. S. Hida, and M. P. Seki. 1984. The diet of the Brown Booby Sula leucogaster and Masked Booby Sula dactylatra on Rose Atoll, Samoa. Ibis 126:588-590."
Brown Booby	Sula leucogaster	plotus	Sulidae	eBird Clements Checklist v2019	-168.15	-14.53333333	NA	NA	NA	Somoa	Rose Atoll	NA	11	1980	11	1980	Fall	1	Animalia	Chordata	Teleostei	Perciformes	Acanthuroidei	Acanthuridae			no			NA	NA	surgeonfishes	0.011764706	Items	170	9	1	Emetic		EM	"Harrison, C. S., T. S. Hida, and M. P. Seki. 1984. The diet of the Brown Booby Sula leucogaster and Masked Booby Sula dactylatra on Rose Atoll, Samoa. Ibis 126:588-590."
Brown Booby	Sula leucogaster	plotus	Sulidae	eBird Clements Checklist v2019	-168.15	-14.53333333	NA	NA	NA	Somoa	Rose Atoll	NA	11	1980	11	1980	Fall	1	Animalia	Chordata	Teleostei	Perciformes	Percoidei	Carangidae			yes			NA	NA	jacks	0.005882353	Items	170	9	1	Emetic		EM	"Harrison, C. S., T. S. Hida, and M. P. Seki. 1984. The diet of the Brown Booby Sula leucogaster and Masked Booby Sula dactylatra on Rose Atoll, Samoa. Ibis 126:588-590."
Brown Booby	Sula leucogaster	plotus	Sulidae	eBird Clements Checklist v2019	-168.15	-14.53333333	NA	NA	NA	Somoa	Rose Atoll	NA	11	1980	11	1980	Fall	1	Animalia	Chordata	Teleostei	Perciformes	Percoidei	Coryphaenidae	Coryphaena	Coryphaena equiselis	yes			NA	NA	pompano dolphinfish	0.011764706	Items	170	9	1	Emetic		EM	"Harrison, C. S., T. S. Hida, and M. P. Seki. 1984. The diet of the Brown Booby Sula leucogaster and Masked Booby Sula dactylatra on Rose Atoll, Samoa. Ibis 126:588-590."
Brown Booby	Sula leucogaster	plotus	Sulidae	eBird Clements Checklist v2019	-168.15	-14.53333333	NA	NA	NA	Somoa	Rose Atoll	NA	11	1980	11	1980	Fall	1	Animalia	Chordata	Teleostei	Beloniformes	Belonoidei	Exocoetidae			yes			NA	NA	flyingfishes	0.035294118	Items	170	9	1	Emetic		EM	"Harrison, C. S., T. S. Hida, and M. P. Seki. 1984. The diet of the Brown Booby Sula leucogaster and Masked Booby Sula dactylatra on Rose Atoll, Samoa. Ibis 126:588-590."
Brown Booby	Sula leucogaster	plotus	Sulidae	eBird Clements Checklist v2019	-168.15	-14.53333333	NA	NA	NA	Somoa	Rose Atoll	NA	11	1980	11	1980	Fall	1	Animalia	Chordata	Teleostei	Beryciformes	Holocentroidei	Holocentridae	Sargocentron	Sargocentron diadema	yes			NA	NA	crowned soldierfish	0.029411765	Items	170	9	1	Emetic		EM	"Harrison, C. S., T. S. Hida, and M. P. Seki. 1984. The diet of the Brown Booby Sula leucogaster and Masked Booby Sula dactylatra on Rose Atoll, Samoa. Ibis 126:588-590."
Brown Booby	Sula leucogaster	plotus	Sulidae	eBird Clements Checklist v2019	-168.15	-14.53333333	NA	NA	NA	Somoa	Rose Atoll	NA	11	1980	11	1980	Fall	1	Animalia	Chordata	Teleostei	Beryciformes	Holocentroidei	Holocentridae			no			NA	NA	soldierfishes	0.029411765	Items	170	9	1	Emetic		EM	"Harrison, C. S., T. S. Hida, and M. P. Seki. 1984. The diet of the Brown Booby Sula leucogaster and Masked Booby Sula dactylatra on Rose Atoll, Samoa. Ibis 126:588-590."
Brown Booby	Sula leucogaster	plotus	Sulidae	eBird Clements Checklist v2019	-168.15	-14.53333333	NA	NA	NA	Somoa	Rose Atoll	NA	11	1980	11	1980	Fall	1	Animalia	Chordata	Teleostei	Perciformes	Percoidei	Mullidae			yes			NA	NA	goat fishes	0.535294118	Items	170	9	1	Emetic		EM	"Harrison, C. S., T. S. Hida, and M. P. Seki. 1984. The diet of the Brown Booby Sula leucogaster and Masked Booby Sula dactylatra on Rose Atoll, Samoa. Ibis 126:588-590."
Brown Booby	Sula leucogaster	plotus	Sulidae	eBird Clements Checklist v2019	-168.15	-14.53333333	NA	NA	NA	Somoa	Rose Atoll	NA	11	1980	11	1980	Fall	1	Animalia	Chordata	Teleostei	Perciformes	Scombroidei	Scombridae	Katsuwonus	Katsuwonus pelamis	yes			NA	NA	skipjack	0.023529412	Items	170	9	1	Emetic		EM	"Harrison, C. S., T. S. Hida, and M. P. Seki. 1984. The diet of the Brown Booby Sula leucogaster and Masked Booby Sula dactylatra on Rose Atoll, Samoa. Ibis 126:588-590."
Brown Booby	Sula leucogaster	plotus	Sulidae	eBird Clements Checklist v2019	-168.15	-14.53333333	NA	NA	NA	Somoa	Rose Atoll	NA	11	1980	11	1980	Fall	1	Animalia	Chordata	Teleostei	Perciformes	Scombroidei	Scombridae	Thunnus	Thunnus alalunga	yes			NA	NA	longfinned albacore	0.005882353	Items	170	9	1	Emetic		EM	"Harrison, C. S., T. S. Hida, and M. P. Seki. 1984. The diet of the Brown Booby Sula leucogaster and Masked Booby Sula dactylatra on Rose Atoll, Samoa. Ibis 126:588-590."
