Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Analysis_Number	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Inclusive_Prey_Taxon	Prey_Name_ITIS_ID	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
Double-crested Cormorant	Phalacrocorax auritus		Phalacrocoracidae	eBird Clements Checklist v_2018	-76.55	44.06666667	NA	NA	NA	Ontario	Pigeon Island	wetland	4	1999	6	2003			Animalia							Gasterosteus aculeatus	Yes			NA	NA	Threespine stickleback	0.511	Wt_or_vol				Emetic	"Pre-chick, pre-goby"	MMS	
																			Animalia							Alosa pseudoharengus	Yes			NA	NA	Alewife	0.045	Wt_or_vol							
																			Animalia							Perca flavescens	Yes			NA	NA	Yellow perch	0.183	Wt_or_vol							
																			Animalia					Cyprinidae	NA	NA	Yes			NA	NA		0.069	Wt_or_vol							
																			Animalia							Ambloplites rupestris	Yes			NA	NA	Rock bass	0.043	Wt_or_vol							
																			Animalia							Lepomis gibbosus	Yes			NA	NA	Pumpkinseed	0.028	Wt_or_vol							
																			Animalia							Micropterus dolomieu	Yes			NA	NA	Smallmouth bass	0.004	Wt_or_vol							
																			Animalia	Chordata	NA	NA	NA	NA	NA	NA	No			NA	NA		0.017	Wt_or_vol							
																			Animalia							Neogobius melanostomus	Yes			NA	NA	Round goby	0.002	Wt_or_vol							
													6	1999	7	2003			Animalia							Gasterosteus aculeatus	Yes			NA	NA	Threespine stickleback	0.151	Wt_or_vol					"Chick, pre-goby"		
																			Animalia							Alosa pseudoharengus	Yes			NA	NA	Alewife	0.597	Wt_or_vol							
																			Animalia							Perca flavescens	Yes			NA	NA	Yellow perch	0.092	Wt_or_vol							
																			Animalia					Cyprinidae	NA	NA	Yes			NA	NA		0.04	Wt_or_vol							
																			Animalia							Ambloplites rupestris	Yes			NA	NA	Rock bass	0.06	Wt_or_vol							
																			Animalia							Lepomis gibbosus	Yes			NA	NA	Pumpkinseed	0.003	Wt_or_vol							
																			Animalia							Micropterus dolomieu	Yes			NA	NA	Smallmouth bass	0.026	Wt_or_vol							
																			Animalia	Chordata	NA	NA	NA	NA	NA	NA	No			NA	NA		0.003	Wt_or_vol							
																			Animalia							Neogobius melanostomus	Yes			NA	NA	Round goby	0.001	Wt_or_vol							
													7	1999	10	2003			Animalia							Gasterosteus aculeatus	Yes			NA	NA	Threespine stickleback	0.002	Wt_or_vol					"Post-chick, pre-goby"		
																			Animalia							Alosa pseudoharengus	Yes			NA	NA	Alewife	0.175	Wt_or_vol							
																			Animalia							Perca flavescens	Yes			NA	NA	Yellow perch	0.393	Wt_or_vol							
																			Animalia					Cyprinidae	NA	NA	Yes			NA	NA		0.182	Wt_or_vol							
																			Animalia							Ambloplites rupestris	Yes			NA	NA	Rock bass	0.13	Wt_or_vol							
																			Animalia							Lepomis gibbosus	Yes			NA	NA	Pumpkinseed	0.024	Wt_or_vol							
																			Animalia							Micropterus dolomieu	Yes			NA	NA	Smallmouth bass	0.044	Wt_or_vol							
																			Animalia	Chordata	NA	NA	NA	NA	NA	NA	No			NA	NA		0.019	Wt_or_vol							
													4	2004	6	2007			Animalia							Neogobius melanostomus	Yes			NA	NA	Round goby	0.811	Wt_or_vol					"Pre-chick, post-goby"		
																			Animalia							Alosa pseudoharengus	Yes			NA	NA	Alewife	0.055	Wt_or_vol							
																			Animalia							Perca flavescens	Yes			NA	NA	Yellow perch	0.055	Wt_or_vol							
																			Animalia					Cyprinidae	NA	NA	Yes			NA	NA		0.014	Wt_or_vol							
																			Animalia							Ambloplites rupestris	Yes			NA	NA	Rock bass	0.01	Wt_or_vol							
																			Animalia							Gasterosteus aculeatus	Yes			NA	NA	Threespine stickleback	0.013	Wt_or_vol							
																			Animalia							Cottus cognatus	Yes			NA	NA	Slimy sculpin	0.033	Wt_or_vol							
																			Animalia							Micropterus dolomieu	Yes			NA	NA	Smallmouth bass	0.004	Wt_or_vol							
																			Animalia							Lepomis gibbosus	Yes			NA	NA	Pumpkinseed	0.001	Wt_or_vol							
																			Animalia	Chordata	NA	NA	NA	NA	NA	NA	No			NA	NA		0.004	Wt_or_vol							
													6	2004	7	2007			Animalia							Neogobius melanostomus	Yes			NA	NA	Round goby	0.531	Wt_or_vol					"Chick, post-goby"		
																			Animalia							Alosa pseudoharengus	Yes			NA	NA	Alewife	0.301	Wt_or_vol							
																			Animalia							Perca flavescens	Yes			NA	NA	Yellow perch	0.079	Wt_or_vol							
																			Animalia					Cyprinidae	NA	NA	Yes			NA	NA		0.021	Wt_or_vol							
																			Animalia							Ambloplites rupestris	Yes			NA	NA	Rock bass	0.023	Wt_or_vol							
																			Animalia							Gasterosteus aculeatus	Yes			NA	NA	Threespine stickleback	0.027	Wt_or_vol							
																			Animalia							Cottus cognatus	Yes			NA	NA	Slimy sculpin	0.005	Wt_or_vol							
																			Animalia							Micropterus dolomieu	Yes			NA	NA	Smallmouth bass	0.011	Wt_or_vol							
																			Animalia							Lepomis gibbosus	Yes			NA	NA	Pumpkinseed	0.001	Wt_or_vol							
																			Animalia	Chordata	NA	NA	NA	NA	NA	NA	No			NA	NA		0.001	Wt_or_vol							
													7	2004	10	2007			Animalia							Neogobius melanostomus	Yes			NA	NA	Round goby	0.864	Wt_or_vol					"Post-chick, post-goby"		
																			Animalia							Alosa pseudoharengus	Yes			NA	NA	Alewife	0.011	Wt_or_vol							
																			Animalia							Perca flavescens	Yes			NA	NA	Yellow perch	0.082	Wt_or_vol							
																			Animalia					Cyprinidae	NA	NA	Yes			NA	NA		0.014	Wt_or_vol							
																			Animalia							Ambloplites rupestris	Yes			NA	NA	Rock bass	0.018	Wt_or_vol							
																			Animalia							Gasterosteus aculeatus	Yes			NA	NA	Threespine stickleback	0.006	Wt_or_vol							
