Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Analysis_Number	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Inclusive_Prey_Taxon	Prey_Name_ITIS_ID	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
Barred Owl	Strix varia varia		Strigidae	"AOU 7th ed., 60th supplement"			NA	NA	NA	Michigan	Ann Arbor	deciduous forest; woodland; coniferous forest	9	1932	5	1933	NA	1	Animalia	Chordata	Mammalia	Rodentia	Myomorpha	Cricetidae	Microtus	Microtus pennsylvanicus	yes		verified	Adult		meadow mice	0.834	Items	777	249	1	pellet contents		GG	"Kenneth, Wilson A., 1938. Owl Studies at Ann Arbor, Michigan. Auk 55: 187-197."
Barred Owl	Strix varia varia		Strigidae	"AOU 7th ed., 60th supplement"			NA	NA	NA	Michigan	Ann Arbor	deciduous forest; woodland; coniferous forest	9	1932	5	1933	NA	1	Animalia	Chordata	Mammalia	Rodentia	Myomorpha	Cricetidae	Peromyscus	Peromyscus	yes		verified	Adult		deer mice	0.0373	Items	777	249	1	pellet contents		GG	"Kenneth, Wilson A., 1938. Owl Studies at Ann Arbor, Michigan. Auk 55: 187-197."
Barred Owl	Strix varia varia		Strigidae	"AOU 7th ed., 60th supplement"			NA	NA	NA	Michigan	Ann Arbor	deciduous forest; woodland; coniferous forest	9	1932	5	1933	NA	1	Animalia	Chordata	Mammalia	Rodentia	Myomorpha	Dipodidae	Zapus	Zapus Hudsonius	yes		verified	Adult		jumping mice	0.0103	Items	777	249	1	pellet contents		GG	"Kenneth, Wilson A., 1938. Owl Studies at Ann Arbor, Michigan. Auk 55: 187-197."
Barred Owl	Strix varia varia		Strigidae	"AOU 7th ed., 60th supplement"			NA	NA	NA	Michigan	Ann Arbor	deciduous forest; woodland; coniferous forest	9	1932	5	1933	NA	1	Animalia	Chordata	Mammalia	Rodentia	Sciuromorpha	Sciuridar	Tamiascirus	Tamiascirus Hudsonicus Loquax	yes		verified	Adult		red squirrel	0.0013	Items	777	249	1	pellet contents		GG	"Kenneth, Wilson A., 1938. Owl Studies at Ann Arbor, Michigan. Auk 55: 187-197."
Barred Owl	Strix varia varia		Strigidae	"AOU 7th ed., 60th supplement"			NA	NA	NA	Michigan	Ann Arbor	deciduous forest; woodland; coniferous forest	9	1932	5	1933	NA	1	Animalia	Chordata	Mammalia	Rodentia	Myomorpha	Muridae	Mus	Mus Musculus	yes		verified	Adult		house mous	0.0013	Items	777	249	1	pellet contents		GG	"Kenneth, Wilson A., 1938. Owl Studies at Ann Arbor, Michigan. Auk 55: 187-197."
Barred Owl	Strix varia varia		Strigidae	"AOU 7th ed., 60th supplement"			NA	NA	NA	Michigan	Ann Arbor	deciduous forest; woodland; coniferous forest	9	1932	5	1933	NA	1	Animalia	Chordata	Mammalia	Soricomorpha		Soricidae	Blarina	Blarina Brevicauda	yes		verified	Adult		short-tailed shrew	0.0682	Items	777	249	1	pellet contents		GG	"Kenneth, Wilson A., 1938. Owl Studies at Ann Arbor, Michigan. Auk 55: 187-197."
Barred Owl	Strix varia varia		Strigidae	"AOU 7th ed., 60th supplement"			NA	NA	NA	Michigan	Ann Arbor	deciduous forest; woodland; coniferous forest	9	1932	5	1933	NA	1	Animalia	Chordata	Mammalia	Rodentia	Myomorpha	Cricetidae	Synaptomys	Synaptomys cooperii	yes		verified	Adult		lemming mouse	0.009	Items	777	249	1	pellet contents		GG	"Kenneth, Wilson A., 1938. Owl Studies at Ann Arbor, Michigan. Auk 55: 187-197."
Barred Owl	Strix varia varia		Strigidae	"AOU 7th ed., 60th supplement"			NA	NA	NA	Michigan	Ann Arbor	deciduous forest; woodland; coniferous forest	9	1932	5	1933	NA	1	Animalia	Chordata	Mammalia	Soricomorpha		Soricidae	Cryptotis	Cryptotis parva	yes		verified	Adult		least shrew	0.0103	Items	777	249	1	pellet contents		GG	"Kenneth, Wilson A., 1938. Owl Studies at Ann Arbor, Michigan. Auk 55: 187-197."
Barred Owl	Strix varia varia		Strigidae	"AOU 7th ed., 60th supplement"			NA	NA	NA	Michigan	Ann Arbor	deciduous forest; woodland; coniferous forest	9	1932	5	1933	NA	1	Animalia	Chordata	Amphibia						no	NA	NA	NA			0.0064	Items	777	249	1	pellet contents		GG	"Kenneth, Wilson A., 1938. Owl Studies at Ann Arbor, Michigan. Auk 55: 187-197."
Barred Owl	Strix varia varia		Strigidae	"AOU 7th ed., 60th supplement"			NA	NA	NA	Michigan	Ann Arbor	deciduous forest; woodland; coniferous forest	9	1932	5	1933	NA	1	Animalia	Chordata	Aves						no	NA	NA	NA			0.0103	Items	777	249	1	pellet contents		GG	"Kenneth, Wilson A., 1938. Owl Studies at Ann Arbor, Michigan. Auk 55: 187-197."
Barred Owl	Strix varia varia		Strigidae	"AOU 7th ed., 60th supplement"			NA	NA	NA	Michigan	Ann Arbor	deciduous forest; woodland; coniferous forest	9	1932	5	1933	NA	1	Animalia	Arthropod	Insecta						no	NA	NA	NA			0.0116	Items	777	249	1	pellet contents		GG	"Kenneth, Wilson A., 1938. Owl Studies at Ann Arbor, Michigan. Auk 55: 187-197."
