Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Analysis_Number	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Inclusive_Prey_Taxon	Prey_Name_ITIS_ID	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
Great Cormorant	Phalacrocorax carbo		Phalacrocoracidae	eBird Clements Checklist v_2018	22.70833335	40.4166665	NA	NA	NA	Greece	Axios Delta	wetland	4	1999	6	1999			Animalia							Gobius niger	Yes			NA	NA	Black goby	0.647	Items	153		1	Emetic	Early period	MMS	
																			Animalia							Carassius auratus	Yes			NA	NA	Giebel	0.039	Items					Early period		
																			Animalia					Mugilidae	NA	NA	No			NA	NA		0.078	Items							
																			Animalia							Alosa agone	Yes			NA	NA	Twaite shad	0.098	Items							
																			Animalia							Diplodus annularis	Yes			NA	NA	Annular gilthead	0.118	Items							
																			Animalia							Sphyraena sphyraena	Yes			NA	NA	Great barracuda	0.02	Items							
																			Animalia							Gobius niger	Yes			NA	NA	Black goby	0.784	Items	134				Middle period		
																			Animalia							Carassius auratus	Yes			NA	NA	Giebel	0.022	Items							
																			Animalia					Mugilidae	NA	NA	No			NA	NA		0.052	Items							
																			Animalia							Alosa agone	Yes			NA	NA	Twaite shad	0.052	Items							
																			Animalia							Diplodus annularis	Yes			NA	NA	Annular gilthead	0.037	Items							
																			Animalia							Rutilus rutilus	Yes			NA	NA	Roach	0.015	Items							
																			Animalia							Boops boops	Yes			NA	NA	Bogue	0.023	Items							
																			Animalia							Trachurus mediterraneus	Yes			NA	NA	Mediterranean horse-mackerel	0.015	Items							
																			Animalia							Gobius niger	Yes			NA	NA	Black goby	0.766	Items	128				Late period		
																			Animalia							Carassius auratus	Yes			NA	NA	Giebel	0.031	Items							
																			Animalia					Mugilidae	NA	NA	No			NA	NA		0.047	Items							
																			Animalia							Alosa agone	Yes			NA	NA	Twaite shad	0.016	Items							
																			Animalia							Diplodus annularis	Yes			NA	NA	Annular gilthead	0.016	Items							
																			Animalia							Rutilus rutilus	Yes			NA	NA	Roach	0.015	Items							
																			Animalia							Boops boops	Yes			NA	NA	Bogue	0.016	Items							
																			Animalia							Trachurus mediterraneus	Yes			NA	NA	Mediterranean horse-mackerel	0.016	Items							
																			Animalia							Sardinella aurita	Yes			NA	NA	Round sarindella	0.031	Items							
																			Animalia							Lithognathus mormyrus	Yes			NA	NA	Striped seabream	0.015	Items							
																			Animalia							Serranus scriba	Yes			NA	NA	Painted comber	0.031	Items							
													4	2000	6	2000			Animalia							Gobius niger	Yes			NA	NA	Black goby	0.597	Items	134				Early period		
																			Animalia					Mugilidae	NA	NA	No			NA	NA		0.03	Items							
																			Animalia							Alosa agone	Yes			NA	NA	Twaite shad	0.104	Items							
																			Animalia							Diplodus annularis	Yes			NA	NA	Annular gilthead	0.104	Items							
																			Animalia							Trachurus mediterraneus	Yes			NA	NA	Mediterranean horse-mackerel	0.06	Items							
																			Animalia							Sardina pilchardus	Yes			NA	NA	Pilchard	0.09	Items							
																			Animalia							Solea solea	Yes			NA	NA	Common sole	0.015	Items							
																			Animalia							Gobius niger	Yes			NA	NA	Black goby	0.701	Items	154				Middle period		
																			Animalia					Mugilidae	NA	NA	No			NA	NA		0.026	Items							
																			Animalia							Alosa agone	Yes			NA	NA	Twaite shad	0.052	Items							
																			Animalia							Diplodus annularis	Yes			NA	NA	Annular gilthead	0.013	Items							
																			Animalia							Trachurus trachurus	Yes			NA	NA	Atlantic horse-mackerel	0.039	Items							
																			Animalia							Trachurus mediterraneus	Yes			NA	NA	Mediterranean horse-mackerel	0.065	Items							
																			Animalia							Sardinella aurita	Yes			NA	NA	Round sarindella	0.039	Items							
																										Lithognathus mormyrus	Yes			NA	NA	Striped seabream	0.013	Items							
																			Animalia							Sardina pilchardus	Yes			NA	NA	Pilchard	0.013	Items							
																			Animalia							Oblada melanura	Yes			NA	NA	Saddled seabream	0.026	Items							
																			Animalia							Salaria pavo	Yes			NA	NA	Peacock blenny	0.013	Items							
																			Animalia							Gobius niger	Yes			NA	NA	Black goby	0.793	Items	92				Late period		
																			Animalia					Mugilidae	NA	NA	No			NA	NA		0.054	Items							
																			Animalia							Alosa agone	Yes			NA	NA	Twaite shad	0.033	Items							
																			Animalia							Diplodus annularis	Yes			NA	NA	Annular gilthead	0.022	Items							
																			Animalia							Rutilus rutilus	Yes			NA	NA	Roach	0.011	Items							
																			Animalia							Trachurus mediterraneus	Yes			NA	NA	Mediterranean horse-mackerel	0.022	Items							
																			Animalia							Sardinella aurita	Yes			NA	NA	Round sarindella	0.065	Items							
													4	2001	6	2001			Animalia							Gobius niger	Yes			NA	NA	Black goby	0.3	Items	120				Early period		
																			Animalia							Alosa agone	Yes			NA	NA	Twaite shad	0.133	Items							
																			Animalia							Diplodus annularis	Yes			NA	NA	Annular gilthead	0.033	Items							
																			Animalia							Sardinella aurita	Yes			NA	NA	Round sarindella	0.4	Items							
																			Animalia							Salaria pavo	Yes			NA	NA	Peacock blenny	0.05	Items							
																			Animalia							Solea solea	Yes			NA	NA	Common sole	0.067	Items							
																			Animalia							Zosterisessor ophiocephalus	Yes			NA	NA	Grass goby	0.017	Items							
																			Animalia							Gobius niger	Yes			NA	NA	Black goby	0.23	Items	91				Middle period		
																			Animalia							Sardinella aurita	Yes			NA	NA	Round sarindella	0.363	Items							
																			Animalia							Salaria pavo	Yes			NA	NA	Peacock blenny	0.198	Items							
																			Animalia							Solea solea	Yes			NA	NA	Common sole	0.055	Items							
																			Animalia							Mullus surmuletus	Yes			NA	NA	Striped red mullet	0.154	Items							
																			Animalia							Gobius niger	Yes			NA	NA	Black goby	0.204	Items	93				Late period		
																			Animalia							Alosa agone	Yes			NA	NA	Twaite shad	0.118	Items							
																			Animalia							Diplodus annularis	Yes			NA	NA	Annular gilthead	0.054	Items							
																			Animalia							Sardinella aurita	Yes			NA	NA	Round sarindella	0.301	Items							
																			Animalia							Salaria pavo	Yes			NA	NA	Peacock blenny	0.108	Items							
																			Animalia							Solea solea	Yes			NA	NA	Common sole	0.086	Items							
																			Animalia							Mullus surmuletus	Yes			NA	NA	Striped red mullet	0.129	Items							
													4	2002	6	2002			Animalia							Gobius niger	Yes			NA	NA	Black goby	0.273	Items	121				Early period		
																			Animalia							Carassius auratus	Yes			NA	NA	Giebel	0.025	Items							
																			Animalia					Mugilidae	NA	NA	No			NA	NA		0.124	Items							
																										Alosa agone	Yes			NA	NA	Twaite shad	0.19	Items							
																										Diplodus annularis	Yes			NA	NA	Annular gilthead	0.099	Items							
																										Trachurus trachurus	Yes			NA	NA	Atlantic horse-mackerel	0.041	Items							
																										Sardinella aurita	Yes			NA	NA	Round sarindella	0.124	Items							
																										Lithognathus mormyrus	Yes			NA	NA	Striped seabream	0.025	Items							
																										Sardina pilchardus	Yes			NA	NA	Pilchard	0.041	Items							
																										Oblada melanura	Yes			NA	NA	Saddled seabream	0.025	Items							
																										Sphyraena sphyraena	Yes			NA	NA	Great barracuda	0.033	Items							
																										Gobius niger	Yes			NA	NA	Black goby	0.243	Items	111				Middle period		
																								Mugilidae	NA	NA	No			NA	NA		0.027	Items							
																										Alosa agone	Yes			NA	NA	Twaite shad	0.1	Items							
																										Diplodus annularis	Yes			NA	NA	Annular gilthead	0.036	Items							
																										Boops boops	Yes			NA	NA	Bogue	0.072	Items							
																										Trachurus mediterraneus	Yes			NA	NA	Mediterranean horse-mackerel	0.081	Items							
																										Sardinella aurita	Yes			NA	NA	Round sarindella	0.207	Items							
																										Salaria pavo	Yes			NA	NA	Peacock blenny	0.063	Items							
																										Solea solea	Yes			NA	NA	Common sole	0.045	Items							
																										Zosterisessor ophiocephalus	Yes			NA	NA	Grass goby	0.108	Items							
																										Mullus surmuletus	Yes			NA	NA	Striped red mullet	0.018	Items							
																										Gobius niger	Yes			NA	NA	Black goby	0.198	Items	106				Late period		
																								Mugilidae	NA	NA	No			NA	NA		0.057	Items							
																										Alosa agone	Yes			NA	NA	Twaite shad	0.142	Items							
																										Diplodus annularis	Yes			NA	NA	Annular gilthead	0.104	Items							
																										Trachurus trachurus	Yes			NA	NA	Atlantic horse-mackerel	0.057	Items							
																										Trachurus mediterraneus	Yes			NA	NA	Mediterranean horse-mackerel	0.047	Items							
																										Sardinella aurita	Yes			NA	NA	Round sarindella	0.207	Items							
																										Lithognathus mormyrus	Yes			NA	NA	Striped seabream	0.046	Items							
																										Serranus scriba	Yes			NA	NA	Painted comber	0.038	Items							
																										Oblada melanura	Yes			NA	NA	Saddled seabream	0.066	Items							
																										Solea solea	Yes			NA	NA	Common sole	0.038	Items							
																										Gobius niger	Yes			NA	NA	Black goby	0.346	Wt_or_Vol	153				Early period		
																										Carassius auratus	Yes			NA	NA	Giebel	0.057	Wt_or_Vol							
																								Mugilidae	NA	NA	No			NA	NA		0.391	Wt_or_Vol							
																										Alosa agone	Yes			NA	NA	Twaite shad	0.133	Wt_or_Vol							
																										Diplodus annularis	Yes			NA	NA	Annular gilthead	0.025	Wt_or_Vol							
																										Sphyraena sphyraena	Yes			NA	NA	Great barracuda	0.048	Wt_or_Vol							
																										Gobius niger	Yes			NA	NA	Black goby	0.424	Wt_or_Vol	134				Middle period		
																										Carassius auratus	Yes			NA	NA	Giebel	0.047	Wt_or_Vol							
																								Mugilidae	NA	NA	No			NA	NA		0.3	Wt_or_Vol							
																										Alosa agone	Yes			NA	NA	Twaite shad	0.116	Wt_or_Vol							
																										Diplodus annularis	Yes			NA	NA	Annular gilthead	0.009	Wt_or_Vol							
																										Rutilus rutilus	Yes			NA	NA	Roach	0.069	Wt_or_Vol							
																										Boops boops	Yes			NA	NA	Bogue	0.004	Wt_or_Vol							
																										Trachurus mediterraneus	Yes			NA	NA	Mediterranean horse-mackerel	0.031	Wt_or_Vol							
																										Gobius niger	Yes			NA	NA	Black goby	0.509	Wt_or_Vol	128				Late period		
																										Carassius auratus	Yes			NA	NA	Giebel	0.088	Wt_or_Vol							
																								Mugilidae	NA	NA	No			NA	NA		0.177	Wt_or_Vol							
																										Alosa agone	Yes			NA	NA	Twaite shad	0.036	Wt_or_Vol							
																										Diplodus annularis	Yes			NA	NA	Annular gilthead	0.007	Wt_or_Vol							
																										Rutilus rutilus	Yes			NA	NA	Roach	0.073	Wt_or_Vol							
																										Boops boops	Yes			NA	NA	Bogue	0.003	Wt_or_Vol							
																										Trachurus mediterraneus	Yes			NA	NA	Mediterranean horse-mackerel	0.035	Wt_or_Vol							
																										Sardinella aurita	Yes			NA	NA	Round sarindella	0.03	Wt_or_Vol							
																										Lithognathus mormyrus	Yes			NA	NA	Striped seabream	0.018	Wt_or_Vol							
																										Serranus scriba	Yes			NA	NA	Painted comber	0.024	Wt_or_Vol							
																										Gobius niger	Yes			NA	NA	Black goby	0.28	Wt_or_Vol	134				Early period		
																								Mugilidae	NA	NA	No			NA	NA		0.123	Wt_or_Vol							
																										Alosa agone	Yes			NA	NA	Twaite shad	0.211	Wt_or_Vol							
																										Diplodus annularis	Yes			NA	NA	Annular gilthead	0.047	Wt_or_Vol							
																										Trachurus mediterraneus	Yes			NA	NA	Mediterranean horse-mackerel	0.147	Wt_or_Vol							
																										Sardina pilchardus	Yes			NA	NA	Pilchard	0.187	Wt_or_Vol							
																										Solea solea	Yes			NA	NA	Common sole	0.005	Wt_or_Vol							
																										Gobius niger	Yes			NA	NA	Black goby	0.315	Wt_or_Vol	154				Middle period		
																								Mugilidae	NA	NA	No			NA	NA		0.135	Wt_or_Vol							
																										Alosa agone	Yes			NA	NA	Twaite shad	0.141	Wt_or_Vol							
																										Diplodus annularis	Yes			NA	NA	Annular gilthead	0.004	Wt_or_Vol							
																										Trachurus trachurus	Yes			NA	NA	Atlantic horse-mackerel	0.082	Wt_or_Vol							
																										Trachurus mediterraneus	Yes			NA	NA	Mediterranean horse-mackerel	0.163	Wt_or_Vol							
																										Sardinella aurita	Yes			NA	NA	Round sarindella	0.076	Wt_or_Vol							
																										Lithognathus mormyrus	Yes			NA	NA	Striped seabream	0.028	Wt_or_Vol							
																										Sardina pilchardus	Yes			NA	NA	Pilchard	0.02	Wt_or_Vol							
																										Oblada melanura	Yes			NA	NA	Saddled seabream	0.022	Wt_or_Vol							
																										Salaria pavo	Yes			NA	NA	Peacock blenny	0.014	Wt_or_Vol							
																								Mugilidae	NA	Gobius niger	Yes			NA	NA	Black goby	0.793	Wt_or_Vol	92				Late period		
																										NA	No			NA	NA		0.054	Wt_or_Vol							
																										Alosa agone	Yes			NA	NA	Twaite shad	0.033	Wt_or_Vol							
																										Diplodus annularis	Yes			NA	NA	Annular gilthead	0.022	Wt_or_Vol							
																										Rutilus rutilus	Yes			NA	NA	Roach	0.011	Wt_or_Vol							
																										Trachurus mediterraneus	Yes			NA	NA	Mediterranean horse-mackerel	0.022	Wt_or_Vol							
																										Sardinella aurita	Yes			NA	NA	Round sarindella	0.065	Wt_or_Vol							
																										Gobius niger	Yes			NA	NA	Black goby	0.3	Wt_or_Vol	120				Early period		
																										Alosa agone	Yes			NA	NA	Twaite shad	0.133	Wt_or_Vol							
																										Diplodus annularis	Yes			NA	NA	Annular gilthead	0.033	Wt_or_Vol							
																										Sardinella aurita	Yes			NA	NA	Round sarindella	0.4	Wt_or_Vol							
																										Salaria pavo	Yes			NA	NA	Peacock blenny	0.05	Wt_or_Vol							
																										Solea solea	Yes			NA	NA	Common sole	0.067	Wt_or_Vol							
																										Zosterisessor ophiocephalus	Yes			NA	NA	Grass goby	0.017	Wt_or_Vol							
																										Gobius niger	Yes			NA	NA	Black goby	0.23	Wt_or_Vol	91				Middle period		
																										Sardinella aurita	Yes			NA	NA	Round sarindella	0.363	Wt_or_Vol							
																										Salaria pavo	Yes			NA	NA	Peacock blenny	0.198	Wt_or_Vol							
																										Solea solea	Yes			NA	NA	Common sole	0.055	Wt_or_Vol							
																										Mullus surmuletus	Yes			NA	NA	Striped red mullet	0.154	Wt_or_Vol							
																										Gobius niger	Yes			NA	NA	Black goby	0.204	Wt_or_Vol	93				Late period		
																										Alosa agone	Yes			NA	NA	Twaite shad	0.118	Wt_or_Vol							
																										Diplodus annularis	Yes			NA	NA	Annular gilthead	0.054	Wt_or_Vol							
																										Sardinella aurita	Yes			NA	NA	Round sarindella	0.301	Wt_or_Vol							
																										Salaria pavo	Yes			NA	NA	Peacock blenny	0.108	Wt_or_Vol							
																										Solea solea	Yes			NA	NA	Common sole	0.086	Wt_or_Vol							
																										Mullus surmuletus	Yes			NA	NA	Striped red mullet	0.129	Wt_or_Vol							
																										Gobius niger	Yes			NA	NA	Black goby	0.273	Wt_or_Vol	121				Early period		
																								Mugilidae	NA	Carassius auratus	Yes			NA	NA	Giebel	0.025	Wt_or_Vol							
																										NA	No			NA	NA		0.124	Wt_or_Vol							
																										Alosa agone	Yes			NA	NA	Twaite shad	0.19	Wt_or_Vol							
																										Diplodus annularis	Yes			NA	NA	Annular gilthead	0.099	Wt_or_Vol							
																										Trachurus trachurus	Yes			NA	NA	Atlantic horse-mackerel	0.041	Wt_or_Vol							
