Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Unidentified	Prey_Name_ITIS_ID	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
Prairie Warbler	Setophaga discolor	NA	Parulidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Indiana	North of Bloomington	NA	3	1950	10	1950	multiple	Animalia	Arthropoda	Insecta	Coleoptera						109216	verified		bark		0.425	Wt_or_Vol	NA	453	NA	stomach contents		JK	"Nolan, Jr., V. 1978. The ecology and behavior of the Prairie Warbler Dendroica discolor. Ornithological Monographs 26:1-595."
Prairie Warbler	Setophaga discolor	NA	Parulidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Indiana	North of Bloomington	NA	3	1950	10	1950	multiple	Animalia	Arthropoda	Insecta	Lepidoptera						117232	verified	larva; adult	NA		0.292	Wt_or_Vol	NA	453	NA	stomach contents		JK	"Nolan, Jr., V. 1978. The ecology and behavior of the Prairie Warbler Dendroica discolor. Ornithological Monographs 26:1-595."
Prairie Warbler	Setophaga discolor	NA	Parulidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Indiana	North of Bloomington	NA	3	1950	10	1950	multiple	Animalia	Arthropoda	Insecta	Diptera						118831	verified		NA		0.0835	Wt_or_Vol	NA	453	NA	stomach contents		JK	"Nolan, Jr., V. 1978. The ecology and behavior of the Prairie Warbler Dendroica discolor. Ornithological Monographs 26:1-595."
Prairie Warbler	Setophaga discolor	NA	Parulidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Indiana	North of Bloomington	NA	3	1950	10	1950	multiple	Animalia	Arthropoda	Insecta	Hymenoptera						152741	verified		NA		0.085	Wt_or_Vol	NA	453	NA	stomach contents		JK	"Nolan, Jr., V. 1978. The ecology and behavior of the Prairie Warbler Dendroica discolor. Ornithological Monographs 26:1-595."
Prairie Warbler	Setophaga discolor	NA	Parulidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Indiana	North of Bloomington	NA	3	1950	10	1950	multiple	Animalia	Arthropoda	Arachnida	Araneae						82732	verified		NA		0.031	Wt_or_Vol	NA	453	NA	stomach contents		JK	"Nolan, Jr., V. 1978. The ecology and behavior of the Prairie Warbler Dendroica discolor. Ornithological Monographs 26:1-595."
Prairie Warbler	Setophaga discolor	NA	Parulidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Indiana	North of Bloomington	NA	3	1950	10	1950	multiple	Animalia	Arthropoda	Insecta	Hemiptera						103359	verified		NA		0.0445	Wt_or_Vol	NA	453	NA	stomach contents		JK	"Nolan, Jr., V. 1978. The ecology and behavior of the Prairie Warbler Dendroica discolor. Ornithological Monographs 26:1-595."
Prairie Warbler	Setophaga discolor	NA	Parulidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Indiana	North of Bloomington	NA	3	1950	10	1950	multiple	Animalia	Arthropoda	Insecta	Hemiptera						103359	verified		NA		0.012	Wt_or_Vol	NA	453	NA	stomach contents		JK	"Nolan, Jr., V. 1978. The ecology and behavior of the Prairie Warbler Dendroica discolor. Ornithological Monographs 26:1-595."
Prairie Warbler	Setophaga discolor	NA	Parulidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Indiana	North of Bloomington	NA	3	1950	10	1950	multiple	Animalia	Arthropoda	Insecta	Coleoptera						109216	verified		bark		0.76	Occurrence	157	453	NA	stomach contents		JK	"Nolan, Jr., V. 1978. The ecology and behavior of the Prairie Warbler Dendroica discolor. Ornithological Monographs 26:1-595."
Prairie Warbler	Setophaga discolor	NA	Parulidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Indiana	North of Bloomington	NA	3	1950	10	1950	multiple	Animalia	Arthropoda	Insecta	Lepidoptera						117232	verified	larva; adult	NA		0.35	Occurrence	72	453	NA	stomach contents		JK	"Nolan, Jr., V. 1978. The ecology and behavior of the Prairie Warbler Dendroica discolor. Ornithological Monographs 26:1-595."
Prairie Warbler	Setophaga discolor	NA	Parulidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Indiana	North of Bloomington	NA	3	1950	10	1950	multiple	Animalia	Arthropoda	Insecta	Diptera						118831	verified		NA		0.34	Occurrence	70	453	NA	stomach contents		JK	"Nolan, Jr., V. 1978. The ecology and behavior of the Prairie Warbler Dendroica discolor. Ornithological Monographs 26:1-595."
Prairie Warbler	Setophaga discolor	NA	Parulidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Indiana	North of Bloomington	NA	3	1950	10	1950	multiple	Animalia	Arthropoda	Insecta	Hymenoptera						152741	verified		NA		0.3	Occurrence	54	453	NA	stomach contents		JK	"Nolan, Jr., V. 1978. The ecology and behavior of the Prairie Warbler Dendroica discolor. Ornithological Monographs 26:1-595."
Prairie Warbler	Setophaga discolor	NA	Parulidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Indiana	North of Bloomington	NA	3	1950	10	1950	multiple	Animalia	Arthropoda	Arachnida	Araneae						82732	verified		NA		0.24	Occurrence	50	453	NA	stomach contents		JK	"Nolan, Jr., V. 1978. The ecology and behavior of the Prairie Warbler Dendroica discolor. Ornithological Monographs 26:1-595."
Prairie Warbler	Setophaga discolor	NA	Parulidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Indiana	North of Bloomington	NA	3	1950	10	1950	multiple	Animalia	Arthropoda	Insecta	Hemiptera						103359	verified		NA		0.17	Occurrence	35	453	NA	stomach contents		JK	"Nolan, Jr., V. 1978. The ecology and behavior of the Prairie Warbler Dendroica discolor. Ornithological Monographs 26:1-595."
Prairie Warbler	Setophaga discolor	NA	Parulidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Indiana	North of Bloomington	NA	3	1950	10	1950	multiple	Animalia	Arthropoda	Insecta	Hemiptera						103359	verified		NA		0.06	Occurrence	15	453	NA	stomach contents		JK	"Nolan, Jr., V. 1978. The ecology and behavior of the Prairie Warbler Dendroica discolor. Ornithological Monographs 26:1-595."
