Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Analysis_Number	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Inclusive_Prey_Taxon	Prey_Name_ITIS_ID	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
Yellow Rail	Coturnicops noveboracensis		Rallidae	eBird Clements Checklist v_2018	NA	NA	NA	NA	NA	Quebec	Along St. Lawrence River	wetland	6	1994	7	1995	summer		Plantae						Polygonum	NA	Yes			NA	seed		0.005	Items	1499	99	6	Emetic	Study occurred Jun-Aug 1994 and May-Jul 1995		
																			Plantae							Lythrum salicaria	Yes			NA	seed		0.009	Items					Study occurred Jun-Aug 1994 and May-Jul 1995		
																			Plantae						Galium	NA	Yes			NA	seed		0.007	Items					Study occurred Jun-Aug 1994 and May-Jul 1995		
																			Plantae							Triglochin maritima	Yes			NA	seed		0.001	Items					Study occurred Jun-Aug 1994 and May-Jul 1995		
																			Plantae							Juncus balticus	Yes			NA	seed		0.051	Items					Study occurred Jun-Aug 1994 and May-Jul 1995		
																			Plantae					Cyperaceae	NA	NA	Yes			NA	seed		0.123	Items					"Carex hormatodes, C. paleaceae, C. echinata, Eleocharis; Study occurred Jun-Aug 1994 and May-Jul 1995"		
																			Plantae					Poaceae	NA	NA	Yes			NA	seed		0.015	Items					Spartina pectinata and/or Calamagrostis canadensis and/or Fetusca rubra; study occurred Jun-Aug 1994 and May-Jul 1995		
																			Plantae		Magnoliopsida	NA	NA	NA	NA	NA	No			NA	seed		0.039	Items					Study occurred Jun-Aug 1994 and May-Jul 1995		
																			Animalia		Gastropoda	NA	NA	NA	NA	NA	Yes			NA	NA		0.037	Items					Study occurred Jun-Aug 1994 and May-Jul 1995		
																			Plantae						Hirudinea	NA	Yes			NA	NA		0.001	Items					Study occurred Jun-Aug 1994 and May-Jul 1995		
