Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Analysis_Number	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Inclusive_Prey_Taxon	Prey_Name_ITIS_ID	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
Masked Booby	Sula dactylatra		Sulidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Hawaii	Christmas Island	coral atoll	5	1967	8	1967	spring; summer	1	Animalia	Chordata	Teleostei	Beloniformes	Belonoidei	Exocoetidae			yes			NA	NA	flyngfishes	0.958333333	Items	24	36	1	emetic		EM	"Schreiber, R. W. and D. A. Hensley. 1976. The diets of Sula dactylatra, Sula sula, and Fregata minor on Christmas Island, Pacific Ocean. Pac. Sci. 30:241-248."
Masked Booby	Sula dactylatra		Sulidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Hawaii	Christmas Island	coral atoll	5	1967	8	1967	spring; summer	1	Animalia	Chordata	Teleostei	Perciformes	Scombroidei	Scombridae	Euthynnus	Euthynnus affinis	yes			NA	NA	kawakawa	0.041666667	Items	24	36	1	emetic		EM	"Schreiber, R. W. and D. A. Hensley. 1976. The diets of Sula dactylatra, Sula sula, and Fregata minor on Christmas Island, Pacific Ocean. Pac. Sci. 30:241-248."
Red-footed Booby	Sula sula		Sulidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Hawaii	Christmas Island	coral atoll	5	1967	8	1967	spring; summer	1	Animalia	Chordata	Teleostei	Beloniformes	Belonoidei	Hemiramphidae	Euleptorhamphus	Euleptorhamphus viridis	yes			NA	NA	ribbon halfbeak	0.8	Items	35	50	1	emetic		EM	"Schreiber, R. W. and D. A. Hensley. 1976. The diets of Sula dactylatra, Sula sula, and Fregata minor on Christmas Island, Pacific Ocean. Pac. Sci. 30:241-248."
Red-footed Booby	Sula sula		Sulidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Hawaii	Christmas Island	coral atoll	5	1967	8	1967	spring; summer	1	Animalia	Chordata	Teleostei	Beloniformes	Belonoidei	Exocoetidae	Exocoetus	Exocoetus volitans	yes			NA	NA	tropical two-wing flyingfish	0.057142857	Items	35	50	1	emetic		EM	"Schreiber, R. W. and D. A. Hensley. 1976. The diets of Sula dactylatra, Sula sula, and Fregata minor on Christmas Island, Pacific Ocean. Pac. Sci. 30:241-248."
Red-footed Booby	Sula sula		Sulidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Hawaii	Christmas Island	coral atoll	5	1967	8	1967	spring; summer	1	Animalia	Chordata	Teleostei	Beloniformes	Belonoidei	Exocoetidae	Cheilopogon	Cheilopogon spilonotopterus	yes			NA	NA	stained flyingfish	0.028571429	Items	35	50	1	emetic		EM	"Schreiber, R. W. and D. A. Hensley. 1976. The diets of Sula dactylatra, Sula sula, and Fregata minor on Christmas Island, Pacific Ocean. Pac. Sci. 30:241-248."
Red-footed Booby	Sula sula		Sulidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Hawaii	Christmas Island	coral atoll	5	1967	8	1967	spring; summer	1	Animalia	Chordata	Teleostei	Beloniformes	Belonoidei	Exocoetidae	Hirundichthys	Hirundichthys albimaculatus	yes			NA	NA		0.028571429	Items	35	50	1	emetic		EM	"Schreiber, R. W. and D. A. Hensley. 1976. The diets of Sula dactylatra, Sula sula, and Fregata minor on Christmas Island, Pacific Ocean. Pac. Sci. 30:241-248."
Red-footed Booby	Sula sula		Sulidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Hawaii	Christmas Island	coral atoll	5	1967	8	1967	spring; summer	1	Animalia	Chordata	Teleostei	Perciformes	Percoidei	Coryphaenidae	Coryphaena		yes			NA	NA		0.028571429	Items	35	50	1	emetic		EM	"Schreiber, R. W. and D. A. Hensley. 1976. The diets of Sula dactylatra, Sula sula, and Fregata minor on Christmas Island, Pacific Ocean. Pac. Sci. 30:241-248."
Red-footed Booby	Sula sula		Sulidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Hawaii	Christmas Island	coral atoll	5	1967	8	1967	spring; summer	1	Animalia	Chordata	Teleostei	Tetraodontiformes	Tetraodontoidei	Tetraodontidae	Arothron	Arothron meleagris	yes			NA	NA	guineafowl puffer	0.028571429	Items	35	50	1	emetic		EM	"Schreiber, R. W. and D. A. Hensley. 1976. The diets of Sula dactylatra, Sula sula, and Fregata minor on Christmas Island, Pacific Ocean. Pac. Sci. 30:241-248."
Red-footed Booby	Sula sula		Sulidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Hawaii	Christmas Island	coral atoll	5	1967	8	1967	spring; summer	1	Animalia	Chordata	Teleostei	Tetraodontiformes	Balistoidei	Balistidae	Xanthichthys		yes			larva	NA		0.028571429	Items	35	50	1	emetic		EM	"Schreiber, R. W. and D. A. Hensley. 1976. The diets of Sula dactylatra, Sula sula, and Fregata minor on Christmas Island, Pacific Ocean. Pac. Sci. 30:241-248."
Great Frigatebird	Fregata minor		Fregatidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Hawaii	Christmas Island	coral atoll	5	1967	8	1967	spring; summer	1	Animalia	Chordata	Teleostei	Gonorynchiformes	Chanoidei	Chanidae	Chanos	Chanos chanos	yes			NA	NA	milkfish	0.033333333	Items	60	89	1	emetic		EM	"Schreiber, R. W. and D. A. Hensley. 1976. The diets of Sula dactylatra, Sula sula, and Fregata minor on Christmas Island, Pacific Ocean. Pac. Sci. 30:241-248."
Great Frigatebird	Fregata minor		Fregatidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Hawaii	Christmas Island	coral atoll	5	1967	8	1967	spring; summer	1	Animalia	Chordata	Teleostei	Beloniformes	Belonoidei	Hemiramphidae	Euleptorhamphus	Euleptorhamphus viridis	yes			NA	NA	ribbon halfbeak	0.733333333	Items	60	89	1	emetic		EM	"Schreiber, R. W. and D. A. Hensley. 1976. The diets of Sula dactylatra, Sula sula, and Fregata minor on Christmas Island, Pacific Ocean. Pac. Sci. 30:241-248."
Great Frigatebird	Fregata minor		Fregatidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Hawaii	Christmas Island	coral atoll	5	1967	8	1967	spring; summer	1	Animalia	Chordata	Teleostei	Beloniformes	Belonoidei	Exocoetidae	Exocoetus	Exocoetus volitans	yes			NA	NA	tropical two-wing flyingfish	0.016666667	Items	60	89	1	emetic		EM	"Schreiber, R. W. and D. A. Hensley. 1976. The diets of Sula dactylatra, Sula sula, and Fregata minor on Christmas Island, Pacific Ocean. Pac. Sci. 30:241-248."
Great Frigatebird	Fregata minor		Fregatidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Hawaii	Christmas Island	coral atoll	5	1967	8	1967	spring; summer	1	Animalia	Chordata	Teleostei	Beloniformes	Belonoidei	Exocoetidae	Cheilopogon	Cheilopogon spilonotopterus	yes			NA	NA	stained flyingfish	0.016666667	Items	60	89	1	emetic		EM	"Schreiber, R. W. and D. A. Hensley. 1976. The diets of Sula dactylatra, Sula sula, and Fregata minor on Christmas Island, Pacific Ocean. Pac. Sci. 30:241-248."
