Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Analysis_Number	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Inclusive_Prey_Taxon	Prey_Name_ITIS_ID	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
Wild Turkey	Meleagris gallopavo		Phasianidae	eBird Clements Checklist v_2018	NA	NA	1676.4	NA	2133.6	Arizona	Fort Apache Indian Reservation	coniferous forest	NA	1964	NA	1969	spring		Plantae						Juniperus	NA	Yes			NA	NA	Juniper berries	0.277	Wt_or_vol		3	1	Crop contents		MMS	
																			Plantae						Taraxacum	Taraxacum officinale	Yes			NA	NA	Dandelion	0.063	Wt_or_vol							
																			Plantae						Pinus	Pinus ponderosa	Yes			NA	seed	Pine seed	0.003	Wt_or_vol							
																			Plantae						Agoseris	NA	Yes			NA	NA	Mountain dandelion	0.387	Wt_or_vol							
																			Plantae						Quercus	NA	Yes			NA	seed	Acorns	0.0005	Wt_or_vol							
																			Animalia		Insecta	NA	NA	NA	NA	NA	Yes			NA	NA		0.003	Wt_or_vol							
																			Plantae			Magnoliopsida	NA	NA	NA	NA	No			NA	NA	Forbs	0.063	Wt_or_vol							
																			Plantae					Poaceae	NA	NA	No			NA	NA	Grass	0.017	Wt_or_vol							
																			Plantae						Eragrostis	NA	Yes			NA	NA	Lovegrass	0.0005	Wt_or_vol							
																			Plantae						Poa	NA	Yes			NA	NA	Bluegrass	0.023	Wt_or_vol							
																			Plantae						Androsace	NA	Yes			NA	NA	Rock jasmine	0.08	Wt_or_vol							
																			Unknown	NA	NA	NA	NA	NA	NA	NA	No			NA	NA	Unidentified mass	0.011	Wt_or_vol							
																			Plantae						Medicago	Medicago lupulina	Yes			NA	NA	Black medic	0.037	Wt_or_vol							
																			Plantae						Calochortus	NA	Yes			NA	NA	Mariposa	0.003	Wt_or_vol							
