Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Analysis_Number	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Inclusive_Prey_Taxon	Prey_Name_ITIS_ID	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
Ruffed grouse	Bonasa umbellus		Phasianidae	eBird Clements Checklist v_2018	NA	NA	366	466	747	Virginia	Frederick county; Rockingham county; Augusta county; Paige county; Bath county; Boutetourt county; Craig county; Giles county; Montgomery county; Floyd county; Tazewell county; Smyth county; Wythe county; Lee county; Scott county	deciduous forest	10	1971	2	1979	autumn; winter		Plantae						Smilax	NA	Yes			NA	vegetation; fruit	Greenbrier	0.28	Wt_or_vol	NA	123	1	Crop contents		MMS	"Seehorn, M. E., R. F. Harlow, and M. T. Mengak. 1981. Foods of Ruffed Grouse From Three Locations In the Southern Appalachian Mountains. Fish. Proc. Ann. Conf. S.E. Assoc. Fish & Wildl. Agencies 35:216-224."
Ruffed grouse	Bonasa umbellus		Phasianidae	eBird Clements Checklist v_2018	NA	NA	366	466	747	Virginia	Frederick county; Rockingham county; Augusta county; Paige county; Bath county; Boutetourt county; Craig county; Giles county; Montgomery county; Floyd county; Tazewell county; Smyth county; Wythe county; Lee county; Scott county	deciduous forest	10	1971	2	1979	autumn; winter		Plantae						Vitis	NA	Yes			NA	fruit	Grape	0.051	Wt_or_vol	NA	123	1	Crop contents		MMS	"Seehorn, M. E., R. F. Harlow, and M. T. Mengak. 1981. Foods of Ruffed Grouse From Three Locations In the Southern Appalachian Mountains. Fish. Proc. Ann. Conf. S.E. Assoc. Fish & Wildl. Agencies 35:216-224."
Ruffed grouse	Bonasa umbellus		Phasianidae	eBird Clements Checklist v_2018	NA	NA	366	466	747	Virginia	Frederick county; Rockingham county; Augusta county; Paige county; Bath county; Boutetourt county; Craig county; Giles county; Montgomery county; Floyd county; Tazewell county; Smyth county; Wythe county; Lee county; Scott county	deciduous forest	10	1971	2	1979	autumn; winter		Plantae						Prunus	Prunus serotina	Yes			NA	bud	Black cherry	0.048	Wt_or_vol	NA	123	1	Crop contents		MMS	"Seehorn, M. E., R. F. Harlow, and M. T. Mengak. 1981. Foods of Ruffed Grouse From Three Locations In the Southern Appalachian Mountains. Fish. Proc. Ann. Conf. S.E. Assoc. Fish & Wildl. Agencies 35:216-224."
Ruffed grouse	Bonasa umbellus		Phasianidae	eBird Clements Checklist v_2018	NA	NA	366	466	747	Virginia	Frederick county; Rockingham county; Augusta county; Paige county; Bath county; Boutetourt county; Craig county; Giles county; Montgomery county; Floyd county; Tazewell county; Smyth county; Wythe county; Lee county; Scott county	deciduous forest	10	1971	2	1979	autumn; winter		Plantae						Gaultheria	Gaultheria procumbens	Yes			NA	vegetation; fruit	Aromatic wintergreen	0.043	Wt_or_vol	NA	123	1	Crop contents		MMS	"Seehorn, M. E., R. F. Harlow, and M. T. Mengak. 1981. Foods of Ruffed Grouse From Three Locations In the Southern Appalachian Mountains. Fish. Proc. Ann. Conf. S.E. Assoc. Fish & Wildl. Agencies 35:216-224."
Ruffed grouse	Bonasa umbellus		Phasianidae	eBird Clements Checklist v_2018	NA	NA	366	466	747	Virginia	Frederick county; Rockingham county; Augusta county; Paige county; Bath county; Boutetourt county; Craig county; Giles county; Montgomery county; Floyd county; Tazewell county; Smyth county; Wythe county; Lee county; Scott county	deciduous forest	10	1971	2	1979	autumn; winter		Plantae						Quercus	NA	No			NA	fruit; bud	Oak	0.039	Wt_or_vol	NA	123	1	Crop contents		MMS	"Seehorn, M. E., R. F. Harlow, and M. T. Mengak. 1981. Foods of Ruffed Grouse From Three Locations In the Southern Appalachian Mountains. Fish. Proc. Ann. Conf. S.E. Assoc. Fish & Wildl. Agencies 35:216-224."
Ruffed grouse	Bonasa umbellus		Phasianidae	eBird Clements Checklist v_2018	NA	NA	366	466	747	Virginia	Frederick county; Rockingham county; Augusta county; Paige county; Bath county; Boutetourt county; Craig county; Giles county; Montgomery county; Floyd county; Tazewell county; Smyth county; Wythe county; Lee county; Scott county	deciduous forest	10	1971	2	1979	autumn; winter		Plantae						Vaccinium	NA	Yes			NA	vegetation; fruit; bud	Blueberry	0.036	Wt_or_vol	NA	123	1	Crop contents		MMS	"Seehorn, M. E., R. F. Harlow, and M. T. Mengak. 1981. Foods of Ruffed Grouse From Three Locations In the Southern Appalachian Mountains. Fish. Proc. Ann. Conf. S.E. Assoc. Fish & Wildl. Agencies 35:216-224."
Ruffed grouse	Bonasa umbellus		Phasianidae	eBird Clements Checklist v_2018	NA	NA	366	466	747	Virginia	Frederick county; Rockingham county; Augusta county; Paige county; Bath county; Boutetourt county; Craig county; Giles county; Montgomery county; Floyd county; Tazewell county; Smyth county; Wythe county; Lee county; Scott county	deciduous forest	10	1971	2	1979	autumn; winter		Plantae						Lonicera	Lonicera japonica	Yes			NA	vegetation; fruit	Honeysuckle	0.032	Wt_or_vol	NA	123	1	Crop contents		MMS	"Seehorn, M. E., R. F. Harlow, and M. T. Mengak. 1981. Foods of Ruffed Grouse From Three Locations In the Southern Appalachian Mountains. Fish. Proc. Ann. Conf. S.E. Assoc. Fish & Wildl. Agencies 35:216-224."
Ruffed grouse	Bonasa umbellus		Phasianidae	eBird Clements Checklist v_2018	NA	NA	366	466	747	Virginia	Frederick county; Rockingham county; Augusta county; Paige county; Bath county; Boutetourt county; Craig county; Giles county; Montgomery county; Floyd county; Tazewell county; Smyth county; Wythe county; Lee county; Scott county	deciduous forest	10	1971	2	1979	autumn; winter		Plantae						Kalmia	Kalmia latifolia	Yes			NA	vegetation	Mountain laurel	0.028	Wt_or_vol	NA	123	1	Crop contents		MMS	"Seehorn, M. E., R. F. Harlow, and M. T. Mengak. 1981. Foods of Ruffed Grouse From Three Locations In the Southern Appalachian Mountains. Fish. Proc. Ann. Conf. S.E. Assoc. Fish & Wildl. Agencies 35:216-224."
Ruffed grouse	Bonasa umbellus		Phasianidae	eBird Clements Checklist v_2018	NA	NA	366	466	747	Virginia	Frederick county; Rockingham county; Augusta county; Paige county; Bath county; Boutetourt county; Craig county; Giles county; Montgomery county; Floyd county; Tazewell county; Smyth county; Wythe county; Lee county; Scott county	deciduous forest	10	1971	2	1979	autumn; winter		Plantae						Rhododendron	NA	Yes			NA	fruit; bud	Azalea	0.024	Wt_or_vol	NA	123	1	Crop contents		MMS	"Seehorn, M. E., R. F. Harlow, and M. T. Mengak. 1981. Foods of Ruffed Grouse From Three Locations In the Southern Appalachian Mountains. Fish. Proc. Ann. Conf. S.E. Assoc. Fish & Wildl. Agencies 35:216-224."
Ruffed grouse	Bonasa umbellus		Phasianidae	eBird Clements Checklist v_2018	NA	NA	366	466	747	Virginia	Frederick county; Rockingham county; Augusta county; Paige county; Bath county; Boutetourt county; Craig county; Giles county; Montgomery county; Floyd county; Tazewell county; Smyth county; Wythe county; Lee county; Scott county	deciduous forest	10	1971	2	1979	autumn; winter		Plantae						Betula	NA	Yes			NA	fruit; bud	Birch	0.017	Wt_or_vol	NA	123	1	Crop contents		MMS	"Seehorn, M. E., R. F. Harlow, and M. T. Mengak. 1981. Foods of Ruffed Grouse From Three Locations In the Southern Appalachian Mountains. Fish. Proc. Ann. Conf. S.E. Assoc. Fish & Wildl. Agencies 35:216-224."
Ruffed grouse	Bonasa umbellus		Phasianidae	eBird Clements Checklist v_2018	NA	NA	366	466	747	Virginia	Frederick county; Rockingham county; Augusta county; Paige county; Bath county; Boutetourt county; Craig county; Giles county; Montgomery county; Floyd county; Tazewell county; Smyth county; Wythe county; Lee county; Scott county	deciduous forest	10	1971	2	1979	autumn; winter		Plantae						Epigaea	Epigaea repens	Yes			NA	vegetation; fruit	Trailing arbutus	0.017	Wt_or_vol	NA	123	1	Crop contents		MMS	"Seehorn, M. E., R. F. Harlow, and M. T. Mengak. 1981. Foods of Ruffed Grouse From Three Locations In the Southern Appalachian Mountains. Fish. Proc. Ann. Conf. S.E. Assoc. Fish & Wildl. Agencies 35:216-224."
Ruffed grouse	Bonasa umbellus		Phasianidae	eBird Clements Checklist v_2018	NA	NA	366	466	747	Virginia	Frederick county; Rockingham county; Augusta county; Paige county; Bath county; Boutetourt county; Craig county; Giles county; Montgomery county; Floyd county; Tazewell county; Smyth county; Wythe county; Lee county; Scott county	deciduous forest	10	1971	2	1979	autumn; winter		Plantae						Rhus	NA	Yes			NA	fruit	Sumac	0.013	Wt_or_vol	NA	123	1	Crop contents		MMS	"Seehorn, M. E., R. F. Harlow, and M. T. Mengak. 1981. Foods of Ruffed Grouse From Three Locations In the Southern Appalachian Mountains. Fish. Proc. Ann. Conf. S.E. Assoc. Fish & Wildl. Agencies 35:216-224."
Ruffed grouse	Bonasa umbellus		Phasianidae	eBird Clements Checklist v_2018	NA	NA	366	466	747	Virginia	Frederick county; Rockingham county; Augusta county; Paige county; Bath county; Boutetourt county; Craig county; Giles county; Montgomery county; Floyd county; Tazewell county; Smyth county; Wythe county; Lee county; Scott county	deciduous forest	10	1971	2	1979	autumn; winter		Plantae						Celastrus	Celastrus scandens	Yes			NA	fruit	Bittersweet	0.012	Wt_or_vol	NA	123	1	Crop contents		MMS	"Seehorn, M. E., R. F. Harlow, and M. T. Mengak. 1981. Foods of Ruffed Grouse From Three Locations In the Southern Appalachian Mountains. Fish. Proc. Ann. Conf. S.E. Assoc. Fish & Wildl. Agencies 35:216-224."
Ruffed grouse	Bonasa umbellus		Phasianidae	eBird Clements Checklist v_2018	NA	NA	366	466	747	Virginia	Frederick county; Rockingham county; Augusta county; Paige county; Bath county; Boutetourt county; Craig county; Giles county; Montgomery county; Floyd county; Tazewell county; Smyth county; Wythe county; Lee county; Scott county	deciduous forest	10	1971	2	1979	autumn; winter		Plantae						Rosa	NA	Yes			NA	fruit	Rose	0.012	Wt_or_vol	NA	123	1	Crop contents		MMS	"Seehorn, M. E., R. F. Harlow, and M. T. Mengak. 1981. Foods of Ruffed Grouse From Three Locations In the Southern Appalachian Mountains. Fish. Proc. Ann. Conf. S.E. Assoc. Fish & Wildl. Agencies 35:216-224."
Ruffed grouse	Bonasa umbellus		Phasianidae	eBird Clements Checklist v_2018	NA	NA	366	466	747	Virginia	Frederick county; Rockingham county; Augusta county; Paige county; Bath county; Boutetourt county; Craig county; Giles county; Montgomery county; Floyd county; Tazewell county; Smyth county; Wythe county; Lee county; Scott county	deciduous forest	10	1971	2	1979	autumn; winter		Plantae						Quercus	Quercus ilicifolia	Yes			NA	fruit; bud	Bear oak	0.011	Wt_or_vol	NA	123	1	Crop contents		MMS	"Seehorn, M. E., R. F. Harlow, and M. T. Mengak. 1981. Foods of Ruffed Grouse From Three Locations In the Southern Appalachian Mountains. Fish. Proc. Ann. Conf. S.E. Assoc. Fish & Wildl. Agencies 35:216-224."
Ruffed grouse	Bonasa umbellus		Phasianidae	eBird Clements Checklist v_2018	NA	NA	366	466	747	Virginia	Frederick county; Rockingham county; Augusta county; Paige county; Bath county; Boutetourt county; Craig county; Giles county; Montgomery county; Floyd county; Tazewell county; Smyth county; Wythe county; Lee county; Scott county	deciduous forest	10	1971	2	1979	autumn; winter		Plantae						Potentilla	NA	Yes			NA	vegetation	Cinquefoil	0.047	Wt_or_vol	NA	123	1	Crop contents		MMS	"Seehorn, M. E., R. F. Harlow, and M. T. Mengak. 1981. Foods of Ruffed Grouse From Three Locations In the Southern Appalachian Mountains. Fish. Proc. Ann. Conf. S.E. Assoc. Fish & Wildl. Agencies 35:216-224."
Ruffed grouse	Bonasa umbellus		Phasianidae	eBird Clements Checklist v_2018	NA	NA	366	466	747	Virginia	Frederick county; Rockingham county; Augusta county; Paige county; Bath county; Boutetourt county; Craig county; Giles county; Montgomery county; Floyd county; Tazewell county; Smyth county; Wythe county; Lee county; Scott county	deciduous forest	10	1971	2	1979	autumn; winter		Plantae						Polystichum	Polystichum acrostichoides	Yes			NA	vegetation	Christmas fern	0.042	Wt_or_vol	NA	123	1	Crop contents		MMS	"Seehorn, M. E., R. F. Harlow, and M. T. Mengak. 1981. Foods of Ruffed Grouse From Three Locations In the Southern Appalachian Mountains. Fish. Proc. Ann. Conf. S.E. Assoc. Fish & Wildl. Agencies 35:216-224."
Ruffed grouse	Bonasa umbellus		Phasianidae	eBird Clements Checklist v_2018	NA	NA	366	466	747	Virginia	Frederick county; Rockingham county; Augusta county; Paige county; Bath county; Boutetourt county; Craig county; Giles county; Montgomery county; Floyd county; Tazewell county; Smyth county; Wythe county; Lee county; Scott county	deciduous forest	10	1971	2	1979	autumn; winter		Plantae						Trifolium	Trifolium repens	Yes			NA	vegetation	White Dutch clover	0.024	Wt_or_vol	NA	123	1	Crop contents		MMS	"Seehorn, M. E., R. F. Harlow, and M. T. Mengak. 1981. Foods of Ruffed Grouse From Three Locations In the Southern Appalachian Mountains. Fish. Proc. Ann. Conf. S.E. Assoc. Fish & Wildl. Agencies 35:216-224."
