Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Analysis_Number	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Inclusive_Prey_Taxon	Prey_Name_ITIS_ID	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
Cattle Egret	Bubulcis ibis		Ardeidae	eBird Taxonomy 2019	18.8333333	-33.95	NA	NA	NA	South Africa	Near Stellenbosch	agriculture; grassland	12	NA	1	NA			Animalia			Blattodea	NA	NA	NA	NA	Yes			NA	NA		0.09	Occurrence		250		Stomach contents; emetic	"Specifically Blattidae, Mantidae, and Phasmidae"	MMS	"Siegfried, W. R. 1971c. The food of the Cattle Egret. J. Appl. Ecol. 8:447-468."
Cattle Egret	Bubulcis ibis		Ardeidae	eBird Taxonomy 2019	18.8333333	-33.95	NA	NA	NA	South Africa	Near Stellenbosch	agriculture; grassland	12	NA	1	NA			Animalia			Orthoptera	NA	NA	NA	NA	No			NA	NA		0.706	Occurrence		250		Stomach contents; emetic	Specifically Acrididae and Tettigoniidae	MMS	"Siegfried, W. R. 1971c. The food of the Cattle Egret. J. Appl. Ecol. 8:447-468."
Cattle Egret	Bubulcis ibis		Ardeidae	eBird Taxonomy 2019	18.8333333	-33.95	NA	NA	NA	South Africa	Near Stellenbosch	agriculture; grassland	12	NA	1	NA			Animalia					Gyllidae	NA	NA	Yes			NA	NA		0.441	Occurrence		250		Stomach contents; emetic		MMS	"Siegfried, W. R. 1971c. The food of the Cattle Egret. J. Appl. Ecol. 8:447-468."
Cattle Egret	Bubulcis ibis		Ardeidae	eBird Taxonomy 2019	18.8333333	-33.95	NA	NA	NA	South Africa	Near Stellenbosch	agriculture; grassland	12	NA	1	NA			Animalia					Gryllotalpidae	NA	NA	Yes			NA	NA		0.03	Occurrence		250		Stomach contents; emetic		MMS	"Siegfried, W. R. 1971c. The food of the Cattle Egret. J. Appl. Ecol. 8:447-468."
Cattle Egret	Bubulcis ibis		Ardeidae	eBird Taxonomy 2019	18.8333333	-33.95	NA	NA	NA	South Africa	Near Stellenbosch	agriculture; grassland	12	NA	1	NA			Animalia					Libellulidae	NA	NA	Yes			NA	NA		0.06	Occurrence		250		Stomach contents; emetic		MMS	"Siegfried, W. R. 1971c. The food of the Cattle Egret. J. Appl. Ecol. 8:447-468."
Cattle Egret	Bubulcis ibis		Ardeidae	eBird Taxonomy 2019	18.8333333	-33.95	NA	NA	NA	South Africa	Near Stellenbosch	agriculture; grassland	12	NA	1	NA			Animalia					Ischyroceridae	NA	NA	Yes			NA	NA		0.09	Occurrence		250		Stomach contents; emetic		MMS	"Siegfried, W. R. 1971c. The food of the Cattle Egret. J. Appl. Ecol. 8:447-468."
Cattle Egret	Bubulcis ibis		Ardeidae	eBird Taxonomy 2019	18.8333333	-33.95	NA	NA	NA	South Africa	Near Stellenbosch	agriculture; grassland	12	NA	1	NA			Animalia					Reduviidae	NA	NA	Yes			NA	NA		0.235	Occurrence		250		Stomach contents; emetic		MMS	"Siegfried, W. R. 1971c. The food of the Cattle Egret. J. Appl. Ecol. 8:447-468."
Cattle Egret	Bubulcis ibis		Ardeidae	eBird Taxonomy 2019	18.8333333	-33.95	NA	NA	NA	South Africa	Near Stellenbosch	agriculture; grassland	12	NA	1	NA			Animalia					Nymphalidae	NA	NA	Yes			NA	NA		0.03	Occurrence		250		Stomach contents; emetic		MMS	"Siegfried, W. R. 1971c. The food of the Cattle Egret. J. Appl. Ecol. 8:447-468."
Cattle Egret	Bubulcis ibis		Ardeidae	eBird Taxonomy 2019	18.8333333	-33.95	NA	NA	NA	South Africa	Near Stellenbosch	agriculture; grassland	12	NA	1	NA			Animalia					Pieridae	NA	NA	Yes			NA	NA		0.235	Occurrence		250		Stomach contents; emetic		MMS	"Siegfried, W. R. 1971c. The food of the Cattle Egret. J. Appl. Ecol. 8:447-468."
Cattle Egret	Bubulcis ibis		Ardeidae	eBird Taxonomy 2019	18.8333333	-33.95	NA	NA	NA	South Africa	Near Stellenbosch	agriculture; grassland	12	NA	1	NA			Animalia					Noctuidae	NA	NA	Yes			adult	NA		0.294	Occurrence		250		Stomach contents; emetic		MMS	"Siegfried, W. R. 1971c. The food of the Cattle Egret. J. Appl. Ecol. 8:447-468."
