"Common_Name"	"Scientific_Name"	"Subspecies"	"Family"	"Taxonomy"	"Longitude_dd"	"Latitude_dd"	"Altitude_min_m"	"Altitude_mean_m"	"Altitude_max_m"	"Location_Region"	"Location_Specific"	"Habitat_type"	"Observation_Month_Begin"	"Observation_Year_Begin"	"Observation_Month_End"	"Observation_Year_End"	"Observation_Season"	"Analysis_Number"	"Prey_Kingdom"	"Prey_Phylum"	"Prey_Class"	"Prey_Order"	"Prey_Suborder"	"Prey_Family"	"Prey_Genus"	"Prey_Scientific_Name"	"Inclusive_Prey_Taxon"	"Prey_Name_ITIS_ID"	"Prey_Name_Status"	"Prey_Stage"	"Prey_Part"	"Prey_Common_Name"	"Fraction_Diet"	"Diet_Type"	"Item_Sample_Size"	"Bird_Sample_Size"	"Sites"	"Study_Type"	"Notes"	"Entered_By"	"Source"	"doi"	"sex"	"age_class"	"within_study_data_source"	"table_fig_number"	"title"	"lastname_author"	"source_year"	"journal"
"American Kestrel"	"Falco sparverius"	NA	"Falconidae"	"eBird Clements checklist v2021"	46.4785	-80.9419	NA	NA	NA	"Ontario;Canada"	"Greater Sudbury"	"deciduous forest;grassland;agriculture;wetland"	7	1975	8	1975	"spring;summer"	1	""	""	""	""	""	""	"Melanoplus"	"Femurrubrum"	"yes"	NA	NA	NA	NA	"Red-legged grasshopper"	0.233	"Items"	150	1	1	"nest debris; prey remains"	""	"AP"	"Young, C. 1975. SUMMER FEEDING HABITS OF KESTRELS IN NORTHERN ONTARIO. The Ontario field biologist 29(2): 75."	NA	NA	NA	"Table"	1	"SUMMER FEEDING HABITS OF KESTRELS IN NORTHERN ONTARIO"	"Young"	1975	"The Ontario field biologist"
"American Kestrel"	"Falco sparverius"	NA	"Falconidae"	"eBird Clements checklist v2021"	46.4785	-80.9419	NA	NA	NA	"Ontario;Canada"	"Greater Sudbury"	"deciduous forest;grassland;agriculture;wetland"	7	1975	8	1975	"spring;summer"	1	""	""	""	""	""	"Gryllidae"	""	""	"yes"	NA	NA	NA	NA	""	0.08	"Items"	150	1	1	"nest debris; prey remains"	""	"AP"	"Young, C. 1975. SUMMER FEEDING HABITS OF KESTRELS IN NORTHERN ONTARIO. The Ontario field biologist 29(2): 75."	NA	NA	NA	"Table"	1	"SUMMER FEEDING HABITS OF KESTRELS IN NORTHERN ONTARIO"	"Young"	1975	"The Ontario field biologist"
"American Kestrel"	"Falco sparverius"	NA	"Falconidae"	"eBird Clements checklist v2021"	46.4785	-80.9419	NA	NA	NA	"Ontario;Canada"	"Greater Sudbury"	"deciduous forest;grassland;agriculture;wetland"	7	1975	8	1975	"spring;summer"	1	""	""	""	""	""	"Cicadidae"	""	""	"yes"	NA	NA	NA	NA	""	0.007	"Items"	150	1	1	"nest debris; prey remains"	""	"AP"	"Young, C. 1975. SUMMER FEEDING HABITS OF KESTRELS IN NORTHERN ONTARIO. The Ontario field biologist 29(2): 75."	NA	NA	NA	"Table"	1	"SUMMER FEEDING HABITS OF KESTRELS IN NORTHERN ONTARIO"	"Young"	1975	"The Ontario field biologist"
"American Kestrel"	"Falco sparverius"	NA	"Falconidae"	"eBird Clements checklist v2021"	46.4785	-80.9419	NA	NA	NA	"Ontario;Canada"	"Greater Sudbury"	"deciduous forest;grassland;agriculture;wetland"	7	1975	8	1975	"spring;summer"	1	""	""	""	""	""	"Cicindelidae"	""	""	"yes"	NA	NA	NA	NA	""	0.013	"Items"	150	1	1	"nest debris; prey remains"	""	"AP"	"Young, C. 1975. SUMMER FEEDING HABITS OF KESTRELS IN NORTHERN ONTARIO. The Ontario field biologist 29(2): 75."	NA	NA	NA	"Table"	1	"SUMMER FEEDING HABITS OF KESTRELS IN NORTHERN ONTARIO"	"Young"	1975	"The Ontario field biologist"
"American Kestrel"	"Falco sparverius"	NA	"Falconidae"	"eBird Clements checklist v2021"	46.4785	-80.9419	NA	NA	NA	"Ontario;Canada"	"Greater Sudbury"	"deciduous forest;grassland;agriculture;wetland"	7	1975	8	1975	"spring;summer"	1	""	""	""	""	""	"Carabidae"	""	""	"yes"	NA	NA	NA	NA	""	0.207	"Items"	150	1	1	"nest debris; prey remains"	""	"AP"	"Young, C. 1975. SUMMER FEEDING HABITS OF KESTRELS IN NORTHERN ONTARIO. The Ontario field biologist 29(2): 75."	NA	NA	NA	"Table"	1	"SUMMER FEEDING HABITS OF KESTRELS IN NORTHERN ONTARIO"	"Young"	1975	"The Ontario field biologist"
"American Kestrel"	"Falco sparverius"	NA	"Falconidae"	"eBird Clements checklist v2021"	46.4785	-80.9419	NA	NA	NA	"Ontario;Canada"	"Greater Sudbury"	"deciduous forest;grassland;agriculture;wetland"	7	1975	8	1975	"spring;summer"	1	""	""	""	""	""	"Elateridae"	""	""	"yes"	NA	NA	NA	NA	""	0.013	"Items"	150	1	1	"nest debris; prey remains"	""	"AP"	"Young, C. 1975. SUMMER FEEDING HABITS OF KESTRELS IN NORTHERN ONTARIO. The Ontario field biologist 29(2): 75."	NA	NA	NA	"Table"	1	"SUMMER FEEDING HABITS OF KESTRELS IN NORTHERN ONTARIO"	"Young"	1975	"The Ontario field biologist"
"American Kestrel"	"Falco sparverius"	NA	"Falconidae"	"eBird Clements checklist v2021"	46.4785	-80.9419	NA	NA	NA	"Ontario;Canada"	"Greater Sudbury"	"deciduous forest;grassland;agriculture;wetland"	7	1975	8	1975	"spring;summer"	1	""	""	""	""	""	"Buprestidae"	""	""	"yes"	NA	NA	NA	NA	""	0.007	"Items"	150	1	1	"nest debris; prey remains"	""	"AP"	"Young, C. 1975. SUMMER FEEDING HABITS OF KESTRELS IN NORTHERN ONTARIO. The Ontario field biologist 29(2): 75."	NA	NA	NA	"Table"	1	"SUMMER FEEDING HABITS OF KESTRELS IN NORTHERN ONTARIO"	"Young"	1975	"The Ontario field biologist"
"American Kestrel"	"Falco sparverius"	NA	"Falconidae"	"eBird Clements checklist v2021"	46.4785	-80.9419	NA	NA	NA	"Ontario;Canada"	"Greater Sudbury"	"deciduous forest;grassland;agriculture;wetland"	7	1975	8	1975	"spring;summer"	1	""	""	""	""	""	"Tenebrionidae"	""	""	"yes"	NA	NA	NA	NA	""	0.013	"Items"	150	1	1	"nest debris; prey remains"	""	"AP"	"Young, C. 1975. SUMMER FEEDING HABITS OF KESTRELS IN NORTHERN ONTARIO. The Ontario field biologist 29(2): 75."	NA	NA	NA	"Table"	1	"SUMMER FEEDING HABITS OF KESTRELS IN NORTHERN ONTARIO"	"Young"	1975	"The Ontario field biologist"
"American Kestrel"	"Falco sparverius"	NA	"Falconidae"	"eBird Clements checklist v2021"	46.4785	-80.9419	NA	NA	NA	"Ontario;Canada"	"Greater Sudbury"	"deciduous forest;grassland;agriculture;wetland"	7	1975	8	1975	"spring;summer"	1	""	""	""	""	""	"Scarabaeidae"	""	""	"yes"	NA	NA	NA	NA	""	0.013	"Items"	150	1	1	"nest debris; prey remains"	""	"AP"	"Young, C. 1975. SUMMER FEEDING HABITS OF KESTRELS IN NORTHERN ONTARIO. The Ontario field biologist 29(2): 75."	NA	NA	NA	"Table"	1	"SUMMER FEEDING HABITS OF KESTRELS IN NORTHERN ONTARIO"	"Young"	1975	"The Ontario field biologist"
"American Kestrel"	"Falco sparverius"	NA	"Falconidae"	"eBird Clements checklist v2021"	46.4785	-80.9419	NA	NA	NA	"Ontario;Canada"	"Greater Sudbury"	"deciduous forest;grassland;agriculture;wetland"	7	1975	8	1975	"spring;summer"	1	""	""	""	""	""	""	"Phyllophaga"	""	"yes"	NA	NA	NA	NA	"June beetle"	0.04	"Items"	150	1	1	"nest debris; prey remains"	""	"AP"	"Young, C. 1975. SUMMER FEEDING HABITS OF KESTRELS IN NORTHERN ONTARIO. The Ontario field biologist 29(2): 75."	NA	NA	NA	"Table"	1	"SUMMER FEEDING HABITS OF KESTRELS IN NORTHERN ONTARIO"	"Young"	1975	"The Ontario field biologist"
"American Kestrel"	"Falco sparverius"	NA	"Falconidae"	"eBird Clements checklist v2021"	46.4785	-80.9419	NA	NA	NA	"Ontario;Canada"	"Greater Sudbury"	"deciduous forest;grassland;agriculture;wetland"	7	1975	8	1975	"spring;summer"	1	""	""	""	""	""	"Cerambycidae"	""	""	"yes"	NA	NA	NA	NA	""	0.027	"Items"	150	1	1	"nest debris; prey remains"	""	"AP"	"Young, C. 1975. SUMMER FEEDING HABITS OF KESTRELS IN NORTHERN ONTARIO. The Ontario field biologist 29(2): 75."	NA	NA	NA	"Table"	1	"SUMMER FEEDING HABITS OF KESTRELS IN NORTHERN ONTARIO"	"Young"	1975	"The Ontario field biologist"
"American Kestrel"	"Falco sparverius"	NA	"Falconidae"	"eBird Clements checklist v2021"	46.4785	-80.9419	NA	NA	NA	"Ontario;Canada"	"Greater Sudbury"	"deciduous forest;grassland;agriculture;wetland"	7	1975	8	1975	"spring;summer"	1	""	""	""	"Coleoptera"	""	""	""	""	"no"	NA	NA	NA	NA	""	0.027	"Items"	150	1	1	"nest debris; prey remains"	""	"AP"	"Young, C. 1975. SUMMER FEEDING HABITS OF KESTRELS IN NORTHERN ONTARIO. The Ontario field biologist 29(2): 75."	NA	NA	NA	"Table"	1	"SUMMER FEEDING HABITS OF KESTRELS IN NORTHERN ONTARIO"	"Young"	1975	"The Ontario field biologist"
"American Kestrel"	"Falco sparverius"	NA	"Falconidae"	"eBird Clements checklist v2021"	46.4785	-80.9419	NA	NA	NA	"Ontario;Canada"	"Greater Sudbury"	"deciduous forest;grassland;agriculture;wetland"	7	1975	8	1975	"spring;summer"	1	""	""	""	""	""	""	"Lithobates"	"Pipiens"	"yes"	NA	NA	NA	NA	"Leopard frog"	0.007	"Items"	150	1	1	"nest debris; prey remains"	""	"AP"	"Young, C. 1975. SUMMER FEEDING HABITS OF KESTRELS IN NORTHERN ONTARIO. The Ontario field biologist 29(2): 75."	NA	NA	NA	"Table"	1	"SUMMER FEEDING HABITS OF KESTRELS IN NORTHERN ONTARIO"	"Young"	1975	"The Ontario field biologist"
"American Kestrel"	"Falco sparverius"	NA	"Falconidae"	"eBird Clements checklist v2021"	46.4785	-80.9419	NA	NA	NA	"Ontario;Canada"	"Greater Sudbury"	"deciduous forest;grassland;agriculture;wetland"	7	1975	8	1975	"spring;summer"	1	""	""	""	""	""	""	"Falco"	"Sparverius"	"yes"	NA	NA	NA	NA	"American Kestrel"	0.007	"Items"	150	1	1	"nest debris; prey remains"	""	"AP"	"Young, C. 1975. SUMMER FEEDING HABITS OF KESTRELS IN NORTHERN ONTARIO. The Ontario field biologist 29(2): 75."	NA	NA	NA	"Table"	1	"SUMMER FEEDING HABITS OF KESTRELS IN NORTHERN ONTARIO"	"Young"	1975	"The Ontario field biologist"
"American Kestrel"	"Falco sparverius"	NA	"Falconidae"	"eBird Clements checklist v2021"	46.4785	-80.9419	NA	NA	NA	"Ontario;Canada"	"Greater Sudbury"	"deciduous forest;grassland;agriculture;wetland"	7	1975	8	1975	"spring;summer"	1	""	""	""	""	""	""	"Colaptes"	"Auratus"	"yes"	NA	NA	NA	NA	"Common Flicker"	0.007	"Items"	150	1	1	"nest debris; prey remains"	""	"AP"	"Young, C. 1975. SUMMER FEEDING HABITS OF KESTRELS IN NORTHERN ONTARIO. The Ontario field biologist 29(2): 75."	NA	NA	NA	"Table"	1	"SUMMER FEEDING HABITS OF KESTRELS IN NORTHERN ONTARIO"	"Young"	1975	"The Ontario field biologist"
"American Kestrel"	"Falco sparverius"	NA	"Falconidae"	"eBird Clements checklist v2021"	46.4785	-80.9419	NA	NA	NA	"Ontario;Canada"	"Greater Sudbury"	"deciduous forest;grassland;agriculture;wetland"	7	1975	8	1975	"spring;summer"	1	""	""	""	""	""	""	"Dumetella"	"Carolinesis"	"yes"	NA	NA	NA	NA	"Gray Catbird"	0.007	"Items"	150	1	1	"nest debris; prey remains"	""	"AP"	"Young, C. 1975. SUMMER FEEDING HABITS OF KESTRELS IN NORTHERN ONTARIO. The Ontario field biologist 29(2): 75."	NA	NA	NA	"Table"	1	"SUMMER FEEDING HABITS OF KESTRELS IN NORTHERN ONTARIO"	"Young"	1975	"The Ontario field biologist"
"American Kestrel"	"Falco sparverius"	NA	"Falconidae"	"eBird Clements checklist v2021"	46.4785	-80.9419	NA	NA	NA	"Ontario;Canada"	"Greater Sudbury"	"deciduous forest;grassland;agriculture;wetland"	7	1975	8	1975	"spring;summer"	1	""	""	""	""	""	""	"Geothylpis"	"Trichas"	"yes"	NA	NA	NA	NA	"Common Yellowthroat"	0.007	"Items"	150	1	1	"nest debris; prey remains"	""	"AP"	"Young, C. 1975. SUMMER FEEDING HABITS OF KESTRELS IN NORTHERN ONTARIO. The Ontario field biologist 29(2): 75."	NA	NA	NA	"Table"	1	"SUMMER FEEDING HABITS OF KESTRELS IN NORTHERN ONTARIO"	"Young"	1975	"The Ontario field biologist"
"American Kestrel"	"Falco sparverius"	NA	"Falconidae"	"eBird Clements checklist v2021"	46.4785	-80.9419	NA	NA	NA	"Ontario;Canada"	"Greater Sudbury"	"deciduous forest;grassland;agriculture;wetland"	7	1975	8	1975	"spring;summer"	1	""	""	""	""	""	""	"Quiscalus"	"Quiscula"	"yes"	NA	NA	NA	NA	"Common Grackle"	0.033	"Items"	150	1	1	"nest debris; prey remains"	""	"AP"	"Young, C. 1975. SUMMER FEEDING HABITS OF KESTRELS IN NORTHERN ONTARIO. The Ontario field biologist 29(2): 75."	NA	NA	NA	"Table"	1	"SUMMER FEEDING HABITS OF KESTRELS IN NORTHERN ONTARIO"	"Young"	1975	"The Ontario field biologist"
