"level"	"name"	"condition"
"Scientific_Name"	"Spermophilus variegatus"	"unmatched"
"Scientific_Name"	"Tringa melanoleuca "	"unmatched"
"Scientific_Name"	"Anas carolinensis"	"unmatched"
"Scientific_Name"	"Columba fasciata"	"unmatched"
"Scientific_Name"	"Ictalurus nebulosus"	"unmatched"
"Scientific_Name"	"Guiraca caerulea"	"unmatched"
"Scientific_Name"	"Paralichthys denatus"	"unmatched"
"Scientific_Name"	"Capella gallinago"	"unmatched"
"Scientific_Name"	"Catostomus commersoni"	"unmatched"
"Scientific_Name"	"Alosa pseudoharengus"	"unmatched"
"Scientific_Name"	"Melanitta deglandi"	"unmatched"
"Scientific_Name"	"Philohela minor"	"unmatched"
"Scientific_Name"	"Erethizon dorsatum"	"unmatched"
"Scientific_Name"	"Asterias vulgaris"	"unmatched"
"Scientific_Name"	"Micropterus dolomieui"	"unmatched"
"Scientific_Name"	"Canis familiaris"	"unmatched"
"Scientific_Name"	"Seiurus aurocapillus"	"unmatched"
"Scientific_Name"	"Clethrionomys gapperi"	"unmatched"
"Scientific_Name"	"Vermivora ruficapilla"	"unmatched"
"Scientific_Name"	"Corydalis cornuta"	"unmatched"
"Scientific_Name"	"Rana catesbeiana"	"unmatched"
"Scientific_Name"	"Parus bicolor"	"unmatched"
"Scientific_Name"	"Dendroica petechia"	"unmatched"
"Scientific_Name"	"Dendroica coronata"	"unmatched"
"Scientific_Name"	"Carduelis tristis"	"unmatched"
"Scientific_Name"	"Carpodacus mexicanus"	"unmatched"
"Scientific_Name"	"Dendrocopos villosus"	"unmatched"
"Scientific_Name"	"Dendrocopos pubescens"	"unmatched"
"Scientific_Name"	"Otus asio"	"unmatched"
"Scientific_Name"	"Spizella arborea"	"unmatched"
"Scientific_Name"	"Phrynosoma douglassii"	"unmatched"
"Scientific_Name"	"Rana pipiens"	"unmatched"
"Scientific_Name"	"Sylvilagus nuttalii"	"unmatched"
"Scientific_Name"	"Lemmiscus curtatus"	"unmatched"
"Scientific_Name"	"Corvus brachyrhyncos"	"unmatched"
"Scientific_Name"	"Perognathus formosus"	"unmatched"
"Scientific_Name"	"Akodon longipilis"	"unmatched"
"Scientific_Name"	"Akodon olivaceus"	"unmatched"
"Scientific_Name"	"Corvus monedula"	"unmatched"
"Scientific_Name"	"Tetrao tetrix"	"unmatched"
"Scientific_Name"	"Eumeces brevirostris"	"unmatched"
"Scientific_Name"	"Cnemidophorus tigris"	"unmatched"
"Scientific_Name"	"Spermophilus parryii"	"unmatched"
"Scientific_Name"	"Aphodius fimetarius"	"unmatched"
"Scientific_Name"	"Symplecta punctipennis"	"unmatched"
"Scientific_Name"	"Scathophaga furcata"	"unmatched"
"Scientific_Name"	"Cercyon limbatus"	"unmatched"
"Scientific_Name"	"Pteromicra glabricula"	"unmatched"
"Scientific_Name"	"Dichanthelium wilcoxianum"	"unmatched"
"Scientific_Name"	"Echinochloa crus-galli"	"unmatched"
"Scientific_Name"	"Tegenaria domestica"	"unmatched"
"Scientific_Name"	"Schedonorus pratensis"	"unmatched"
"Scientific_Name"	"Morella caroliniensis"	"unmatched"
"Scientific_Name"	"Persicaria pensylvanica"	"unmatched"
"Scientific_Name"	"Salsola tragus"	"unmatched"
"Scientific_Name"	"Celtis laevigata"	"unmatched"
"Scientific_Name"	"Silpha americana"	"unmatched"
"Scientific_Name"	"Sambucus callicarpa"	"unmatched"
"Scientific_Name"	"Rhamnus purshiana"	"unmatched"
"Scientific_Name"	"Photinia arbutifolia"	"unmatched"
"Scientific_Name"	"Vicia leavenworthii"	"unmatched"
"Scientific_Name"	"Panicum pilcomayense"	"unmatched"
"Scientific_Name"	"Satureja brownei"	"unmatched"
"Scientific_Name"	"Panicum arizonicum"	"unmatched"
"Scientific_Name"	"Sida filipes"	"unmatched"
"Scientific_Name"	"Sorghum vulgare"	"unmatched"
"Scientific_Name"	"Urochloa fasciculata"	"unmatched"
"Scientific_Name"	"Paspalum boscianum"	"unmatched"
"Scientific_Name"	"Toxicodendron radicans"	"unmatched"
