Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Unidentified	Prey_Name_ITIS_ID	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
Lesser Prairie Chicken	Tympanuchus pallidicinctus	NA	Phasianidae	eBird Clements Checklist v2017	NA	NA	NA	NA	NA	Texas	Cochran County	grassland;desert	NA	1971	NA	1973	fall	Plantae	Tracheophyta	Magnoliopsida	Poales	NA	Poaceae	NA	Sorghum bicolor	no			NA	seed	broom-corn		Occurrence	NA	90	1	crop contents		AR	"Crawford, J. A. and E. G. Bolen. 1976b. Fall diet of Lesser Prairie Chickens in west Texas. Condor 78:142-144"
																		Plantae	Tracheophyta	Magnoliopsida	Fagales	NA	Fagaceae	NA	Quercus havardii	no			NA	vegetation;seed;gall	Havard's oak		Occurrence	NA	90	1	crop contents		AR	"Crawford, J. A. and E. G. Bolen. 1976b. Fall diet of Lesser Prairie Chickens in west Texas. Condor 78:142-144"
																		Plantae	Tracheophyta	Magnoliopsida	Malpighiales	NA	Linaceae	NA	Linum rigidum	no			NA	seed	orange flax		Occurrence	NA						
																		Plantae	Tracheophyta	Magnoliopsida	Malpighiales	NA	Euphorbiaceae	NA	Euphorbia fendleri	no			NA	vegetation;seed 	Fendler's sandmat									
																		Plantae	Tracheophyta	Magnoliopsida	Asterales	NA	Asteraceae	NA	Palafoxia sphacelata	no			NA	vegetation;flower	othake									
																		Plantae	Tracheophyta	Magnoliopsida	Asterales	NA	Asteraceae	NA	Helianthus annuus	no			NA	seed	common sunflower									
																		Plantae	Tracheophyta	Magnoliopsida	Fabales	NA	Fabaceae	NA	Medicago sativa	no			NA	vegetation	alfalfa									
																		Plantae	Tracheophyta	Magnoliopsida	Zygophyllales	NA	Krameriaceae	Krameria	NA	no			NA	vegetation	ratany									
																		Plantae	Tracheophyta	Magnoliopsida	Commelinales	NA	Commelinaceae	NA	Commelina erecta	no			NA	vegetation	erect dayflower									
																		Plantae	Tracheophyta	Magnoliopsida	Poales	NA	Poaceae	NA	Digitaria cognata	no			NA	vegetation	carolina crabgrass									
																		Plantae	Tracheophyta	Magnoliopsida	Poales	NA	Poaceae	NA	Triticum aestivum	no			NA	seed	common wheat									
																		Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	NA	Polygonaceae	NA	Eriogonum annuum	no			NA	vegetation;seed	annual buckwheat									
																		Plantae	Tracheophyta	Magnoliopsida	Myrtales	NA	Onagraceae	Oenothera	NA	no			NA	seed	evening-primrose									
																		Plantae	Tracheophyta	Magnoliopsida	Poales	NA	Cyperaceae	Cyperus	NA	no			NA	vegetation	nutgrass									
																		Plantae	Tracheophyta	Magnoliopsida	Poales	NA	Poaceae	Digitaria	NA	no			NA	vegetation	crabgrass									
																		Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	NA	Amaranthaceae	NA	Salsola kali	no			NA	vegetation	tumbleweed									
																		Plantae	Tracheophyta	Magnoliopsida	Poales	NA	Poaceae	NA	Paspalum setaceum	no			NA	seed	thin paspalum									
																		Plantae	Tracheophyta	Magnoliopsida	Malpighiales	NA	Euphorbiaceae	Croton	NA	no			NA	vegetation;seed	doveweed									
																		Plantae	Tracheophyta	Magnoliopsida	Fabales	NA	Fabaceae	NA	Pomaria jamesii	no			NA	seed	James' holdback									
																		Plantae	Tracheophyta	Magnoliopsida	Asterales	NA	Asteraceae	Thelesperma	NA	no			NA	vegetation	greenthread									
																		Plantae	Tracheophyta	Magnoliopsida	Asterales	NA	Asteraceae	NA	Erigeron strigosus	no			NA	flower	prairie fleabane									
																		Plantae	Tracheophyta	Magnoliopsida	Poales	NA	Poaceae	NA	Vulpia octoflora	no			NA	vegetation	sixweeks fescue									
																		Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	NA	Amaranthaceae	Amaranthus	NA	no			NA	seed	pigweed									
																		Plantae	Tracheophyta	Magnoliopsida	Asterales	NA	Asteraceae	NA	NA	yes			NA	vegetation	sunflowers									
																		Plantae	Tracheophyta	Magnoliopsida	Asterales	NA	Asteraceae	NA	NA	yes			NA	seed	sunflowers									
																		Plantae	Tracheophyta	Magnoliopsida	Asterales	NA	Asteraceae	NA	NA	yes			NA	flower	sunflowers									
																		Plantae	Tracheophyta	Magnoliopsida	Poales	NA	Poaceae	NA	NA	yes			NA	vegetation;seed	grasses									
																		Plantae	NA	NA	NA	NA	NA	NA	NA	yes			NA	bark	NA									
																		Animalia																						
