Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Unidentified	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
Wood Duck	Aix sponsa	NA	Anatidae	eBird Clements Checklist v2016	NA	NA	NA	NA	NA	South Carolina	NA	NA	10	NA	2	NA	NA	Viridiplantae	Streptophyta	Liliopsida	Commelinales	NA	Commelinaceae	Aneilema	NA	NA	NA	NA	seed	NA	0.233	Wt_or_Vol	24	103	NA	stomach contents	NA	AMO	"Landers, J.L., Fendley, T.T. & Johnson, A.S. (1977) Feeding ecology of wood ducks in South Carolina. Journal of Wildlife Management, 41, 118–127."
Wood Duck	Aix sponsa	NA	Anatidae	eBird Clements Checklist v2016	NA	NA	NA	NA	NA	South Carolina	NA	NA	10	NA	2	NA	NA	Viridiplantae	Streptophyta	Liliopsida	Poales	NA	Poaceae	Panicum	NA	NA	NA	NA	seed	NA	0.0857	Wt_or_Vol	24	103	NA	stomach contents	NA	AMO	"Landers, J.L., Fendley, T.T. & Johnson, A.S. (1977) Feeding ecology of wood ducks in South Carolina. Journal of Wildlife Management, 41, 118–127."
Wood Duck	Aix sponsa	NA	Anatidae	eBird Clements Checklist v2016	NA	NA	NA	NA	NA	South Carolina	NA	NA	10	NA	2	NA	NA	Viridiplantae	Streptophyta	Liliopsida	Poales	NA	Poaceae	Paspalum	NA	NA	NA	NA	seed	NA	0.0022	Wt_or_Vol	24	103	NA	stomach contents	NA	AMO	"Landers, J.L., Fendley, T.T. & Johnson, A.S. (1977) Feeding ecology of wood ducks in South Carolina. Journal of Wildlife Management, 41, 118–127."
Wood Duck	Aix sponsa	NA	Anatidae	eBird Clements Checklist v2016	NA	NA	NA	NA	NA	South Carolina	NA	NA	10	NA	2	NA	NA	Viridiplantae	Streptophyta	NA	Saxifragales	NA	Altingiaceae	Liquidambar	Liquidambar styraciflua	NA	NA	NA	seed	sweet gum	0.022	Wt_or_Vol	24	103	NA	stomach contents	NA	AMO	"Landers, J.L., Fendley, T.T. & Johnson, A.S. (1977) Feeding ecology of wood ducks in South Carolina. Journal of Wildlife Management, 41, 118–127."
Wood Duck	Aix sponsa	NA	Anatidae	eBird Clements Checklist v2016	NA	NA	NA	NA	NA	South Carolina	NA	NA	10	NA	2	NA	NA	Metazoa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	metazoans	0.0396	Wt_or_Vol	24	103	NA	stomach contents	NA	AMO	"Landers, J.L., Fendley, T.T. & Johnson, A.S. (1977) Feeding ecology of wood ducks in South Carolina. Journal of Wildlife Management, 41, 118–127."
Wood Duck	Aix sponsa	NA	Anatidae	eBird Clements Checklist v2016	NA	NA	NA	NA	NA	South Carolina	NA	NA	10	NA	2	NA	NA	Viridiplantae	Streptophyta	Liliopsida	Alismatales	NA	Alismataceae	Sagittaria	Sagittaria graminea	NA	NA	NA	tuber	NA	0.0154	Wt_or_Vol	24	103	NA	stomach contents	NA	AMO	"Landers, J.L., Fendley, T.T. & Johnson, A.S. (1977) Feeding ecology of wood ducks in South Carolina. Journal of Wildlife Management, 41, 118–127."
Wood Duck	Aix sponsa	NA	Anatidae	eBird Clements Checklist v2016	NA	NA	NA	NA	NA	South Carolina	NA	NA	10	NA	2	NA	NA	Viridiplantae	Streptophyta	NA	Rosales	NA	Ulmaceae	Planera	Planera aquatica	NA	NA	NA	fruit	NA	0	Wt_or_Vol	24	103	NA	stomach contents	NA	AMO	"Landers, J.L., Fendley, T.T. & Johnson, A.S. (1977) Feeding ecology of wood ducks in South Carolina. Journal of Wildlife Management, 41, 118–127."
Wood Duck	Aix sponsa	NA	Anatidae	eBird Clements Checklist v2016	NA	NA	NA	NA	NA	South Carolina	NA	NA	10	NA	2	NA	NA	Viridiplantae	Streptophyta	Liliopsida	Poales	NA	Cyperaceae	Scleria	Scleria reticularis	NA	NA	NA	seed	NA	0	Wt_or_Vol	24	103	NA	stomach contents	NA	AMO	"Landers, J.L., Fendley, T.T. & Johnson, A.S. (1977) Feeding ecology of wood ducks in South Carolina. Journal of Wildlife Management, 41, 118–127."
Wood Duck	Aix sponsa	NA	Anatidae	eBird Clements Checklist v2016	NA	NA	NA	NA	NA	South Carolina	NA	NA	10	NA	2	NA	NA	Viridiplantae	Streptophyta	Liliopsida	Poales	NA	Poaceae	Paspalum	Paspalum urvillei	NA	NA	NA	seed	NA	0	Wt_or_Vol	24	103	NA	stomach contents	NA	AMO	"Landers, J.L., Fendley, T.T. & Johnson, A.S. (1977) Feeding ecology of wood ducks in South Carolina. Journal of Wildlife Management, 41, 118–127."
Wood Duck	Aix sponsa	NA	Anatidae	eBird Clements Checklist v2016	NA	NA	NA	NA	NA	South Carolina	NA	NA	10	NA	2	NA	NA	Viridiplantae	Streptophyta	NA	Rosales	NA	Rosaceae	Rubus	Rubus cuneifolius	NA	NA	NA	fruit	NA	0	Wt_or_Vol	24	103	NA	stomach contents	NA	AMO	"Landers, J.L., Fendley, T.T. & Johnson, A.S. (1977) Feeding ecology of wood ducks in South Carolina. Journal of Wildlife Management, 41, 118–127."
