Order,CommonName,SciName,Status
1,Black-bellied Whistling-Duck,Dendrocygna autumnalis,
2,West Indian Whistling-Duck,Dendrocygna arborea,Introduced species Vulnerable
3,Fulvous Whistling-Duck,Dendrocygna bicolor,
4,Bar-headed Goose,Anser indicus,Rare/Accidental
5,Emperor Goose,Anser canagicus,Near-threatened
6,Snow Goose,Anser caerulescens,
7,Ross's Goose,Anser rossii,
8,Graylag Goose,Anser anser,Rare/Accidental
9,Greater White-fronted Goose,Anser albifrons,
10,Lesser White-fronted Goose,Anser erythropus,Rare/Accidental Vulnerable
11,Taiga Bean-Goose,Anser fabalis,Rare/Accidental
12,Tundra Bean-Goose,Anser serrirostris,Rare/Accidental
13,Pink-footed Goose,Anser brachyrhynchus,Rare/Accidental
14,Brant,Branta bernicla,
15,Barnacle Goose,Branta leucopsis,
16,Cackling Goose,Branta hutchinsii,Breeding endemic
17,Canada Goose,Branta canadensis,
18,Hawaiian Goose,Branta sandvicensis,Vulnerable
19,Mute Swan,Cygnus olor,Introduced species
20,Trumpeter Swan,Cygnus buccinator,
21,Tundra Swan,Cygnus columbianus,
22,Whooper Swan,Cygnus cygnus,
23,Orinoco Goose,Oressochen jubatus,Introduced species Near-threatened
24,Egyptian Goose,Alopochen aegyptiaca,Introduced species
25,Ruddy Shelduck,Tadorna ferruginea,Rare/Accidental
26,Common Shelduck,Tadorna tadorna,Rare/Accidental
27,Muscovy Duck,Cairina moschata,
28,Wood Duck,Aix sponsa,
29,Baikal Teal,Sibirionetta formosa,
30,Garganey,Spatula querquedula,
31,Blue-winged Teal,Spatula discors,
32,Cinnamon Teal,Spatula cyanoptera,
33,Northern Shoveler,Spatula clypeata,
34,Gadwall,Mareca strepera,
35,Falcated Duck,Mareca falcata,Near-threatened
36,Eurasian Wigeon,Mareca penelope,
37,American Wigeon,Mareca americana,
38,Laysan Duck,Anas laysanensis,Critically endangered
39,Hawaiian Duck,Anas wyvilliana,Endangered
40,Eastern Spot-billed Duck,Anas zonorhyncha,Rare/Accidental
41,Mallard,Anas platyrhynchos,
42,Mexican Duck,Anas diazi,
43,American Black Duck,Anas rubripes,
44,Mottled Duck,Anas fulvigula,
45,White-cheeked Pintail,Anas bahamensis,
46,Northern Pintail,Anas acuta,
47,Green-winged Teal,Anas crecca,
48,Canvasback,Aythya valisineria,
49,Redhead,Aythya americana,
50,Common Pochard,Aythya ferina,Vulnerable
51,Ring-necked Duck,Aythya collaris,
52,Tufted Duck,Aythya fuligula,
53,Greater Scaup,Aythya marila,
54,Lesser Scaup,Aythya affinis,
55,Steller's Eider,Polysticta stelleri,Vulnerable
56,Spectacled Eider,Somateria fischeri,
57,King Eider,Somateria spectabilis,
58,Common Eider,Somateria mollissima,Near-threatened
59,Harlequin Duck,Histrionicus histrionicus,
60,Labrador Duck,Camptorhynchus labradorius,Extinct
61,Surf Scoter,Melanitta perspicillata,
62,White-winged Scoter,Melanitta deglandi,
63,Common Scoter,Melanitta nigra,Rare/Accidental
64,Black Scoter,Melanitta americana,Near-threatened
65,Long-tailed Duck,Clangula hyemalis,Vulnerable
66,Bufflehead,Bucephala albeola,
67,Common Goldeneye,Bucephala clangula,
68,Barrow's Goldeneye,Bucephala islandica,
69,Smew,Mergellus albellus,
70,Hooded Merganser,Lophodytes cucullatus,
71,Common Merganser,Mergus merganser,
72,Red-breasted Merganser,Mergus serrator,
73,Masked Duck,Nomonyx dominicus,
74,Ruddy Duck,Oxyura jamaicensis,
75,Plain Chachalaca,Ortalis vetula,
76,Helmeted Guineafowl,Numida meleagris,Introduced species
77,Mountain Quail,Oreortyx pictus,
78,Northern Bobwhite,Colinus virginianus,Near-threatened
79,Scaled Quail,Callipepla squamata,
80,California Quail,Callipepla californica,
81,Gambel's Quail,Callipepla gambelii,
82,Montezuma Quail,Cyrtonyx montezumae,
83,Indian Peafowl,Pavo cristatus,Introduced species
84,Chukar,Alectoris chukar,Introduced species
85,Himalayan Snowcock,Tetraogallus himalayensis,Introduced species
86,Erckel's Francolin,Pternistis erckelii,Introduced species
87,Black Francolin,Francolinus francolinus,Introduced species
88,Gray Francolin,Francolinus pondicerianus,Introduced species
89,Chinese Bamboo-Partridge,Bambusicola thoracicus,Introduced species (non established)
90,Red Junglefowl,Gallus gallus,Introduced species
91,Elliot's Pheasant,Syrmaticus ellioti,Introduced species Near-threatened
92,Lady Amherst's Pheasant,Chrysolophus amherstiae,Introduced species
93,Ring-necked Pheasant,Phasianus colchicus,Introduced species
94,Silver Pheasant,Lophura nycthemera,Introduced species (non established)
95,Kalij Pheasant,Lophura leucomelanos,Introduced species
96,Gray Partridge,Perdix perdix,Introduced species
97,Ruffed Grouse,Bonasa umbellus,
98,Greater Sage-Grouse,Centrocercus urophasianus,Near-threatened
99,Gunnison Sage-Grouse,Centrocercus minimus,Endangered
100,Spruce Grouse,Falcipennis canadensis,
101,Willow Ptarmigan,Lagopus lagopus,
102,Rock Ptarmigan,Lagopus muta,
103,White-tailed Ptarmigan,Lagopus leucura,
104,Dusky Grouse,Dendragapus obscurus,
105,Sooty Grouse,Dendragapus fuliginosus,
106,Sharp-tailed Grouse,Tympanuchus phasianellus,
107,Greater Prairie-Chicken,Tympanuchus cupido,Vulnerable
108,Lesser Prairie-Chicken,Tympanuchus pallidicinctus,Vulnerable
