"common_name","sci_name","family","order"
"Cooper's Hawk","Accipiter cooperii","Accipitridae","Accipitriformes"
"Northern Goshawk","Accipiter gentilis","Accipitridae","Accipitriformes"
"Chinese Sparrowhawk","Accipiter soloensis","Accipitridae","Accipitriformes"
"Sharp-shinned Hawk","Accipiter striatus","Accipitridae","Accipitriformes"
"Golden Eagle","Aquila chrysaetos","Accipitridae","Accipitriformes"
"Zone-tailed Hawk","Buteo albonotatus","Accipitridae","Accipitriformes"
"Short-tailed Hawk","Buteo brachyurus","Accipitridae","Accipitriformes"
"Red-tailed Hawk","Buteo jamaicensis","Accipitridae","Accipitriformes"
"Rough-legged Hawk","Buteo lagopus","Accipitridae","Accipitriformes"
"Red-shouldered Hawk","Buteo lineatus","Accipitridae","Accipitriformes"
"Gray Hawk","Buteo plagiatus","Accipitridae","Accipitriformes"
"Broad-winged Hawk","Buteo platypterus","Accipitridae","Accipitriformes"
"Ferruginous Hawk","Buteo regalis","Accipitridae","Accipitriformes"
"Long-legged Buzzard","Buteo rufinus","Accipitridae","Accipitriformes"
"Hawaiian Hawk","Buteo solitarius","Accipitridae","Accipitriformes"
"Swainson's Hawk","Buteo swainsoni","Accipitridae","Accipitriformes"
"Common Black Hawk","Buteogallus anthracinus","Accipitridae","Accipitriformes"
"Great Black Hawk","Buteogallus urubitinga","Accipitridae","Accipitriformes"
"Hook-billed Kite","Chondrohierax uncinatus","Accipitridae","Accipitriformes"
"Northern Harrier","Circus hudsonius","Accipitridae","Accipitriformes"
"Swallow-tailed Kite","Elanoides forficatus","Accipitridae","Accipitriformes"
"White-tailed Kite","Elanus leucurus","Accipitridae","Accipitriformes"
"White-tailed Hawk","Geranoaetus albicaudatus","Accipitridae","Accipitriformes"
"Crane Hawk","Geranospiza caerulescens","Accipitridae","Accipitriformes"
"White-tailed Eagle","Haliaeetus albicilla","Accipitridae","Accipitriformes"
"Bald Eagle","Haliaeetus leucocephalus","Accipitridae","Accipitriformes"
"Steller's Sea-Eagle","Haliaeetus pelagicus","Accipitridae","Accipitriformes"
"Double-toothed Kite","Harpagus bidentatus","Accipitridae","Accipitriformes"
"Mississippi Kite","Ictinia mississippiensis","Accipitridae","Accipitriformes"
"Black Kite","Milvus migrans","Accipitridae","Accipitriformes"
"Harris's Hawk","Parabuteo unicinctus","Accipitridae","Accipitriformes"
"Snail Kite","Rostrhamus sociabilis","Accipitridae","Accipitriformes"
"Roadside Hawk","Rupornis magnirostris","Accipitridae","Accipitriformes"
"Osprey","Pandion haliaetus","Pandionidae","Accipitriformes"
"Wood Duck","Aix sponsa","Anatidae","Anseriformes"
"Egyptian Goose","Alopochen aegyptiaca","Anatidae","Anseriformes"
"Northern Pintail","Anas acuta","Anatidae","Anseriformes"
"White-cheeked Pintail","Anas bahamensis","Anatidae","Anseriformes"
"Green-winged Teal","Anas crecca","Anatidae","Anseriformes"
"Mottled Duck","Anas fulvigula","Anatidae","Anseriformes"
"Laysan Duck","Anas laysanensis","Anatidae","Anseriformes"
"Mallard","Anas platyrhynchos","Anatidae","Anseriformes"
"American Black Duck","Anas rubripes","Anatidae","Anseriformes"
"Hawaiian Duck","Anas wyvilliana","Anatidae","Anseriformes"
"Eastern Spot-billed Duck","Anas zonorhyncha","Anatidae","Anseriformes"
"Greater White-fronted Goose","Anser albifrons","Anatidae","Anseriformes"
"Graylag Goose","Anser anser","Anatidae","Anseriformes"
"Pink-footed Goose","Anser brachyrhynchus","Anatidae","Anseriformes"
"Snow Goose","Anser caerulescens","Anatidae","Anseriformes"
"Emperor Goose","Anser canagicus","Anatidae","Anseriformes"
"Lesser White-fronted Goose","Anser erythropus","Anatidae","Anseriformes"
"Taiga Bean-Goose","Anser fabalis","Anatidae","Anseriformes"
"Ross's Goose","Anser rossii","Anatidae","Anseriformes"
