Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Unidentified	Prey_Name_ITIS_ID	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
Aplomado Falcon	Falco femoralis	Falco femoralis septentrionalis	Falconidae	eBird Clements Checklist v2017	29.68333333	-105.3166667	1383	NA	1893	Mexico	Tinaja Verde	grassland	1	1998	5	2002	NA	Animalia	Chordata	Aves	Passeriformes	NA	Calcariidae	NA	Calcarius ornatus	no	NA	NA	NA	NA	0.221	Wt_or_Vol	NA	NA	11	prey remains	Each site was defined as a territory where there was one or more nesting pairs were present	DR	"Macias-Duarte, A., A. B. Montoya, W. G. Hunt, A. Lafon-Terrazas, and R. Tafanelli. 2004. Reproduction, prey, and habitat of the aplomado falcon (Falco Femoralis) in desert grasslands of Chihuahua, Mexico. The Auk, 121(4):1081-1093."
Aplomado Falcon	Falco femoralis	Falco femoralis septentrionalis	Falconidae	eBird Clements Checklist v2017	29.68333333	-105.3166667	1383	NA	1893	Mexico	Tinaja Verde	grassland	1	1998	5	2002	NA	Animalia	Chordata	Aves	Passeriformes	NA	Emberizidae	NA	Spizella breweri	no	NA	NA	NA	NA	0.129	Wt_or_Vol	NA	NA	11	prey remains	Each site was defined as a territory where there was one or more nesting pairs were present	DR	"Macias-Duarte, A., A. B. Montoya, W. G. Hunt, A. Lafon-Terrazas, and R. Tafanelli. 2004. Reproduction, prey, and habitat of the aplomado falcon (Falco Femoralis) in desert grasslands of Chihuahua, Mexico. The Auk, 121(4):1081-1093."
Aplomado Falcon	Falco femoralis	Falco femoralis septentrionalis	Falconidae	eBird Clements Checklist v2017	29.68333333	-105.3166667	1383	NA	1893	Mexico	Tinaja Verde	grassland	1	1998	5	2002	NA	Animalia	Chordata	Aves	Passeriformes	NA	Emberizidae	NA	Amphispiza bilineata	no	NA	NA	NA	NA	0.015	Wt_or_Vol	NA	NA	11	prey remains	Each site was defined as a territory where there was one or more nesting pairs were present	DR	"Macias-Duarte, A., A. B. Montoya, W. G. Hunt, A. Lafon-Terrazas, and R. Tafanelli. 2004. Reproduction, prey, and habitat of the aplomado falcon (Falco Femoralis) in desert grasslands of Chihuahua, Mexico. The Auk, 121(4):1081-1093."
Aplomado Falcon	Falco femoralis	Falco femoralis septentrionalis	Falconidae	eBird Clements Checklist v2017	29.68333333	-105.3166667	1383	NA	1893	Mexico	Tinaja Verde	grassland	1	1998	5	2002	NA	Animalia	Chordata	Aves	Passeriformes	NA	NA	NA	NA	yes	NA	NA	NA	NA	0.011	Wt_or_Vol	NA	NA	11	prey remains	Each site was defined as a territory where there was one or more nesting pairs were present	DR	"Macias-Duarte, A., A. B. Montoya, W. G. Hunt, A. Lafon-Terrazas, and R. Tafanelli. 2004. Reproduction, prey, and habitat of the aplomado falcon (Falco Femoralis) in desert grasslands of Chihuahua, Mexico. The Auk, 121(4):1081-1093."
Aplomado Falcon	Falco femoralis	Falco femoralis septentrionalis	Falconidae	eBird Clements Checklist v2017	29.68333333	-105.3166667	1383	NA	1893	Mexico	Tinaja Verde	grassland	1	1998	5	2002	NA	Animalia	Chordata	Aves	Passeriformes	NA	Emberizidae	NA	Spizella passerina	no	NA	NA	NA	NA	0.011	Wt_or_Vol	NA	NA	11	prey remains	Each site was defined as a territory where there was one or more nesting pairs were present	DR	"Macias-Duarte, A., A. B. Montoya, W. G. Hunt, A. Lafon-Terrazas, and R. Tafanelli. 2004. Reproduction, prey, and habitat of the aplomado falcon (Falco Femoralis) in desert grasslands of Chihuahua, Mexico. The Auk, 121(4):1081-1093."
Aplomado Falcon	Falco femoralis	Falco femoralis septentrionalis	Falconidae	eBird Clements Checklist v2017	29.68333333	-105.3166667	1383	NA	1893	Mexico	Tinaja Verde	grassland	1	1998	5	2002	NA	Animalia	Chordata	Aves	Passeriformes	NA	Emberizidae	Ammodramus	NA	no	NA	NA	NA	NA	0.019	Wt_or_Vol	NA	NA	11	prey remains	Each site was defined as a territory where there was one or more nesting pairs were present	DR	"Macias-Duarte, A., A. B. Montoya, W. G. Hunt, A. Lafon-Terrazas, and R. Tafanelli. 2004. Reproduction, prey, and habitat of the aplomado falcon (Falco Femoralis) in desert grasslands of Chihuahua, Mexico. The Auk, 121(4):1081-1093."
Aplomado Falcon	Falco femoralis	Falco femoralis septentrionalis	Falconidae	eBird Clements Checklist v2017	29.68333333	-105.3166667	1383	NA	1893	Mexico	Tinaja Verde	grassland	1	1998	5	2002	NA	Animalia	Chordata	Aves	Passeriformes	NA	Emberizidae	NA	Passerculus sandwichensis	no	NA	NA	NA	NA	0.009	Wt_or_Vol	NA	NA	11	prey remains	Each site was defined as a territory where there was one or more nesting pairs were present	DR	"Macias-Duarte, A., A. B. Montoya, W. G. Hunt, A. Lafon-Terrazas, and R. Tafanelli. 2004. Reproduction, prey, and habitat of the aplomado falcon (Falco Femoralis) in desert grasslands of Chihuahua, Mexico. The Auk, 121(4):1081-1093."
Aplomado Falcon	Falco femoralis	Falco femoralis septentrionalis	Falconidae	eBird Clements Checklist v2017	29.68333333	-105.3166667	1383	NA	1893	Mexico	Tinaja Verde	grassland	1	1998	5	2002	NA	Animalia	Chordata	Aves	Passeriformes	NA	Emberizidae	NA	Peucaea cassinii	no	NA	NA	NA	NA	0.009	Wt_or_Vol	NA	NA	11	prey remains	Each site was defined as a territory where there was one or more nesting pairs were present	DR	"Macias-Duarte, A., A. B. Montoya, W. G. Hunt, A. Lafon-Terrazas, and R. Tafanelli. 2004. Reproduction, prey, and habitat of the aplomado falcon (Falco Femoralis) in desert grasslands of Chihuahua, Mexico. The Auk, 121(4):1081-1093."
Aplomado Falcon	Falco femoralis	Falco femoralis septentrionalis	Falconidae	eBird Clements Checklist v2017	29.68333333	-105.3166667	1383	NA	1893	Mexico	Tinaja Verde	grassland	1	1998	5	2002	NA	Animalia	Chordata	Aves	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	0.014	Wt_or_Vol	NA	NA	11	prey remains	Each site was defined as a territory where there was one or more nesting pairs were present	DR	"Macias-Duarte, A., A. B. Montoya, W. G. Hunt, A. Lafon-Terrazas, and R. Tafanelli. 2004. Reproduction, prey, and habitat of the aplomado falcon (Falco Femoralis) in desert grasslands of Chihuahua, Mexico. The Auk, 121(4):1081-1093."
Aplomado Falcon	Falco femoralis	Falco femoralis septentrionalis	Falconidae	eBird Clements Checklist v2017	29.68333333	-105.3166667	1383	NA	1893	Mexico	Tinaja Verde	grassland	1	1998	5	2002	NA	Animalia	Chordata	Aves	Passeriformes	NA	Alaudidae	NA	Eremophila alpestris	no	NA	NA	NA	NA	0.255	Wt_or_Vol	NA	NA	11	prey remains	Each site was defined as a territory where there was one or more nesting pairs were present	DR	"Macias-Duarte, A., A. B. Montoya, W. G. Hunt, A. Lafon-Terrazas, and R. Tafanelli. 2004. Reproduction, prey, and habitat of the aplomado falcon (Falco Femoralis) in desert grasslands of Chihuahua, Mexico. The Auk, 121(4):1081-1093."
Aplomado Falcon	Falco femoralis	Falco femoralis septentrionalis	Falconidae	eBird Clements Checklist v2017	29.68333333	-105.3166667	1383	NA	1893	Mexico	Tinaja Verde	grassland	1	1998	5	2002	NA	Animalia	Chordata	Aves	Passeriformes	NA	Laniidae	NA	Lanius ludovicianus	no	NA	NA	NA	NA	0.035	Wt_or_Vol	NA	NA	11	prey remains	Each site was defined as a territory where there was one or more nesting pairs were present	DR	"Macias-Duarte, A., A. B. Montoya, W. G. Hunt, A. Lafon-Terrazas, and R. Tafanelli. 2004. Reproduction, prey, and habitat of the aplomado falcon (Falco Femoralis) in desert grasslands of Chihuahua, Mexico. The Auk, 121(4):1081-1093."
Aplomado Falcon	Falco femoralis	Falco femoralis septentrionalis	Falconidae	eBird Clements Checklist v2017	29.68333333	-105.3166667	1383	NA	1893	Mexico	Tinaja Verde	grassland	1	1998	5	2002	NA	Animalia	Chordata	Aves	Passeriformes	NA	Emberizidae	NA	Pooecetes gramineus	no	NA	NA	NA	NA	0.034	Wt_or_Vol	NA	NA	11	prey remains	Each site was defined as a territory where there was one or more nesting pairs were present	DR	"Macias-Duarte, A., A. B. Montoya, W. G. Hunt, A. Lafon-Terrazas, and R. Tafanelli. 2004. Reproduction, prey, and habitat of the aplomado falcon (Falco Femoralis) in desert grasslands of Chihuahua, Mexico. The Auk, 121(4):1081-1093."
Aplomado Falcon	Falco femoralis	Falco femoralis septentrionalis	Falconidae	eBird Clements Checklist v2017	29.68333333	-105.3166667	1383	NA	1893	Mexico	Tinaja Verde	grassland	1	1998	5	2002	NA	Animalia	Chordata	Aves	Passeriformes	NA	Troglodytidae	NA	Campylorhynchus brunneicapillus	no	NA	NA	NA	NA	0.018	Wt_or_Vol	NA	NA	11	prey remains	Each site was defined as a territory where there was one or more nesting pairs were present	DR	"Macias-Duarte, A., A. B. Montoya, W. G. Hunt, A. Lafon-Terrazas, and R. Tafanelli. 2004. Reproduction, prey, and habitat of the aplomado falcon (Falco Femoralis) in desert grasslands of Chihuahua, Mexico. The Auk, 121(4):1081-1093."
Aplomado Falcon	Falco femoralis	Falco femoralis septentrionalis	Falconidae	eBird Clements Checklist v2017	29.68333333	-105.3166667	1383	NA	1893	Mexico	Tinaja Verde	grassland	1	1998	5	2002	NA	Animalia	Chordata	Aves	Passeriformes	NA	Mimidae	NA	Mimus polyglottos	no	NA	NA	NA	NA	0.013	Wt_or_Vol	NA	NA	11	prey remains	Each site was defined as a territory where there was one or more nesting pairs were present	DR	"Macias-Duarte, A., A. B. Montoya, W. G. Hunt, A. Lafon-Terrazas, and R. Tafanelli. 2004. Reproduction, prey, and habitat of the aplomado falcon (Falco Femoralis) in desert grasslands of Chihuahua, Mexico. The Auk, 121(4):1081-1093."
Aplomado Falcon	Falco femoralis	Falco femoralis septentrionalis	Falconidae	eBird Clements Checklist v2017	29.68333333	-105.3166667	1383	NA	1893	Mexico	Tinaja Verde	grassland	1	1998	5	2002	NA	Animalia	Chordata	Aves	Passeriformes	NA	Motacillidae	NA	Anthus spragueii	no	NA	NA	NA	NA	0.007	Wt_or_Vol	NA	NA	11	prey remains	Each site was defined as a territory where there was one or more nesting pairs were present	DR	"Macias-Duarte, A., A. B. Montoya, W. G. Hunt, A. Lafon-Terrazas, and R. Tafanelli. 2004. Reproduction, prey, and habitat of the aplomado falcon (Falco Femoralis) in desert grasslands of Chihuahua, Mexico. The Auk, 121(4):1081-1093."
Aplomado Falcon	Falco femoralis	Falco femoralis septentrionalis	Falconidae	eBird Clements Checklist v2017	29.68333333	-105.3166667	1383	NA	1893	Mexico	Tinaja Verde	grassland	1	1998	5	2002	NA	Animalia	Chordata	Aves	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	0.032	Wt_or_Vol	NA	NA	11	prey remains	Each site was defined as a territory where there was one or more nesting pairs were present	DR	"Macias-Duarte, A., A. B. Montoya, W. G. Hunt, A. Lafon-Terrazas, and R. Tafanelli. 2004. Reproduction, prey, and habitat of the aplomado falcon (Falco Femoralis) in desert grasslands of Chihuahua, Mexico. The Auk, 121(4):1081-1093."
Aplomado Falcon	Falco femoralis	Falco femoralis septentrionalis	Falconidae	eBird Clements Checklist v2017	29.68333333	-105.3166667	1383	NA	1893	Mexico	Tinaja Verde	grassland	1	1998	5	2002	NA	Animalia	Chordata	Aves	Passeriformes	NA	Icteridae	Sturnella	NA	no	NA	NA	NA	NA	0.121	Wt_or_Vol	NA	NA	11	prey remains	Each site was defined as a territory where there was one or more nesting pairs were present	DR	"Macias-Duarte, A., A. B. Montoya, W. G. Hunt, A. Lafon-Terrazas, and R. Tafanelli. 2004. Reproduction, prey, and habitat of the aplomado falcon (Falco Femoralis) in desert grasslands of Chihuahua, Mexico. The Auk, 121(4):1081-1093."
Aplomado Falcon	Falco femoralis	Falco femoralis septentrionalis	Falconidae	eBird Clements Checklist v2017	29.68333333	-105.3166667	1383	NA	1893	Mexico	Tinaja Verde	grassland	1	1998	5	2002	NA	Animalia	Chordata	Aves	Columbiformes	Columbae	Columbidae	NA	Zenaida macroura	no	NA	NA	NA	NA	0.046	Wt_or_Vol	NA	NA	11	prey remains	Each site was defined as a territory where there was one or more nesting pairs were present	DR	"Macias-Duarte, A., A. B. Montoya, W. G. Hunt, A. Lafon-Terrazas, and R. Tafanelli. 2004. Reproduction, prey, and habitat of the aplomado falcon (Falco Femoralis) in desert grasslands of Chihuahua, Mexico. The Auk, 121(4):1081-1093."
Aplomado Falcon	Falco femoralis	Falco femoralis septentrionalis	Falconidae	eBird Clements Checklist v2017	29.68333333	-105.3166667	1383	NA	1893	Mexico	Tinaja Verde	grassland	1	1998	5	2002	NA	Animalia	Chordata	Aves	Passeriformes	NA	Mimidae	NA	Toxostoma curvirostre	no	NA	NA	NA	NA	0.001	Wt_or_Vol	NA	NA	11	prey remains	Each site was defined as a territory where there was one or more nesting pairs were present	DR	"Macias-Duarte, A., A. B. Montoya, W. G. Hunt, A. Lafon-Terrazas, and R. Tafanelli. 2004. Reproduction, prey, and habitat of the aplomado falcon (Falco Femoralis) in desert grasslands of Chihuahua, Mexico. The Auk, 121(4):1081-1093."
Aplomado Falcon	Falco femoralis	Falco femoralis septentrionalis	Falconidae	eBird Clements Checklist v2017	29.94166667	-106.2083333	1383	NA	1893	Mexico	Sueco	grassland	1	1998	5	2002	NA	Animalia	Chordata	Aves	Passeriformes	NA	Calcariidae	NA	Calcarius ornatus	no	NA	NA	NA	NA	0.083	Wt_or_Vol	NA	NA	24	prey remains	Each site was defined as a territory where there was one or more nesting pairs were present	DR	"Macias-Duarte, A., A. B. Montoya, W. G. Hunt, A. Lafon-Terrazas, and R. Tafanelli. 2004. Reproduction, prey, and habitat of the aplomado falcon (Falco Femoralis) in desert grasslands of Chihuahua, Mexico. The Auk, 121(4):1081-1093."
Aplomado Falcon	Falco femoralis	Falco femoralis septentrionalis	Falconidae	eBird Clements Checklist v2017	29.94166667	-106.2083333	1383	NA	1893	Mexico	Sueco	grassland	1	1998	5	2002	NA	Animalia	Chordata	Aves	Passeriformes	NA	Emberizidae	NA	Spizella breweri	no	NA	NA	NA	NA	0.031	Wt_or_Vol	NA	NA	24	prey remains	Each site was defined as a territory where there was one or more nesting pairs were present	DR	"Macias-Duarte, A., A. B. Montoya, W. G. Hunt, A. Lafon-Terrazas, and R. Tafanelli. 2004. Reproduction, prey, and habitat of the aplomado falcon (Falco Femoralis) in desert grasslands of Chihuahua, Mexico. The Auk, 121(4):1081-1093."
Aplomado Falcon	Falco femoralis	Falco femoralis septentrionalis	Falconidae	eBird Clements Checklist v2017	29.94166667	-106.2083333	1383	NA	1893	Mexico	Sueco	grassland	1	1998	5	2002	NA	Animalia	Chordata	Aves	Passeriformes	NA	Emberizidae	NA	Amphispiza bilineata	no	NA	NA	NA	NA	0.057	Wt_or_Vol	NA	NA	24	prey remains	Each site was defined as a territory where there was one or more nesting pairs were present	DR	"Macias-Duarte, A., A. B. Montoya, W. G. Hunt, A. Lafon-Terrazas, and R. Tafanelli. 2004. Reproduction, prey, and habitat of the aplomado falcon (Falco Femoralis) in desert grasslands of Chihuahua, Mexico. The Auk, 121(4):1081-1093."
Aplomado Falcon	Falco femoralis	Falco femoralis septentrionalis	Falconidae	eBird Clements Checklist v2017	29.94166667	-106.2083333	1383	NA	1893	Mexico	Sueco	grassland	1	1998	5	2002	NA	Animalia	Chordata	Aves	Passeriformes	NA	NA	NA	NA	yes	NA	NA	NA	NA	0.008	Wt_or_Vol	NA	NA	24	prey remains	Each site was defined as a territory where there was one or more nesting pairs were present	DR	"Macias-Duarte, A., A. B. Montoya, W. G. Hunt, A. Lafon-Terrazas, and R. Tafanelli. 2004. Reproduction, prey, and habitat of the aplomado falcon (Falco Femoralis) in desert grasslands of Chihuahua, Mexico. The Auk, 121(4):1081-1093."
Aplomado Falcon	Falco femoralis	Falco femoralis septentrionalis	Falconidae	eBird Clements Checklist v2017	29.94166667	-106.2083333	1383	NA	1893	Mexico	Sueco	grassland	1	1998	5	2002	NA	Animalia	Chordata	Aves	Passeriformes	NA	Emberizidae	NA	Spizella passerina	no	NA	NA	NA	NA	0.001	Wt_or_Vol	NA	NA	24	prey remains	Each site was defined as a territory where there was one or more nesting pairs were present	DR	"Macias-Duarte, A., A. B. Montoya, W. G. Hunt, A. Lafon-Terrazas, and R. Tafanelli. 2004. Reproduction, prey, and habitat of the aplomado falcon (Falco Femoralis) in desert grasslands of Chihuahua, Mexico. The Auk, 121(4):1081-1093."
Aplomado Falcon	Falco femoralis	Falco femoralis septentrionalis	Falconidae	eBird Clements Checklist v2017	29.94166667	-106.2083333	1383	NA	1893	Mexico	Sueco	grassland	1	1998	5	2002	NA	Animalia	Chordata	Aves	Passeriformes	NA	Emberizidae	Ammodramus	NA	no	NA	NA	NA	NA	0.011	Wt_or_Vol	NA	NA	24	prey remains	Each site was defined as a territory where there was one or more nesting pairs were present	DR	"Macias-Duarte, A., A. B. Montoya, W. G. Hunt, A. Lafon-Terrazas, and R. Tafanelli. 2004. Reproduction, prey, and habitat of the aplomado falcon (Falco Femoralis) in desert grasslands of Chihuahua, Mexico. The Auk, 121(4):1081-1093."
Aplomado Falcon	Falco femoralis	Falco femoralis septentrionalis	Falconidae	eBird Clements Checklist v2017	29.94166667	-106.2083333	1383	NA	1893	Mexico	Sueco	grassland	1	1998	5	2002	NA	Animalia	Chordata	Aves	Passeriformes	NA	Emberizidae	NA	Passerculus sandwichensis	no	NA	NA	NA	NA	0.006	Wt_or_Vol	NA	NA	24	prey remains	Each site was defined as a territory where there was one or more nesting pairs were present	DR	"Macias-Duarte, A., A. B. Montoya, W. G. Hunt, A. Lafon-Terrazas, and R. Tafanelli. 2004. Reproduction, prey, and habitat of the aplomado falcon (Falco Femoralis) in desert grasslands of Chihuahua, Mexico. The Auk, 121(4):1081-1093."
Aplomado Falcon	Falco femoralis	Falco femoralis septentrionalis	Falconidae	eBird Clements Checklist v2017	29.94166667	-106.2083333	1383	NA	1893	Mexico	Sueco	grassland	1	1998	5	2002	NA	Animalia	Chordata	Aves	Passeriformes	NA	Emberizidae	NA	Peucaea cassinii	no	NA	NA	NA	NA	0.02	Wt_or_Vol	NA	NA	24	prey remains	Each site was defined as a territory where there was one or more nesting pairs were present	DR	"Macias-Duarte, A., A. B. Montoya, W. G. Hunt, A. Lafon-Terrazas, and R. Tafanelli. 2004. Reproduction, prey, and habitat of the aplomado falcon (Falco Femoralis) in desert grasslands of Chihuahua, Mexico. The Auk, 121(4):1081-1093."
Aplomado Falcon	Falco femoralis	Falco femoralis septentrionalis	Falconidae	eBird Clements Checklist v2017	29.94166667	-106.2083333	1383	NA	1893	Mexico	Sueco	grassland	1	1998	5	2002	NA	Animalia	Chordata	Aves	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	0.012	Wt_or_Vol	NA	NA	24	prey remains	Each site was defined as a territory where there was one or more nesting pairs were present	DR	"Macias-Duarte, A., A. B. Montoya, W. G. Hunt, A. Lafon-Terrazas, and R. Tafanelli. 2004. Reproduction, prey, and habitat of the aplomado falcon (Falco Femoralis) in desert grasslands of Chihuahua, Mexico. The Auk, 121(4):1081-1093."
Aplomado Falcon	Falco femoralis	Falco femoralis septentrionalis	Falconidae	eBird Clements Checklist v2017	29.94166667	-106.2083333	1383	NA	1893	Mexico	Sueco	grassland	1	1998	5	2002	NA	Animalia	Chordata	Aves	Passeriformes	NA	Alaudidae	NA	Eremophila alpestris	no	NA	NA	NA	NA	0.319	Wt_or_Vol	NA	NA	24	prey remains	Each site was defined as a territory where there was one or more nesting pairs were present	DR	"Macias-Duarte, A., A. B. Montoya, W. G. Hunt, A. Lafon-Terrazas, and R. Tafanelli. 2004. Reproduction, prey, and habitat of the aplomado falcon (Falco Femoralis) in desert grasslands of Chihuahua, Mexico. The Auk, 121(4):1081-1093."
Aplomado Falcon	Falco femoralis	Falco femoralis septentrionalis	Falconidae	eBird Clements Checklist v2017	29.94166667	-106.2083333	1383	NA	1893	Mexico	Sueco	grassland	1	1998	5	2002	NA	Animalia	Chordata	Aves	Passeriformes	NA	Laniidae	NA	Lanius ludovicianus	no	NA	NA	NA	NA	0.045	Wt_or_Vol	NA	NA	24	prey remains	Each site was defined as a territory where there was one or more nesting pairs were present	DR	"Macias-Duarte, A., A. B. Montoya, W. G. Hunt, A. Lafon-Terrazas, and R. Tafanelli. 2004. Reproduction, prey, and habitat of the aplomado falcon (Falco Femoralis) in desert grasslands of Chihuahua, Mexico. The Auk, 121(4):1081-1093."
Aplomado Falcon	Falco femoralis	Falco femoralis septentrionalis	Falconidae	eBird Clements Checklist v2017	29.94166667	-106.2083333	1383	NA	1893	Mexico	Sueco	grassland	1	1998	5	2002	NA	Animalia	Chordata	Aves	Passeriformes	NA	Emberizidae	NA	Pooecetes gramineus	no	NA	NA	NA	NA	0.012	Wt_or_Vol	NA	NA	24	prey remains	Each site was defined as a territory where there was one or more nesting pairs were present	DR	"Macias-Duarte, A., A. B. Montoya, W. G. Hunt, A. Lafon-Terrazas, and R. Tafanelli. 2004. Reproduction, prey, and habitat of the aplomado falcon (Falco Femoralis) in desert grasslands of Chihuahua, Mexico. The Auk, 121(4):1081-1093."
