Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Unidentified	Prey_Name_ITIS_ID	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
Greater Sage-Grouse	Centrocercus urophasianus	NA	Phasianidae	eBird Clements Checklist v2017	NA	NA	1200	NA	2450	Oregon	eastern Lake county; western Harney county	grassland	3	1990	4	1990	spring	Plantae	Tracheophyta	Magnoliopsida	Asterales	NA	Asteraceae	Artemisia	NA	no			NA	NA	sagebrush	1	Occurrence	NA	7	1	crop contents	data specificied for pre-laying sage grouse hens in big sagebrush areas	AR	"Barnett, J. F. and J. A. Crawford. 1994. Pre-laying nutrition of Sage Grouse hens in Oregon. J. Range Manage. 47:114-118."
Greater Sage-Grouse	Centrocercus urophasianus	NA	Phasianidae	eBird Clements Checklist v2017	NA	NA	1200	NA	2450	Oregon	eastern Lake county; western Harney county	grassland	3	1990	4	1990	spring	Plantae	Tracheophyta	Magnoliopsida	Apiales	NA	Apiaceae	Lomatium	NA	no			NA	NA	desert-parsley	0.86	Occurrence	NA	7	1	crop contents	data specificied for pre-laying sage grouse hens in big sagebrush areas	AR	"Barnett, J. F. and J. A. Crawford. 1994. Pre-laying nutrition of Sage Grouse hens in Oregon. J. Range Manage. 47:114-118."
Greater Sage-Grouse	Centrocercus urophasianus	NA	Phasianidae	eBird Clements Checklist v2017	NA	NA	1200	NA	2450	Oregon	eastern Lake county; western Harney county	grassland	3	1990	4	1990	spring	Plantae	Tracheophyta	Magnoliopsida	Asterales	NA	Asteraceae	Crepis	NA	no			NA	NA	hawksbeard	0.57	Occurrence	NA	7	1	crop contents	data specificied for pre-laying sage grouse hens in big sagebrush areas	AR	"Barnett, J. F. and J. A. Crawford. 1994. Pre-laying nutrition of Sage Grouse hens in Oregon. J. Range Manage. 47:114-118."
Greater Sage-Grouse	Centrocercus urophasianus	NA	Phasianidae	eBird Clements Checklist v2017	NA	NA	1200	NA	2450	Oregon	eastern Lake county; western Harney county	grassland	3	1990	4	1990	spring	Plantae	Tracheophyta	Magnoliopsida	Ericales	NA	Polemoniaceae	NA	Phlox longifolia	no			NA	NA	longleaf phlox	0.86	Occurrence	NA	7	1	crop contents	data specificied for pre-laying sage grouse hens in big sagebrush areas	AR	"Barnett, J. F. and J. A. Crawford. 1994. Pre-laying nutrition of Sage Grouse hens in Oregon. J. Range Manage. 47:114-118."
Greater Sage-Grouse	Centrocercus urophasianus	NA	Phasianidae	eBird Clements Checklist v2017	NA	NA	1200	NA	2450	Oregon	eastern Lake county; western Harney county	grassland	3	1990	4	1990	spring	Plantae	Tracheophyta	Magnoliopsida	Asterales	NA	Asteraceae	Agoseris	NA	no			NA	NA	mountain dandelion	0.28	Occurrence	NA	7	1	crop contents	data specificied for pre-laying sage grouse hens in big sagebrush areas	AR	"Barnett, J. F. and J. A. Crawford. 1994. Pre-laying nutrition of Sage Grouse hens in Oregon. J. Range Manage. 47:114-118."
Greater Sage-Grouse	Centrocercus urophasianus	NA	Phasianidae	eBird Clements Checklist v2017	NA	NA	1200	NA	2450	Oregon	eastern Lake county; western Harney county	grassland	3	1990	4	1990	spring	Plantae	Tracheophyta	Magnoliopsida	Asterales	NA	Asteraceae	Antennaria	NA	no			NA	NA	everlasting	0.43	Occurrence	NA	7	1	crop contents	data specificied for pre-laying sage grouse hens in big sagebrush areas	AR	"Barnett, J. F. and J. A. Crawford. 1994. Pre-laying nutrition of Sage Grouse hens in Oregon. J. Range Manage. 47:114-118."
Greater Sage-Grouse	Centrocercus urophasianus	NA	Phasianidae	eBird Clements Checklist v2017	NA	NA	1200	NA	2450	Oregon	eastern Lake county; western Harney county	grassland	3	1990	4	1990	spring	Plantae	Tracheophyta	Magnoliopsida	Fabales	NA	Fabaceae	NA	Astragalus purshii	no			NA	NA	woollypod milkvetch	0.57	Occurrence	NA	7	1	crop contents	data specificied for pre-laying sage grouse hens in big sagebrush areas	AR	"Barnett, J. F. and J. A. Crawford. 1994. Pre-laying nutrition of Sage Grouse hens in Oregon. J. Range Manage. 47:114-118."
Greater Sage-Grouse	Centrocercus urophasianus	NA	Phasianidae	eBird Clements Checklist v2017	NA	NA	1200	NA	2450	Oregon	eastern Lake county; western Harney county	grassland	3	1990	4	1990	spring	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	NA	Polygonaceae	Eriogonum	NA	no			NA	NA	buckwheat	0.14	Occurrence	NA	7	1	crop contents	data specificied for pre-laying sage grouse hens in big sagebrush areas	AR	"Barnett, J. F. and J. A. Crawford. 1994. Pre-laying nutrition of Sage Grouse hens in Oregon. J. Range Manage. 47:114-118."
Greater Sage-Grouse	Centrocercus urophasianus	NA	Phasianidae	eBird Clements Checklist v2017	NA	NA	1200	NA	2450	Oregon	eastern Lake county; western Harney county	grassland	3	1990	4	1990	spring	Plantae	Tracheophyta	Magnoliopsida	Ericales	NA	Polemoniaceae	Phlox	NA	yes			NA	NA	phlox	0.14	Occurrence	NA	7	1	crop contents	data specificied for pre-laying sage grouse hens in big sagebrush areas	AR	"Barnett, J. F. and J. A. Crawford. 1994. Pre-laying nutrition of Sage Grouse hens in Oregon. J. Range Manage. 47:114-118."
Greater Sage-Grouse	Centrocercus urophasianus	NA	Phasianidae	eBird Clements Checklist v2017	NA	NA	1200	NA	2450	Oregon	eastern Lake county; western Harney county	grassland	3	1990	4	1990	spring	Plantae	Tracheophyta	Magnoliopsida	Brassicales	NA	Brassicaceae	Arabis	NA	no			NA	NA	rockcress	0.14	Occurrence	NA	7	1	crop contents	data specificied for pre-laying sage grouse hens in big sagebrush areas	AR	"Barnett, J. F. and J. A. Crawford. 1994. Pre-laying nutrition of Sage Grouse hens in Oregon. J. Range Manage. 47:114-118."
