"Common_Name"	"Scientific_Name"	"Subspecies"	"Family"	"Taxonomy"	"Longitude_dd"	"Latitude_dd"	"Altitude_min_m"	"Altitude_mean_m"	"Altitude_max_m"	"Location_Region"	"Location_Specific"	"Habitat_type"	"Observation_Month_Begin"	"Observation_Year_Begin"	"Observation_Month_End"	"Observation_Year_End"	"Observation_Season"	"Prey_Kingdom"	"Prey_Phylum"	"Prey_Class"	"Prey_Order"	"Prey_Suborder"	"Prey_Family"	"Prey_Genus"	"Prey_Scientific_Name"	"Unidentified"	"Prey_Name_ITIS_ID"	"Prey_Name_Status"	"Prey_Stage"	"Prey_Part"	"Prey_Common_Name"	"Fraction_Diet"	"Diet_Type"	"Item_Sample_Size"	"Bird_Sample_Size"	"Sites"	"Study_Type"	"Notes"	"Entered_By"	"Source"
"Barn Owl"	"Tyto alba"	NA	"Tytonidae"	"eBird Clements Checklist v2017"	NA	NA	NA	NA	NA	"California"	"Salton Sea"	"desert"	12	1985	NA	1988	"multiple"	"Animalia"	"Chordata"	"Mammalia"	"Rodentia"	"Castorimorpha"	"Geomyidae"	"Thomomys"	"Thomomys bottae"	"no"	"180222"	"verified"	NA	NA	"Pocket Gopher"	0.19	"Items"	57	NA	1	"pellet contents"	"For the column \observation month end\\" the paper did not specify a specific month but instead mentioned it finished prey diet collection in the \\"summer.\\" The number 6 is an arbitary number assigned to best reflect author's intentions.\""	"DR"	"Barrows, C. W. 1989. Diets of five species of desert owls. West. Birds 20:1-10."
"Barn Owl"	"Tyto alba"	NA	"Tytonidae"	"eBird Clements Checklist v2017"	NA	NA	NA	NA	NA	"California"	"Salton Sea"	"desert"	12	1985	NA	1988	"multiple"	"Animalia"	"Chordata"	"Mammalia"	"Rodentia"	"Castorimorpha"	"Heteromyidae"	"Dipodomys"	NA	"no"	"180232"	"verified"	NA	NA	"Kangaroo rat"	0.08	"Items"	57	NA	1	"pellet contents"	"For the column \observation month end\\" the paper did not specify a specific month but instead mentioned it finished prey diet collection in the \\"summer.\\" The number 6 is an arbitary number assigned to best reflect author's intentions.\""	"DR"	"Barrows, C. W. 1989. Diets of five species of desert owls. West. Birds 20:1-10."
"Barn Owl"	"Tyto alba"	NA	"Tytonidae"	"eBird Clements Checklist v2017"	NA	NA	NA	NA	NA	"California"	"Salton Sea"	"desert"	12	1985	NA	1988	"multiple"	"Animalia"	"Chordata"	"Mammalia"	"Rodentia"	"Castorimorpha"	"Heteromyidae"	"Perognathus"	NA	"no"	"180254"	"verified"	NA	NA	"Pocket mice"	0.72	"Items"	57	NA	1	"pellet contents"	"For the column \observation month end\\" the paper did not specify a specific month but instead mentioned it finished prey diet collection in the \\"summer.\\" The number 6 is an arbitary number assigned to best reflect author's intentions.\""	"DR"	"Barrows, C. W. 1989. Diets of five species of desert owls. West. Birds 20:1-10."
"Barn Owl"	"Tyto alba"	NA	"Tytonidae"	"eBird Clements Checklist v2017"	NA	NA	NA	NA	NA	"California"	"Orocopia Mountain"	"desert"	12	1985	NA	1988	"multiple"	"Animalia"	"Chordata"	"Mammalia"	"Rodentia"	"Myomorpha"	"Cricetidae"	"Neotoma"	NA	"no"	"180369"	"verified"	NA	NA	"Woodrat"	0.06	"Items"	233	NA	1	"pellet contents"	"For the column \observation month end\\" the paper did not specify a specific month but instead mentioned it finished prey diet collection in the \\"summer.\\" The number 6 is an arbitary number assigned to best reflect author's intentions.\""	"DR"	"Barrows, C. W. 1989. Diets of five species of desert owls. West. Birds 20:1-10."
"Barn Owl"	"Tyto alba"	NA	"Tytonidae"	"eBird Clements Checklist v2017"	NA	NA	NA	NA	NA	"California"	"Orocopia Mountain"	"desert"	12	1985	NA	1988	"multiple"	"Animalia"	"Chordata"	"Mammalia"	"Rodentia"	"Castorimorpha"	"Geomyidae"	"Thomomys"	"Thomomys bottae"	"no"	"180222"	"verified"	NA	NA	"Pocket Gopher"	0.12	"Items"	233	NA	1	"pellet contents"	"For the column \observation month end\\" the paper did not specify a specific month but instead mentioned it finished prey diet collection in the \\"summer.\\" The number 6 is an arbitary number assigned to best reflect author's intentions.\""	"DR"	"Barrows, C. W. 1989. Diets of five species of desert owls. West. Birds 20:1-10."
"Barn Owl"	"Tyto alba"	NA	"Tytonidae"	"eBird Clements Checklist v2017"	NA	NA	NA	NA	NA	"California"	"Orocopia Mountain"	"desert"	12	1985	NA	1988	"multiple"	"Animalia"	"Chordata"	"Mammalia"	"Rodentia"	"Castorimorpha"	"Heteromyidae"	"Dipodomys"	NA	"no"	"180232"	"verified"	NA	NA	"Kangaroo rat"	0.1	"Items"	233	NA	1	"pellet contents"	"For the column \observation month end\\" the paper did not specify a specific month but instead mentioned it finished prey diet collection in the \\"summer.\\" The number 6 is an arbitary number assigned to best reflect author's intentions.\""	"DR"	"Barrows, C. W. 1989. Diets of five species of desert owls. West. Birds 20:1-10."
"Barn Owl"	"Tyto alba"	NA	"Tytonidae"	"eBird Clements Checklist v2017"	NA	NA	NA	NA	NA	"California"	"Orocopia Mountain"	"desert"	12	1985	NA	1988	"multiple"	"Animalia"	"Chordata"	"Mammalia"	"Rodentia"	"Castorimorpha"	"Heteromyidae"	"Perognathus"	NA	"no"	"180254"	"verified"	NA	NA	"Pocket mice"	0.68	"Items"	233	NA	1	"pellet contents"	"For the column \observation month end\\" the paper did not specify a specific month but instead mentioned it finished prey diet collection in the \\"summer.\\" The number 6 is an arbitary number assigned to best reflect author's intentions.\""	"DR"	"Barrows, C. W. 1989. Diets of five species of desert owls. West. Birds 20:1-10."
"Barn Owl"	"Tyto alba"	NA	"Tytonidae"	"eBird Clements Checklist v2017"	NA	NA	NA	NA	NA	"California"	"Orocopia Mountain"	"desert"	12	1985	NA	1988	"multiple"	"Animalia"	"Chordata"	"Mammalia"	"Rodentia"	"Myomorpha"	"Cricetidae"	"Peromyscus"	NA	"no"	"180275"	"verified"	NA	NA	"Deer mice"	0.02	"Items"	233	NA	1	"pellet contents"	"For the column \observation month end\\" the paper did not specify a specific month but instead mentioned it finished prey diet collection in the \\"summer.\\" The number 6 is an arbitary number assigned to best reflect author's intentions.\""	"DR"	"Barrows, C. W. 1989. Diets of five species of desert owls. West. Birds 20:1-10."
"Barn Owl"	"Tyto alba"	NA	"Tytonidae"	"eBird Clements Checklist v2017"	NA	NA	NA	NA	NA	"California"	"Orocopia Mountain"	"desert"	12	1985	NA	1988	"multiple"	"Animalia"	"Chordata"	"Mammalia"	"Rodentia"	"Myomorpha"	"Cricetidae"	"Microtus"	NA	"no"	"180296"	"verified"	NA	NA	"Vole"	0.01	"Items"	233	NA	1	"pellet contents"	"For the column \observation month end\\" the paper did not specify a specific month but instead mentioned it finished prey diet collection in the \\"summer.\\" The number 6 is an arbitary number assigned to best reflect author's intentions.\""	"DR"	"Barrows, C. W. 1989. Diets of five species of desert owls. West. Birds 20:1-10."
"Barn Owl"	"Tyto alba"	NA	"Tytonidae"	"eBird Clements Checklist v2017"	NA	NA	NA	NA	NA	"California"	"Horseshoe Palm"	"desert"	12	1985	NA	1988	"multiple"	"Animalia"	"Chordata"	"Mammalia"	"Rodentia"	"Myomorpha"	"Cricetidae"	"Neotoma"	NA	"no"	"180369"	"verified"	NA	NA	"Woodrat"	0.03	"Items"	67	NA	1	"pellet contents"	"For the column \observation month end\\" the paper did not specify a specific month but instead mentioned it finished prey diet collection in the \\"summer.\\" The number 6 is an arbitary number assigned to best reflect author's intentions.\""	"DR"	"Barrows, C. W. 1989. Diets of five species of desert owls. West. Birds 20:1-10."
