Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Unidentified	Prey_Name_ITIS_ID	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
Rivoli's Hummingbird	Eugenes fulgens	NA	Trochilidae	eBird Clements checklist v2017	NA	NA	1828.8	NA	2651.76	Arizona	Huachuca Mountains	NA	7	1932	7	1932	NA	Animalia	Arthropoda	Insecta	Hemiptera	Heteroptera	Miridae	NA	NA	no		NA	NA	Leaf Bugs	0.0167	Items	NA	3	NA	stomach contents		AR	"Cottam, C. and P. Knappen. 1939. Food of some uncommon North American birds. Auk 56:138-169."
Rivoli's Hummingbird	Eugenes fulgens	NA	Trochilidae	eBird Clements checklist v2017	NA	NA	1828.8	NA	2651.76	Arizona	Huachuca Mountains	NA	7	1932	7	1932	NA	Animalia	Arthropoda	Insecta	Hemiptera	Sternorrhyncha	Aphididae	NA	NA	no		NA	NA	Plant lice	0.1167	Items	NA	3	NA	stomach contents		AR	"Cottam, C. and P. Knappen. 1939. Food of some uncommon North American birds. Auk 56:138-169."
Rivoli's Hummingbird	Eugenes fulgens	NA	Trochilidae	eBird Clements checklist v2017	NA	NA	1828.8	NA	2651.76	Arizona	Huachuca Mountains	NA	7	1932	7	1932	NA	Animalia	Arthropoda	Insecta	Hemiptera	Auchenorrhyncha	Cicadellidae	NA	NA	no		NA	NA	Leaf hoppers	0.1	Items	NA	3	NA	stomach contents		AR	"Cottam, C. and P. Knappen. 1939. Food of some uncommon North American birds. Auk 56:138-169."
Rivoli's Hummingbird	Eugenes fulgens	NA	Trochilidae	eBird Clements checklist v2017	NA	NA	1828.8	NA	2651.76	Arizona	Huachuca Mountains	NA	7	1932	7	1932	NA	Animalia	Arthropoda	Insecta	Hymenoptera	Apocrita	Chalcididae	NA	NA	no		NA	NA	Parasitic wasps	0.1	Items	NA	3	NA	stomach contents		AR	"Cottam, C. and P. Knappen. 1939. Food of some uncommon North American birds. Auk 56:138-169."
Rivoli's Hummingbird	Eugenes fulgens	NA	Trochilidae	eBird Clements checklist v2017	NA	NA	1828.8	NA	2651.76	Arizona	Huachuca Mountains	NA	7	1932	7	1932	NA	Animalia	Arthropoda	Insecta	Coleoptera	Polyphaga	Scraptiidae	Anaspis	NA	no		NA	NA	Beetles	0.04	Items	NA	3	NA	stomach contents		AR	"Cottam, C. and P. Knappen. 1939. Food of some uncommon North American birds. Auk 56:138-169."
Rivoli's Hummingbird	Eugenes fulgens	NA	Trochilidae	eBird Clements checklist v2017	NA	NA	1828.8	NA	2651.76	Arizona	Huachuca Mountains	NA	7	1932	7	1932	NA	Animalia	Arthropoda	Insecta	Diptera	NA	NA	NA	NA	no		NA	NA	Flies	0.26	Items	NA	3	NA	stomach contents		AR	"Cottam, C. and P. Knappen. 1939. Food of some uncommon North American birds. Auk 56:138-169."
Rivoli's Hummingbird	Eugenes fulgens	NA	Trochilidae	eBird Clements checklist v2017	NA	NA	1828.8	NA	2651.76	Arizona	Huachuca Mountains	NA	7	1932	7	1932	NA	Animalia	Arthropoda	Insecta	Lepidoptera	NA	NA	NA	NA	no		NA	NA	Moths	0.0333	Items	NA	3	NA	stomach contents		AR	"Cottam, C. and P. Knappen. 1939. Food of some uncommon North American birds. Auk 56:138-169."
Rivoli's Hummingbird	Eugenes fulgens	NA	Trochilidae	eBird Clements checklist v2017	NA	NA	1828.8	NA	2651.76	Arizona	Huachuca Mountains	NA	7	1932	7	1932	NA	Animalia	Arthropoda	Insecta	NA	NA	NA	NA	NA	yes		NA	NA	NA	0.0167	Items	NA	3	NA	stomach contents		AR	"Cottam, C. and P. Knappen. 1939. Food of some uncommon North American birds. Auk 56:138-169."
Rivoli's Hummingbird	Eugenes fulgens	NA	Trochilidae	eBird Clements checklist v2017	NA	NA	1828.8	NA	2651.76	Arizona	Huachuca Mountains	NA	7	1932	7	1932	NA	Animalia	Arthropoda	Arachnida	Araneae	NA	NA	NA	NA	no		NA	NA	Spiders	0.3166	Items	NA	3	NA	stomach contents		AR	"Cottam, C. and P. Knappen. 1939. Food of some uncommon North American birds. Auk 56:138-169."
Blue-throated Hummingbird	Lampornis clemenciae	Lampornis clemenciae bessophilus	Trochilidae	eBird Clements checklist v2017	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Animalia	Arthropoda	Insecta	Hemiptera	Heteroptera	NA	NA	NA	no		NA	NA	True bugs	0.0167	Items	NA	3	NA	stomach contents		AR	"Cottam, C. and P. Knappen. 1939. Food of some uncommon North American birds. Auk 56:138-169."
