Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Unidentified	Prey_Name_ITIS_ID	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
Prairie Falcon	Falco mexicanus	NA	Falconidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Wyoming	Campbell County	grassland	NA	1982	NA	1985	spring	Animalia	Chordata	Mammalia	Rodentia	NA	Sciuridae	NA	Spermophilus tridecemlineatus		NA	NA	NA	NA	13-lined ground squirrel	0.91	Occurrence	243	9	1	prey remains; pellet contents	Each bird sample number is a number of eyrie. 	DR	"Squires, J. R., S. H. Anderson, and R. Oakleaf. 1989. Food habits of nesting Prairie Falcons in Campbell County, Wyoming. J. Raptor Res. 23:157-161."
Prairie Falcon	Falco mexicanus	NA	Falconidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Wyoming	Campbell County	grassland	NA	1982	NA	1985	spring	Animalia	Chordata	Mammalia	Rodentia	NA	Sciuridae	NA	Eutamias minimus		NA	NA	NA	NA	Least Chipmunk	0.03	Occurrence	243	9	1	prey remains; pellet contents	Each bird sample number is a number of eyrie. 	DR	"Squires, J. R., S. H. Anderson, and R. Oakleaf. 1989. Food habits of nesting Prairie Falcons in Campbell County, Wyoming. J. Raptor Res. 23:157-161."
Prairie Falcon	Falco mexicanus	NA	Falconidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Wyoming	Campbell County	grassland	NA	1982	NA	1985	spring	Animalia	Chordata	Mammalia	Lagomorpha	NA	Leporidae	NA	NA	NA	NA	NA	NA	NA	Leporidae	0.03	Occurrence	243	9	1	prey remains; pellet contents	Each bird sample number is a number of eyrie. 	DR	"Squires, J. R., S. H. Anderson, and R. Oakleaf. 1989. Food habits of nesting Prairie Falcons in Campbell County, Wyoming. J. Raptor Res. 23:157-161."
Prairie Falcon	Falco mexicanus	NA	Falconidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Wyoming	Campbell County	grassland	NA	1982	NA	1985	spring	Animalia	Chordata	Mammalia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01	Occurrence	243	9	1	prey remains; pellet contents	Each bird sample number is a number of eyrie. 	DR	"Squires, J. R., S. H. Anderson, and R. Oakleaf. 1989. Food habits of nesting Prairie Falcons in Campbell County, Wyoming. J. Raptor Res. 23:157-161."
Prairie Falcon	Falco mexicanus	NA	Falconidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Wyoming	Campbell County	grassland	NA	1982	NA	1985	spring	Animalia	Chordata	Mammalia	Artiodactyla	NA	Cervidae	NA	Odocoileus heminonus		NA	NA	NA	NA	Mule Deer	0.01	Occurrence	243	9	1	prey remains; pellet contents	Each bird sample number is a number of eyrie. 	DR	"Squires, J. R., S. H. Anderson, and R. Oakleaf. 1989. Food habits of nesting Prairie Falcons in Campbell County, Wyoming. J. Raptor Res. 23:157-161."
Prairie Falcon	Falco mexicanus	NA	Falconidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Wyoming	Campbell County	grassland	NA	1982	NA	1985	spring	Animalia	Chordata	Aves	Passeriformes	NA	Icteridae	NA	Sturnella neglecta		NA	NA	NA	NA	Western Meadowlark	0.56	Occurrence	243	9	1	prey remains; pellet contents	Each bird sample number is a number of eyrie. 	DR	"Squires, J. R., S. H. Anderson, and R. Oakleaf. 1989. Food habits of nesting Prairie Falcons in Campbell County, Wyoming. J. Raptor Res. 23:157-161."
Prairie Falcon	Falco mexicanus	NA	Falconidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Wyoming	Campbell County	grassland	NA	1982	NA	1985	spring	Animalia	Chordata	Aves	Passeriformes	NA	Alaudidae	NA	Eremophila alpestris		NA	NA	NA	NA	Horned Lark	0.23	Occurrence	243	9	1	prey remains; pellet contents	Each bird sample number is a number of eyrie. 	DR	"Squires, J. R., S. H. Anderson, and R. Oakleaf. 1989. Food habits of nesting Prairie Falcons in Campbell County, Wyoming. J. Raptor Res. 23:157-161."
Prairie Falcon	Falco mexicanus	NA	Falconidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Wyoming	Campbell County	grassland	NA	1982	NA	1985	spring	Animalia	Chordata	Aves	Passeriformes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.19	Occurrence	243	9	1	prey remains; pellet contents	Each bird sample number is a number of eyrie. 	DR	"Squires, J. R., S. H. Anderson, and R. Oakleaf. 1989. Food habits of nesting Prairie Falcons in Campbell County, Wyoming. J. Raptor Res. 23:157-161."
Prairie Falcon	Falco mexicanus	NA	Falconidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Wyoming	Campbell County	grassland	NA	1982	NA	1985	spring	Animalia	Chordata	Aves	Passeriformes	NA	Passerellidae	NA	Calamospiza melanocorys		NA	NA	NA	NA	Lark Bunting	0.12	Occurrence	243	9	1	prey remains; pellet contents	Each bird sample number is a number of eyrie. 	DR	"Squires, J. R., S. H. Anderson, and R. Oakleaf. 1989. Food habits of nesting Prairie Falcons in Campbell County, Wyoming. J. Raptor Res. 23:157-161."
Prairie Falcon	Falco mexicanus	NA	Falconidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Wyoming	Campbell County	grassland	NA	1982	NA	1985	spring	Animalia	Chordata	Aves	Passeriformes	NA	Fringillidae	NA	Calcarius mccownii		NA	NA	NA	NA	McCown's Longspur	0.05	Occurrence	243	9	1	prey remains; pellet contents	Each bird sample number is a number of eyrie. 	DR	"Squires, J. R., S. H. Anderson, and R. Oakleaf. 1989. Food habits of nesting Prairie Falcons in Campbell County, Wyoming. J. Raptor Res. 23:157-161."
