Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Unidentified	Prey_Name_ITIS_ID	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
Sooty Grouse	Dendragapus fuliginosus	Dendragapus fuliginosus fuliginosus	Phasianidae	eBird Clements Checklist v2017	NA	NA	NA	NA	NA	British Columbia	Vancouver Island	coniferous forest	6	1958	7	1958	spring	Animalia	Arthropoda	Malacostraca	Isopoda	NA	NA	NA	NA	no			NA	NA	NA	0.4	Occurrence	NA	19	2	crop contents	data specifically for blue grouse chicks	AR	"Stiven, A. E. 1961. Food energy available for and required by the Blue Grouse chick. Ecology 42:547-553"
Sooty Grouse	Dendragapus fuliginosus	Dendragapus fuliginosus fuliginosus	Phasianidae	eBird Clements Checklist v2017	NA	NA	NA	NA	NA	British Columbia	Vancouver Island	coniferous forest	6	1958	7	1958	spring	Animalia	Arthropoda	Insecta	Hemiptera	Homoptera	NA	NA	NA	no			NA	NA	NA	0.5	Occurrence	NA	19	2	crop contents	data specifically for blue grouse chicks	AR	"Stiven, A. E. 1961. Food energy available for and required by the Blue Grouse chick. Ecology 42:547-553"
Sooty Grouse	Dendragapus fuliginosus	Dendragapus fuliginosus fuliginosus	Phasianidae	eBird Clements Checklist v2017	NA	NA	NA	NA	NA	British Columbia	Vancouver Island	coniferous forest	6	1958	7	1958	spring	Animalia	Arthropoda	Insecta	Hemiptera	Heteroptera	NA	NA	NA	no			NA	NA	NA	0.05	Occurrence	NA	19	2	crop contents	data specifically for blue grouse chicks	AR	"Stiven, A. E. 1961. Food energy available for and required by the Blue Grouse chick. Ecology 42:547-553"
Sooty Grouse	Dendragapus fuliginosus	Dendragapus fuliginosus fuliginosus	Phasianidae	eBird Clements Checklist v2017	NA	NA	NA	NA	NA	British Columbia	Vancouver Island	coniferous forest	6	1958	7	1958	spring	Animalia	Arthropoda	Insecta	Coleoptera	NA	NA	NA	NA	no			NA	NA	NA	0.25	Occurrence	NA	19	2	crop contents	data specifically for blue grouse chicks	AR	"Stiven, A. E. 1961. Food energy available for and required by the Blue Grouse chick. Ecology 42:547-553"
Sooty Grouse	Dendragapus fuliginosus	Dendragapus fuliginosus fuliginosus	Phasianidae	eBird Clements Checklist v2017	NA	NA	NA	NA	NA	British Columbia	Vancouver Island	coniferous forest	6	1958	7	1958	spring	Animalia	Arthropoda	Insecta	Hymenoptera	NA	Formicidae	NA	NA	no			NA	NA	NA	0.9	Occurrence	NA	19	2	crop contents	data specifically for blue grouse chicks	AR	"Stiven, A. E. 1961. Food energy available for and required by the Blue Grouse chick. Ecology 42:547-553"
Sooty Grouse	Dendragapus fuliginosus	Dendragapus fuliginosus fuliginosus	Phasianidae	eBird Clements Checklist v2017	NA	NA	NA	NA	NA	British Columbia	Vancouver Island	coniferous forest	6	1958	7	1958	spring	Animalia	Arthropoda	Insecta	Diptera	NA	NA	NA	NA	no			NA	NA	NA	0.2	Occurrence	NA	19	2	crop contents	data specifically for blue grouse chicks	AR	"Stiven, A. E. 1961. Food energy available for and required by the Blue Grouse chick. Ecology 42:547-553"
Sooty Grouse	Dendragapus fuliginosus	Dendragapus fuliginosus fuliginosus	Phasianidae	eBird Clements Checklist v2017	NA	NA	NA	NA	NA	British Columbia	Vancouver Island	coniferous forest	6	1958	7	1958	spring	Animalia	Arthropoda	Insecta	Lepidoptera	NA	NA	NA	NA	no			NA	NA	NA	0.05	Occurrence	NA	19	2	crop contents	data specifically for blue grouse chicks	AR	"Stiven, A. E. 1961. Food energy available for and required by the Blue Grouse chick. Ecology 42:547-553"
Sooty Grouse	Dendragapus fuliginosus	Dendragapus fuliginosus fuliginosus	Phasianidae	eBird Clements Checklist v2017	NA	NA	NA	NA	NA	British Columbia	Vancouver Island	coniferous forest	6	1958	7	1958	spring	Animalia	Arthropoda	Arachnida	NA	NA	NA	NA	NA	no			NA	NA	NA	0.1	Occurrence	NA	19	2	crop contents	data specifically for blue grouse chicks	AR	"Stiven, A. E. 1961. Food energy available for and required by the Blue Grouse chick. Ecology 42:547-553"
Sooty Grouse	Dendragapus fuliginosus	Dendragapus fuliginosus fuliginosus	Phasianidae	eBird Clements Checklist v2017	NA	NA	NA	NA	NA	British Columbia	Vancouver Island	coniferous forest	6	1958	7	1958	spring	Animalia	Myriapoda	NA	NA	NA	NA	NA	NA	no			NA	NA	NA	0.05	Occurrence	NA	19	2	crop contents	data specifically for blue grouse chicks	AR	"Stiven, A. E. 1961. Food energy available for and required by the Blue Grouse chick. Ecology 42:547-553"
Sooty Grouse	Dendragapus fuliginosus	Dendragapus fuliginosus fuliginosus	Phasianidae	eBird Clements Checklist v2017	NA	NA	NA	NA	NA	British Columbia	Vancouver Island	coniferous forest	6	1958	7	1958	spring	Animalia	NA	NA	NA	NA	NA	NA	NA	yes			larva	NA	unidentified larvae	0.6	Occurrence	NA	19	2	crop contents	data specifically for blue grouse chicks	AR	"Stiven, A. E. 1961. Food energy available for and required by the Blue Grouse chick. Ecology 42:547-553"
