Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Unidentified	Prey_Name_ITIS_ID	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
Greater Sage-Grouse	Centrocercus urophasianus	NA	Phasianidae	eBird Clements Checklist v2017	NA	NA	NA	NA	NA	Utah	Dixie National Forest	grassland	6	1952	9	1952	summer	Plantae	Tracheophyta	Magnoliopsida	Fabales	NA	Fabaceae	Astragalus	NA	no			NA	NA	milkvetch	0.25	Occurrence	NA	4	1	stomach contents	data pertains to adult sage grouse specifically	AR	"Trueblood, R. W. 1954. The effect of grass reseeding in sagebrush lands on Sage Grouse populations. Master's Thesis. Utah State Agric. Coll., Logan."
Greater Sage-Grouse	Centrocercus urophasianus	NA	Phasianidae	eBird Clements Checklist v2017	NA	NA	NA	NA	NA	Utah	Dixie National Forest	grassland	6	1952	9	1952	summer	Plantae	Tracheophyta	Magnoliopsida	Asterales	NA	Asteraceae	NA	Taraxacum officinale	no			NA	NA	common dandelion	0.5	Occurrence	NA	4	1	stomach contents	data pertains to adult sage grouse specifically	AR	"Trueblood, R. W. 1954. The effect of grass reseeding in sagebrush lands on Sage Grouse populations. Master's Thesis. Utah State Agric. Coll., Logan."
Greater Sage-Grouse	Centrocercus urophasianus	NA	Phasianidae	eBird Clements Checklist v2017	NA	NA	NA	NA	NA	Utah	Dixie National Forest	grassland	6	1952	9	1952	summer	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	NA	Passifloraceae	NA	NA	no			NA	NA	NA	0.25	Occurrence	NA	4	1	stomach contents	data pertains to adult sage grouse specifically	AR	"Trueblood, R. W. 1954. The effect of grass reseeding in sagebrush lands on Sage Grouse populations. Master's Thesis. Utah State Agric. Coll., Logan."
Greater Sage-Grouse	Centrocercus urophasianus	NA	Phasianidae	eBird Clements Checklist v2017	NA	NA	NA	NA	NA	Utah	Dixie National Forest	grassland	6	1952	9	1952	summer	Plantae	Tracheophyta	Magnoliopsida	Asterales	NA	Asteraceae	NA	Achillea millefolium	no			NA	NA	common yarrow	0.75	Occurrence	NA	4	1	stomach contents	data pertains to adult sage grouse specifically	AR	"Trueblood, R. W. 1954. The effect of grass reseeding in sagebrush lands on Sage Grouse populations. Master's Thesis. Utah State Agric. Coll., Logan."
Greater Sage-Grouse	Centrocercus urophasianus	NA	Phasianidae	eBird Clements Checklist v2017	NA	NA	NA	NA	NA	Utah	Dixie National Forest	grassland	6	1952	9	1952	summer	Plantae	Tracheophyta	Magnoliopsida	Brassicales	NA	Brassicaceae	NA	Descurainia incisa	no			NA	NA	mountain tansymustard	0.5	Occurrence	NA	4	1	stomach contents	data pertains to adult sage grouse specifically	AR	"Trueblood, R. W. 1954. The effect of grass reseeding in sagebrush lands on Sage Grouse populations. Master's Thesis. Utah State Agric. Coll., Logan."
Greater Sage-Grouse	Centrocercus urophasianus	NA	Phasianidae	eBird Clements Checklist v2017	NA	NA	NA	NA	NA	Utah	Dixie National Forest	grassland	6	1952	9	1952	summer	Plantae	Tracheophyta	Magnoliopsida	Asterales	NA	Asteraceae	NA	Hymenoxys richardsonii	no			NA	NA	pingue rubberweed	0.25	Occurrence	NA	4	1	stomach contents	data pertains to adult sage grouse specifically	AR	"Trueblood, R. W. 1954. The effect of grass reseeding in sagebrush lands on Sage Grouse populations. Master's Thesis. Utah State Agric. Coll., Logan."
Greater Sage-Grouse	Centrocercus urophasianus	NA	Phasianidae	eBird Clements Checklist v2017	NA	NA	NA	NA	NA	Utah	Dixie National Forest	grassland	6	1952	9	1952	summer	Plantae	Tracheophyta	Magnoliopsida	Fabales	NA	NA	NA	NA	yes			NA	NA	NA	0.5	Occurrence	NA	4	1	stomach contents	data pertains to adult sage grouse specifically	AR	"Trueblood, R. W. 1954. The effect of grass reseeding in sagebrush lands on Sage Grouse populations. Master's Thesis. Utah State Agric. Coll., Logan."
Greater Sage-Grouse	Centrocercus urophasianus	NA	Phasianidae	eBird Clements Checklist v2017	NA	NA	NA	NA	NA	Utah	Dixie National Forest	grassland	6	1952	9	1952	summer	Plantae	Tracheophyta	Magnoliopsida	Asterales	NA	Asteraceae	NA	Artemisia nova	no			NA	NA	black sagebrush	1	Occurrence	NA	4	1	stomach contents	data pertains to adult sage grouse specifically	AR	"Trueblood, R. W. 1954. The effect of grass reseeding in sagebrush lands on Sage Grouse populations. Master's Thesis. Utah State Agric. Coll., Logan."
Greater Sage-Grouse	Centrocercus urophasianus	NA	Phasianidae	eBird Clements Checklist v2017	NA	NA	NA	NA	NA	Utah	Dixie National Forest	grassland	6	1952	9	1952	summer	Plantae	Tracheophyta	Magnoliopsida	Asterales	NA	Asteraceae	NA	Chrysothamnus viscidiflorus	no			NA	NA	yellow rabbitbrush	0.75	Occurrence	NA	4	1	stomach contents	data pertains to adult sage grouse specifically	AR	"Trueblood, R. W. 1954. The effect of grass reseeding in sagebrush lands on Sage Grouse populations. Master's Thesis. Utah State Agric. Coll., Logan."
Greater Sage-Grouse	Centrocercus urophasianus	NA	Phasianidae	eBird Clements Checklist v2017	NA	NA	NA	NA	NA	Utah	Dixie National Forest	grassland	6	1952	9	1952	summer	Plantae	Tracheophyta	Magnoliopsida	Asterales	NA	Asteraceae	NA	Artemisia frigida	no			NA	NA	prairie sagewort	0.5	Occurrence	NA	4	1	stomach contents	data pertains to adult sage grouse specifically	AR	"Trueblood, R. W. 1954. The effect of grass reseeding in sagebrush lands on Sage Grouse populations. Master's Thesis. Utah State Agric. Coll., Logan."
Greater Sage-Grouse	Centrocercus urophasianus	NA	Phasianidae	eBird Clements Checklist v2017	NA	NA	NA	NA	NA	Utah	Dixie National Forest	grassland	6	1952	9	1952	summer	Plantae	Tracheophyta	Magnoliopsida	Asterales	NA	NA	NA	NA	yes			NA	NA	NA	0.25	Occurrence	NA	4	1	stomach contents	data pertains to adult sage grouse specifically	AR	"Trueblood, R. W. 1954. The effect of grass reseeding in sagebrush lands on Sage Grouse populations. Master's Thesis. Utah State Agric. Coll., Logan."
