Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Analysis_Number	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Inclusive_Prey_Taxon	Prey_Name_ITIS_ID	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
Cattle Egret	Bubulcus ibis		Ardeidae	eBird Taxonomy 2019	NA	NA	NA	NA	NA	Taiwan	"Nan-tun, Shen-kang, and Tsao-hu heronries"	grassland; woodland; wetland; agriculture	5	1990	8	1990			Animalia			Blattodea	NA	NA	NA	NA	Yes			NA	NA		0.0007	Items	2824	52	3	Emetic	Blattoidea	MMS	"Yen, C. W. 1991. Food of nestling egrets and night herons in the western lowlands of central Taiwan. J. Taiwan Mus. 44:309-320."
Cattle Egret	Bubulcus ibis		Ardeidae	eBird Taxonomy 2019	NA	NA	NA	NA	NA	Taiwan	"Nan-tun, Shen-kang, and Tsao-hu heronries"	grassland; woodland; wetland; agriculture	5	1990	8	1990			Animalia			Mantodea	NA	NA	NA	NA	Yes			NA	NA		0.0007	Items	2824	52	3	Emetic	Mantoidea	MMS	"Yen, C. W. 1991. Food of nestling egrets and night herons in the western lowlands of central Taiwan. J. Taiwan Mus. 44:309-320."
Cattle Egret	Bubulcus ibis		Ardeidae	eBird Taxonomy 2019	NA	NA	NA	NA	NA	Taiwan	"Nan-tun, Shen-kang, and Tsao-hu heronries"	grassland; woodland; wetland; agriculture	5	1990	8	1990			Animalia					Acrididae	NA	NA	Yes			NA	NA		0.02	Items	2824	52	3	Emetic		MMS	"Yen, C. W. 1991. Food of nestling egrets and night herons in the western lowlands of central Taiwan. J. Taiwan Mus. 44:309-320."
Cattle Egret	Bubulcus ibis		Ardeidae	eBird Taxonomy 2019	NA	NA	NA	NA	NA	Taiwan	"Nan-tun, Shen-kang, and Tsao-hu heronries"	grassland; woodland; wetland; agriculture	5	1990	8	1990			Animalia					Gryllidae	NA	NA	No			NA	NA		0.007	Items	2824	52	3	Emetic		MMS	"Yen, C. W. 1991. Food of nestling egrets and night herons in the western lowlands of central Taiwan. J. Taiwan Mus. 44:309-320."
Cattle Egret	Bubulcus ibis		Ardeidae	eBird Taxonomy 2019	NA	NA	NA	NA	NA	Taiwan	"Nan-tun, Shen-kang, and Tsao-hu heronries"	grassland; woodland; wetland; agriculture	5	1990	8	1990			Animalia							Brachytrupes portentosus	Yes			NA	NA		0.002	Items	2824	52	3	Emetic		MMS	"Yen, C. W. 1991. Food of nestling egrets and night herons in the western lowlands of central Taiwan. J. Taiwan Mus. 44:309-320."
Cattle Egret	Bubulcus ibis		Ardeidae	eBird Taxonomy 2019	NA	NA	NA	NA	NA	Taiwan	"Nan-tun, Shen-kang, and Tsao-hu heronries"	grassland; woodland; wetland; agriculture	5	1990	8	1990			Animalia					Tettigoniidae	NA	NA	Yes			NA	NA		0.0004	Items	2824	52	3	Emetic		MMS	"Yen, C. W. 1991. Food of nestling egrets and night herons in the western lowlands of central Taiwan. J. Taiwan Mus. 44:309-320."
Cattle Egret	Bubulcus ibis		Ardeidae	eBird Taxonomy 2019	NA	NA	NA	NA	NA	Taiwan	"Nan-tun, Shen-kang, and Tsao-hu heronries"	grassland; woodland; wetland; agriculture	5	1990	8	1990			Animalia					Formicidae	NA	NA	Yes			NA	NA		0.0004	Items	2824	52	3	Emetic		MMS	"Yen, C. W. 1991. Food of nestling egrets and night herons in the western lowlands of central Taiwan. J. Taiwan Mus. 44:309-320."
Cattle Egret	Bubulcus ibis		Ardeidae	eBird Taxonomy 2019	NA	NA	NA	NA	NA	Taiwan	"Nan-tun, Shen-kang, and Tsao-hu heronries"	grassland; woodland; wetland; agriculture	5	1990	8	1990			Animalia					Tenebrionidae	NA	NA	Yes			NA	NA		0.004	Items	2824	52	3	Emetic		MMS	"Yen, C. W. 1991. Food of nestling egrets and night herons in the western lowlands of central Taiwan. J. Taiwan Mus. 44:309-320."
Cattle Egret	Bubulcus ibis		Ardeidae	eBird Taxonomy 2019	NA	NA	NA	NA	NA	Taiwan	"Nan-tun, Shen-kang, and Tsao-hu heronries"	grassland; woodland; wetland; agriculture	5	1990	8	1990			Animalia					Gryllotalpidae	NA	NA	Yes			NA	NA		0.002	Items	2824	52	3	Emetic		MMS	"Yen, C. W. 1991. Food of nestling egrets and night herons in the western lowlands of central Taiwan. J. Taiwan Mus. 44:309-320."
Cattle Egret	Bubulcus ibis		Ardeidae	eBird Taxonomy 2019	NA	NA	NA	NA	NA	Taiwan	"Nan-tun, Shen-kang, and Tsao-hu heronries"	grassland; woodland; wetland; agriculture	5	1990	8	1990			Animalia					Forficulidae	NA	NA	Yes			NA	NA		0.0007	Items	2824	52	3	Emetic		MMS	"Yen, C. W. 1991. Food of nestling egrets and night herons in the western lowlands of central Taiwan. J. Taiwan Mus. 44:309-320."
Cattle Egret	Bubulcus ibis		Ardeidae	eBird Taxonomy 2019	NA	NA	NA	NA	NA	Taiwan	"Nan-tun, Shen-kang, and Tsao-hu heronries"	grassland; woodland; wetland; agriculture	5	1990	8	1990			Animalia			Odonata	NA	NA	NA	NA	Yes			larva	NA		0.006	Items	2824	52	3	Emetic		MMS	"Yen, C. W. 1991. Food of nestling egrets and night herons in the western lowlands of central Taiwan. J. Taiwan Mus. 44:309-320."
Cattle Egret	Bubulcus ibis		Ardeidae	eBird Taxonomy 2019	NA	NA	NA	NA	NA	Taiwan	"Nan-tun, Shen-kang, and Tsao-hu heronries"	grassland; woodland; wetland; agriculture	5	1990	8	1990			Animalia					Belostomatidae	NA	NA	Yes			NA	NA		0.0004	Items	2824	52	3	Emetic		MMS	"Yen, C. W. 1991. Food of nestling egrets and night herons in the western lowlands of central Taiwan. J. Taiwan Mus. 44:309-320."
