Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Unidentified	Prey_Name_ITIS_ID	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
Long-eared Owl	Asio otus	NA	Strigidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Idaho	Owyhee County	shrubland	3	1980	3	1980	spring	Animalia	Chordata	Mammalia	Rodentia	NA	Cricetidae	NA	Peromyscus maniculatus	no	NA	NA	NA	NA	NA	0.241	Items	83	1	1	pellet contents	NA	DR	"Marks, J. S. and V. S. Marks. 1981. Comparative food habits of the Screech Owl and Long-eared Owl in southwestern Idaho. Murrelet 62:80-82."
Long-eared Owl	Asio otus	NA	Strigidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Idaho	Owyhee County	shrubland	3	1980	3	1980	spring	Animalia	Chordata	Mammalia	Rodentia	NA	Heteromyidae	NA	Dipodomys ordi	no	NA	NA	NA	NA	NA	0.566	Items	83	1	1	pellet contents	NA	DR	"Marks, J. S. and V. S. Marks. 1981. Comparative food habits of the Screech Owl and Long-eared Owl in southwestern Idaho. Murrelet 62:80-82."
Long-eared Owl	Asio otus	NA	Strigidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Idaho	Owyhee County	shrubland	3	1980	3	1980	spring	Animalia	Chordata	Mammalia	Rodentia	NA	Cricetidae	NA	Reithrodontomys megalotis	no	NA	NA	NA	NA	NA	0.12	Items	83	1	1	pellet contents	NA	DR	"Marks, J. S. and V. S. Marks. 1981. Comparative food habits of the Screech Owl and Long-eared Owl in southwestern Idaho. Murrelet 62:80-82."
Long-eared Owl	Asio otus	NA	Strigidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Idaho	Owyhee County	shrubland	3	1980	3	1980	spring	Animalia	Chordata	Mammalia	Rodentia	NA	Cricetidae	NA	Microtus montanus	no	NA	NA	NA	NA	NA	0.024	Items	83	1	1	pellet contents	NA	DR	"Marks, J. S. and V. S. Marks. 1981. Comparative food habits of the Screech Owl and Long-eared Owl in southwestern Idaho. Murrelet 62:80-82."
Long-eared Owl	Asio otus	NA	Strigidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Idaho	Owyhee County	shrubland	3	1980	3	1980	spring	Animalia	Chordata	Mammalia	Lagomorpha	NA	Leporidae	NA	Sylvilagus nuttalii	no	NA	NA	NA	NA	NA	0.036	Items	83	1	1	pellet contents	NA	DR	"Marks, J. S. and V. S. Marks. 1981. Comparative food habits of the Screech Owl and Long-eared Owl in southwestern Idaho. Murrelet 62:80-82."
Long-eared Owl	Asio otus	NA	Strigidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Idaho	Owyhee County	shrubland	3	1980	3	1980	spring	Animalia	Chordata	Aves	Passeriformes	NA	NA	NA	Passerine	yes	NA	NA	NA	NA	NA	0.012	Items	83	1	1	pellet contents	NA	DR	"Marks, J. S. and V. S. Marks. 1981. Comparative food habits of the Screech Owl and Long-eared Owl in southwestern Idaho. Murrelet 62:80-82."
Long-eared Owl	Asio otus	NA	Strigidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Idaho	Owyhee County	shrubland	3	1980	3	1980	spring	Animalia	Chordata	Mammalia	Rodentia	NA	Cricetidae	NA	Peromyscus maniculatus	no	NA	NA	NA	NA	NA	0.112	Wt_or_Vol	83	1	1	pellet contents	NA	DR	"Marks, J. S. and V. S. Marks. 1981. Comparative food habits of the Screech Owl and Long-eared Owl in southwestern Idaho. Murrelet 62:80-82."
Long-eared Owl	Asio otus	NA	Strigidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Idaho	Owyhee County	shrubland	3	1980	3	1980	spring	Animalia	Chordata	Mammalia	Rodentia	NA	Heteromyidae	NA	Dipodomys ordi	no	NA	NA	NA	NA	NA	0.732	Wt_or_Vol	83	1	1	pellet contents	NA	DR	"Marks, J. S. and V. S. Marks. 1981. Comparative food habits of the Screech Owl and Long-eared Owl in southwestern Idaho. Murrelet 62:80-82."
Long-eared Owl	Asio otus	NA	Strigidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Idaho	Owyhee County	shrubland	3	1980	3	1980	spring	Animalia	Chordata	Mammalia	Rodentia	NA	Cricetidae	NA	Reithrodontomys megalotis	no	NA	NA	NA	NA	NA	0.032	Wt_or_Vol	83	1	1	pellet contents	NA	DR	"Marks, J. S. and V. S. Marks. 1981. Comparative food habits of the Screech Owl and Long-eared Owl in southwestern Idaho. Murrelet 62:80-82."
Long-eared Owl	Asio otus	NA	Strigidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Idaho	Owyhee County	shrubland	3	1980	3	1980	spring	Animalia	Chordata	Mammalia	Rodentia	NA	Cricetidae	NA	Microtus montanus	no	NA	NA	NA	NA	NA	0.026	Wt_or_Vol	83	1	1	pellet contents	NA	DR	"Marks, J. S. and V. S. Marks. 1981. Comparative food habits of the Screech Owl and Long-eared Owl in southwestern Idaho. Murrelet 62:80-82."
