Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Unidentified	Prey_Name_ITIS_ID	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
Prairie Falcon	Falco mexicanus	NA	Falconidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Colorado	Rocky Mountain National Park	tundra	4	1966	4	1973	multiple	Animalia	Chordata	Mammalia	Lagomorpha	NA	Ochotonidae	NA	Ochotona princeps		NA	NA	NA	NA	NA	0.258	Wt_or_Vol	89	NA	1	pellet contents	NA	DR	"Marti, C. D. and C. E. Braun. 1975. Use of tundra habitats by Prairie Falcons in Colorado. Condor 77:213-214."
Prairie Falcon	Falco mexicanus	NA	Falconidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Colorado	Rocky Mountain National Park	tundra	4	1966	4	1973	multiple	Animalia	Chordata	Mammalia	Rodentia	NA	Geomyidae	NA	Thomomys talpoides		NA	NA	NA	NA	NA	0.045	Wt_or_Vol	89	NA	1	pellet contents	NA	DR	"Marti, C. D. and C. E. Braun. 1975. Use of tundra habitats by Prairie Falcons in Colorado. Condor 77:213-214."
Prairie Falcon	Falco mexicanus	NA	Falconidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Colorado	Rocky Mountain National Park	tundra	4	1966	4	1973	multiple	Animalia	Chordata	Mammalia	Rodentia	NA	Sciuridae	NA	Spermophilus lateralis		NA	NA	NA	NA	NA	0.022	Wt_or_Vol	89	NA	1	pellet contents	NA	DR	"Marti, C. D. and C. E. Braun. 1975. Use of tundra habitats by Prairie Falcons in Colorado. Condor 77:213-214."
Prairie Falcon	Falco mexicanus	NA	Falconidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Colorado	Rocky Mountain National Park	tundra	4	1966	4	1973	multiple	Animalia	Chordata	Mammalia	Rodentia	NA	Sciuridae	NA	Marmota flaviventris		NA	NA	NA	NA	NA	0.011	Wt_or_Vol	89	NA	1	pellet contents	NA	DR	"Marti, C. D. and C. E. Braun. 1975. Use of tundra habitats by Prairie Falcons in Colorado. Condor 77:213-214."
Prairie Falcon	Falco mexicanus	NA	Falconidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Colorado	Rocky Mountain National Park	tundra	4	1966	4	1973	multiple	Animalia	Chordata	Mammalia	Rodentia	Myomorpha	Cricetidae	NA	Microtus longicaudus		NA	NA	NA	NA	NA	0.034	Wt_or_Vol	89	NA	1	pellet contents	NA	DR	"Marti, C. D. and C. E. Braun. 1975. Use of tundra habitats by Prairie Falcons in Colorado. Condor 77:213-214."
Prairie Falcon	Falco mexicanus	NA	Falconidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Colorado	Rocky Mountain National Park	tundra	4	1966	4	1973	multiple	Animalia	Arthropoda	Arachnida	actinedida	NA	Leeuwenhoekiidae	NA	Peromyscus maniculatus		NA	NA	NA	NA	NA	0.022	Wt_or_Vol	89	NA	1	pellet contents	NA	DR	"Marti, C. D. and C. E. Braun. 1975. Use of tundra habitats by Prairie Falcons in Colorado. Condor 77:213-214."
Prairie Falcon	Falco mexicanus	NA	Falconidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Colorado	Rocky Mountain National Park	tundra	4	1966	4	1973	multiple	Animalia	Chordata	Aves	Galliformes	NA	Phasianidae	NA	Lagopus leucurus		NA	NA	NA	NA	NA	0.034	Wt_or_Vol	89	NA	1	pellet contents	NA	DR	"Marti, C. D. and C. E. Braun. 1975. Use of tundra habitats by Prairie Falcons in Colorado. Condor 77:213-214."
Prairie Falcon	Falco mexicanus	NA	Falconidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Colorado	Rocky Mountain National Park	tundra	4	1966	4	1973	multiple	Animalia	Chordata	Aves	Passeriformes	NA	Alaudidae	NA	Eremophila alpestris		NA	NA	NA	NA	NA	0.09	Wt_or_Vol	89	NA	1	pellet contents	NA	DR	"Marti, C. D. and C. E. Braun. 1975. Use of tundra habitats by Prairie Falcons in Colorado. Condor 77:213-214."
Prairie Falcon	Falco mexicanus	NA	Falconidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Colorado	Rocky Mountain National Park	tundra	4	1966	4	1973	multiple	Animalia	Chordata	Aves	Passeriformes	NA	Turdidae	NA	Sialia currucoides		NA	NA	NA	NA	NA	0.056	Wt_or_Vol	89	NA	1	pellet contents	NA	DR	"Marti, C. D. and C. E. Braun. 1975. Use of tundra habitats by Prairie Falcons in Colorado. Condor 77:213-214."
Prairie Falcon	Falco mexicanus	NA	Falconidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Colorado	Rocky Mountain National Park	tundra	4	1966	4	1973	multiple	Animalia	Chordata	Aves	Passeriformes	NA	Motacillidae	NA	Anthus spinoletta		NA	NA	NA	NA	NA	0.034	Wt_or_Vol	89	NA	1	pellet contents	NA	DR	"Marti, C. D. and C. E. Braun. 1975. Use of tundra habitats by Prairie Falcons in Colorado. Condor 77:213-214."
