Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Unidentified	Prey_Name_ITIS_ID	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
American Kestrel	Falco sparverius		Falconidae	eBird Clements Checklist v2017	NA	NA	500	NA	NA	Pennsylvania	"Charlex Farm, Berks County"	Grassland	May	1960	July	1963	Summer	Animalia	Arthropoda	Insecta	Coleoptera	Adephaga	Carabidae	NA	NA	no	NA	NA	NA	Ground Beetles	0.298342541	Items	181	23	1	pellet contents		DR	"Heintzelman, Donald S. 1964. Spring and Summer Sparrow Food Habits.  Auk:7:323-330"
American Kestrel	Falco sparverius		Falconidae	eBird Clements Checklist v2017	NA	NA	500	NA	NA	Pennsylvania	"Charlex Farm, Berks County"	Grassland	May	1960	July	1963	Summer	Animalia	Chordata	Aves	Passeriformes	NA	Icteridae	NA	Sturnella magna	no	NA	NA	NA	Eastern Meadowlark	0.005524862	Items	181	23	1	pellet contents		DR	"Heintzelman, Donald S. 1964. Spring and Summer Sparrow Food Habits.  Auk:7:323-330"
American Kestrel	Falco sparverius		Falconidae	eBird Clements Checklist v2017	NA	NA	500	NA	NA	Pennsylvania	"Charlex Farm, Berks County"	Grassland	May	1960	July	1963	Summer	Animalia	Chordata	Aves	Passeriformes	NA	Fringillidae	NA	NA	no	NA	NA	NA	NA	0.005524862	Items	181	23	1	pellet contents		DR	"Heintzelman, Donald S. 1964. Spring and Summer Sparrow Food Habits.  Auk:7:323-330"
American Kestrel	Falco sparverius		Falconidae	eBird Clements Checklist v2017	NA	NA	500	NA	NA	Pennsylvania	"Charlex Farm, Berks County"	Grassland	May	1960	July	1963	Summer	Animalia	Chordata	Mammalia	Rodentia	Myomorpha	Cricetidae	NA	NA	no	NA	NA	NA	NA	0.651933702	Items	181	23	1	pellet contents		DR	"Heintzelman, Donald S. 1964. Spring and Summer Sparrow Food Habits.  Auk:7:323-330"
American Kestrel	Falco sparverius		Falconidae	eBird Clements Checklist v2017	NA	NA	500	NA	NA	Pennsylvania	"Charlex Farm, Berks County"	Grassland	May	1960	July	1963	Summer	Animalia	Chordata	Mammalia	Rodentia	Myomorpha	Cricetidae	NA	Microtus pennsylvanicus	no	NA	NA	NA	Meadow Mouse	0.038674033	Items	181	23	1	pellet contents		DR	"Heintzelman, Donald S. 1964. Spring and Summer Sparrow Food Habits.  Auk:7:323-330"
American Kestrel	Falco sparverius		Falconidae	eBird Clements Checklist v2017	NA	NA	500	NA	NA	Pennsylvania	"Charlex Farm, Berks County"	Grassland	May	1960	July	1963	Summer	Animalia	Arthropoda	Insecta	Orthoptera	NA	Acrididae	NA	NA	no	NA	NA	NA	Short-horned Gasshopper	0.066666667	Items	90	23	1	stomach contents		DR	"Heintzelman, Donald S. 1964. Spring and Summer Sparrow Food Habits.  Auk:7:323-330"
American Kestrel	Falco sparverius		Falconidae	eBird Clements Checklist v2017	NA	NA	500	NA	NA	Pennsylvania	"Charlex Farm, Berks County"	Grassland	May	1960	July	1963	Summer	Animalia	Arthropoda	Insecta	Hemiptera	Auchenorrhyncha	Cicadidae	NA	Magicicada septendecim	no	NA	NA	NA	Periodical Cicada	0.122222222	Items	90	23	1	stomach contents		DR	"Heintzelman, Donald S. 1964. Spring and Summer Sparrow Food Habits.  Auk:7:323-330"
American Kestrel	Falco sparverius		Falconidae	eBird Clements Checklist v2017	NA	NA	500	NA	NA	Pennsylvania	"Charlex Farm, Berks County"	Grassland	May	1960	July	1963	Summer	Animalia	Arthropoda	Insecta	Odonata	Anisoptera	Libellulidae	NA	NA	no	NA	NA	NA	Libellulid Dragonfly	0.033333333	Items	90	23	1	stomach contents		DR	"Heintzelman, Donald S. 1964. Spring and Summer Sparrow Food Habits.  Auk:7:323-330"
American Kestrel	Falco sparverius		Falconidae	eBird Clements Checklist v2017	NA	NA	500	NA	NA	Pennsylvania	"Charlex Farm, Berks County"	Grassland	May	1960	July	1963	Summer	Animalia	Arthropoda	Insecta	Coleoptera	NA	NA	NA	NA	yes	NA	NA	NA	Beetles	0.055555556	Items	90	23	1	stomach contents		DR	"Heintzelman, Donald S. 1964. Spring and Summer Sparrow Food Habits.  Auk:7:323-330"
American Kestrel	Falco sparverius		Falconidae	eBird Clements Checklist v2017	NA	NA	500	NA	NA	Pennsylvania	"Charlex Farm, Berks County"	Grassland	May	1960	July	1963	Summer	Animalia	Arthropoda	Insecta	Coleoptera	Adephaga	Carabidae	NA	NA	no	NA	NA	NA	Ground Beetles	0.077777778	Items	90	23	1	stomach contents		DR	"Heintzelman, Donald S. 1964. Spring and Summer Sparrow Food Habits.  Auk:7:323-330"
American Kestrel	Falco sparverius		Falconidae	eBird Clements Checklist v2017	NA	NA	500	NA	NA	Pennsylvania	"Charlex Farm, Berks County"	Grassland	May	1960	July	1963	Summer	Animalia	Chordata	Reptilia	Squamata	Autarchoglossa	Scinidae	NA	Ammodramus savannarum	no	NA	NA	NA	Five-linked Skink	0.011111111	Items	90	23	1	stomach contents		DR	"Heintzelman, Donald S. 1964. Spring and Summer Sparrow Food Habits.  Auk:7:323-330"
American Kestrel	Falco sparverius		Falconidae	eBird Clements Checklist v2017	NA	NA	500	NA	NA	Pennsylvania	"Charlex Farm, Berks County"	Grassland	May	1960	July	1963	Summer	Animalia	Chordata	Aves	Passeriformes	NA	NA	NA	NA	yes	NA	NA	NA	NA	0.133333333	Items	90	23	1	stomach contents		DR	"Heintzelman, Donald S. 1964. Spring and Summer Sparrow Food Habits.  Auk:7:323-330"
American Kestrel	Falco sparverius		Falconidae	eBird Clements Checklist v2017	NA	NA	500	NA	NA	Pennsylvania	"Charlex Farm, Berks County"	Grassland	May	1960	July	1963	Summer	Animalia	Chordata	Aves	Passeriformes	NA	Icteridae	NA	NA	no	NA	NA	NA	NA	0.077777778	Items	90	23	1	stomach contents		DR	"Heintzelman, Donald S. 1964. Spring and Summer Sparrow Food Habits.  Auk:7:323-330"
American Kestrel	Falco sparverius		Falconidae	eBird Clements Checklist v2017	NA	NA	500	NA	NA	Pennsylvania	"Charlex Farm, Berks County"	Grassland	May	1960	July	1963	Summer	Animalia	Chordata	Aves	Passeriformes	NA	Icteridae	NA	Sturnella magna	no	NA	NA	NA	Eastern Meadowlark	0.011111111	Items	90	23	1	stomach contents		DR	"Heintzelman, Donald S. 1964. Spring and Summer Sparrow Food Habits.  Auk:7:323-330"
American Kestrel	Falco sparverius		Falconidae	eBird Clements Checklist v2017	NA	NA	500	NA	NA	Pennsylvania	"Charlex Farm, Berks County"	Grassland	May	1960	July	1963	Summer	Animalia	Chordata	Aves	Passeriformes	NA	Icteridae	NA	Quiscalus quiscula	no	NA	NA	NA	Common Grackle	0.088888889	Items	90	23	1	stomach contents		DR	"Heintzelman, Donald S. 1964. Spring and Summer Sparrow Food Habits.  Auk:7:323-330"
American Kestrel	Falco sparverius		Falconidae	eBird Clements Checklist v2017	NA	NA	500	NA	NA	Pennsylvania	"Charlex Farm, Berks County"	Grassland	May	1960	July	1963	Summer	Animalia	Chordata	Aves	Passeriformes	NA	Icteridae	NA	Molothrus ater	no	NA	NA	NA	Cowbird	0.033333333	Items	90	23	1	stomach contents		DR	"Heintzelman, Donald S. 1964. Spring and Summer Sparrow Food Habits.  Auk:7:323-330"
American Kestrel	Falco sparverius		Falconidae	eBird Clements Checklist v2017	NA	NA	500	NA	NA	Pennsylvania	"Charlex Farm, Berks County"	Grassland	May	1960	July	1963	Summer	Animalia	Chordata	Aves	Passeriformes	NA	Fringillidae	NA	NA	no	NA	NA	NA	NA	0.022222222	Items	90	23	1	stomach contents		DR	"Heintzelman, Donald S. 1964. Spring and Summer Sparrow Food Habits.  Auk:7:323-330"
American Kestrel	Falco sparverius		Falconidae	eBird Clements Checklist v2017	NA	NA	500	NA	NA	Pennsylvania	"Charlex Farm, Berks County"	Grassland	May	1960	July	1963	Summer	Animalia	Chordata	Aves	Passeriformes	NA	Fringillidae	NA	Cardinalis cardinalis	no	NA	NA	NA	Cardinal	0.011111111	Items	90	23	1	stomach contents		DR	"Heintzelman, Donald S. 1964. Spring and Summer Sparrow Food Habits.  Auk:7:323-330"
American Kestrel	Falco sparverius		Falconidae	eBird Clements Checklist v2017	NA	NA	500	NA	NA	Pennsylvania	"Charlex Farm, Berks County"	Grassland	May	1960	July	1963	Summer	Animalia	Chordata	Aves	Passeriformes	NA	Passerellidae	NA	Ammodramus savannarum	no	NA	NA	NA	Grasshopper Sparrow	0.011111111	Items	90	23	1	stomach contents		DR	"Heintzelman, Donald S. 1964. Spring and Summer Sparrow Food Habits.  Auk:7:323-330"
American Kestrel	Falco sparverius		Falconidae	eBird Clements Checklist v2017	NA	NA	500	NA	NA	Pennsylvania	"Charlex Farm, Berks County"	Grassland	May	1960	July	1963	Summer	Animalia	Chordata	MammaliaSoricomorpha	Soricomorpha	NA	Soricidae	NA	Blarina brevicavda	no	NA	NA	NA	Short-tailed Shrew	0.011111111	Items	90	23	1	stomach contents		DR	"Heintzelman, Donald S. 1964. Spring and Summer Sparrow Food Habits.  Auk:7:323-330"
American Kestrel	Falco sparverius		Falconidae	eBird Clements Checklist v2017	NA	NA	500	NA	NA	Pennsylvania	"Charlex Farm, Berks County"	Grassland	May	1960	July	1963	Summer	Animalia	Chordata	Mammalia	Rodentia	Myomorpha	Cricetidae	NA	NA	no	NA	NA	NA	NA	0.055555556	Items	90	23	1	stomach contents		DR	"Heintzelman, Donald S. 1964. Spring and Summer Sparrow Food Habits.  Auk:7:323-330"
American Kestrel	Falco sparverius		Falconidae	eBird Clements Checklist v2017	NA	NA	500	NA	NA	Pennsylvania	"Charlex Farm, Berks County"	Grassland	May	1960	July	1963	Summer	Animalia	Chordata	Mammalia	Rodentia	Myomorpha	Cricetidae	NA	Microtus pennsylvanicus	no	NA	NA	NA	Meadow Mouse	0.155555556	Items	90	23	1	stomach contents		DR	"Heintzelman, Donald S. 1964. Spring and Summer Sparrow Food Habits.  Auk:7:323-330"
American Kestrel	Falco sparverius		Falconidae	eBird Clements Checklist v2017	NA	NA	500	NA	NA	Pennsylvania	"Charlex Farm, Berks County"	Grassland	May	1960	July	1963	Summer	Animalia	Chordata	Mammalia	Rodentia	Myomorpha	Dipodidae	NA	Zapus hudsonius	no	NA	NA	NA	Meadow Jumping Mouse	0.022222222	Items	90	23	1	stomach contents		DR	"Heintzelman, Donald S. 1964. Spring and Summer Sparrow Food Habits.  Auk:7:323-330"
