Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Unidentified	Prey_Name_ITIS_ID	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
Verdin	Auriparus flaviceps	NA	Remizidae 	eBird Clements Checklist v2016	NA	NA	NA	NA	NA	Arizona	Sonoran Desert	desert	6	1965	2	1966	Multiple	Animalia	Arthropoda	Insecta	Hemiptera	Heteroptera	Anthocoridae	NA	NA	no	NA	adult	NA	NA	0.001362	Items	734	41	1	stomach contents	diet analysis of adult verdins	DR	"Taylor, W. K. 1971. A breeding biology study of the Verdin, Auriparus flaviceps (Sundevall) in Arizona. Am. Midl. Nat. 85:289-328."
Verdin	Auriparus flaviceps	NA	Remizidae 	eBird Clements Checklist v2017	NA	NA	NA	NA	NA	Arizona	Sonoran Desert	desert	6	1965	2	1966	Multiple	Animalia	Arthropoda	Insecta	Hemiptera	Heteroptera	Reduviidae	NA	NA	no	NA	egg	NA	NA	0.038147	Items	734	41	1	stomach contents	diet analysis of adult verdins	DR	"Taylor, W. K. 1971. A breeding biology study of the Verdin, Auriparus flaviceps (Sundevall) in Arizona. Am. Midl. Nat. 85:289-328."
Verdin	Auriparus flaviceps	NA	Remizidae 	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Arizona	Sonoran Desert	desert	6	1965	2	1966	Multiple	Animalia	Arthropoda	Insecta	Hemiptera	Heteroptera	Corizidae	NA	NA	no	NA	adult	NA	NA	0.081744	Items	734	41	1	stomach contents	diet analysis of adult verdins	DR	"Taylor, W. K. 1971. A breeding biology study of the Verdin, Auriparus flaviceps (Sundevall) in Arizona. Am. Midl. Nat. 85:289-328."
Verdin	Auriparus flaviceps	NA	Remizidae 	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Arizona	Sonoran Desert	desert	6	1965	2	1966	Multiple	Animalia	Arthropoda	Insecta	Hemiptera	Heteroptera	Pentatomidae	NA	NA	no	NA	adult	NA	NA	0.005449	Items	734	41	1	stomach contents	diet analysis of adult verdins	DR	"Taylor, W. K. 1971. A breeding biology study of the Verdin, Auriparus flaviceps (Sundevall) in Arizona. Am. Midl. Nat. 85:289-328."
Verdin	Auriparus flaviceps	NA	Remizidae 	eBird Clements Checklist v2020	NA	NA	NA	NA	NA	Arizona	Sonoran Desert	desert	6	1965	2	1966	Multiple	Animalia	Arthropoda	Insecta	Hemiptera	NA	NA	NA	NA	yes	NA	nymph	NA	NA	0.001362	Items	734	41	1	stomach contents	diet analysis of adult verdins	DR	"Taylor, W. K. 1971. A breeding biology study of the Verdin, Auriparus flaviceps (Sundevall) in Arizona. Am. Midl. Nat. 85:289-328."
Verdin	Auriparus flaviceps	NA	Remizidae 	eBird Clements Checklist v2021	NA	NA	NA	NA	NA	Arizona	Sonoran Desert	desert	6	1965	2	1966	Multiple	Animalia	Arthropoda	Insecta	Hemiptera	NA	NA	NA	NA	yes	NA	adult	NA	NA	0.009537	Items	734	41	1	stomach contents	diet analysis of adult verdins	DR	"Taylor, W. K. 1971. A breeding biology study of the Verdin, Auriparus flaviceps (Sundevall) in Arizona. Am. Midl. Nat. 85:289-328."
Verdin	Auriparus flaviceps	NA	Remizidae 	eBird Clements Checklist v2022	NA	NA	NA	NA	NA	Arizona	Sonoran Desert	desert	6	1965	2	1966	Multiple	Animalia	Arthropoda	Insecta	Hemiptera	Homoptera	Membracidae	NA	NA	no	NA	adult	NA	NA	0.034059	Items	734	41	1	stomach contents	diet analysis of adult verdins	DR	"Taylor, W. K. 1971. A breeding biology study of the Verdin, Auriparus flaviceps (Sundevall) in Arizona. Am. Midl. Nat. 85:289-328."
Verdin	Auriparus flaviceps	NA	Remizidae 	eBird Clements Checklist v2023	NA	NA	NA	NA	NA	Arizona	Sonoran Desert	desert	6	1965	2	1966	Multiple	Animalia	Arthropoda	Insecta	Hemiptera	Homoptera	Cercopidae	NA	NA	no	NA	nymph	NA	NA	0.001362	Items	734	41	1	stomach contents	diet analysis of adult verdins	DR	"Taylor, W. K. 1971. A breeding biology study of the Verdin, Auriparus flaviceps (Sundevall) in Arizona. Am. Midl. Nat. 85:289-328."
Verdin	Auriparus flaviceps	NA	Remizidae 	eBird Clements Checklist v2024	NA	NA	NA	NA	NA	Arizona	Sonoran Desert	desert	6	1965	2	1966	Multiple	Animalia	Arthropoda	Insecta	Hemiptera	Homoptera	Cicadellidae	NA	NA	no	NA	nymph	NA	NA	0.001362	Items	734	41	1	stomach contents	diet analysis of adult verdins	DR	"Taylor, W. K. 1971. A breeding biology study of the Verdin, Auriparus flaviceps (Sundevall) in Arizona. Am. Midl. Nat. 85:289-328."
Verdin	Auriparus flaviceps	NA	Remizidae 	eBird Clements Checklist v2025	NA	NA	NA	NA	NA	Arizona	Sonoran Desert	desert	6	1965	2	1966	Multiple	Animalia	Arthropoda	Insecta	Hemiptera	Homoptera	Cicadellidae	NA	NA	no	NA	adult	NA	NA	0.001362	Items	734	41	1	stomach contents	diet analysis of adult verdins	DR	"Taylor, W. K. 1971. A breeding biology study of the Verdin, Auriparus flaviceps (Sundevall) in Arizona. Am. Midl. Nat. 85:289-328."
