"level"	"name"	"condition"
"Phylum"	"Streptophyta"	"wrong rank; too low"
"Phylum"	"Foraminifera"	"unmatched"
"Phylum"	"Bacillariophyta"	"wrong rank; too low"
"Class"	"Rodentia"	"wrong rank; too high"
"Class"	"Reptilia/Amphibia"	"unmatched"
"Class"	"Crustacea"	"wrong rank; too low"
"Class"	"Clitellata"	"wrong rank; too low"
"Class"	"Pseudoscorpionida"	"wrong rank; too low"
"Class"	"Arthropoda"	"wrong rank; too low"
"Class"	"Chordata"	"wrong rank; too low"
"Class"	"Chilopoda "	"unmatched"
"Class"	"Hirudinida"	"wrong rank; too high"
"Class"	"Polychaeta"	"wrong rank; too low"
"Class"	"Actinopteri"	"unmatched"
"Order"	"Chelonia"	"unmatched"
"Order"	"Ranidae"	"wrong rank; too high"
"Order"	"Macrolepidoptera"	"wrong rank; too low"
"Order"	"Microlepidoptera"	"wrong rank; too low"
"Order"	"Gastropoda"	"wrong rank; too low"
"Order"	"Diplopoda"	"wrong rank; too low"
"Order"	"Chilopoda"	"wrong rank; too low"
"Order"	"hemiptera"	"wrong rank; too high"
"Order"	"Phalangida"	"wrong rank; too high"
"Order"	"Oligochaeta"	"wrong rank; too low"
"Order"	"Scorpionida"	"unmatched"
"Order"	"Aranae"	"unmatched"
"Order"	"Acarina"	"wrong rank; too low"
"Order"	"Lepidoptera "	"unmatched"
"Order"	"Coleoptera "	"unmatched"
"Order"	"Diptera "	"wrong rank; too low"
"Order"	"Hymenoptera "	"unmatched"
"Order"	"Homoptera "	"unmatched"
"Order"	"pupae "	"unmatched"
"Order"	"Araneidae"	"wrong rank; too high"
"Order"	"Acarina "	"unmatched"
"Order"	"Heteroptera"	"wrong rank; too high"
"Order"	"Other"	"unmatched"
"Order"	"arachnida"	"wrong rank; too low"
"Order"	"Tricoptera"	"unmatched"
"Order"	"Gasteropoda"	"unmatched"
"Order"	"Arachnida"	"wrong rank; too low"
"Family"	"Noctuides"	"unmatched"
"Family"	"Cyanocorax"	"wrong rank; too high"
