Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Analysis_Number	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Inclusive_Prey_Taxon	Prey_Name_ITIS_ID	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
Yellow-bellied Flycatcher	Empidonax flaviventris		Tyrannidae	eBird Clements Checklist v2019	-84.05	10.333333	500	NA	1000	Costa Rica	multiple	forest	1	1985	4	1988	winter; spring		Animalia		Insecta						yes			NA	NA		1	Occurrence	NA	1	6	fecal contents	data collected generally Jan-Apr; bird sample size reflects number of fecal samples	MMS	
Acadian Flycatcher	Empidonax virescens																		Animalia		Insecta						yes			NA	NA		1	Occurrence		23					
																			Plantae							Conostegia subcrustulata	yes			NA	fruit		0.217	Occurrence							
																									Miconia		no			NA	fruit		0.043	Occurrence							
Great Crested Flycatcher	Myiarchus crinitus																		Animalia		Insecta						yes			NA	NA		1	Occurrence		10					
																			Plantae						Clidemia		yes			NA	fruit		0.1	Occurrence					listed as Clidemia dentata		
																										Conostegia subcrustulata	yes			NA	fruit		0.6	Occurrence							
Eastern Kingbird	Tyrannus tyrannus																		Animalia		Insecta						yes			NA	NA		0.11	Occurrence		9					
																			Plantae							Conostegia subcrustulata	yes			NA	fruit		0.111	Occurrence							
																			Plantae							Miconia affinis	yes			NA	fruit		0.444	Occurrence							
																			Plantae						Ficus		yes			NA	fruit		0.222	Occurrence							
																			Plantae							Trichostigma polyandrum	yes			NA	fruit		0.111	Occurrence							
																			Plantae						Citrus		yes			NA	fruit	orange pulp	0.333	Occurrence							
																			Plantae		Magnoliopsida						no			NA	fruit	juice and pulp	0.111	Occurrence							
Veery	Catharus fuscescens		Turdidae																Animalia		Insecta						yes			NA	NA		1	Occurrence		1					
																			Plantae		Magnoliopsida						yes			NA	fruit		1	Occurrence							
Gray-cheeked Thrush	Catharus minimus																		Animalia		Insecta						yes			NA	NA		0.87	Occurrence		23					
																			Plantae							Dendropanax arboreus	yes			NA	fruit		0.087	Occurrence							
																			Plantae						Clidemia		yes			NA	fruit		0.261	Occurrence					listed as Clidemia dentata		
																			Plantae							Conostegia subcrustulata	yes			NA	fruit		0.478	Occurrence							
																			Plantae							Miconia prasina	yes			NA	fruit		0.043	Occurrence							
																			Plantae							Miconia barbinervis	yes			NA	fruit		0.13	Occurrence							
																			Plantae						Cissampelos		yes			NA	fruit		0.043	Occurrence							
																			Plantae					Primulaceae						NA	fruit		0.043	Occurrence					listed as Ardisia auriculata		
