Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Analysis_Number	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Inclusive_Prey_Taxon	Prey_Name_ITIS_ID	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
Atlantic Petrel	Pterodroma incerta	NA	Procellariidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Brazil	the coast of southern Brazil	NA	NA	2004	NA	2014	NA	1	Animalia	Chordata							no	NA	NA	NA	NA	fish	0.229	Occurrence	1183	61		stomach contents; esophagus contents	Table 1; study conducted during non-breeding season so not during austral winter	CW	"Daudt, N. W., Fontana, C. S., et al. 2019 Diet of the Atlantic Petrel Pterodroma incerta during the non-breeding season. Marine Ornithology 47: 43-47."
Atlantic Petrel	Pterodroma incerta	NA	Procellariidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Brazil	the coast of southern Brazil	NA	NA	2004	NA	2014	NA	1	Animalia	Mollusca	Cehpalopoda	Teuthida	Oegopsina	Histioteuthidae	Histioteuthis		yes	NA	NA	NA	NA		0.066	Occurrence	1183	61		stomach contents; esophagus contents	Table 1; study conducted during non-breeding season so not during austral winter	CW	"Daudt, N. W., Fontana, C. S., et al. 2019 Diet of the Atlantic Petrel Pterodroma incerta during the non-breeding season. Marine Ornithology 47: 43-47."
Atlantic Petrel	Pterodroma incerta	NA	Procellariidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Brazil	the coast of southern Brazil	NA	NA	2004	NA	2014	NA	1	Animalia	Mollusca	Cehpalopoda	Teuthida	Oegopsina	Chiroteuthidae	Chiroteuthis	Chiroteuthis veranyi	yes	NA	NA	NA	NA		0.033	Occurrence	1183	61		stomach contents; esophagus contents	Table 1; study conducted during non-breeding season so not during austral winter	CW	"Daudt, N. W., Fontana, C. S., et al. 2019 Diet of the Atlantic Petrel Pterodroma incerta during the non-breeding season. Marine Ornithology 47: 43-47."
Atlantic Petrel	Pterodroma incerta	NA	Procellariidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Brazil	the coast of southern Brazil	NA	NA	2004	NA	2014	NA	1	Animalia	Mollusca	Cehpalopoda	Teuthida	Oegopsina	Chiroteuthidae	Chiroteuthis		no	NA	NA	NA	NA		0.016	Occurrence	1183	61		stomach contents; esophagus contents	Table 1; study conducted during non-breeding season so not during austral winter	CW	"Daudt, N. W., Fontana, C. S., et al. 2019 Diet of the Atlantic Petrel Pterodroma incerta during the non-breeding season. Marine Ornithology 47: 43-47."
Atlantic Petrel	Pterodroma incerta	NA	Procellariidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Brazil	the coast of southern Brazil	NA	NA	2004	NA	2014	NA	1	Animalia	Mollusca	Cehpalopoda	Teuthida	Myopsina	Loliginidae	Loligo	Loligo plei	yes	NA	NA	NA	NA	slender inshore squid	0.016	Occurrence	1183	61		stomach contents; esophagus contents	Table 1; study conducted during non-breeding season so not during austral winter	CW	"Daudt, N. W., Fontana, C. S., et al. 2019 Diet of the Atlantic Petrel Pterodroma incerta during the non-breeding season. Marine Ornithology 47: 43-47."
Atlantic Petrel	Pterodroma incerta	NA	Procellariidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Brazil	the coast of southern Brazil	NA	NA	2004	NA	2014	NA	1	Animalia	Mollusca	Cehpalopoda	Teuthida	Myopsina	Loliginidae	Loligo	Loligo sanpaulensis	yes	NA	NA	NA	NA	São Paulo squid	0.016	Occurrence	1183	61		stomach contents; esophagus contents	Table 1; study conducted during non-breeding season so not during austral winter	CW	"Daudt, N. W., Fontana, C. S., et al. 2019 Diet of the Atlantic Petrel Pterodroma incerta during the non-breeding season. Marine Ornithology 47: 43-47."
Atlantic Petrel	Pterodroma incerta	NA	Procellariidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Brazil	the coast of southern Brazil	NA	NA	2004	NA	2014	NA	1	Animalia	Mollusca	Cehpalopoda	Octopoda	Incirrina	Octopodidae			no	NA	NA	NA	NA		0.016	Occurrence	1183	61		stomach contents; esophagus contents	Table 1; study conducted during non-breeding season so not during austral winter	CW	"Daudt, N. W., Fontana, C. S., et al. 2019 Diet of the Atlantic Petrel Pterodroma incerta during the non-breeding season. Marine Ornithology 47: 43-47."
Atlantic Petrel	Pterodroma incerta	NA	Procellariidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Brazil	the coast of southern Brazil	NA	NA	2004	NA	2014	NA	1	Animalia	Mollusca	Cehpalopoda	Teuthida	Oegopsina	Ommastrephidae			no	NA	NA	NA	NA		0.016	Occurrence	1183	61		stomach contents; esophagus contents	Table 1; study conducted during non-breeding season so not during austral winter	CW	"Daudt, N. W., Fontana, C. S., et al. 2019 Diet of the Atlantic Petrel Pterodroma incerta during the non-breeding season. Marine Ornithology 47: 43-47."
Atlantic Petrel	Pterodroma incerta	NA	Procellariidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Brazil	the coast of southern Brazil	NA	NA	2004	NA	2014	NA	1	Animalia	Mollusca	Cehpalopoda	Teuthida	Oegopsina				no	NA	NA	NA	NA		1	Occurrence	1183	61		stomach contents; esophagus contents	Table 1; study conducted during non-breeding season so not during austral winter	CW	"Daudt, N. W., Fontana, C. S., et al. 2019 Diet of the Atlantic Petrel Pterodroma incerta during the non-breeding season. Marine Ornithology 47: 43-47."
Atlantic Petrel	Pterodroma incerta	NA	Procellariidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Brazil	the coast of southern Brazil	NA	NA	2004	NA	2014	NA	2	Animalia	Chordata							no	NA	NA	NA	NA	fish	0.061	Items	1183	61		stomach contents; esophagus contents	Table 1; study conducted during non-breeding season so not during austral winter	CW	"Daudt, N. W., Fontana, C. S., et al. 2019 Diet of the Atlantic Petrel Pterodroma incerta during the non-breeding season. Marine Ornithology 47: 43-47."
