Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Analysis_Number	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Inclusive_Prey_Taxon	Prey_Name_ITIS_ID	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
Northern Fulmar	Fulmarus glacialis	NA	Procellariidae	eBird Clements Checklist v2019	-2.083333333	59.86666667	NA	NA	NA	Scotland	Foula	NA	6	1978	8	1982	NA	1	Animalia	Chordata	Teleostei	Perciformes	Trachinoidei	Ammodytidae	Ammodytes	Ammodytes marinus	yes	171677	verified	NA	NA	sandeels	1	Items	128	177	2	emetic	Table 2	CW	Furness R. W. and C. M. Todd. 1984. Diets and feeding of fulmars Fulmarus glacialis during the breeding season: a comparison between St Kilda and Shetland colonies. The British Ornithologists' Union: 379-387.
Northern Fulmar	Fulmarus glacialis	NA	Procellariidae	eBird Clements Checklist v2019	-2.083333333	59.86666667	NA	NA	NA	Scotland	Foula	NA	6	1978	8	1982	NA	2	Animalia	Arthropoda	Malacostraca	Euphausiacea	NA	Euphausiidae	Meganyctiphanes	Meganyctiphanes norvegica	yes	95534	verified	NA	NA		0.84	Items	19	177	2	emetic	Table 2	CW	Furness R. W. and C. M. Todd. 1984. Diets and feeding of fulmars Fulmarus glacialis during the breeding season: a comparison between St Kilda and Shetland colonies. The British Ornithologists' Union: 379-387.
Northern Fulmar	Fulmarus glacialis	NA	Procellariidae	eBird Clements Checklist v2019	-2.083333333	59.86666667	NA	NA	NA	Scotland	Foula	NA	6	1978	8	1982	NA	2	Animalia	Arthropoda	Malacostraca	Lophogastrida	NA	Gnathophausiidae	Gnathophausia	Gnathophausia zoea	yes	89818	verified	NA	NA		0.11	Items	19	177	2	emetic	Table 2	CW	Furness R. W. and C. M. Todd. 1984. Diets and feeding of fulmars Fulmarus glacialis during the breeding season: a comparison between St Kilda and Shetland colonies. The British Ornithologists' Union: 379-387.
Northern Fulmar	Fulmarus glacialis	NA	Procellariidae	eBird Clements Checklist v2019	-2.083333333	59.86666667	NA	NA	NA	Scotland	Foula	NA	6	1978	8	1982	NA	2	Animalia	Arthropoda	Malacostraca	Isopoda	Valvifera	Idoteidae	Idotea	Idotea metallica	yes	542684	verified	NA	NA		0.05	Items	19	177	2	emetic	Table 2	CW	Furness R. W. and C. M. Todd. 1984. Diets and feeding of fulmars Fulmarus glacialis during the breeding season: a comparison between St Kilda and Shetland colonies. The British Ornithologists' Union: 379-387.
Northern Fulmar	Fulmarus glacialis	NA	Procellariidae	eBird Clements Checklist v2019	-8.566666667	57.54444444	NA	NA	NA	Scotland	St Kilda	NA	7	1981	8	1981	NA	3	Animalia	Chordata	Teleostei	Clupeiformes	Clupeoidei	Clupeidae			yes	161700	verified	NA	NA	herrring	1	Items	18	238	2	emetic	Table 2	CW	Furness R. W. and C. M. Todd. 1984. Diets and feeding of fulmars Fulmarus glacialis during the breeding season: a comparison between St Kilda and Shetland colonies. The British Ornithologists' Union: 379-387.
Northern Fulmar	Fulmarus glacialis	NA	Procellariidae	eBird Clements Checklist v2019	-8.566666667	57.54444444	NA	NA	NA	Scotland	St Kilda	NA	7	1981	8	1981	NA	4	Animalia	Arthropoda	Malacostraca	Euphausiacea	NA	Euphausiidae	Meganyctiphanes	Meganyctiphanes norvegica	yes	95534	verified	NA	NA		0.48	Items	168	238	2	emetic	Table 2	CW	Furness R. W. and C. M. Todd. 1984. Diets and feeding of fulmars Fulmarus glacialis during the breeding season: a comparison between St Kilda and Shetland colonies. The British Ornithologists' Union: 379-387.
Northern Fulmar	Fulmarus glacialis	NA	Procellariidae	eBird Clements Checklist v2019	-8.566666667	57.54444444	NA	NA	NA	Scotland	St Kilda	NA	7	1981	8	1981	NA	4	Animalia	Arthropoda	Malacostraca	Lophogastrida	NA	Gnathophausiidae	Gnathophausia	Gnathophausia zoea	yes	89818	verified	NA	NA		0.25	Items	168	238	2	emetic	Table 2	CW	Furness R. W. and C. M. Todd. 1984. Diets and feeding of fulmars Fulmarus glacialis during the breeding season: a comparison between St Kilda and Shetland colonies. The British Ornithologists' Union: 379-387.
Northern Fulmar	Fulmarus glacialis	NA	Procellariidae	eBird Clements Checklist v2019	-8.566666667	57.54444444	NA	NA	NA	Scotland	St Kilda	NA	7	1981	8	1981	NA	4	Animalia	Arthropoda	Malacostraca	Isopoda	Valvifera	Idoteidae	Idotea	Idotea metallica	yes	542684	verified	NA	NA		0.16	Items	168	238	2	emetic	Table 2	CW	Furness R. W. and C. M. Todd. 1984. Diets and feeding of fulmars Fulmarus glacialis during the breeding season: a comparison between St Kilda and Shetland colonies. The British Ornithologists' Union: 379-387.
Northern Fulmar	Fulmarus glacialis	NA	Procellariidae	eBird Clements Checklist v2019	-8.566666667	57.54444444	NA	NA	NA	Scotland	St Kilda	NA	7	1981	8	1981	NA	4	Animalia	Arthropoda	Malacostraca	Decapoda	Pleocyemata	Pasiphaeidae	Parapasiphae	Parapasiphae sulcatifrons	yes	96185	verified	NA	NA		0.11	Items	168	238	2	emetic	Table 2	CW	Furness R. W. and C. M. Todd. 1984. Diets and feeding of fulmars Fulmarus glacialis during the breeding season: a comparison between St Kilda and Shetland colonies. The British Ornithologists' Union: 379-387.
Northern Fulmar	Fulmarus glacialis	NA	Procellariidae	eBird Clements Checklist v2019	-8.566666667	57.54444444	NA	NA	NA	Scotland	St Kilda	NA	7	1981	8	1981	NA	5	Animalia	Arthropoda	Malacostraca	Decapoda	Pleocyemata	Galatheidae	Munida	Munida rugosa	yes	97973	verified	NA	NA	squat lobster	0.5	Items	12	238	2	emetic	Table 2	CW	Furness R. W. and C. M. Todd. 1984. Diets and feeding of fulmars Fulmarus glacialis during the breeding season: a comparison between St Kilda and Shetland colonies. The British Ornithologists' Union: 379-387.
