Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Analysis_Number	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Inclusive_Prey_Taxon	Prey_Name_ITIS_ID	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
Red Phalarope	Phalaropus fulicarius	NA	Scolopacidae	eBird Clements Checklist v2019	180	65.06666667	NA	NA	NA	Northern Bering Sea	King Island	NA	7	1985	8	1985	NA	1	Animalia	Arthropoda	Malacostraca	Amphipoda			Ampelisca		yes	NA	NA	NA	NA	NA	0.71	Occurrence	NA	7	1	stomach contents	NA	CW	"Grebmeier, J. M. and N. M. Harrison. 1992. Seabird feeding on benthic amphipods facilitated by gray whale activity in the northern Bering Sea. Marine Ecology Progress Series 80: 125-133."
Red Phalarope	Phalaropus fulicarius	NA	Scolopacidae	eBird Clements Checklist v2019	180	65.06666667	NA	NA	NA	Northern Bering Sea	King Island	NA	7	1985	8	1985	NA	1	Animalia	Arthropoda	Malacostraca	Amphipoda			Byblis		yes	NA	NA	NA	NA	NA	0.71	Occurrence	NA	7	1	stomach contents	NA	CW	"Grebmeier, J. M. and N. M. Harrison. 1992. Seabird feeding on benthic amphipods facilitated by gray whale activity in the northern Bering Sea. Marine Ecology Progress Series 80: 125-133."
Red Phalarope	Phalaropus fulicarius	NA	Scolopacidae	eBird Clements Checklist v2019	180	65.06666667	NA	NA	NA	Northern Bering Sea	King Island	NA	7	1985	8	1985	NA	1	Animalia	Arthropoda	Malacostraca	Amphipoda			Protomedeia		yes	NA	NA	NA	NA	NA	0.14	Occurrence	NA	7	1	stomach contents	NA	CW	"Grebmeier, J. M. and N. M. Harrison. 1992. Seabird feeding on benthic amphipods facilitated by gray whale activity in the northern Bering Sea. Marine Ecology Progress Series 80: 125-133."
Red Phalarope	Phalaropus fulicarius	NA	Scolopacidae	eBird Clements Checklist v2019	180	65.06666667	NA	NA	NA	Northern Bering Sea	King Island	NA	7	1985	8	1985	NA	1	Animalia	Arthropoda	Malacostraca	Amphipoda			Anonyx		yes	NA	NA	NA	NA	NA	0.14	Occurrence	NA	7	1	stomach contents	NA	CW	"Grebmeier, J. M. and N. M. Harrison. 1992. Seabird feeding on benthic amphipods facilitated by gray whale activity in the northern Bering Sea. Marine Ecology Progress Series 80: 125-133."
Red Phalarope	Phalaropus fulicarius	NA	Scolopacidae	eBird Clements Checklist v2019	180	65.06666667	NA	NA	NA	Northern Bering Sea	King Island	NA	7	1985	8	1985	NA	1	Animalia	Arthropoda	Malacostraca	Amphipoda		Lysianassidae			no	NA	NA	NA	NA	NA	0.14	Occurrence	NA	7	1	stomach contents	NA	CW	"Grebmeier, J. M. and N. M. Harrison. 1992. Seabird feeding on benthic amphipods facilitated by gray whale activity in the northern Bering Sea. Marine Ecology Progress Series 80: 125-133."
Black-legged Kittiwake	Rissa tridactyla	NA	Laridae	eBird Clements Checklist v2019	180	65.06666667	NA	NA	NA	Northern Bering Sea	King Island	NA	7	1985	8	1985	NA	2	Animalia	Arthropoda	Malacostraca	Amphipoda			Ampelisca		yes	NA	NA	NA	NA	NA	0.14	Occurrence	NA	7	1	stomach contents	NA	CW	"Grebmeier, J. M. and N. M. Harrison. 1992. Seabird feeding on benthic amphipods facilitated by gray whale activity in the northern Bering Sea. Marine Ecology Progress Series 80: 125-133."
Black-legged Kittiwake	Rissa tridactyla	NA	Laridae	eBird Clements Checklist v2019	180	65.06666667	NA	NA	NA	Northern Bering Sea	King Island	NA	7	1985	8	1985	NA	2	Animalia	Arthropoda	Malacostraca	Amphipoda			Byblis		yes	NA	NA	NA	NA	NA	1	Occurrence	NA	7	1	stomach contents	NA	CW	"Grebmeier, J. M. and N. M. Harrison. 1992. Seabird feeding on benthic amphipods facilitated by gray whale activity in the northern Bering Sea. Marine Ecology Progress Series 80: 125-133."
Black-legged Kittiwake	Rissa tridactyla	NA	Laridae	eBird Clements Checklist v2019	180	65.06666667	NA	NA	NA	Northern Bering Sea	King Island	NA	7	1985	8	1985	NA	2	Animalia	Arthropoda	Malacostraca	Amphipoda			Protomedeia		yes	NA	NA	NA	NA	NA	0.14	Occurrence	NA	7	1	stomach contents	NA	CW	"Grebmeier, J. M. and N. M. Harrison. 1992. Seabird feeding on benthic amphipods facilitated by gray whale activity in the northern Bering Sea. Marine Ecology Progress Series 80: 125-133."
Black-legged Kittiwake	Rissa tridactyla	NA	Laridae	eBird Clements Checklist v2019	180	65.06666667	NA	NA	NA	Northern Bering Sea	King Island	NA	7	1985	8	1985	NA	2	Animalia	Arthropoda	Malacostraca	Amphipoda			Anonyx		yes	NA	NA	NA	NA	NA	0.29	Occurrence	NA	7	1	stomach contents	NA	CW	"Grebmeier, J. M. and N. M. Harrison. 1992. Seabird feeding on benthic amphipods facilitated by gray whale activity in the northern Bering Sea. Marine Ecology Progress Series 80: 125-133."
Black-legged Kittiwake	Rissa tridactyla	NA	Laridae	eBird Clements Checklist v2019	180	65.06666667	NA	NA	NA	Northern Bering Sea	King Island	NA	7	1985	8	1985	NA	2	Animalia	Arthropoda	Malacostraca	Amphipoda			Photis		yes	NA	NA	NA	NA	NA	0.14	Occurrence	NA	7	1	stomach contents	NA	CW	"Grebmeier, J. M. and N. M. Harrison. 1992. Seabird feeding on benthic amphipods facilitated by gray whale activity in the northern Bering Sea. Marine Ecology Progress Series 80: 125-133."
