Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Analysis_Number	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Inclusive_Prey_Taxon	Prey_Name_ITIS_ID	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
Sooty Shearwater	Ardenna grisea		Procellariidae	eBird Clements Checklist v2019															Animalia	Mollusca							yes					squid	0.08					stomach contents	Table 3		
Sooty Shearwater	Ardenna grisea		Procellariidae	eBird Clements Checklist v2019															Animalia	Chordata	Teleostei	Clupeiformes	Clupeoidei	Engraulidae			yes						0.8					stomach contents	Table 3		
Sooty Shearwater	Ardenna grisea		Procellariidae	eBird Clements Checklist v2019															Animalia	Chordata							no					Gnathostomata	0.12					stomach contents	Table 3		
Leach's Storm-Petrel	Oceanodroma leucorhoa		Hydrobatidae	eBird Clements Checklist v2019															Animalia	Cnidaria	Hydrozoa						yes						0.44					stomach contents	Table 3		
Leach's Storm-Petrel	Oceanodroma leucorhoa		Hydrobatidae	eBird Clements Checklist v2019															Animalia	Arthropoda	Malacostraca	Euphausiacea		Euphausiidae			yes						0.38					stomach contents	Table 3		
Leach's Storm-Petrel	Oceanodroma leucorhoa		Hydrobatidae	eBird Clements Checklist v2019															Animalia	Arthropoda							no					other crustaceans	0.09					stomach contents	Table 3		
Leach's Storm-Petrel	Oceanodroma leucorhoa		Hydrobatidae	eBird Clements Checklist v2019															Animalia	Mollusca							yes					squid	0.01					stomach contents	Table 3		
Leach's Storm-Petrel	Oceanodroma leucorhoa		Hydrobatidae	eBird Clements Checklist v2019															Animalia	Chordata							no					Gnathostomata	0.08					stomach contents	Table 3		
Brandt's Cormorant	Phalacrocorax penicillatus		Phalacrocoracidae	eBird Clements Checklist v2019													summer		Animalia	Chordata	Teleostei	Clupeiformes	Clupeoidei	Engraulidae			yes						0.3					stomach contents	Table 3	file:///C:/Users/cw17/Downloads/ScottJamesM1973.pdf	
Brandt's Cormorant	Phalacrocorax penicillatus		Phalacrocoracidae	eBird Clements Checklist v2019													summer		Animalia	Chordata	Teleostei	Osmeriformes	Osmeroidei	Osmeridae			yes						0.04					stomach contents	Table 3	file:///C:/Users/cw17/Downloads/ScottJamesM1973.pdf	
Brandt's Cormorant	Phalacrocorax penicillatus		Phalacrocoracidae	eBird Clements Checklist v2019													summer		Animalia	Chordata	Teleostei	Scorpaeniformes	Scorpaenoidei	Scorpaenidae			yes						0.2					stomach contents	Table 3	file:///C:/Users/cw17/Downloads/ScottJamesM1973.pdf	
Brandt's Cormorant	Phalacrocorax penicillatus		Phalacrocoracidae	eBird Clements Checklist v2019													summer		Animalia	Chordata	Teleostei	Scorpaeniformes	Cottoidei	Cottidae			yes						0.2					stomach contents	Table 3	file:///C:/Users/cw17/Downloads/ScottJamesM1973.pdf	
Brandt's Cormorant	Phalacrocorax penicillatus		Phalacrocoracidae	eBird Clements Checklist v2019													summer		Animalia	Chordata							no						0.26					stomach contents	Table 3	file:///C:/Users/cw17/Downloads/ScottJamesM1973.pdf	
Brandt's Cormorant	Phalacrocorax penicillatus		Phalacrocoracidae	eBird Clements Checklist v2019													winter		Animalia	Chordata	Teleostei	Osmeriformes	Osmeroidei	Osmeridae			yes						0.06					stomach contents	Table 3	file:///C:/Users/cw17/Downloads/ScottJamesM1973.pdf	
Brandt's Cormorant	Phalacrocorax penicillatus		Phalacrocoracidae	eBird Clements Checklist v2019													winter		Animalia	Chordata	Teleostei	Scorpaeniformes	Scorpaenoidei	Scorpaenidae			yes						0.28					stomach contents	Table 3	file:///C:/Users/cw17/Downloads/ScottJamesM1973.pdf	
Brandt's Cormorant	Phalacrocorax penicillatus		Phalacrocoracidae	eBird Clements Checklist v2019													winter		Animalia	Chordata	Teleostei	Scorpaeniformes	Cottoidei	Cottidae			yes						0.28					stomach contents	Table 3	file:///C:/Users/cw17/Downloads/ScottJamesM1973.pdf	
Brandt's Cormorant	Phalacrocorax penicillatus		Phalacrocoracidae	eBird Clements Checklist v2019													winter		Animalia	Chordata							no						0.38					stomach contents	Table 3	file:///C:/Users/cw17/Downloads/ScottJamesM1973.pdf	
Common Murre	Uria aalge		Alcidae	eBird Clements Checklist v2019									5		6				Animalia	Mollusca							no					other mollusca	0.02					stomach contents	Table 3	file:///C:/Users/cw17/Downloads/ScottJamesM1973.pdf	
Common Murre	Uria aalge		Alcidae	eBird Clements Checklist v2019									5		6				Animalia	Chordata	Teleostei	Clupeiformes	Clupeoidei	Clupeidae			yes						0.09					stomach contents	Table 3	file:///C:/Users/cw17/Downloads/ScottJamesM1973.pdf	
Common Murre	Uria aalge		Alcidae	eBird Clements Checklist v2019									5		6				Animalia	Chordata	Teleostei	Clupeiformes	Clupeoidei	Engraulidae			yes						0.52					stomach contents	Table 3	file:///C:/Users/cw17/Downloads/ScottJamesM1973.pdf	
Common Murre	Uria aalge		Alcidae	eBird Clements Checklist v2019									5		6				Animalia	Chordata	Teleostei	Osmeriformes	Osmeroidei	Osmeridae			yes						0.23					stomach contents	Table 3	file:///C:/Users/cw17/Downloads/ScottJamesM1973.pdf	
