Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Analysis_Number	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Inclusive_Prey_Taxon	Prey_Name_ITIS_ID	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
American Redstart	Setophaga ruticilla		Parulidae	eBird Clements Checklist v2019	-77.3666667	18.2	550	715	880	Jamaica	Clarendon Parish	agriculture	11	1996	4	2000	multiple		Animalia		Euchelicerata						yes			NA	NA		0.02						"data estimated from graph, may not add to 100%"		
																			Animalia			Hemiptera					no			NA	NA		0.02								
																			Animalia					Psyllidae			yes			NA	NA		0.38								
																			Animalia			Thysanoptera					yes			NA	NA		0.01								
																			Animalia			Psocodea					yes			NA	NA		0.14								
																			Animalia							Hypothenemus hampei	yes			NA	NA	coffee berry borer beetle	0.19								
																			Animalia			Coleoptera					no			NA	NA		0.06								
																			Animalia			Neuroptera					yes			NA	NA										
																			Animalia					Formicidae			yes			NA	NA		0.04								
																			Animalia			Hymenoptera					no			NA	NA		0.08								
																			Animalia			Lepidoptera					yes			larva	NA	moth									
																			Animalia			Lepidoptera					yes			adult	NA	moth	0.005								
																			Animalia					Chironomidae			yes			NA	NA		0.03								
																			Animalia					Muscidae			yes			NA	NA		0.02								
																			Animalia			Diptera					no			NA	NA		0.02								
																			Animalia	Arthropoda							no			NA	NA		0.01								
																			Animalia																						
																			Animalia																						
																			Animalia																						
																			Animalia																						
																			Animalia																						
