Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Analysis_Number	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Inclusive_Prey_Taxon	Prey_Name_ITIS_ID	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
Manx Shearwater	Puffinus puffinus	NA	Procellariidae	eBird Clements Checklist v2019	NA	NA	350	NA	717	Scotland	Rhum Island; mountain Hallival	rock;grassland	NA	1984	NA	1985	NA	1	Animalia	Mollusca	Cephalopoda						yes	NA	NA	NA	NA	squid	0.818	Occurrence	NA	13	1	stomach contents	Table 5.1; adult in pre-laying period;proventriculi contents based on regurgitations and dissections	CW	"Thompson, K. R. 1987. The ecology of the Manx Shearwater Puffinus puffinus on Rhum, West Scotland. PhD thesis. 70-76."
Manx Shearwater	Puffinus puffinus	NA	Procellariidae	eBird Clements Checklist v2019	NA	NA	350	NA	717	Scotland	Rhum Island; mountain Hallival	rock;grassland	NA	1984	NA	1985	NA	1	Animalia	Chordata							no	NA	NA	NA	NA	other/unknown fish	0.546	Occurrence	NA	13	1	stomach contents	Table 5.1; adult in pre-laying period;proventriculi contents based on regurgitations and dissections	CW	"Thompson, K. R. 1987. The ecology of the Manx Shearwater Puffinus puffinus on Rhum, West Scotland. PhD thesis. 70-76."
Manx Shearwater	Puffinus puffinus	NA	Procellariidae	eBird Clements Checklist v2019	NA	NA	350	NA	717	Scotland	Rhum Island; mountain Hallival	rock;grassland	NA	1984	NA	1985	NA	2	Animalia	Mollusca	Cephalopoda						yes	NA	NA	NA	NA	squid	1	Occurrence	NA	4	1	stomach contents	Table 5.1; adult in pre-laying period;gizzard contents based on disections	CW	"Thompson, K. R. 1987. The ecology of the Manx Shearwater Puffinus puffinus on Rhum, West Scotland. PhD thesis. 70-76."
Manx Shearwater	Puffinus puffinus	NA	Procellariidae	eBird Clements Checklist v2019	NA	NA	350	NA	717	Scotland	Rhum Island; mountain Hallival	rock;grassland	NA	1984	NA	1985	NA	2	Animalia	Chordata							no	NA	NA	NA	NA	other/unknown fish	0.667	Occurrence	NA	4	1	stomach contents	Table 5.1; adult in pre-laying period;gizzard contents based on disections	CW	"Thompson, K. R. 1987. The ecology of the Manx Shearwater Puffinus puffinus on Rhum, West Scotland. PhD thesis. 70-76."
Manx Shearwater	Puffinus puffinus	NA	Procellariidae	eBird Clements Checklist v2019	NA	NA	350	NA	717	Scotland	Rhum Island; mountain Hallival	rock;grassland	NA	1984	NA	1985	NA	3	Animalia	Mollusca	Cephalopoda						yes	NA	NA	NA	NA	squid	0.529	Occurrence	NA	25	1	stomach contents	Table 5.1; adult in incubation period;proventriculi contents based on regurgitations and dissections	CW	"Thompson, K. R. 1987. The ecology of the Manx Shearwater Puffinus puffinus on Rhum, West Scotland. PhD thesis. 70-76."
Manx Shearwater	Puffinus puffinus	NA	Procellariidae	eBird Clements Checklist v2019	NA	NA	350	NA	717	Scotland	Rhum Island; mountain Hallival	rock;grassland	NA	1984	NA	1985	NA	3	Animalia	Chordata	Teleostei	Perciformes	Trachinoidei	Ammodytidae	Gymnammodytes	Gymnammodytes semisquamatus	yes	NA	NA	NA	NA	sandeel	0.059	Occurrence	NA	25	1	stomach contents	Table 5.1; adult in incubation period;proventriculi contents based on regurgitations and dissections	CW	"Thompson, K. R. 1987. The ecology of the Manx Shearwater Puffinus puffinus on Rhum, West Scotland. PhD thesis. 70-76."
Manx Shearwater	Puffinus puffinus	NA	Procellariidae	eBird Clements Checklist v2019	NA	NA	350	NA	717	Scotland	Rhum Island; mountain Hallival	rock;grassland	NA	1984	NA	1985	NA	3	Animalia	Chordata	Teleostei	Clupeiformes	Clupeoidei	Clupeidae			yes	NA	NA	NA	NA	sprat/herring	0.059	Occurrence	NA	25	1	stomach contents	Table 5.1; adult in incubation period;proventriculi contents based on regurgitations and dissections	CW	"Thompson, K. R. 1987. The ecology of the Manx Shearwater Puffinus puffinus on Rhum, West Scotland. PhD thesis. 70-76."
Manx Shearwater	Puffinus puffinus	NA	Procellariidae	eBird Clements Checklist v2019	NA	NA	350	NA	717	Scotland	Rhum Island; mountain Hallival	rock;grassland	NA	1984	NA	1985	NA	3	Animalia	Chordata							no	NA	NA	NA	NA	other/unknown fish	0.471	Occurrence	NA	25	1	stomach contents	Table 5.1; adult in incubation period;proventriculi contents based on regurgitations and dissections	CW	"Thompson, K. R. 1987. The ecology of the Manx Shearwater Puffinus puffinus on Rhum, West Scotland. PhD thesis. 70-76."
Manx Shearwater	Puffinus puffinus	NA	Procellariidae	eBird Clements Checklist v2019	NA	NA	350	NA	717	Scotland	Rhum Island; mountain Hallival	rock;grassland	NA	1984	NA	1985	NA	3	Animalia	Arthropoda							yes	NA	NA	NA	NA	crustaca	0.176	Occurrence	NA	25	1	stomach contents	Table 5.1; adult in incubation period;proventriculi contents based on regurgitations and dissections	CW	"Thompson, K. R. 1987. The ecology of the Manx Shearwater Puffinus puffinus on Rhum, West Scotland. PhD thesis. 70-76."
Manx Shearwater	Puffinus puffinus	NA	Procellariidae	eBird Clements Checklist v2019	NA	NA	350	NA	717	Scotland	Rhum Island; mountain Hallival	rock;grassland	NA	1984	NA	1985	NA	4	Animalia	Mollusca	Cephalopoda						yes	NA	NA	NA	NA	squid	0.118	Occurrence	NA	37	1	stomach contents	Table 5.1; adult in chick-rearing period;proventriculi contents based on regurgitations and dissections	CW	"Thompson, K. R. 1987. The ecology of the Manx Shearwater Puffinus puffinus on Rhum, West Scotland. PhD thesis. 70-76."
Manx Shearwater	Puffinus puffinus	NA	Procellariidae	eBird Clements Checklist v2019	NA	NA	350	NA	717	Scotland	Rhum Island; mountain Hallival	rock;grassland	NA	1984	NA	1985	NA	4	Animalia	Chordata	Teleostei	Perciformes	Trachinoidei	Ammodytidae	Gymnammodytes	Gymnammodytes semisquamatus	yes	NA	NA	NA	NA	sandeel	0.235	Occurrence	NA	37	1	stomach contents	Table 5.1; adult in chick-rearing period;proventriculi contents based on regurgitations and dissections	CW	"Thompson, K. R. 1987. The ecology of the Manx Shearwater Puffinus puffinus on Rhum, West Scotland. PhD thesis. 70-76."
Manx Shearwater	Puffinus puffinus	NA	Procellariidae	eBird Clements Checklist v2019	NA	NA	350	NA	717	Scotland	Rhum Island; mountain Hallival	rock;grassland	NA	1984	NA	1985	NA	4	Animalia	Chordata	Teleostei	Clupeiformes	Clupeoidei	Clupeidae			yes	NA	NA	NA	NA	sprat/herring	0.265	Occurrence	NA	37	1	stomach contents	Table 5.1; adult in chick-rearing period;proventriculi contents based on regurgitations and dissections	CW	"Thompson, K. R. 1987. The ecology of the Manx Shearwater Puffinus puffinus on Rhum, West Scotland. PhD thesis. 70-76."
Manx Shearwater	Puffinus puffinus	NA	Procellariidae	eBird Clements Checklist v2019	NA	NA	350	NA	717	Scotland	Rhum Island; mountain Hallival	rock;grassland	NA	1984	NA	1985	NA	4	Animalia	Chordata							no	NA	NA	NA	NA	other/unknown fish	0.529	Occurrence	NA	37	1	stomach contents	Table 5.1; adult in chick-rearing period;proventriculi contents based on regurgitations and dissections	CW	"Thompson, K. R. 1987. The ecology of the Manx Shearwater Puffinus puffinus on Rhum, West Scotland. PhD thesis. 70-76."
Manx Shearwater	Puffinus puffinus	NA	Procellariidae	eBird Clements Checklist v2019	NA	NA	350	NA	717	Scotland	Rhum Island; mountain Hallival	rock;grassland	NA	1984	NA	1985	NA	4	Animalia	Arthropoda							yes	NA	NA	NA	NA	crustaca	0.088	Occurrence	NA	37	1	stomach contents	Table 5.1; adult in chick-rearing period;proventriculi contents based on regurgitations and dissections	CW	"Thompson, K. R. 1987. The ecology of the Manx Shearwater Puffinus puffinus on Rhum, West Scotland. PhD thesis. 70-76."
Manx Shearwater	Puffinus puffinus	NA	Procellariidae	eBird Clements Checklist v2019	NA	NA	350	NA	717	Scotland	Rhum Island; mountain Hallival	rock;grassland	NA	1984	NA	1985	NA	5	Animalia	Mollusca	Cephalopoda						yes	NA	NA	NA	NA	squid	1	Occurrence	NA	3	1	stomach contents	Table 5.1; adult in chick-rearing period;gizzard contents based on dissection	CW	"Thompson, K. R. 1987. The ecology of the Manx Shearwater Puffinus puffinus on Rhum, West Scotland. PhD thesis. 70-76."
Manx Shearwater	Puffinus puffinus	NA	Procellariidae	eBird Clements Checklist v2019	NA	NA	350	NA	717	Scotland	Rhum Island; mountain Hallival	rock;grassland	NA	1984	NA	1985	NA	6	Animalia	Mollusca	Cephalopoda						yes	NA	NA	NA	NA	squid	1	Occurrence	NA	3	1	stomach contents	Table 5.1;chick;proventriculi contents based on regurgitations and dissections	CW	"Thompson, K. R. 1987. The ecology of the Manx Shearwater Puffinus puffinus on Rhum, West Scotland. PhD thesis. 70-76."
Manx Shearwater	Puffinus puffinus	NA	Procellariidae	eBird Clements Checklist v2019	NA	NA	350	NA	717	Scotland	Rhum Island; mountain Hallival	rock;grassland	NA	1984	NA	1985	NA	6	Animalia	Chordata	Teleostei	Perciformes	Trachinoidei	Ammodytidae	Gymnammodytes	Gymnammodytes semisquamatus	yes	NA	NA	NA	NA	sandeel	0.333	Occurrence	NA	3	1	stomach contents	Table 5.1;chick;proventriculi contents based on regurgitations and dissections	CW	"Thompson, K. R. 1987. The ecology of the Manx Shearwater Puffinus puffinus on Rhum, West Scotland. PhD thesis. 70-76."
Manx Shearwater	Puffinus puffinus	NA	Procellariidae	eBird Clements Checklist v2019	NA	NA	350	NA	717	Scotland	Rhum Island; mountain Hallival	rock;grassland	NA	1984	NA	1985	NA	7	Animalia	Mollusca	Cephalopoda						yes	NA	NA	NA	NA	squid	1	Occurrence	NA	3	1	stomach contents	Table 5.1;chick;gizzard contents based on dissection	CW	"Thompson, K. R. 1987. The ecology of the Manx Shearwater Puffinus puffinus on Rhum, West Scotland. PhD thesis. 70-76."
Manx Shearwater	Puffinus puffinus	NA	Procellariidae	eBird Clements Checklist v2019	NA	NA	350	NA	717	Scotland	Rhum Island; mountain Hallival	rock;grassland	NA	1984	NA	1985	NA	8	Animalia	Mollusca	Cephalopoda						yes	NA	NA	NA	NA	squid	1	Occurrence	NA	5	1	stomach contents	Table 5.1;fledgling;gizzard contents based on dissection	CW	"Thompson, K. R. 1987. The ecology of the Manx Shearwater Puffinus puffinus on Rhum, West Scotland. PhD thesis. 70-76."
Manx Shearwater	Puffinus puffinus	NA	Procellariidae	eBird Clements Checklist v2019	NA	NA	350	NA	717	Scotland	Rhum Island; mountain Hallival	rock;grassland	NA	1984	NA	1985	NA	9	Animalia	Mollusca	Cephalopoda	Teuthida	Oegopsina	Ommastrephidae			yes	NA	NA	NA	NA		0.7	Items	20	NA	1	stomach contents	"Table 5.2; includes juvenile Todarodes sagittatus, Illex coindetii, and Todaropsis eblanae"	CW	"Thompson, K. R. 1987. The ecology of the Manx Shearwater Puffinus puffinus on Rhum, West Scotland. PhD thesis. 70-76."
Manx Shearwater	Puffinus puffinus	NA	Procellariidae	eBird Clements Checklist v2019	NA	NA	350	NA	717	Scotland	Rhum Island; mountain Hallival	rock;grassland	NA	1984	NA	1985	NA	9	Animalia	Mollusca	Cephalopoda	Teuthida	Oegopsina	Cranchiidae		Teuthowenia megalops	yes	NA	NA	NA	NA		0.05	Items	20	NA	1	stomach contents	Table 5.2;immature		"Thompson, K. R. 1987. The ecology of the Manx Shearwater Puffinus puffinus on Rhum, West Scotland. PhD thesis. 70-76."
Manx Shearwater	Puffinus puffinus	NA	Procellariidae	eBird Clements Checklist v2019	NA	NA	350	NA	717	Scotland	Rhum Island; mountain Hallival	rock;grassland	NA	1984	NA	1985	NA	9	Animalia	Mollusca	Cephalopoda	Teuthida	Oegopsina	Cranchiidae		Taonius pavo	yes	NA	NA	NA	NA		0.05	Items	20	NA	1	stomach contents	Table 5.2;adult		"Thompson, K. R. 1987. The ecology of the Manx Shearwater Puffinus puffinus on Rhum, West Scotland. PhD thesis. 70-76."
Manx Shearwater	Puffinus puffinus	NA	Procellariidae	eBird Clements Checklist v2019	NA	NA	350	NA	717	Scotland	Rhum Island; mountain Hallival	rock;grassland	NA	1984	NA	1985	NA	9	Animalia	Mollusca	Cephalopoda	Teuthida	Oegopsina	Gonatidae		Gonatus steenstrupi	yes	NA	NA	NA	NA		0.1	Items	20	NA	1	stomach contents	Table 5.2;adult		"Thompson, K. R. 1987. The ecology of the Manx Shearwater Puffinus puffinus on Rhum, West Scotland. PhD thesis. 70-76."
Manx Shearwater	Puffinus puffinus	NA	Procellariidae	eBird Clements Checklist v2019	NA	NA	350	NA	717	Scotland	Rhum Island; mountain Hallival	rock;grassland	NA	1984	NA	1985	NA	9	Animalia	Mollusca	Cephalopoda	Teuthida	Oegopsina			Onychoteuthis banksii	yes	NA	NA	NA	NA		0.05	Items	20	NA	1	stomach contents	Table 5.2;adult		"Thompson, K. R. 1987. The ecology of the Manx Shearwater Puffinus puffinus on Rhum, West Scotland. PhD thesis. 70-76."
Manx Shearwater	Puffinus puffinus	NA	Procellariidae	eBird Clements Checklist v2019	NA	NA	350	NA	717	Scotland	Rhum Island; mountain Hallival	rock;grassland	NA	1984	NA	1985	NA	9	Animalia	Mollusca	Cephalopoda	Teuthida	Oegopsina		Mastigoteuthis		yes	NA	NA	NA	NA		0.05	Items	20	NA	1	stomach contents	Table 5.2;adult		"Thompson, K. R. 1987. The ecology of the Manx Shearwater Puffinus puffinus on Rhum, West Scotland. PhD thesis. 70-76."
