Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Analysis_Number	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Inclusive_Prey_Taxon	Prey_Name_ITIS_ID	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
Louisiana Waterthrush	Parkesia motacilla		Parulidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Pennsylvania	Near Powdermill Nature Reserve	river	4	2014	6	2015	spring		Animalia							Piratula insularis	yes			NA	NA		0.071	Occurrence		14	3	fecal contents	adults; diet determined using DNA analysis	MMS	
																			Animalia							Philodromus rufus	yes			NA	NA		0.071	Occurrence							
																			Animalia						Protzia		yes			NA	NA		0.071	Occurrence							
																			Animalia							Cryptocercus punctulatus	yes			NA	NA			Occurrence							
																			Animalia							Sciaphilus asperatus	yes			NA	NA			Occurrence							
																			Animalia						Krenopelopia		yes			NA	NA		0.429	Occurrence							
																			Animalia						Anopheles		yes			NA	NA		0.357	Occurrence							
																			Animalia							Gymnopternus spectabilis	yes			NA	NA		0.214	Occurrence							
																			Animalia						Rhamphomyia		yes			NA	NA		0.071	Occurrence							
																			Animalia							Austrolimnophila toxoneura	yes			NA	NA		0.214	Occurrence							
																			Animalia							Euphylidorea austoides	yes			NA	NA		0.143	Occurrence							
																			Animalia							Eutonia alleni	yes			NA	NA		0.143	Occurrence							
																			Animalia							Limnophila rufibasis	yes			NA	NA		0.357	Occurrence							
																			Animalia							Limonia indigena	yes			NA	NA		0.286	Occurrence							
																			Animalia							Metalimnobia immatura	yes			NA	NA		0.071	Occurrence							
																			Animalia							Rhipidia maculata	yes			NA	NA		0.143	Occurrence							
																			Animalia						Pedicia		yes			NA	NA		0.143	Occurrence							
