Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Analysis_Number	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Inclusive_Prey_Taxon	Prey_Name_ITIS_ID	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
King Penguin	Aptenodytes patagonicus	NA	Spheniscidae	eBird Clements Checklist v2019	51.75	-46.42	NA	NA	NA	Indian Ocean	Baie du Marin	rock;marine	2	1989	2	1989	NA	1	Animalia	Animalia	Chordata			Myctophidae		Krefftichthys anderssoni	yes			NA	NA		0.95	Occurrence	5723	20	NA	stomach contents		IRE	"Cherel, Y. and V. Ridoux. 1992. Prey species and nutritive value of food fed during summer to king penguin Aptenodytes patagonica chicks at Possession Island, Crozet Archipelago. Ibis 134:118-127."
King Penguin	Aptenodytes patagonicus	NA	Spheniscidae	eBird Clements Checklist v2019	51.75	-46.42	NA	NA	NA	Indian Ocean	Baie du Marin	rock;marine	2	1989	2	1989	NA	1	Animalia	Animalia	Chordata			Myctophidae		Protomyctophum normani	yes			NA	NA		0.2	Occurrence	5723	20	NA	stomach contents		IRE	"Cherel, Y. and V. Ridoux. 1992. Prey species and nutritive value of food fed during summer to king penguin Aptenodytes patagonica chicks at Possession Island, Crozet Archipelago. Ibis 134:118-127."
King Penguin	Aptenodytes patagonicus	NA	Spheniscidae	eBird Clements Checklist v2019	51.75	-46.42	NA	NA	NA	Indian Ocean	Baie du Marin	rock;marine	2	1989	2	1989	NA	1	Animalia	Animalia	Chordata			Myctophidae		Protomyctophum bolini	yes			NA	NA		0.05	Occurrence	5723	20	NA	stomach contents		IRE	"Cherel, Y. and V. Ridoux. 1992. Prey species and nutritive value of food fed during summer to king penguin Aptenodytes patagonica chicks at Possession Island, Crozet Archipelago. Ibis 134:118-127."
King Penguin	Aptenodytes patagonicus	NA	Spheniscidae	eBird Clements Checklist v2019	51.75	-46.42	NA	NA	NA	Indian Ocean	Baie du Marin	rock;marine	2	1989	2	1989	NA	1	Animalia	Animalia	Chordata			Myctophidae	Protomyctophum		no			NA	NA		0.35	Occurrence	5723	20	NA	stomach contents		IRE	"Cherel, Y. and V. Ridoux. 1992. Prey species and nutritive value of food fed during summer to king penguin Aptenodytes patagonica chicks at Possession Island, Crozet Archipelago. Ibis 134:118-127."
King Penguin	Aptenodytes patagonicus	NA	Spheniscidae	eBird Clements Checklist v2019	51.75	-46.42	NA	NA	NA	Indian Ocean	Baie du Marin	rock;marine	2	1989	2	1989	NA	1	Animalia	Animalia	Chordata			Myctophidae		Electrona carlsbergi	yes			NA	NA		1	Occurrence	5723	20	NA	stomach contents		IRE	"Cherel, Y. and V. Ridoux. 1992. Prey species and nutritive value of food fed during summer to king penguin Aptenodytes patagonica chicks at Possession Island, Crozet Archipelago. Ibis 134:118-127."
King Penguin	Aptenodytes patagonicus	NA	Spheniscidae	eBird Clements Checklist v2019	51.75	-46.42	NA	NA	NA	Indian Ocean	Baie du Marin	rock;marine	2	1989	2	1989	NA	1	Animalia	Animalia	Chordata			Myctophidae		Metelectrona ventralis	yes			NA	NA		0.05	Occurrence	5723	20	NA	stomach contents		IRE	"Cherel, Y. and V. Ridoux. 1992. Prey species and nutritive value of food fed during summer to king penguin Aptenodytes patagonica chicks at Possession Island, Crozet Archipelago. Ibis 134:118-127."
King Penguin	Aptenodytes patagonicus	NA	Spheniscidae	eBird Clements Checklist v2019	51.75	-46.42	NA	NA	NA	Indian Ocean	Baie du Marin	rock;marine	2	1989	2	1989	NA	1	Animalia	Animalia	Chordata			Myctophidae		Gymnoscopelus fraseri	yes			NA	NA		0.05	Occurrence	5723	20	NA	stomach contents		IRE	"Cherel, Y. and V. Ridoux. 1992. Prey species and nutritive value of food fed during summer to king penguin Aptenodytes patagonica chicks at Possession Island, Crozet Archipelago. Ibis 134:118-127."
King Penguin	Aptenodytes patagonicus	NA	Spheniscidae	eBird Clements Checklist v2019	51.75	-46.42	NA	NA	NA	Indian Ocean	Baie du Marin	rock;marine	2	1989	2	1989	NA	1	Animalia	Animalia	Chordata			Myctophidae		Gymnoscopelus piabilis	yes			NA	NA		0.05	Occurrence	5723	20	NA	stomach contents		IRE	"Cherel, Y. and V. Ridoux. 1992. Prey species and nutritive value of food fed during summer to king penguin Aptenodytes patagonica chicks at Possession Island, Crozet Archipelago. Ibis 134:118-127."
King Penguin	Aptenodytes patagonicus	NA	Spheniscidae	eBird Clements Checklist v2019	51.75	-46.42	NA	NA	NA	Indian Ocean	Baie du Marin	rock;marine	2	1989	2	1989	NA	1	Animalia	Animalia	Chordata			Paralepididae		Magnisudis prionosa	yes			NA	NA		0.05	Occurrence	5723	20	NA	stomach contents		IRE	"Cherel, Y. and V. Ridoux. 1992. Prey species and nutritive value of food fed during summer to king penguin Aptenodytes patagonica chicks at Possession Island, Crozet Archipelago. Ibis 134:118-127."
King Penguin	Aptenodytes patagonicus	NA	Spheniscidae	eBird Clements Checklist v2019	51.75	-46.42	NA	NA	NA	Indian Ocean	Baie du Marin	rock;marine	2	1989	2	1989	NA	1	Animalia	Animalia	Chordata			Paralepididae	Notolepis		yes			NA	NA		0.2	Occurrence	5723	20	NA	stomach contents		IRE	"Cherel, Y. and V. Ridoux. 1992. Prey species and nutritive value of food fed during summer to king penguin Aptenodytes patagonica chicks at Possession Island, Crozet Archipelago. Ibis 134:118-127."
King Penguin	Aptenodytes patagonicus	NA	Spheniscidae	eBird Clements Checklist v2019	51.75	-46.42	NA	NA	NA	Indian Ocean	Baie du Marin	rock;marine	2	1989	2	1989	NA	1	Animalia	Animalia	Chordata			Gempylidae		Paradiplospinus gracilis	yes			NA	NA		0.35	Occurrence	5723	20	NA	stomach contents		IRE	"Cherel, Y. and V. Ridoux. 1992. Prey species and nutritive value of food fed during summer to king penguin Aptenodytes patagonica chicks at Possession Island, Crozet Archipelago. Ibis 134:118-127."
King Penguin	Aptenodytes patagonicus	NA	Spheniscidae	eBird Clements Checklist v2019	51.75	-46.42	NA	NA	NA	Indian Ocean	Baie du Marin	rock;marine	2	1989	2	1989	NA	1	Animalia	Animalia	Mollusca	Cephalopoda		Gonatidae		Gonatus antarcticus	yes			NA	NA		0.5	Occurrence	5723	20	NA	stomach contents		IRE	"Cherel, Y. and V. Ridoux. 1992. Prey species and nutritive value of food fed during summer to king penguin Aptenodytes patagonica chicks at Possession Island, Crozet Archipelago. Ibis 134:118-127."
King Penguin	Aptenodytes patagonicus	NA	Spheniscidae	eBird Clements Checklist v2019	51.75	-46.42	NA	NA	NA	Indian Ocean	Baie du Marin	rock;marine	2	1989	2	1989	NA	1	Animalia	Animalia	Mollusca	Cephalopoda		Onychoteuthidae		Moroteuthis ingens	yes			NA	NA		0.1	Occurrence	5723	20	NA	stomach contents		IRE	"Cherel, Y. and V. Ridoux. 1992. Prey species and nutritive value of food fed during summer to king penguin Aptenodytes patagonica chicks at Possession Island, Crozet Archipelago. Ibis 134:118-127."
King Penguin	Aptenodytes patagonicus	NA	Spheniscidae	eBird Clements Checklist v2019	51.75	-46.42	NA	NA	NA	Indian Ocean	Baie du Marin	rock;marine	2	1989	2	1989	NA	1	Animalia	Animalia	Mollusca	Cephalopoda					no			NA	NA		0.1	Occurrence	5723	20	NA	stomach contents		IRE	"Cherel, Y. and V. Ridoux. 1992. Prey species and nutritive value of food fed during summer to king penguin Aptenodytes patagonica chicks at Possession Island, Crozet Archipelago. Ibis 134:118-127."
King Penguin	Aptenodytes patagonicus	NA	Spheniscidae	eBird Clements Checklist v2019	51.75	-46.42	NA	NA	NA	Indian Ocean	Baie du Marin	rock;marine	2	1989	2	1989	NA	2	Animalia	Animalia	Chordata			Myctophidae		Krefftichthys anderssoni	yes			NA	NA		0.427	Items	5723	20	NA	stomach contents		IRE	"Cherel, Y. and V. Ridoux. 1992. Prey species and nutritive value of food fed during summer to king penguin Aptenodytes patagonica chicks at Possession Island, Crozet Archipelago. Ibis 134:118-127."
King Penguin	Aptenodytes patagonicus	NA	Spheniscidae	eBird Clements Checklist v2019	51.75	-46.42	NA	NA	NA	Indian Ocean	Baie du Marin	rock;marine	2	1989	2	1989	NA	2	Animalia	Animalia	Chordata			Myctophidae		Protomyctophum normani	yes			NA	NA		0.01	Items	5723	20	NA	stomach contents		IRE	"Cherel, Y. and V. Ridoux. 1992. Prey species and nutritive value of food fed during summer to king penguin Aptenodytes patagonica chicks at Possession Island, Crozet Archipelago. Ibis 134:118-127."
King Penguin	Aptenodytes patagonicus	NA	Spheniscidae	eBird Clements Checklist v2019	51.75	-46.42	NA	NA	NA	Indian Ocean	Baie du Marin	rock;marine	2	1989	2	1989	NA	2	Animalia	Animalia	Chordata			Myctophidae		Protomyctophum bolini	yes			NA	NA		0.037	Items	5723	20	NA	stomach contents		IRE	"Cherel, Y. and V. Ridoux. 1992. Prey species and nutritive value of food fed during summer to king penguin Aptenodytes patagonica chicks at Possession Island, Crozet Archipelago. Ibis 134:118-127."
