Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Analysis_Number	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Inclusive_Prey_Taxon	Prey_Name_ITIS_ID	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
King Penguin	Aptenodytes patagonicus	NA	Spheniscidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	South Atlantic Ocean	South Georgia	marine	NA	NA	NA	1987	NA	1	Animalia	Chordata							yes			NA	NA	fish	0.3	Wt_or_Vol	NA	NA	NA	NA		IRE	"Croxall, J.P. and P.A. Prince. 1987. Seabirds as predators on marine resources, especially krill, at South Georgia. Pages 347-368 in Seabirds: feeding ecology and role in marine ecosystems. (Croxall, J. P., Ed.) Cambridge Univ. Press, Cambridge, U.K."
King Penguin	Aptenodytes patagonicus	NA	Spheniscidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	South Atlantic Ocean	South Georgia	marine	NA	NA	NA	1987	NA	1	Animalia		Cephalopoda						yes			NA	NA	squid	0.7	Wt_or_Vol	NA	NA	NA	NA		IRE	"Croxall, J.P. and P.A. Prince. 1987. Seabirds as predators on marine resources, especially krill, at South Georgia. Pages 347-368 in Seabirds: feeding ecology and role in marine ecosystems. (Croxall, J. P., Ed.) Cambridge Univ. Press, Cambridge, U.K."
Gentoo Penguin	Pygoscelis papua	NA	Spheniscidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	South Atlantic Ocean	South Georgia	marine	NA	NA	NA	1987	NA	2	Animalia			Euphausiacea					yes			NA	NA	krill	0.68	Wt_or_Vol	NA	NA	NA	NA		IRE	"Croxall, J.P. and P.A. Prince. 1987. Seabirds as predators on marine resources, especially krill, at South Georgia. Pages 347-368 in Seabirds: feeding ecology and role in marine ecosystems. (Croxall, J. P., Ed.) Cambridge Univ. Press, Cambridge, U.K."
Gentoo Penguin	Pygoscelis papua	NA	Spheniscidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	South Atlantic Ocean	South Georgia	marine	NA	NA	NA	1987	NA	2	Animalia	Chordata							yes			NA	NA	fish	0.32	Wt_or_Vol	NA	NA	NA	NA		IRE	"Croxall, J.P. and P.A. Prince. 1987. Seabirds as predators on marine resources, especially krill, at South Georgia. Pages 347-368 in Seabirds: feeding ecology and role in marine ecosystems. (Croxall, J. P., Ed.) Cambridge Univ. Press, Cambridge, U.K."
Chinstrap Penguin	Pygoscelis antarcticus	NA	Spheniscidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	South Atlantic Ocean	South Georgia	marine	NA	NA	NA	1987	NA	3	Animalia			Euphausiacea					yes			NA	NA	krill	1	Wt_or_Vol	NA	NA	NA	NA		IRE	"Croxall, J.P. and P.A. Prince. 1987. Seabirds as predators on marine resources, especially krill, at South Georgia. Pages 347-368 in Seabirds: feeding ecology and role in marine ecosystems. (Croxall, J. P., Ed.) Cambridge Univ. Press, Cambridge, U.K."
Macaroni Penguin	Eudyptes chrysolophus	NA	Spheniscidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	South Atlantic Ocean	South Georgia	marine	NA	NA	NA	1987	NA	4	Animalia			Euphausiacea					yes			NA	NA	krill	0.98	Wt_or_Vol	NA	NA	NA	NA		IRE	"Croxall, J.P. and P.A. Prince. 1987. Seabirds as predators on marine resources, especially krill, at South Georgia. Pages 347-368 in Seabirds: feeding ecology and role in marine ecosystems. (Croxall, J. P., Ed.) Cambridge Univ. Press, Cambridge, U.K."
Macaroni Penguin	Eudyptes chrysolophus	NA	Spheniscidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	South Atlantic Ocean	South Georgia	marine	NA	NA	NA	1987	NA	4	Animalia	Chordata							yes			NA	NA	fish	0.02	Wt_or_Vol	NA	NA	NA	NA		IRE	"Croxall, J.P. and P.A. Prince. 1987. Seabirds as predators on marine resources, especially krill, at South Georgia. Pages 347-368 in Seabirds: feeding ecology and role in marine ecosystems. (Croxall, J. P., Ed.) Cambridge Univ. Press, Cambridge, U.K."
Wandering Albatross	Diomedea exulans	NA	Diomedeidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	South Atlantic Ocean	South Georgia	marine	NA	NA	NA	1987	NA	5	Animalia	Chordata							yes			NA	NA	fish	0.41	Wt_or_Vol	NA	NA	NA	NA	values as reported do not sum to 100%	IRE	"Croxall, J.P. and P.A. Prince. 1987. Seabirds as predators on marine resources, especially krill, at South Georgia. Pages 347-368 in Seabirds: feeding ecology and role in marine ecosystems. (Croxall, J. P., Ed.) Cambridge Univ. Press, Cambridge, U.K."
Wandering Albatross	Diomedea exulans	NA	Diomedeidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	South Atlantic Ocean	South Georgia	marine	NA	NA	NA	1987	NA	5	Animalia		Cephalopoda						yes			NA	NA	squid	0.4	Wt_or_Vol	NA	NA	NA	NA	values as reported do not sum to 100%	IRE	"Croxall, J.P. and P.A. Prince. 1987. Seabirds as predators on marine resources, especially krill, at South Georgia. Pages 347-368 in Seabirds: feeding ecology and role in marine ecosystems. (Croxall, J. P., Ed.) Cambridge Univ. Press, Cambridge, U.K."
Black-browed Albatross	Thalassarche melanophris	NA	Diomedeidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	South Atlantic Ocean	South Georgia	marine	NA	NA	NA	1987	NA	6	Animalia			Euphausiacea					yes			NA	NA	krill	0.38	Wt_or_Vol	NA	NA	NA	NA		IRE	"Croxall, J.P. and P.A. Prince. 1987. Seabirds as predators on marine resources, especially krill, at South Georgia. Pages 347-368 in Seabirds: feeding ecology and role in marine ecosystems. (Croxall, J. P., Ed.) Cambridge Univ. Press, Cambridge, U.K."
