Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Analysis_Number	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Inclusive_Prey_Taxon	Prey_Name_ITIS_ID	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
Antarctic Shag	Phalacrocorax bransfieldensis	NA	Phalacrocoracidae	eBird Clements Checklist v2019	-58.78	-62.3	NA	NA	NA	Antarctica	Duthoit Point	arctic	12	1994	2	1995	NA	1	Animalia	Chordata							yes			NA	NA	fish	1	Occurrence	382	46	1	emetic	"Table 1, incubation"	IRE	"Favero, M.R., R. Casaux, P. Silva, E. Barrera-Oro, and N. Coria. 1998. The diet of the Antarctic shag during summer at Nelson Island, Antarctica. Condor 100:112-118."
Antarctic Shag	Phalacrocorax bransfieldensis	NA	Phalacrocoracidae	eBird Clements Checklist v2019	-58.78	-62.3	NA	NA	NA	Antarctica	Duthoit Point	arctic	12	1994	2	1995	NA	1	Animalia			Octopoda					yes			NA	NA	octopods	0.125	Occurrence	382	46	1	emetic	"Table 1, incubation"	IRE	"Favero, M.R., R. Casaux, P. Silva, E. Barrera-Oro, and N. Coria. 1998. The diet of the Antarctic shag during summer at Nelson Island, Antarctica. Condor 100:112-118."
Antarctic Shag	Phalacrocorax bransfieldensis	NA	Phalacrocoracidae	eBird Clements Checklist v2019	-58.78	-62.3	NA	NA	NA	Antarctica	Duthoit Point	arctic	12	1994	2	1995	NA	1	Animalia				Gammaridea				yes			NA	NA	gammarids	0.208	Occurrence	382	46	1	emetic	"Table 1, incubation"	IRE	"Favero, M.R., R. Casaux, P. Silva, E. Barrera-Oro, and N. Coria. 1998. The diet of the Antarctic shag during summer at Nelson Island, Antarctica. Condor 100:112-118."
Antarctic Shag	Phalacrocorax bransfieldensis	NA	Phalacrocoracidae	eBird Clements Checklist v2019	-58.78	-62.3	NA	NA	NA	Antarctica	Duthoit Point	arctic	12	1994	2	1995	NA	1	non-biological								yes			NA	NA	stones	0.021	Occurrence	382	46	1	emetic	"Table 1, incubation"	IRE	"Favero, M.R., R. Casaux, P. Silva, E. Barrera-Oro, and N. Coria. 1998. The diet of the Antarctic shag during summer at Nelson Island, Antarctica. Condor 100:112-118."
Antarctic Shag	Phalacrocorax bransfieldensis	NA	Phalacrocoracidae	eBird Clements Checklist v2019	-58.78	-62.3	NA	NA	NA	Antarctica	Duthoit Point	arctic	12	1994	2	1995	NA	2	Animalia	Chordata							yes			NA	NA	fish	1	Occurrence	328	46	1	emetic	"Table 1, early rearing"	IRE	"Favero, M.R., R. Casaux, P. Silva, E. Barrera-Oro, and N. Coria. 1998. The diet of the Antarctic shag during summer at Nelson Island, Antarctica. Condor 100:112-118."
Antarctic Shag	Phalacrocorax bransfieldensis	NA	Phalacrocoracidae	eBird Clements Checklist v2019	-58.78	-62.3	NA	NA	NA	Antarctica	Duthoit Point	arctic	12	1994	2	1995	NA	2	Animalia			Octopoda					yes			NA	NA	octopods	0.087	Occurrence	328	46	1	emetic	"Table 1, early rearing"	IRE	"Favero, M.R., R. Casaux, P. Silva, E. Barrera-Oro, and N. Coria. 1998. The diet of the Antarctic shag during summer at Nelson Island, Antarctica. Condor 100:112-118."
Antarctic Shag	Phalacrocorax bransfieldensis	NA	Phalacrocoracidae	eBird Clements Checklist v2019	-58.78	-62.3	NA	NA	NA	Antarctica	Duthoit Point	arctic	12	1994	2	1995	NA	2	Animalia		Polychaeta						yes			NA	NA	polychaetes	0.022	Occurrence	328	46	1	emetic	"Table 1, early rearing"	IRE	"Favero, M.R., R. Casaux, P. Silva, E. Barrera-Oro, and N. Coria. 1998. The diet of the Antarctic shag during summer at Nelson Island, Antarctica. Condor 100:112-118."
Antarctic Shag	Phalacrocorax bransfieldensis	NA	Phalacrocoracidae	eBird Clements Checklist v2019	-58.78	-62.3	NA	NA	NA	Antarctica	Duthoit Point	arctic	12	1994	2	1995	NA	2	Animalia				Gammaridea				yes			NA	NA	gammarids	0.217	Occurrence	328	46	1	emetic	"Table 1, early rearing"	IRE	"Favero, M.R., R. Casaux, P. Silva, E. Barrera-Oro, and N. Coria. 1998. The diet of the Antarctic shag during summer at Nelson Island, Antarctica. Condor 100:112-118."
Antarctic Shag	Phalacrocorax bransfieldensis	NA	Phalacrocoracidae	eBird Clements Checklist v2019	-58.78	-62.3	NA	NA	NA	Antarctica	Duthoit Point	arctic	12	1994	2	1995	NA	2	Animalia					Euphausiidae			yes			NA	NA	euphausiids	0.109	Occurrence	328	46	1	emetic	"Table 1, early rearing"	IRE	"Favero, M.R., R. Casaux, P. Silva, E. Barrera-Oro, and N. Coria. 1998. The diet of the Antarctic shag during summer at Nelson Island, Antarctica. Condor 100:112-118."
Antarctic Shag	Phalacrocorax bransfieldensis	NA	Phalacrocoracidae	eBird Clements Checklist v2019	-58.78	-62.3	NA	NA	NA	Antarctica	Duthoit Point	arctic	12	1994	2	1995	NA	3	Animalia	Chordata							yes			NA	NA	fish	1	Occurrence	350	47	1	emetic	"Table 1, late rearing"	IRE	"Favero, M.R., R. Casaux, P. Silva, E. Barrera-Oro, and N. Coria. 1998. The diet of the Antarctic shag during summer at Nelson Island, Antarctica. Condor 100:112-118."
