Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Analysis_Number	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Inclusive_Prey_Taxon	Prey_Name_ITIS_ID	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
Thick-billed Murre	Uria lomvia	NA	Alcidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Nunavut	Northwestern Passages	marine;arctic	NA	1976	NA	1983	NA	1	Animalia			Amphipoda	Hyperiidea				yes			NA	NA		0.60357	Items	23462	444	6	stomach contents		IRE	"Gaston, A.J. and M.S.W. Bradstreet. 1993. Intercolony differences in the summer diet of thick-billed murres in the eastern Canadian Arctic. Canadian Journal of Zoology 71:1831-1840."
Thick-billed Murre	Uria lomvia	NA	Alcidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Nunavut	Northwestern Passages	marine;arctic	NA	1976	NA	1983	NA	1	Animalia			Amphipoda	Gammaridea	Lysianassidae			yes			NA	NA		0.01696	Items	23462	444	6	stomach contents		IRE	"Gaston, A.J. and M.S.W. Bradstreet. 1993. Intercolony differences in the summer diet of thick-billed murres in the eastern Canadian Arctic. Canadian Journal of Zoology 71:1831-1840."
Thick-billed Murre	Uria lomvia	NA	Alcidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Nunavut	Northwestern Passages	marine;arctic	NA	1976	NA	1983	NA	1	Animalia			Amphipoda	Gammaridea	Calliopiidae			yes			NA	NA		0.00004	Items	23462	444	6	stomach contents		IRE	"Gaston, A.J. and M.S.W. Bradstreet. 1993. Intercolony differences in the summer diet of thick-billed murres in the eastern Canadian Arctic. Canadian Journal of Zoology 71:1831-1840."
Thick-billed Murre	Uria lomvia	NA	Alcidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Nunavut	Northwestern Passages	marine;arctic	NA	1976	NA	1983	NA	1	Animalia											NA	NA			Items	23462	444	6	stomach contents		IRE	"Gaston, A.J. and M.S.W. Bradstreet. 1993. Intercolony differences in the summer diet of thick-billed murres in the eastern Canadian Arctic. Canadian Journal of Zoology 71:1831-1840."
Thick-billed Murre	Uria lomvia	NA	Alcidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Nunavut	Northwestern Passages	marine;arctic	NA	1976	NA	1983	NA	1	Animalia											NA	NA			Items	23462	444	6	stomach contents		IRE	"Gaston, A.J. and M.S.W. Bradstreet. 1993. Intercolony differences in the summer diet of thick-billed murres in the eastern Canadian Arctic. Canadian Journal of Zoology 71:1831-1840."
Thick-billed Murre	Uria lomvia	NA	Alcidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Nunavut	Northwestern Passages	marine;arctic	NA	1976	NA	1983	NA	1	Animalia											NA	NA			Items	23462	444	6	stomach contents		IRE	"Gaston, A.J. and M.S.W. Bradstreet. 1993. Intercolony differences in the summer diet of thick-billed murres in the eastern Canadian Arctic. Canadian Journal of Zoology 71:1831-1840."
Thick-billed Murre	Uria lomvia	NA	Alcidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Nunavut	Northwestern Passages	marine;arctic	NA	1976	NA	1983	NA	1	Animalia											NA	NA			Items	23462	444	6	stomach contents		IRE	"Gaston, A.J. and M.S.W. Bradstreet. 1993. Intercolony differences in the summer diet of thick-billed murres in the eastern Canadian Arctic. Canadian Journal of Zoology 71:1831-1840."
Thick-billed Murre	Uria lomvia	NA	Alcidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Nunavut	Northwestern Passages	marine;arctic	NA	1976	NA	1983	NA	1	Animalia											NA	NA			Items	23462	444	6	stomach contents		IRE	"Gaston, A.J. and M.S.W. Bradstreet. 1993. Intercolony differences in the summer diet of thick-billed murres in the eastern Canadian Arctic. Canadian Journal of Zoology 71:1831-1840."
Thick-billed Murre	Uria lomvia	NA	Alcidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Nunavut	Northwestern Passages	marine;arctic	NA	1976	NA	1983	NA	1	Animalia											NA	NA			Items	23462	444	6	stomach contents		IRE	"Gaston, A.J. and M.S.W. Bradstreet. 1993. Intercolony differences in the summer diet of thick-billed murres in the eastern Canadian Arctic. Canadian Journal of Zoology 71:1831-1840."
Thick-billed Murre	Uria lomvia	NA	Alcidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Nunavut	Northwestern Passages	marine;arctic	NA	1976	NA	1983	NA	1	Animalia											NA	NA			Items	23462	444	6	stomach contents		IRE	"Gaston, A.J. and M.S.W. Bradstreet. 1993. Intercolony differences in the summer diet of thick-billed murres in the eastern Canadian Arctic. Canadian Journal of Zoology 71:1831-1840."
