Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Analysis_Number	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Inclusive_Prey_Taxon	Prey_Name_ITIS_ID	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
South Georgia Diving-Petrel	Pelecanoides georgicus	NA	Procellariidae	eBird Clements Checklist v2019	-36	-54	NA	NA	NA	Antarctica	South Georgia	arctic	NA	1971	NA	1973	summer	1	Animalia		Maxillopoda						yes			NA	NA		0.2	Wt_or_Vol	NA	17	NA	stomach contents		IRE	"Payne, M.R. and P.A. Prince. 1979. Identification and breeding biology of the diving petrels
Pelecanoides georgicus and P. urinatrix exsul at South Georgia. New Zealand Journal of Zoology 6:299-318."
South Georgia Diving-Petrel	Pelecanoides georgicus	NA	Procellariidae	eBird Clements Checklist v2019	-36	-54	NA	NA	NA	Antarctica	South Georgia	arctic	NA	1971	NA	1973	summer	1	Animalia			Amphipoda					yes			NA	NA		0.04	Wt_or_Vol	NA	17	NA	stomach contents		IRE	"Payne, M.R. and P.A. Prince. 1979. Identification and breeding biology of the diving petrels
Pelecanoides georgicus and P. urinatrix exsul at South Georgia. New Zealand Journal of Zoology 6:299-318."
South Georgia Diving-Petrel	Pelecanoides georgicus	NA	Procellariidae	eBird Clements Checklist v2019	-36	-54	NA	NA	NA	Antarctica	South Georgia	arctic	NA	1971	NA	1973	summer	1	Animalia			Euphausiacea					yes			NA	NA		0.76	Wt_or_Vol	NA	17	NA	stomach contents		IRE	"Payne, M.R. and P.A. Prince. 1979. Identification and breeding biology of the diving petrels
Pelecanoides georgicus and P. urinatrix exsul at South Georgia. New Zealand Journal of Zoology 6:299-318."
Common Diving-Petrel	Pelecanoides urinatrix	NA	Procellariidae	eBird Clements Checklist v2019	-36	-54	NA	NA	NA	Antarctica	South Georgia	arctic	NA	1972	NA	1974	summer	2	Animalia		Maxillopoda						yes			NA	NA		0.68	Wt_or_Vol	NA	15	NA	stomach contents		IRE	"Payne, M.R. and P.A. Prince. 1979. Identification and breeding biology of the diving petrels
Pelecanoides georgicus and P. urinatrix exsul at South Georgia. New Zealand Journal of Zoology 6:299-318."
Common Diving-Petrel	Pelecanoides urinatrix	NA	Procellariidae	eBird Clements Checklist v2019	-36	-54	NA	NA	NA	Antarctica	South Georgia	arctic	NA	1972	NA	1974	summer	2	Animalia			Amphipoda					yes			NA	NA		0.17	Wt_or_Vol	NA	15	NA	stomach contents		IRE	"Payne, M.R. and P.A. Prince. 1979. Identification and breeding biology of the diving petrels
Pelecanoides georgicus and P. urinatrix exsul at South Georgia. New Zealand Journal of Zoology 6:299-318."
Common Diving-Petrel	Pelecanoides urinatrix	NA	Procellariidae	eBird Clements Checklist v2019	-36	-54	NA	NA	NA	Antarctica	South Georgia	arctic	NA	1972	NA	1974	summer	2	Animalia			Euphausiacea					yes			NA	NA		0.15	Wt_or_Vol	NA	15	NA	stomach contents		IRE	"Payne, M.R. and P.A. Prince. 1979. Identification and breeding biology of the diving petrels
Pelecanoides georgicus and P. urinatrix exsul at South Georgia. New Zealand Journal of Zoology 6:299-318."
Common Diving-Petrel	Pelecanoides urinatrix	NA	Procellariidae	eBird Clements Checklist v2019	-36	-54	NA	NA	NA	Antarctica	South Georgia	arctic	12	1971	12	1974	NA	3	Animalia		Maxillopoda						yes			NA	NA		0.17	Wt_or_Vol	NA	3	NA	stomach contents		IRE	"Payne, M.R. and P.A. Prince. 1979. Identification and breeding biology of the diving petrels
Pelecanoides georgicus and P. urinatrix exsul at South Georgia. New Zealand Journal of Zoology 6:299-318."
Common Diving-Petrel	Pelecanoides urinatrix	NA	Procellariidae	eBird Clements Checklist v2019	-36	-54	NA	NA	NA	Antarctica	South Georgia	arctic	12	1971	12	1974	NA	3	Animalia			Amphipoda					yes			NA	NA		0.41	Wt_or_Vol	NA	3	NA	stomach contents		IRE	"Payne, M.R. and P.A. Prince. 1979. Identification and breeding biology of the diving petrels
Pelecanoides georgicus and P. urinatrix exsul at South Georgia. New Zealand Journal of Zoology 6:299-318."
Common Diving-Petrel	Pelecanoides urinatrix	NA	Procellariidae	eBird Clements Checklist v2019	-36	-54	NA	NA	NA	Antarctica	South Georgia	arctic	12	1971	12	1974	NA	3	Animalia			Euphausiacea					yes			NA	NA		0.42	Wt_or_Vol	NA	3	NA	stomach contents		IRE	"Payne, M.R. and P.A. Prince. 1979. Identification and breeding biology of the diving petrels
Pelecanoides georgicus and P. urinatrix exsul at South Georgia. New Zealand Journal of Zoology 6:299-318."
Common Diving-Petrel	Pelecanoides urinatrix	NA	Procellariidae	eBird Clements Checklist v2019	-36	-54	NA	NA	NA	Antarctica	South Georgia	arctic	1	1971	1	1974	NA	4	Animalia		Maxillopoda						yes			NA	NA		0.01	Wt_or_Vol	NA	4	NA	stomach contents		IRE	"Payne, M.R. and P.A. Prince. 1979. Identification and breeding biology of the diving petrels
Pelecanoides georgicus and P. urinatrix exsul at South Georgia. New Zealand Journal of Zoology 6:299-318."
Common Diving-Petrel	Pelecanoides urinatrix	NA	Procellariidae	eBird Clements Checklist v2019	-36	-54	NA	NA	NA	Antarctica	South Georgia	arctic	1	1971	1	1974	NA	4	Animalia			Amphipoda					yes			NA	NA		0.11	Wt_or_Vol	NA	4	NA	stomach contents		IRE	"Payne, M.R. and P.A. Prince. 1979. Identification and breeding biology of the diving petrels
Pelecanoides georgicus and P. urinatrix exsul at South Georgia. New Zealand Journal of Zoology 6:299-318."
Common Diving-Petrel	Pelecanoides urinatrix	NA	Procellariidae	eBird Clements Checklist v2019	-36	-54	NA	NA	NA	Antarctica	South Georgia	arctic	1	1971	1	1974	NA	4	Animalia			Euphausiacea					yes			NA	NA		0.89	Wt_or_Vol	NA	4	NA	stomach contents		IRE	"Payne, M.R. and P.A. Prince. 1979. Identification and breeding biology of the diving petrels
Pelecanoides georgicus and P. urinatrix exsul at South Georgia. New Zealand Journal of Zoology 6:299-318."
Common Diving-Petrel	Pelecanoides urinatrix	NA	Procellariidae	eBird Clements Checklist v2019	-36	-54	NA	NA	NA	Antarctica	South Georgia	arctic	1	1971	1	1974	NA	5	Animalia			Amphipoda					yes			NA	NA		0.18	Wt_or_Vol	NA	4	NA	stomach contents		IRE	"Payne, M.R. and P.A. Prince. 1979. Identification and breeding biology of the diving petrels
Pelecanoides georgicus and P. urinatrix exsul at South Georgia. New Zealand Journal of Zoology 6:299-318."
Common Diving-Petrel	Pelecanoides urinatrix	NA	Procellariidae	eBird Clements Checklist v2019	-36	-54	NA	NA	NA	Antarctica	South Georgia	arctic	1	1971	1	1974	NA	5	Animalia			Euphausiacea					yes			NA	NA		0.82	Wt_or_Vol	NA	4	NA	stomach contents		IRE	"Payne, M.R. and P.A. Prince. 1979. Identification and breeding biology of the diving petrels
Pelecanoides georgicus and P. urinatrix exsul at South Georgia. New Zealand Journal of Zoology 6:299-318."
Common Diving-Petrel	Pelecanoides urinatrix	NA	Procellariidae	eBird Clements Checklist v2019	-36	-54	NA	NA	NA	Antarctica	South Georgia	arctic	2	1971	2	1974	NA	6	Animalia		Maxillopoda						yes			NA	NA		0.02	Wt_or_Vol	NA	3	NA	stomach contents		IRE	"Payne, M.R. and P.A. Prince. 1979. Identification and breeding biology of the diving petrels
Pelecanoides georgicus and P. urinatrix exsul at South Georgia. New Zealand Journal of Zoology 6:299-318."
Common Diving-Petrel	Pelecanoides urinatrix	NA	Procellariidae	eBird Clements Checklist v2019	-36	-54	NA	NA	NA	Antarctica	South Georgia	arctic	2	1971	2	1974	NA	6	Animalia			Amphipoda					yes			NA	NA		0.38	Wt_or_Vol	NA	3	NA	stomach contents		IRE	"Payne, M.R. and P.A. Prince. 1979. Identification and breeding biology of the diving petrels
Pelecanoides georgicus and P. urinatrix exsul at South Georgia. New Zealand Journal of Zoology 6:299-318."
Common Diving-Petrel	Pelecanoides urinatrix	NA	Procellariidae	eBird Clements Checklist v2019	-36	-54	NA	NA	NA	Antarctica	South Georgia	arctic	2	1971	2	1974	NA	6	Animalia			Euphausiacea					yes			NA	NA		0.6	Wt_or_Vol	NA	3	NA	stomach contents		IRE	"Payne, M.R. and P.A. Prince. 1979. Identification and breeding biology of the diving petrels
Pelecanoides georgicus and P. urinatrix exsul at South Georgia. New Zealand Journal of Zoology 6:299-318."
