Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Analysis_Number	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Inclusive_Prey_Taxon	Prey_Name_ITIS_ID	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
Wandering Albatross	Diomedea exulans	NA	Diomedeidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	New Zealand	NA	NA	NA	NA	NA	1975	NA	1	Animalia					Architeuthidae	Architeuthis		yes			NA	NA		0.004	Items	281	NA	NA	unspecified	Table 7.3	IRE	"Prince, P.A. and R.A. Morgan. 1987. Diet and feeding ecology of Procellariiformes. Pages 136-171 in Seabirds: feeding ecology and role in marine ecosystems (Croxall, J.P., Ed.) Cambridge Univ. Press, Cambridge, U.K."
Wandering Albatross	Diomedea exulans	NA	Diomedeidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	New Zealand	NA	NA	NA	NA	NA	1975	NA	1	Animalia					Ommastrephidae			yes			NA	NA		0.004	Items	281	NA	NA	unspecified	Table 7.3	IRE	"Prince, P.A. and R.A. Morgan. 1987. Diet and feeding ecology of Procellariiformes. Pages 136-171 in Seabirds: feeding ecology and role in marine ecosystems (Croxall, J.P., Ed.) Cambridge Univ. Press, Cambridge, U.K."
Wandering Albatross	Diomedea exulans	NA	Diomedeidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	New Zealand	NA	NA	NA	NA	NA	1975	NA	1	Animalia					Onychoteuthidae		Onychoteuthis banksii	yes			NA	NA		0.004	Items	281	NA	NA	unspecified	Table 7.3	IRE	"Prince, P.A. and R.A. Morgan. 1987. Diet and feeding ecology of Procellariiformes. Pages 136-171 in Seabirds: feeding ecology and role in marine ecosystems (Croxall, J.P., Ed.) Cambridge Univ. Press, Cambridge, U.K."
Wandering Albatross	Diomedea exulans	NA	Diomedeidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	New Zealand	NA	NA	NA	NA	NA	1975	NA	1	Animalia					Onychoteuthidae		Moroteuthis ingens	yes			NA	NA		0.035	Items	281	NA	NA	unspecified	Table 7.3	IRE	"Prince, P.A. and R.A. Morgan. 1987. Diet and feeding ecology of Procellariiformes. Pages 136-171 in Seabirds: feeding ecology and role in marine ecosystems (Croxall, J.P., Ed.) Cambridge Univ. Press, Cambridge, U.K."
Wandering Albatross	Diomedea exulans	NA	Diomedeidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	New Zealand	NA	NA	NA	NA	NA	1975	NA	1	Animalia					Onychoteuthidae		Moroteuthis robsoni	yes			NA	NA		0.011	Items	281	NA	NA	unspecified	Table 7.3	IRE	"Prince, P.A. and R.A. Morgan. 1987. Diet and feeding ecology of Procellariiformes. Pages 136-171 in Seabirds: feeding ecology and role in marine ecosystems (Croxall, J.P., Ed.) Cambridge Univ. Press, Cambridge, U.K."
Wandering Albatross	Diomedea exulans	NA	Diomedeidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	New Zealand	NA	NA	NA	NA	NA	1975	NA	1	Animalia					Onychoteuthidae		Moroteuthis knipovitchi	yes			NA	NA		0.011	Items	281	NA	NA	unspecified	Table 7.3	IRE	"Prince, P.A. and R.A. Morgan. 1987. Diet and feeding ecology of Procellariiformes. Pages 136-171 in Seabirds: feeding ecology and role in marine ecosystems (Croxall, J.P., Ed.) Cambridge Univ. Press, Cambridge, U.K."
Wandering Albatross	Diomedea exulans	NA	Diomedeidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	New Zealand	NA	NA	NA	NA	NA	1975	NA	1	Animalia					Onychoteuthidae		Kondakovia longimana	yes			NA	NA		0.007	Items	281	NA	NA	unspecified	Table 7.3	IRE	"Prince, P.A. and R.A. Morgan. 1987. Diet and feeding ecology of Procellariiformes. Pages 136-171 in Seabirds: feeding ecology and role in marine ecosystems (Croxall, J.P., Ed.) Cambridge Univ. Press, Cambridge, U.K."
Wandering Albatross	Diomedea exulans	NA	Diomedeidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	New Zealand	NA	NA	NA	NA	NA	1975	NA	1	Animalia					Psychroteuthidae	Psychroteuthis		yes			NA	NA		0.004	Items	281	NA	NA	unspecified	Table 7.3	IRE	"Prince, P.A. and R.A. Morgan. 1987. Diet and feeding ecology of Procellariiformes. Pages 136-171 in Seabirds: feeding ecology and role in marine ecosystems (Croxall, J.P., Ed.) Cambridge Univ. Press, Cambridge, U.K."
Wandering Albatross	Diomedea exulans	NA	Diomedeidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	New Zealand	NA	NA	NA	NA	NA	1975	NA	1	Animalia					Gonatidae		Gonatus antarcticus	yes			NA	NA		0.011	Items	281	NA	NA	unspecified	Table 7.3	IRE	"Prince, P.A. and R.A. Morgan. 1987. Diet and feeding ecology of Procellariiformes. Pages 136-171 in Seabirds: feeding ecology and role in marine ecosystems (Croxall, J.P., Ed.) Cambridge Univ. Press, Cambridge, U.K."
Wandering Albatross	Diomedea exulans	NA	Diomedeidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	New Zealand	NA	NA	NA	NA	NA	1975	NA	1	Animalia					Gonatidae	Gonatus		no			NA	NA		0.039	Items	281	NA	NA	unspecified	Table 7.3	IRE	"Prince, P.A. and R.A. Morgan. 1987. Diet and feeding ecology of Procellariiformes. Pages 136-171 in Seabirds: feeding ecology and role in marine ecosystems (Croxall, J.P., Ed.) Cambridge Univ. Press, Cambridge, U.K."
