"kingdom","phylum","class","order","family","genus","species","n"
"k:Animalia","p:Arthropoda","c:Insecta","o:Diptera","N/A","N/A","N/A",140
"k:Animalia","p:Arthropoda","c:Insecta","o:Hymenoptera","N/A","N/A","N/A",66
"k:Animalia","p:Arthropoda","c:Arachnida","o:Araneae","N/A","N/A","N/A",61
"k:Animalia","p:Arthropoda","c:Insecta","o:Lepidoptera","N/A","N/A","N/A",46
"k:Animalia","p:Arthropoda","c:Insecta","o:Coleoptera","N/A","N/A","N/A",41
"k:Animalia","p:Arthropoda","c:Insecta","o:Hemiptera","N/A","N/A","N/A",17
"k:Animalia","p:Arthropoda","c:Insecta","o:Ephemeroptera","N/A","N/A","N/A",13
"k:Animalia","p:Arthropoda","c:Arachnida","o:Sarcoptiformes","N/A","N/A","N/A",11
"k:Animalia","p:Arthropoda","c:Insecta","o:Trichoptera","N/A","N/A","N/A",10
"k:Animalia","p:Arthropoda","c:Collembola","o:Entomobryomorpha","N/A","N/A","N/A",8
"k:Animalia","p:Arthropoda","c:Arachnida","o:Trombidiformes","N/A","N/A","N/A",7
"k:Animalia","p:Arthropoda","c:Branchiopoda","o:Diplostraca","N/A","N/A","N/A",7
"k:Animalia","p:Arthropoda","c:Diplopoda","o:Polydesmida","N/A","N/A","N/A",7
"k:Animalia","p:Chordata","c:Amphibia","o:Anura","N/A","N/A","N/A",7
"k:Animalia","p:Arthropoda","c:Insecta","o:Coleoptera","f:Cerambycidae","g:Rhagium","s:Rhagium inquisitor",6
"k:Animalia","p:Arthropoda","c:Insecta","o:Siphonaptera","N/A","N/A","N/A",6
"k:Animalia","p:Arthropoda","c:Insecta","N/A","N/A","N/A","N/A",4
"k:Animalia","p:Arthropoda","c:Insecta","o:Coleoptera","f:Elateridae","g:Hadromorphus","s:Hadromorphus callidus",4
"k:Animalia","p:Arthropoda","c:Insecta","o:Hymenoptera","f:Formicidae","g:Myrmica","s:Myrmica detritinodis",4
"k:Animalia","p:Arthropoda","c:Insecta","o:Hymenoptera","f:Formicidae","g:Temnothorax","N/A",4
"k:Animalia","p:Arthropoda","c:Malacostraca","o:Amphipoda","N/A","N/A","N/A",4
"k:Animalia","p:Arthropoda","c:Arachnida","o:Mesostigmata","N/A","N/A","N/A",3
"k:Animalia","p:Arthropoda","c:Arachnida","o:Scorpiones","N/A","N/A","N/A",3
"k:Animalia","p:Arthropoda","c:Diplopoda","o:Julida","N/A","N/A","N/A",3
"k:Animalia","p:Arthropoda","c:Insecta","o:Blattodea","N/A","N/A","N/A",3
"k:Animalia","p:Arthropoda","c:Insecta","o:Coleoptera","f:Cerambycidae","g:Monochamus","s:Monochamus notatus",3
"k:Animalia","p:Arthropoda","c:Insecta","o:Coleoptera","f:Curculionidae","g:Dendroctonus","s:Dendroctonus valens",3
"k:Animalia","p:Arthropoda","c:Insecta","o:Coleoptera","f:Elateridae","g:Ampedus","N/A",3
"k:Animalia","p:Arthropoda","c:Insecta","o:Coleoptera","f:Elateridae","g:Ampedus","s:Ampedus apicatus",3
"k:Animalia","p:Arthropoda","c:Insecta","o:Hymenoptera","f:Formicidae","g:Myrmica","N/A",3
"k:Animalia","p:Arthropoda","c:Insecta","o:Lepidoptera","f:Oecophoridae","N/A","N/A",3
"k:Animalia","p:Arthropoda","c:Insecta","o:Odonata","N/A","N/A","N/A",3
"k:Animalia","p:Arthropoda","c:Malacostraca","o:Decapoda","N/A","N/A","N/A",3
"k:Animalia","p:Arthropoda","c:Malacostraca","o:Isopoda","N/A","N/A","N/A",3
"k:Animalia","p:Arthropoda","c:Arachnida","o:Araneae","f:Amaurobiidae","g:Callobius","s:Callobius bennetti",2
"k:Animalia","p:Arthropoda","c:Arachnida","o:Araneae","f:Amaurobiidae","g:Callobius","s:Callobius nomeus",2
"k:Animalia","p:Arthropoda","c:Arachnida","o:Araneae","f:Dictynidae","g:Mallos","s:Mallos pallidus",2
"k:Animalia","p:Arthropoda","c:Arachnida","o:Opiliones","f:Phalangiidae","g:Phalangium","s:Phalangium opilio",2
"k:Animalia","p:Arthropoda","c:Insecta","o:Coleoptera","f:Buprestidae","g:Buprestis","s:Buprestis laeviventris",2
"k:Animalia","p:Arthropoda","c:Insecta","o:Coleoptera","f:Cerambycidae","g:Acanthocinus","s:Acanthocinus obliquus",2
"k:Animalia","p:Arthropoda","c:Insecta","o:Coleoptera","f:Cerambycidae","g:Acanthocinus","s:Acanthocinus princeps",2
"k:Animalia","p:Arthropoda","c:Insecta","o:Coleoptera","f:Curculionidae","g:Dendroctonus","N/A",2
"k:Animalia","p:Arthropoda","c:Insecta","o:Diptera","f:Bibionidae","g:Bibio","s:Bibio xanthopus",2
"k:Animalia","p:Arthropoda","c:Insecta","o:Diptera","f:Cecidomyiidae","N/A","N/A",2
"k:Animalia","p:Arthropoda","c:Insecta","o:Diptera","f:Tachinidae","N/A","N/A",2
"k:Animalia","p:Arthropoda","c:Insecta","o:Hymenoptera","f:Formicidae","g:Camponotus","N/A",2
"k:Animalia","p:Arthropoda","c:Insecta","o:Hymenoptera","f:Formicidae","g:Formica","N/A",2
"k:Animalia","p:Arthropoda","c:Insecta","o:Hymenoptera","f:Formicidae","g:Formica","s:Formica lasioides",2
"k:Animalia","p:Arthropoda","c:Insecta","o:Hymenoptera","f:Formicidae","N/A","N/A",2
"k:Animalia","p:Arthropoda","c:Insecta","o:Hymenoptera","f:Xyelidae","g:Xyela","N/A",2
"k:Animalia","p:Arthropoda","c:Insecta","o:Lepidoptera","f:Noctuidae","g:Annaphila","s:Annaphila arvalis",2
"k:Animalia","p:Arthropoda","c:Insecta","o:Lepidoptera","f:Noctuidae","g:Euxoa","N/A",2
"k:Animalia","p:Arthropoda","c:Insecta","o:Trichoptera","f:Hydropsychidae","g:Arctopsyche","s:Arctopsyche grandis",2
"k:Animalia","p:Chordata","c:Actinopterygii","o:Cyprinodontiformes","N/A","N/A","N/A",2
"k:Animalia","p:Chordata","c:Actinopterygii","o:Myctophiformes","N/A","N/A","N/A",2
"k:Animalia","p:Chordata","c:Actinopterygii","o:Perciformes","N/A","N/A","N/A",2
"k:Animalia","p:Chordata","c:Aves","o:Piciformes","f:Picidae","g:Picoides","s:Picoides arcticus",2
"k:Animalia","p:Chordata","c:Mammalia","o:Chiroptera","N/A","N/A","N/A",2
"k:Animalia","p:Chordata","c:Reptilia","o:Squamata","N/A","N/A","N/A",2
"k:Animalia","p:Arthropoda","c:Arachnida","o:Araneae","f:Agelenidae","g:Hololena","s:Hololena curta",1
"k:Animalia","p:Arthropoda","c:Arachnida","o:Araneae","f:Agelenidae","g:Novalena","s:Novalena intermedia",1
"k:Animalia","p:Arthropoda","c:Arachnida","o:Araneae","f:Amaurobiidae","g:Callobius","N/A",1
"k:Animalia","p:Arthropoda","c:Arachnida","o:Araneae","f:Amaurobiidae","g:Callobius","s:Callobius severus",1
"k:Animalia","p:Arthropoda","c:Arachnida","o:Araneae","f:Anyphaenidae","g:Anyphaena","s:Anyphaena pacifica",1
"k:Animalia","p:Arthropoda","c:Arachnida","o:Araneae","f:Araneidae","g:Cyclosa","s:Cyclosa conica",1
"k:Animalia","p:Arthropoda","c:Arachnida","o:Araneae","f:Gnaphosidae","g:Sergiolus","s:Sergiolus montanus",1
"k:Animalia","p:Arthropoda","c:Arachnida","o:Araneae","f:Linyphiidae","g:Helophora","s:Helophora reducta",1
"k:Animalia","p:Arthropoda","c:Arachnida","o:Araneae","f:Linyphiidae","g:Pityohyphantes","s:Pityohyphantes alticeps",1
"k:Animalia","p:Arthropoda","c:Arachnida","o:Araneae","f:Philodromidae","g:Apollophanes","s:Apollophanes margareta",1
"k:Animalia","p:Arthropoda","c:Arachnida","o:Araneae","f:Philodromidae","g:Philodromus","s:Philodromus spectabilis",1
"k:Animalia","p:Arthropoda","c:Arachnida","o:Araneae","f:Salticidae","g:Pelegrina","s:Pelegrina aeneola",1
"k:Animalia","p:Arthropoda","c:Arachnida","o:Araneae","f:Theridiidae","g:Euryopis","s:Euryopis formosa",1
"k:Animalia","p:Arthropoda","c:Arachnida","o:Araneae","f:Theridiidae","g:Platnickina","s:Platnickina tincta",1
"k:Animalia","p:Arthropoda","c:Arachnida","o:Araneae","f:Theridiidae","g:Steatoda","N/A",1
"k:Animalia","p:Arthropoda","c:Arachnida","o:Araneae","f:Theridiidae","g:Theridion","s:Theridion murarium",1
"k:Animalia","p:Arthropoda","c:Arachnida","o:Araneae","f:Thomisidae","g:Xysticus","s:Xysticus locuples",1
"k:Animalia","p:Arthropoda","c:Arachnida","o:Araneae","f:Thomisidae","g:Xysticus","s:Xysticus montanensis",1
"k:Animalia","p:Arthropoda","c:Arachnida","o:Trombidiformes","f:Anystidae","N/A","N/A",1
"k:Animalia","p:Arthropoda","c:Collembola","o:Entomobryomorpha","f:Entomobryidae","N/A","N/A",1
"k:Animalia","p:Arthropoda","c:Collembola","o:Symphypleona","N/A","N/A","N/A",1
"k:Animalia","p:Arthropoda","c:Hexanauplia","N/A","N/A","N/A","N/A",1
"k:Animalia","p:Arthropoda","c:Hexanauplia","o:Cyclopoida","N/A","N/A","N/A",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Blattodea","f:Archotermopsidae","g:Zootermopsis","s:Zootermopsis nevadensis",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Blattodea","f:Ectobiidae","g:Supella","s:Supella longipalpa",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Coleoptera","f:Brentidae","g:Betulapion","s:Betulapion simile",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Coleoptera","f:Buprestidae","g:Anthaxia","N/A",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Coleoptera","f:Buprestidae","g:Buprestis","N/A",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Coleoptera","f:Buprestidae","g:Buprestis","s:Buprestis lineata",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Coleoptera","f:Buprestidae","g:Buprestis","s:Buprestis lyrata",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Coleoptera","f:Buprestidae","N/A","N/A",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Coleoptera","f:Carabidae","g:Stenolophus","s:Stenolophus lecontei",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Coleoptera","f:Cerambycidae","g:Acmaeops","s:Acmaeops proteus",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Coleoptera","f:Cerambycidae","g:Arhopalus","s:Arhopalus asperatus",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Coleoptera","f:Cerambycidae","g:Arhopalus","s:Arhopalus productus",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Coleoptera","f:Cerambycidae","g:Asemum","s:Asemum striatum",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Coleoptera","f:Cerambycidae","g:Neospondylis","s:Neospondylis upiformis",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Coleoptera","f:Cerambycidae","g:Ortholeptura","s:Ortholeptura valida",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Coleoptera","f:Cerambycidae","g:Semanotus","s:Semanotus litigiosus",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Coleoptera","f:Chrysomelidae","g:Paria","s:Paria fragariae",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Coleoptera","f:Chrysomelidae","g:Syneta","s:Syneta simplex",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Coleoptera","f:Curculionidae","g:Dendroctonus","s:Dendroctonus ponderosae",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Coleoptera","f:Elateridae","g:Ampedus","s:Ampedus phoenicopterus",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Coleoptera","f:Elateridae","g:Hemicrepidius","N/A",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Coleoptera","f:Elateridae","g:Hemicrepidius","s:Hemicrepidius morio",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Coleoptera","f:Hydrophilidae","g:Cercyon","s:Cercyon praetextatus",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Coleoptera","f:Nitidulidae","g:Epuraea","N/A",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Coleoptera","f:Scarabaeidae","g:Euphoria","s:Euphoria fulgida",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Coleoptera","f:Throscidae","g:Trixagus","s:Trixagus meybohmi",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Coleoptera","f:Zopheridae","g:Phellopsis","s:Phellopsis porcata",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Dermaptera","f:Forficulidae","g:Forficula","s:Forficula auricularia-B",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Dermaptera","N/A","N/A","N/A",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Diptera","f:Asilidae","g:Cyrtopogon","s:Cyrtopogon montanus",1
"k:Animalia","p:Arthropoda","c:Insecta","o:Diptera","f:Bombyliidae","g:Lepidophora","s:Lepidophora lutea",1
