Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Analysis_Number	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Inclusive_Prey_Taxon	Prey_Name_ITIS_ID	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
Bald Eagle	Haliaeetus leucocephalus		Accipitridae	"AOU 7th ed., 54th supplement"	NA	NA	NA	NA	NA	Mexico	Sonora	scrubland	NA	1987	NA	1989	spring; summer	1	Animalia	Chordata	Actinopterygii	Siluriformes		Ictaluridae	Ictalurus		yes		verified			Catfish	0.178	Wt_or_Vol	118	NA	1	prey remains	"habitat classified as Subtropical Sinaloan thornscrub; samples taken from 3 nests from nest bowls or under nests during/after nesting season; percentage mass is biomass, determined by average biomass for the prey species; "	CS	"Brown, B. T., W. C. Leibfried, T. R. Huels, and J. A. Olivera. 1991. Prey remains from Bald Eagle nests in Sonora, Mexico. Southwest Nat. 36:259-262."
Western Flycatcher	Empidonax occidentalis		Tyrannidae	eBird Taxonomy v1.55	-105.128305	38.062575	NA	2900	NA	Colorado	San Isabel National Forest	forest	NA	1965	NA	1966	NA	1	Animalia	Arthopoda	Insecta	Coleoptera		Cleridae			yes						0.01	Items	96	23	1	stomach contents	"aspen-conifer habitat, broken into 3 sections"	EK	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Flycatcher	Empidonax occidentalis		Tyrannidae	eBird Taxonomy v1.55	-105.128305	38.062575	NA	2900	NA	Colorado	San Isabel National Forest	forest	NA	1965	NA	1966	NA	1	Animalia	Arthopoda	Insecta	Coleoptera		Curculionidae			yes						0.02	Items	96	23	1	stomach contents	"aspen-conifer habitat, broken into 3 sections"	EK	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Flycatcher	Empidonax occidentalis		Tyrannidae	eBird Taxonomy v1.55	-105.128305	38.062575	NA	2900	NA	Colorado	San Isabel National Forest	forest	NA	1965	NA	1966	NA	1	Animalia	Arthopoda	Insecta	Coleoptera		Scarabaeidae			yes						0.01	Items	96	23	1	stomach contents	"aspen-conifer habitat, broken into 3 sections"	EK	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Flycatcher	Empidonax occidentalis		Tyrannidae	eBird Taxonomy v1.55	-105.128305	38.062575	NA	2900	NA	Colorado	San Isabel National Forest	forest	NA	1965	NA	1966	NA	1	Animalia	Arthopoda	Insecta	Coleoptera					no						0.21	Items	96	23	1	stomach contents	"aspen-conifer habitat, broken into 3 sections"	EK	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Flycatcher	Empidonax occidentalis		Tyrannidae	eBird Taxonomy v1.55	-105.128305	38.062575	NA	2900	NA	Colorado	San Isabel National Forest	forest	NA	1965	NA	1966	NA	1	Animalia	Arthopoda	Insecta	Diptera		Empididae			yes						0.0093	Items	96	23	1	stomach contents	"aspen-conifer habitat, broken into 3 sections"	EK	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Flycatcher	Empidonax occidentalis		Tyrannidae	eBird Taxonomy v1.55	-105.128305	38.062575	NA	2900	NA	Colorado	San Isabel National Forest	forest	NA	1965	NA	1966	NA	1	Animalia	Arthopoda	Insecta	Diptera		Rhagionidae			yes						0.0403	Items	96	23	1	stomach contents	"aspen-conifer habitat, broken into 3 sections"	EK	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Flycatcher	Empidonax occidentalis		Tyrannidae	eBird Taxonomy v1.55	-105.128305	38.062575	NA	2900	NA	Colorado	San Isabel National Forest	forest	NA	1965	NA	1966	NA	1	Animalia	Arthopoda	Insecta	Diptera		Syrphidae			yes						0.0093	Items	96	23	1	stomach contents	"aspen-conifer habitat, broken into 3 sections"	EK	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Flycatcher	Empidonax occidentalis		Tyrannidae	eBird Taxonomy v1.55	-105.128305	38.062575	NA	2900	NA	Colorado	San Isabel National Forest	forest	NA	1965	NA	1966	NA	1	Animalia	Arthopoda	Insecta	Diptera		Tabanidae			yes						0.031	Items	96	23	1	stomach contents	"aspen-conifer habitat, broken into 3 sections"	EK	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Flycatcher	Empidonax occidentalis		Tyrannidae	eBird Taxonomy v1.55	-105.128305	38.062575	NA	2900	NA	Colorado	San Isabel National Forest	forest	NA	1965	NA	1966	NA	1	Animalia	Arthopoda	Insecta	Diptera					no						0.2201	Items	96	23	1	stomach contents	"aspen-conifer habitat, broken into 3 sections"	EK	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Flycatcher	Empidonax occidentalis		Tyrannidae	eBird Taxonomy v1.55	-105.128305	38.062575	NA	2900	NA	Colorado	San Isabel National Forest	forest	NA	1965	NA	1966	NA	1	Animalia	Arthopoda	Insecta	Hemiptera	Heteroptera				no						0.03	Items	96	23	1	stomach contents	"aspen-conifer habitat, broken into 3 sections"	EK	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Flycatcher	Empidonax occidentalis		Tyrannidae	eBird Taxonomy v1.55	-105.128305	38.062575	NA	2900	NA	Colorado	San Isabel National Forest	forest	NA	1965	NA	1966	NA	1	Animalia	Arthopoda	Insecta	Hemiptera	Homoptera				no						0.01	Items	96	23	1	stomach contents	"aspen-conifer habitat, broken into 3 sections"	EK	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Flycatcher	Empidonax occidentalis		Tyrannidae	eBird Taxonomy v1.55	-105.128305	38.062575	NA	2900	NA	Colorado	San Isabel National Forest	forest	NA	1965	NA	1966	NA	1	Animalia	Arthopoda	Insecta	Hymenoptera		Braconidae			yes						0.0102	Items	96	23	1	stomach contents	"aspen-conifer habitat, broken into 3 sections"	EK	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Flycatcher	Empidonax occidentalis		Tyrannidae	eBird Taxonomy v1.55	-105.128305	38.062575	NA	2900	NA	Colorado	San Isabel National Forest	forest	NA	1965	NA	1966	NA	1	Animalia	Arthopoda	Insecta	Hymenoptera		Formicidae			yes						0.0629	Items	96	23	1	stomach contents	"aspen-conifer habitat, broken into 3 sections"	EK	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Flycatcher	Empidonax occidentalis		Tyrannidae	eBird Taxonomy v1.55	-105.128305	38.062575	NA	2900	NA	Colorado	San Isabel National Forest	forest	NA	1965	NA	1966	NA	1	Animalia	Arthopoda	Insecta	Hymenoptera		Ichneumonidae			yes						0.0136	Items	96	23	1	stomach contents	"aspen-conifer habitat, broken into 3 sections"	EK	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Flycatcher	Empidonax occidentalis		Tyrannidae	eBird Taxonomy v1.55	-105.128305	38.062575	NA	2900	NA	Colorado	San Isabel National Forest	forest	NA	1965	NA	1966	NA	1	Animalia	Arthopoda	Insecta	Hymenoptera					no						0.0833	Items	96	23	1	stomach contents	"aspen-conifer habitat, broken into 3 sections"	EK	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Flycatcher	Empidonax occidentalis		Tyrannidae	eBird Taxonomy v1.55	-105.128305	38.062575	NA	2900	NA	Colorado	San Isabel National Forest	forest	NA	1965	NA	1966	NA	1	Animalia	Arthopoda	Insecta	Lepidoptera		Tortricidae	Archips	Archips fumiferana	yes			adult			0.1364	Items	96	23	1	stomach contents	"aspen-conifer habitat, broken into 3 sections, 8-12mm"	EK	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Flycatcher	Empidonax occidentalis		Tyrannidae	eBird Taxonomy v1.55	-105.128305	38.062575	NA	2900	NA	Colorado	San Isabel National Forest	forest	NA	1965	NA	1966	NA	1	Animalia	Arthopoda	Insecta	Lepidoptera					no			adult			0.0836	Items	96	23	1	stomach contents	"aspen-conifer habitat, broken into 3 sections"	EK	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
