Comon_Name	Scientific_Name	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Unidentified	Prey_Name_ITIS_ID	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
Western Wood-Pewee	Contopus sordidulus	Tyrinnidae	American Ornithologists' Union 7th Ed. (incl. 58th suppl.)	-105.1037877	38.0404934	NA	2900	NA	Colorado	San Isabel National Forest	Deciduous forest; coniferous forest	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Coleoptera	NA	NA	NA	NA	No	NA	NA	NA	NA	0.16	NA	334	69	3	Stomach contents		JC	"Beaver, DL and PH Baldwin. 1975. Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13."
Western Wood-Pewee	Contopus sordidulus	Tyrinnidae	American Ornithologists' Union 7th Ed. (incl. 58th suppl.)	-105.1037877	38.0404934	NA	2900	NA	Colorado	San Isabel National Forest	Deciduous forest; coniferous forest	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Coleoptera	NA	Buprestidae	NA	NA	No	NA	NA	NA	NA	0.013	NA	334	69	3	Stomach contents		JC	"Beaver, DL and PH Baldwin. 1975. Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13."
Western Wood-Pewee	Contopus sordidulus	Tyrinnidae	American Ornithologists' Union 7th Ed. (incl. 58th suppl.)	-105.1037877	38.0404934	NA	2900	NA	Colorado	San Isabel National Forest	Deciduous forest; coniferous forest	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Coleoptera	NA	Cerambycidae	NA	NA	No	NA	NA	NA	NA	0.006	NA	334	69	3	Stomach contents		JC	"Beaver, DL and PH Baldwin. 1975. Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13."
Western Wood-Pewee	Contopus sordidulus	Tyrinnidae	American Ornithologists' Union 7th Ed. (incl. 58th suppl.)	-105.1037877	38.0404934	NA	2900	NA	Colorado	San Isabel National Forest	Deciduous forest; coniferous forest	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Coleoptera	NA	Chrysomelidae	NA	NA	No	NA	NA	NA	NA	0.006	NA	334	69	3	Stomach contents		JC	"Beaver, DL and PH Baldwin. 1975. Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13."
Western Wood-Pewee	Contopus sordidulus	Tyrinnidae	American Ornithologists' Union 7th Ed. (incl. 58th suppl.)	-105.1037877	38.0404934	NA	2900	NA	Colorado	San Isabel National Forest	Deciduous forest; coniferous forest	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Coleoptera	NA	Curculionidae	NA	NA	No	NA	NA	NA	NA	0.013	NA	334	69	3	Stomach contents		JC	"Beaver, DL and PH Baldwin. 1975. Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13."
Western Wood-Pewee	Contopus sordidulus	Tyrinnidae	American Ornithologists' Union 7th Ed. (incl. 58th suppl.)	-105.1037877	38.0404934	NA	2900	NA	Colorado	San Isabel National Forest	Deciduous forest; coniferous forest	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Coleoptera	NA	Scarabeidae	NA	NA	No	NA	NA	NA	NA	0.04	NA	334	69	3	Stomach contents		JC	"Beaver, DL and PH Baldwin. 1975. Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13."
Western Wood-Pewee	Contopus sordidulus	Tyrinnidae	American Ornithologists' Union 7th Ed. (incl. 58th suppl.)	-105.1037877	38.0404934	NA	2900	NA	Colorado	San Isabel National Forest	Deciduous forest; coniferous forest	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Coleoptera	NA	Scolytidae	NA	NA	No	NA	NA	NA	NA	0.016	NA	334	69	3	Stomach contents		JC	"Beaver, DL and PH Baldwin. 1975. Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13."
Western Wood-Pewee	Contopus sordidulus	Tyrinnidae	American Ornithologists' Union 7th Ed. (incl. 58th suppl.)	-105.1037877	38.0404934	NA	2900	NA	Colorado	San Isabel National Forest	Deciduous forest; coniferous forest	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Coleoptera	NA	NA	NA	NA	Yes	NA	NA	NA	NA	0.066	NA	334	69	3	Stomach contents		JC	"Beaver, DL and PH Baldwin. 1975. Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13."
Western Wood-Pewee	Contopus sordidulus	Tyrinnidae	American Ornithologists' Union 7th Ed. (incl. 58th suppl.)	-105.104	38.04049	NA	2900	NA	Colorado	San Isabel National Forest	Deciduous forest; coniferous forest	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Diptera	NA	NA	NA	NA	No	NA	NA	NA	NA	0.32	NA	334	69	3	Stomach contents		JC	"Beaver, DL and PH Baldwin. 1975. Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13."
Western Wood-Pewee	Contopus sordidulus	Tyrinnidae	American Ornithologists' Union 7th Ed. (incl. 58th suppl.)	-105.104	38.04049	NA	2900	NA	Colorado	San Isabel National Forest	Deciduous forest; coniferous forest	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Diptera	NA	Calliphoridae	NA	NA	No	NA	NA	NA	NA	0.01	NA	334	69	3	Stomach contents		JC	"Beaver, DL and PH Baldwin. 1975. Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13."
