Common_Name	Scientific_Name	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet_By_Wt_or_Vol	Fraction_Diet_By_Items	Fraction_Occurrence	Fraction_Diet_Unspecified	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Source
Bachman's Sparrow	Peucaea aestivalis	Emberizidae	"AOU 7th ed., 54th supplement"	NA	NA	NA	NA	NA	Texas	Nacogdoches County	coniferous forest; grassland	9	1971	11	1971	Fall	Animalia	Arthropoda	Insecta	Isoptera	NA	NA	NA	NA	NA	NA	NA	NA	0.00353	NA	NA	284	11	2	stomach contents		"Allaire, P. N. and C. D. Fisher. 1975. Feeding ecology of three resident sympatric sparrows in eastern Texas. Auk 92:260-269."
Bachman's Sparrow	Peucaea aestivalis	Emberizidae	"AOU 7th ed., 54th supplement"	NA	NA	NA	NA	NA	Texas	Nacogdoches County	coniferous forest; grassland	9	1971	11	1971	Fall	Animalia	Arthropoda	Insecta	Hemiptera	Homoptera	NA	NA	NA	NA	NA	NA	NA	0.00353	NA	NA	284	11	2	stomach contents		"Allaire, P. N. and C. D. Fisher. 1975. Feeding ecology of three resident sympatric sparrows in eastern Texas. Auk 92:260-269."
Bachman's Sparrow	Peucaea aestivalis	Emberizidae	"AOU 7th ed., 54th supplement"	NA	NA	NA	NA	NA	Texas	Nacogdoches County	coniferous forest; grassland	9	1971	11	1971	Fall	Animalia	Arthropoda	Arachnida	Unidentified	NA	NA	NA	NA	NA	NA	NA	NA	0.00353	NA	NA	284	11	2	stomach contents		"Allaire, P. N. and C. D. Fisher. 1975. Feeding ecology of three resident sympatric sparrows in eastern Texas. Auk 92:260-269."
Bachman's Sparrow	Peucaea aestivalis	Emberizidae	"AOU 7th ed., 54th supplement"	NA	NA	NA	NA	NA	Texas	Nacogdoches County	coniferous forest; grassland	9	1971	11	1971	Fall	Plantae	Tracheophyta	Magnoliopsida	Asterales	NA	Compositae (Asteraceae)	Iva	NA	NA	seed	NA	NA	0.00376	NA	NA	284	11	2	stomach contents		"Allaire, P. N. and C. D. Fisher. 1975. Feeding ecology of three resident sympatric sparrows in eastern Texas. Auk 92:260-269."
Bachman's Sparrow	Peucaea aestivalis	Emberizidae	"AOU 7th ed., 54th supplement"	NA	NA	NA	NA	NA	Texas	Nacogdoches County	coniferous forest; grassland	9	1971	11	1971	Fall	Animalia	Arthropoda	Insecta	Coleoptera	NA	NA	NA	NA	NA	NA	NA	NA	0.007	NA	NA	284	11	2	stomach contents		"Allaire, P. N. and C. D. Fisher. 1975. Feeding ecology of three resident sympatric sparrows in eastern Texas. Auk 92:260-269."
Bachman's Sparrow	Peucaea aestivalis	Emberizidae	"AOU 7th ed., 54th supplement"	NA	NA	NA	NA	NA	Texas	Nacogdoches County	coniferous forest; grassland	9	1971	11	1971	Fall	Animalia	Arthropoda	Insecta	Orthoptera	NA	NA	NA	NA	NA	NA	NA	NA	0.007	NA	NA	284	11	2	stomach contents		"Allaire, P. N. and C. D. Fisher. 1975. Feeding ecology of three resident sympatric sparrows in eastern Texas. Auk 92:260-269."
Bachman's Sparrow	Peucaea aestivalis	Emberizidae	"AOU 7th ed., 54th supplement"	NA	NA	NA	NA	NA	Texas	Nacogdoches County	coniferous forest; grassland	9	1971	11	1971	Fall	Animalia	Arthropoda	Insecta	Hemiptera	Heteroptera	NA	NA	NA	NA	NA	NA	NA	0.0105	NA	NA	284	11	2	stomach contents		"Allaire, P. N. and C. D. Fisher. 1975. Feeding ecology of three resident sympatric sparrows in eastern Texas. Auk 92:260-269."
Bachman's Sparrow	Peucaea aestivalis	Emberizidae	"AOU 7th ed., 54th supplement"	NA	NA	NA	NA	NA	Texas	Nacogdoches County	coniferous forest; grassland	9	1971	11	1971	Fall	Animalia	Arthropoda	Insecta	Lepidoptera	NA	NA	NA	NA	NA	NA	NA	NA	0.0246	NA	NA	284	11	2	stomach contents		"Allaire, P. N. and C. D. Fisher. 1975. Feeding ecology of three resident sympatric sparrows in eastern Texas. Auk 92:260-269."
Bachman's Sparrow	Peucaea aestivalis	Emberizidae	"AOU 7th ed., 54th supplement"	NA	NA	NA	NA	NA	Texas	Nacogdoches County	coniferous forest; grassland	9	1971	11	1971	Fall	Plantae	Tracheophyta	Magnoliopsida	Poales	NA	Poaceae	Triodia	NA	NA	seed	NA	NA	0.0385	NA	NA	284	11	2	stomach contents		"Allaire, P. N. and C. D. Fisher. 1975. Feeding ecology of three resident sympatric sparrows in eastern Texas. Auk 92:260-269."
Bachman's Sparrow	Peucaea aestivalis	Emberizidae	"AOU 7th ed., 54th supplement"	NA	NA	NA	NA	NA	Texas	Nacogdoches County	coniferous forest; grassland	9	1971	11	1971	Fall	Plantae	Tracheophyta	Magnoliopsida	Poales	NA	Poaceae	Digitaria	NA	NA	seed	NA	NA	0.0423	NA	NA	284	11	2	stomach contents		"Allaire, P. N. and C. D. Fisher. 1975. Feeding ecology of three resident sympatric sparrows in eastern Texas. Auk 92:260-269."
