Common_Name	Scientific_Name	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet_By_Wt_or_Vol	Fraction_Diet_By_Items	Fraction_Occurrence	Fraction_Diet_Unspecified	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Source
Yellow-billed cuckoo	Coccyzus americanus	Cuculidae	"AOU 7th ed., 52nd supplement"	NA	NA	NA	NA	NA	Multiple	Multiple		5	1897	10	1897	Summer	Animalia	Arthropoda	Insecta	Coleoptera								NA	NA	NA	0.06	NA	109	999	stomach contents	"Study performed in 20 states, district of columbia and canada. Study date assumed to be 1 year prior to publication."	"Beal, F. E. L. 1898. Cuckoos and shrikes and their relation to agriculture. U.S. Dep. Agric. Biol. Surv. Bull. no. 9."
Cordilleran Flycatcher	Empidonax occidentalis	Tyrannidae		R.69W	T.23S		2900 m		Southern Colorado	Wet Mountains of southern Colorado in the San Isabel National Forest	coniferous forests along streams		1965		1966	Summer	Animalia	Arthropoda	Insecta	Coleoptera		Cleridae							0.0128						stomach contents		Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Cordilleran Flycatcher	Empidonax occidentalis	Tyrannidae		R.69W	T.23S		2900 m		Southern Colorado	Wet Mountains of southern Colorado in the San Isabel National Forest	coniferous forests along streams		1965		1966	Summer	Animalia	Arthropoda	Insecta	Coleoptera		Curculionida							0.02						stomach contents		Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Cordilleran Flycatcher	Empidonax occidentalis	Tyrannidae		R.69W	T.23S		2900 m		Southern Colorado	Wet Mountains of southern Colorado in the San Isabel National Forest	coniferous forests along streams		1965		1966	Summer	Animalia	Arthropoda	Insecta	Coleoptera		Scarabeida							0.01						stomach contents		Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Cordilleran Flycatcher	Empidonax occidentalis	Tyrannidae		R.69W	T.23S		2900 m		Southern Colorado	Wet Mountains of southern Colorado in the San Isabel National Forest	coniferous forests along streams		1965		1966	Summer	Animalia	Arthropoda	Insecta	Coleoptera		Unidentified							0.21						stomach contents		Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Cordilleran Flycatcher	Empidonax occidentalis	Tyrannidae		R.69W	T.23S		2900 m		Southern Colorado	Wet Mountains of southern Colorado in the San Isabel National Forest	coniferous forests along streams		1965		1966	Summer	Animalia	Arthropoda	Insecta	Diptera		Empididae							0.0093						stomach contents		Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Cordilleran Flycatcher	Empidonax occidentalis	Tyrannidae		R.69W	T.23S		2900 m		Southern Colorado	Wet Mountains of southern Colorado in the San Isabel National Forest	coniferous forests along streams		1965		1966	Summer	Animalia	Arthropoda	Insecta	Diptera		Rhagionidae							0.0403						stomach contents		Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Cordilleran Flycatcher	Empidonax occidentalis	Tyrannidae		R.69W	T.23S		2900 m		Southern Colorado	Wet Mountains of southern Colorado in the San Isabel National Forest	coniferous forests along streams		1965		1966	Summer	Animalia	Arthropoda	Insecta	Diptera		Syrphidae							0.0093						stomach contents		Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Cordilleran Flycatcher	Empidonax occidentalis	Tyrannidae		R.69W	T.23S		2900 m		Southern Colorado	Wet Mountains of southern Colorado in the San Isabel National Forest	coniferous forests along streams		1965		1966	Summer	Animalia	Arthropoda	Insecta	Diptera		Tabanidae							0.031						stomach contents		Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Cordilleran Flycatcher	Empidonax occidentalis	Tyrannidae		R.69W	T.23S		2900 m		Southern Colorado	Wet Mountains of southern Colorado in the San Isabel National Forest	coniferous forests along streams		1965		1966	Summer	Animalia	Arthropoda	Insecta	Diptera		Unidentified							0.2201						stomach contents		Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Cordilleran Flycatcher	Empidonax occidentalis	Tyrannidae		R.69W	T.23S		2900 m		Southern Colorado	Wet Mountains of southern Colorado in the San Isabel National Forest	coniferous forests along streams		1965		1966	Summer	Animalia	Arthropoda	Insecta	Hemiptera		-							0.03						stomach contents		Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Cordilleran Flycatcher	Empidonax occidentalis	Tyrannidae		R.69W	T.23S		2900 m		Southern Colorado	Wet Mountains of southern Colorado in the San Isabel National Forest	coniferous forests along streams		1965		1966	Summer	Animalia	Arthropoda	Insecta	Homoptera		-							0.01						stomach contents		Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Cordilleran Flycatcher	Empidonax occidentalis	Tyrannidae		R.69W	T.23S		2900 m		Southern Colorado	Wet Mountains of southern Colorado in the San Isabel National Forest	coniferous forests along streams		1965		1966	Summer	Animalia	Arthropoda	Insecta	Hymenoptera		Braconidae							0.0102						stomach contents		Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Cordilleran Flycatcher	Empidonax occidentalis	Tyrannidae		R.69W	T.23S		2900 m		Southern Colorado	Wet Mountains of southern Colorado in the San Isabel National Forest	coniferous forests along streams		1965		1966	Summer	Animalia	Arthropoda	Insecta	Hymenoptera		Formicidae							0.0629						stomach contents		Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Cordilleran Flycatcher	Empidonax occidentalis	Tyrannidae		R.69W	T.23S		2900 m		Southern Colorado	Wet Mountains of southern Colorado in the San Isabel National Forest	coniferous forests along streams		1965		1966	Summer	Animalia	Arthropoda	Insecta	Hymenoptera		Ichneumonida							0.0136						stomach contents		Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Cordilleran Flycatcher	Empidonax occidentalis	Tyrannidae		R.69W	T.23S		2900 m		Southern Colorado	Wet Mountains of southern Colorado in the San Isabel National Forest	coniferous forests along streams		1965		1966	Summer	Animalia	Arthropoda	Insecta	Hymenoptera		Unidentified							0.0833						stomach contents		Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Cordilleran Flycatcher	Empidonax occidentalis	Tyrannidae		R.69W	T.23S		2900 m		Southern Colorado	Wet Mountains of southern Colorado in the San Isabel National Forest	coniferous forests along streams		1965		1966	Summer	Animalia	Arthropoda	Insecta	Lepidoptera		Tortricidae							0.124						stomach contents		Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Cordilleran Flycatcher	Empidonax occidentalis	Tyrannidae		R.69W	T.23S		2900 m		Southern Colorado	Wet Mountains of southern Colorado in the San Isabel National Forest	coniferous forests along streams		1965		1966	Summer	Animalia	Arthropoda	Insecta	Lepidoptera		Unidentified							0.0836						stomach contents		Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Cordilleran Flycatcher	Empidonax occidentalis	Tyrannidae		R.69W	T.23S		2900 m		Southern Colorado	Wet Mountains of southern Colorado in the San Isabel National Forest	coniferous forests along streams		1965		1966	Summer	Animalia	Arthropoda	Insecta	Araneida		-							0.02						stomach contents		Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Hammond's Flycatchers	Empidonax hammondii	Tyrannidae		R.69W	T.23S	2438 m	2900 m	3048 m	Southern Colorado	Wet Mountains of southern Colorado in the San Isabel National Forest	coniferous forests		1965		1966	Summer	Animalia	Arthropoda	Insecta	Coleoptera		Scarabeidae							0.0714						stomach contents		Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Hammond's Flycatchers	Empidonax hammondii	Tyrannidae		R.69W	T.23S	2438 m	2900 m	3048 m	Southern Colorado	Wet Mountains of southern Colorado in the San Isabel National Forest	coniferous forests		1965		1966	Summer	Animalia	Arthropoda	Insecta	Coleoptera		Unidentified							0.2686						stomach contents		Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Hammond's Flycatchers	Empidonax hammondii	Tyrannidae		R.69W	T.23S	2438 m	2900 m	3048 m	Southern Colorado	Wet Mountains of southern Colorado in the San Isabel National Forest	coniferous forests		1965		1966	Summer	Animalia	Arthropoda	Insecta	Diptera		Empididae							0.0247						stomach contents		Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Hammond's Flycatchers	Empidonax hammondii	Tyrannidae		R.69W	T.23S	2438 m	2900 m	3048 m	Southern Colorado	Wet Mountains of southern Colorado in the San Isabel National Forest	coniferous forests		1965		1966	Summer	Animalia	Arthropoda	Insecta	Diptera		Rhagionidae							0.0475						stomach contents		Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Hammond's Flycatchers	Empidonax hammondii	Tyrannidae		R.69W	T.23S	2438 m	2900 m	3048 m	Southern Colorado	Wet Mountains of southern Colorado in the San Isabel National Forest	coniferous forests		1965		1966	Summer	Animalia	Arthropoda	Insecta	Diptera		Syrphidae							0.0247						stomach contents		Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Hammond's Flycatchers	Empidonax hammondii	Tyrannidae		R.69W	T.23S	2438 m	2900 m	3048 m	Southern Colorado	Wet Mountains of southern Colorado in the San Isabel National Forest	coniferous forests		1965		1966	Summer	Animalia	Arthropoda	Insecta	Diptera		Tipulidae							0.0247						stomach contents		Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Hammond's Flycatchers	Empidonax hammondii	Tyrannidae		R.69W	T.23S	2438 m	2900 m	3048 m	Southern Colorado	Wet Mountains of southern Colorado in the San Isabel National Forest	coniferous forests		1965		1966	Summer	Animalia	Arthropoda	Insecta	Diptera		Unidentified							0.0684						stomach contents		Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Hammond's Flycatchers	Empidonax hammondii	Tyrannidae		R.69W	T.23S	2438 m	2900 m	3048 m	Southern Colorado	Wet Mountains of southern Colorado in the San Isabel National Forest	coniferous forests		1965		1966	Summer	Animalia	Arthropoda	Insecta	Homoptera		Cicadellidae							0.03						stomach contents		Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Hammond's Flycatchers	Empidonax hammondii	Tyrannidae		R.69W	T.23S	2438 m	2900 m	3048 m	Southern Colorado	Wet Mountains of southern Colorado in the San Isabel National Forest	coniferous forests		1965		1966	Summer	Animalia	Arthropoda	Insecta	Homoptera		Unidentified							0						stomach contents		Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Hammond's Flycatchers	Empidonax hammondii	Tyrannidae		R.69W	T.23S	2438 m	2900 m	3048 m	Southern Colorado	Wet Mountains of southern Colorado in the San Isabel National Forest	coniferous forests		1965		1966	Summer	Animalia	Arthropoda	Insecta	Hymenoptera		Braconidae							0.03						stomach contents		Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Hammond's Flycatchers	Empidonax hammondii	Tyrannidae		R.69W	T.23S	2438 m	2900 m	3048 m	Southern Colorado	Wet Mountains of southern Colorado in the San Isabel National Forest	coniferous forests		1965		1966	Summer	Animalia	Arthropoda	Insecta	Hymenoptera		Unidentified							0						stomach contents		Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Hammond's Flycatchers	Empidonax hammondii	Tyrannidae		R.69W	T.23S	2438 m	2900 m	3048 m	Southern Colorado	Wet Mountains of southern Colorado in the San Isabel National Forest	coniferous forests		1965		1966	Summer	Animalia	Arthropoda	Insecta	Lepidoptera		Geometrida							0.0261						stomach contents		Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Hammond's Flycatchers	Empidonax hammondii	Tyrannidae		R.69W	T.23S	2438 m	2900 m	3048 m	Southern Colorado	Wet Mountains of southern Colorado in the San Isabel National Forest	coniferous forests		1965		1966	Summer	Animalia	Arthropoda	Insecta	Lepidoptera		Tortricidae							0.2639						stomach contents		Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Hammond's Flycatchers	Empidonax hammondii	Tyrannidae		R.69W	T.23S	2438 m	2900 m	3048 m	Southern Colorado	Wet Mountains of southern Colorado in the San Isabel National Forest	aspen forest		1965		1966	Summer	Animalia	Arthropoda	Insecta	Lepidoptera		Unidentified							0						stomach contents		Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Wood-Pewee	Contopus sordidulus	 Tyrannidae		R.69W	T.23S		2900 m		Southern Colorado	Wet Mountains of southern Colorado in the San Isabel National Forest	coniferous forests		1965		1966	Summer	Animalia	Arthropoda	Insecta	Coleoptera		Buprestidae							0.0128						stomach contents		Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Wood-Pewee	Contopus sordidulus	 Tyrannidae		R.69W	T.23S		2900 m		Southern Colorado	Wet Mountains of southern Colorado in the San Isabel National Forest	coniferous forests		1965		1966	Summer	Animalia	Arthropoda	Insecta	Coleoptera		Cerambycidae							0.0064						stomach contents		Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Wood-Pewee	Contopus sordidulus	 Tyrannidae		R.69W	T.23S		2900 m		Southern Colorado	Wet Mountains of southern Colorado in the San Isabel National Forest	coniferous forests		1965		1966	Summer	Animalia	Arthropoda	Insecta	Coleoptera		Chrysomelida							0.0064						stomach contents		Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Wood-Pewee	Contopus sordidulus	 Tyrannidae		R.69W	T.23S		2900 m		Southern Colorado	Wet Mountains of southern Colorado in the San Isabel National Forest	coniferous forests		1965		1966	Summer	Animalia	Arthropoda	Insecta	Coleoptera		Curculionidae							0.0128						stomach contents		Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Wood-Pewee	Contopus sordidulus	 Tyrannidae		R.69W	T.23S		2900 m		Southern Colorado	Wet Mountains of southern Colorado in the San Isabel National Forest	coniferous forests		1965		1966	Summer	Animalia	Arthropoda	Insecta	Coleoptera		Scarabeidae							0.04						stomach contents		Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Wood-Pewee	Contopus sordidulus	 Tyrannidae		R.69W	T.23S		2900 m		Southern Colorado	Wet Mountains of southern Colorado in the San Isabel National Forest	coniferous forests		1965		1966	Summer	Animalia	Arthropoda	Insecta	Coleoptera		Scolytidae							0.016						stomach contents		Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Wood-Pewee	Contopus sordidulus	 Tyrannidae		R.69W	T.23S		2900 m		Southern Colorado	Wet Mountains of southern Colorado in the San Isabel National Forest	coniferous forests		1965		1966	Summer	Animalia	Arthropoda	Insecta	Coleoptera		Unidentified							0.0656						stomach contents		Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
